,PEG
2014-01-02,21.18085479736328
2014-01-03,21.248462677001953
2014-01-06,21.376920700073242
2014-01-07,21.397197723388672
2014-01-08,21.28226661682129
2014-01-09,21.444522857666016
2014-01-10,21.552690505981445
2014-01-13,21.343111038208008
2014-01-14,21.23494529724121
2014-01-15,21.31607437133789
2014-01-16,21.444522857666016
2014-01-17,21.485084533691406
2014-01-21,21.694660186767578
2014-01-22,21.910993576049805
2014-01-23,22.134092330932617
2014-01-24,22.323396682739258
2014-01-27,22.458608627319336
2014-01-28,22.26255226135254
2014-01-29,22.235504150390625
2014-01-30,22.56001091003418
2014-01-31,22.539730072021484
2014-02-03,22.465368270874023
2014-02-04,22.3909969329834
2014-02-05,22.31662940979004
2014-02-06,22.695222854614258
2014-02-07,22.952131271362305
2014-02-10,22.925081253051758
2014-02-11,23.236064910888672
2014-02-12,23.25634765625
2014-02-13,23.32396697998047
2014-02-14,23.459169387817383
2014-02-18,23.736351013183594
2014-02-19,23.64171028137207
2014-02-20,24.696359634399414
2014-02-21,24.730154037475586
2014-02-24,24.83156967163086
2014-02-25,24.865360260009766
2014-02-26,24.78424644470215
2014-02-27,24.64226722717285
2014-02-28,24.78424644470215
2014-03-03,24.43268585205078
2014-03-04,24.50029754638672
2014-03-05,24.45931625366211
2014-03-06,24.254404067993164
2014-03-07,24.20659065246582
2014-03-10,24.247575759887695
2014-03-11,24.02217674255371
2014-03-12,24.445653915405273
2014-03-13,24.725698471069336
2014-03-14,25.033061981201172
2014-03-17,25.128684997558594
2014-03-18,25.196985244750977
2014-03-19,24.8554744720459
2014-03-20,24.780344009399414
2014-03-21,25.203826904296875
2014-03-24,25.23797607421875
2014-03-25,25.265295028686523
2014-03-26,25.408729553222656
2014-03-27,25.463367462158203
2014-03-28,25.524839401245117
2014-03-31,26.050779342651367
2014-04-01,25.68193244934082
2014-04-02,25.68193244934082
2014-04-03,26.023452758789062
2014-04-04,26.27617835998535
2014-04-07,26.125905990600586
2014-04-08,26.201045989990234
2014-04-09,26.433263778686523
2014-04-10,26.310317993164062
2014-04-11,26.50840950012207
2014-04-14,26.84309196472168
2014-04-15,27.041166305541992
2014-04-16,27.061660766601562
2014-04-17,26.93187713623047
2014-04-21,26.93187713623047
2014-04-22,26.7952823638916
2014-04-23,26.904571533203125
2014-04-24,27.16411018371582
2014-04-25,27.485143661499023
2014-04-28,27.751529693603516
2014-04-29,27.621753692626953
2014-04-30,27.983749389648438
2014-05-01,27.635406494140625
2014-05-02,26.56304359436035
2014-05-05,27.061660766601562
2014-05-06,26.829431533813477
2014-05-07,27.239242553710938
2014-05-08,26.754301071166992
2014-05-09,26.20787239074707
2014-05-12,25.996137619018555
2014-05-13,26.105417251586914
2014-05-14,26.11908721923828
2014-05-15,25.941484451293945
2014-05-16,25.81854820251465
2014-05-19,25.38822364807129
2014-05-20,25.38822364807129
2014-05-21,25.4497013092041
2014-05-22,25.695598602294922
2014-05-23,25.54532814025879
2014-05-27,25.51117515563965
2014-05-28,26.084918975830078
2014-05-29,26.29666519165039
2014-05-30,26.61085319519043
2014-06-02,26.713315963745117
2014-06-03,26.754301071166992
2014-06-04,26.595703125
2014-06-05,26.940467834472656
2014-06-06,26.712928771972656
2014-06-09,26.402631759643555
2014-06-10,26.257822036743164
2014-06-11,25.988906860351562
2014-06-12,25.94753646850586
2014-06-13,26.092336654663086
2014-06-16,26.195770263671875
2014-06-17,26.395729064941406
2014-06-18,27.064592361450195
2014-06-19,27.47831916809082
2014-06-20,27.36799430847168
2014-06-23,26.988740921020508
2014-06-24,27.202499389648438
2014-06-25,27.29903793334961
2014-06-26,27.519697189331055
2014-06-27,27.767925262451172
2014-06-30,28.12648582458496
2014-07-01,27.788612365722656
2014-07-02,26.995635986328125
2014-07-03,26.312986373901367
2014-07-07,26.588804244995117
2014-07-08,26.67155647277832
2014-07-09,26.62328338623047
2014-07-10,26.878416061401367
2014-07-11,26.540538787841797
2014-07-14,25.7889347076416
2014-07-15,25.733776092529297
2014-07-16,25.954423904418945
2014-07-17,25.56828498840332
2014-07-18,25.644132614135742
2014-07-21,25.63033676147461
2014-07-22,25.637243270874023
2014-07-23,25.526912689208984
2014-07-24,25.7199764251709
2014-07-25,25.471742630004883
2014-07-28,26.057859420776367
2014-07-29,25.554487228393555
2014-07-30,24.885629653930664
2014-07-31,24.25125503540039
2014-08-01,24.47191047668457
2014-08-04,24.340892791748047
2014-08-05,23.92717170715332
2014-08-06,23.547927856445312
2014-08-07,23.934059143066406
2014-08-08,24.506383895874023
2014-08-11,24.49949073791504
2014-08-12,24.492595672607422
2014-08-13,24.320205688476562
2014-08-14,24.478801727294922
2014-08-15,24.49949073791504
2014-08-18,24.43743324279785
2014-08-19,24.816682815551758
2014-08-20,24.95458984375
2014-08-21,25.13387107849121
2014-08-22,25.085599899291992
2014-08-25,25.347623825073242
2014-08-26,25.05112075805664
2014-08-27,25.402793884277344
2014-08-28,25.526912689208984
2014-08-29,25.78203582763672
2014-09-02,25.223508834838867
2014-09-03,25.467315673828125
2014-09-04,25.516080856323242
2014-09-05,25.906171798706055
2014-09-08,25.808639526367188
2014-09-09,25.509111404418945
2014-09-10,25.432485580444336
2014-09-11,25.927072525024414
2014-09-12,25.571802139282227
2014-09-15,25.725055694580078
2014-09-16,26.442537307739258
2014-09-17,26.39377784729004
2014-09-18,26.30322265625
2014-09-19,26.679378509521484
2014-09-22,26.477371215820312
2014-09-23,26.261430740356445
2014-09-24,26.254459381103516
2014-09-25,26.1917667388916
2014-09-26,26.18480110168457
2014-09-29,26.22660255432129
2014-09-30,25.94099998474121
2014-10-01,25.975833892822266
2014-10-02,25.95491600036621
2014-10-03,25.95491600036621
2014-10-06,26.059419631958008
2014-10-07,26.003692626953125
2014-10-08,26.700281143188477
2014-10-09,26.21963119506836
2014-10-10,26.449506759643555
2014-10-13,26.505233764648438
2014-10-14,26.951061248779297
2014-10-15,26.066381454467773
2014-10-16,25.927072525024414
2014-10-17,26.12211799621582
2014-10-20,26.58186149597168
2014-10-21,26.999813079833984
2014-10-22,27.069467544555664
2014-10-23,27.076444625854492
2014-10-24,27.56404685974121
2014-10-27,27.487417221069336
2014-10-28,27.56404685974121
2014-10-29,27.494394302368164
2014-10-30,28.372100830078125
2014-10-31,28.776119232177734
2014-11-03,28.992050170898438
2014-11-04,28.67858123779297
2014-11-05,29.235868453979492
2014-11-06,28.36511993408203
2014-11-07,28.629838943481445
2014-11-10,28.88060188293457
2014-11-11,28.52535057067871
2014-11-12,27.668542861938477
2014-11-13,27.362045288085938
2014-11-14,27.50135612487793
2014-11-17,28.18401336669922
2014-11-18,28.267606735229492
2014-11-19,28.246702194213867
2014-11-20,28.302440643310547
2014-11-21,28.560184478759766
2014-11-24,28.358169555664062
2014-11-25,28.476585388183594
2014-11-26,28.706462860107422
2014-11-28,29.103511810302734
2014-12-01,28.99903106689453
2014-12-02,28.866666793823242
2014-12-03,28.657695770263672
2014-12-04,28.58106803894043
2014-12-05,28.51141357421875
2014-12-08,28.947235107421875
2014-12-09,29.1299991607666
2014-12-10,28.778528213500977
2014-12-11,29.214351654052734
2014-12-12,28.637950897216797
2014-12-15,28.504379272460938
2014-12-16,28.441118240356445
2014-12-17,29.29167938232422
2014-12-18,29.71344757080078
2014-12-19,29.572858810424805
2014-12-22,29.48147964477539
2014-12-23,29.516618728637695
2014-12-24,30.02273941040039
2014-12-26,30.339069366455078
2014-12-29,30.59915542602539
2014-12-30,29.896209716796875
2014-12-31,29.108915328979492
2015-01-02,29.453367233276367
2015-01-05,28.736356735229492
2015-01-06,28.771501541137695
2015-01-07,29.214351654052734
2015-01-08,29.467411041259766
2015-01-09,29.052684783935547
2015-01-12,29.094860076904297
2015-01-13,29.460376739501953
2015-01-14,29.727508544921875
2015-01-15,29.98759651184082
2015-01-16,30.61321449279785
2015-01-20,30.556983947753906
2015-01-21,31.14042091369629
2015-01-22,30.803010940551758
2015-01-23,30.92953872680664
2015-01-26,30.795984268188477
2015-01-27,30.76786231994629
2015-01-28,30.381240844726562
2015-01-29,30.83112144470215
2015-01-30,30.00165557861328
2015-02-02,29.95244789123535
2015-02-03,30.367191314697266
2015-02-04,29.65018081665039
2015-02-05,30.128196716308594
2015-02-06,28.532493591308594
2015-02-09,28.307552337646484
2015-02-10,28.785568237304688
2015-02-11,28.1810302734375
2015-02-12,27.96311378479004
2015-02-13,27.667871475219727
2015-02-17,27.871734619140625
2015-02-18,28.497352600097656
2015-02-19,28.314590454101562
2015-02-20,29.263568878173828
2015-02-23,29.945419311523438
2015-02-24,30.339069366455078
2015-02-25,29.685331344604492
2015-02-26,29.671266555786133
2015-02-27,29.56583595275879
2015-03-02,28.778528213500977
2015-03-03,29.474451065063477
2015-03-04,29.052684783935547
2015-03-05,29.13703727722168
2015-03-06,28.122270584106445
2015-03-09,28.257110595703125
2015-03-10,28.42740821838379
2015-03-11,28.54094696044922
2015-03-12,28.988019943237305
2015-03-13,28.775127410888672
2015-03-16,29.257665634155273
2015-03-17,29.2647705078125
2015-03-18,29.96019172668457
2015-03-19,29.711822509765625
2015-03-20,29.882125854492188
2015-03-23,30.123409271240234
2015-03-24,29.676340103149414
2015-03-25,29.449262619018555
2015-03-26,29.222179412841797
2015-03-27,29.328630447387695
2015-03-30,29.782791137695312
2015-03-31,29.74730682373047
2015-04-01,29.27895736694336
2015-04-02,29.335731506347656
2015-04-06,30.087934494018555
2015-04-07,29.690536499023438
2015-04-08,29.591184616088867
2015-04-09,29.286048889160156
2015-04-10,29.569900512695312
2015-04-13,29.080259323120117
2015-04-14,29.271862030029297
2015-04-15,29.27895736694336
2015-04-16,29.321535110473633
2015-04-17,29.080259323120117
2015-04-20,29.676340103149414
2015-04-21,29.243471145629883
2015-04-22,29.6976261138916
2015-04-23,29.775693893432617
2015-04-24,30.00986099243164
2015-04-27,29.520225524902344
2015-04-28,29.832460403442383
2015-04-29,29.676340103149414
2015-04-30,29.4776554107666
2015-05-01,29.775693893432617
2015-05-04,30.29371452331543
2015-05-05,29.491851806640625
2015-05-06,29.61957550048828
2015-05-07,29.775693893432617
2015-05-08,29.846656799316406
2015-05-11,29.839561462402344
2015-05-12,29.726016998291016
2015-05-13,29.57699966430664
2015-05-14,30.00277328491211
2015-05-15,30.187271118164062
2015-05-18,30.25113296508789
2015-05-19,30.53498077392578
2015-05-20,30.747880935668945
2015-05-21,31.05299949645996
2015-05-22,31.12397003173828
2015-05-26,30.598848342895508
2015-05-27,30.69110870361328
2015-05-28,30.549177169799805
2015-05-29,30.25113296508789
2015-06-01,30.44983673095703
2015-06-02,30.00986099243164
2015-06-03,29.335731506347656
2015-06-04,29.030588150024414
2015-06-05,28.951784133911133
2015-06-08,28.758331298828125
2015-06-09,28.758331298828125
2015-06-10,28.829978942871094
2015-06-11,28.944618225097656
2015-06-12,28.4431095123291
2015-06-15,28.665203094482422
2015-06-16,28.794157028198242
2015-06-17,29.009098052978516
2015-06-18,29.50345230102539
2015-06-19,29.367321014404297
2015-06-22,29.173877716064453
2015-06-23,28.779821395874023
2015-06-24,28.378623962402344
2015-06-25,28.041887283325195
2015-06-26,28.36429214477539
2015-06-29,28.099199295043945
2015-06-30,28.142181396484375
2015-07-01,28.26399040222168
2015-07-02,28.61504554748535
2015-07-06,28.89446258544922
2015-07-07,29.833019256591797
2015-07-08,29.64673614501953
2015-07-09,29.517778396606445
2015-07-10,29.560760498046875
2015-07-13,29.360153198242188
2015-07-14,29.288511276245117
2015-07-15,29.41031265258789
2015-07-16,30.012117385864258
2015-07-17,29.6682186126709
2015-07-20,29.618074417114258
2015-07-21,29.009098052978516
2015-07-22,29.202543258666992
2015-07-23,28.486083984375
2015-07-24,28.50042152404785
2015-07-27,28.794157028198242
2015-07-28,28.872970581054688
2015-07-29,29.14522361755371
2015-07-30,29.560760498046875
2015-07-31,29.854507446289062
2015-08-03,29.825851440429688
2015-08-04,29.116565704345703
2015-08-05,29.51060676574707
2015-08-06,29.804346084594727
2015-08-07,30.406171798706055
2015-08-10,30.033620834350586
2015-08-11,30.42766761779785
2015-08-12,30.44916343688965
2015-08-13,30.31304168701172
2015-08-14,30.742908477783203
2015-08-17,30.91485595703125
2015-08-18,30.82887077331543
2015-08-19,31.151281356811523
2015-08-20,30.95067024230957
2015-08-21,30.119596481323242
2015-08-24,29.123729705810547
2015-08-25,28.579233169555664
2015-08-26,28.85148048400879
2015-08-27,29.331497192382812
2015-08-28,29.03058433532715
2015-08-31,28.837141036987305
2015-09-01,27.927257537841797
2015-09-02,27.9057559967041
2015-09-03,28.199504852294922
2015-09-04,27.758102416992188
2015-09-08,28.29357147216797
2015-09-09,27.960712432861328
2015-09-10,28.134380340576172
2015-09-11,28.452775955200195
2015-09-14,28.438291549682617
2015-09-15,28.648157119750977
2015-09-16,29.053382873535156
2015-09-17,29.37900161743164
2015-09-18,29.19087028503418
2015-09-21,29.38625144958496
2015-09-22,28.70604133605957
2015-09-23,28.90141487121582
2015-09-24,29.053382873535156
2015-09-25,29.58885955810547
2015-09-28,29.371776580810547
2015-09-29,29.60333824157715
2015-09-30,30.507863998413086
2015-10-01,29.91449546813965
2015-10-02,30.64534568786621
2015-10-05,30.920316696166992
2015-10-06,31.02886962890625
2015-10-07,30.630868911743164
2015-10-08,31.043338775634766
2015-10-09,30.60917091369629
2015-10-12,30.89862823486328
2015-10-13,30.775596618652344
2015-10-14,30.87689781188965
2015-10-15,31.361724853515625
2015-10-16,31.45579719543457
2015-10-19,31.75972557067871
2015-10-20,31.520936965942383
2015-10-21,31.24595832824707
2015-10-22,31.5643367767334
2015-10-23,30.86966896057129
2015-10-26,30.27630043029785
2015-10-27,30.232881546020508
2015-10-28,29.95067024230957
2015-10-29,29.986854553222656
2015-10-30,29.87830352783203
2015-11-02,29.39347267150879
2015-11-03,29.682933807373047
2015-11-04,29.73358726501465
2015-11-05,29.44413948059082
2015-11-06,27.975189208984375
2015-11-09,28.054779052734375
2015-11-10,28.156097412109375
2015-11-11,28.329769134521484
2015-11-12,28.20674705505371
2015-11-13,28.264644622802734
2015-11-16,28.858007431030273
2015-11-17,28.22845458984375
2015-11-18,28.20674705505371
2015-11-19,28.59749984741211
2015-11-20,28.70604133605957
2015-11-23,28.58302879333496
2015-11-24,28.358701705932617
2015-11-25,28.20674705505371
2015-11-27,28.308048248291016
2015-11-30,28.29357147216797
2015-12-01,28.66985511779785
2015-12-02,27.830461502075195
2015-12-03,27.613370895385742
2015-12-04,27.953474044799805
2015-12-07,27.829198837280273
2015-12-08,27.763416290283203
2015-12-09,27.924243927001953
2015-12-10,27.361360549926758
2015-12-11,27.0616512298584
2015-12-14,27.383296966552734
2015-12-15,27.127445220947266
2015-12-16,27.997329711914062
2015-12-17,27.858444213867188
2015-12-18,27.397911071777344
2015-12-21,27.580663681030273
2015-12-22,27.734174728393555
2015-12-23,28.260501861572266
2015-12-24,28.21663475036621
2015-12-28,28.29705047607422
2015-12-29,28.54557991027832
2015-12-30,28.501733779907227
2015-12-31,28.282426834106445
2016-01-04,28.28973388671875
2016-01-05,28.457866668701172
2016-01-06,28.22395133972168
2016-01-07,28.370147705078125
2016-01-08,28.085060119628906
2016-01-11,28.21663475036621
2016-01-12,28.21663475036621
2016-01-13,28.34821891784668
2016-01-14,29.04998207092285
2016-01-15,28.9476375579834
2016-01-19,29.115772247314453
2016-01-20,28.487106323242188
2016-01-21,28.574831008911133
2016-01-22,29.145009994506836
2016-01-25,28.494421005249023
2016-01-26,28.786823272705078
2016-01-27,28.9476375579834
2016-01-28,29.510496139526367
2016-01-29,30.190336227416992
2016-02-01,30.248838424682617
2016-02-02,30.299999237060547
2016-02-03,30.811691284179688
2016-02-04,31.009057998657227
2016-02-05,31.367259979248047
2016-02-08,30.694730758666992
2016-02-09,30.97982406616211
2016-02-10,31.169889450073242
2016-02-11,30.621623992919922
2016-02-12,30.621623992919922
2016-02-16,30.753206253051758
2016-02-17,30.61432647705078
2016-02-18,31.316078186035156
2016-02-19,31.411117553710938
2016-02-22,32.04707717895508
2016-02-23,31.864334106445312
2016-02-24,31.725440979003906
2016-02-25,31.97397804260254
2016-02-26,31.104089736938477
2016-02-29,31.184499740600586
2016-03-01,31.155263900756836
2016-03-02,31.491518020629883
