,URI
2014-01-02,74.88457489013672
2014-01-03,75.5405044555664
2014-01-06,75.74610137939453
2014-01-07,76.14749908447266
2014-01-08,77.12649536132812
2014-01-09,76.61742401123047
2014-01-10,77.4887466430664
2014-01-13,75.46218872070312
2014-01-14,77.16565704345703
2014-01-15,79.96562957763672
2014-01-16,80.28871154785156
2014-01-17,79.38801574707031
2014-01-21,79.79920959472656
2014-01-22,79.87753295898438
2014-01-23,81.57122039794922
2014-01-24,77.83139038085938
2014-01-27,76.58805847167969
2014-01-28,79.84815216064453
2014-01-29,78.31110382080078
2014-01-30,79.8873062133789
2014-01-31,79.24117279052734
2014-02-03,72.89717102050781
2014-02-04,75.25659942626953
2014-02-05,75.1978530883789
2014-02-06,77.78244018554688
2014-02-07,78.90829467773438
2014-02-10,77.51811218261719
2014-02-11,80.1908187866211
2014-02-12,80.89569854736328
2014-02-13,80.9740219116211
2014-02-14,81.56141662597656
2014-02-18,83.32364654541016
2014-02-19,82.81455993652344
2014-02-20,84.95858764648438
2014-02-21,84.77256774902344
2014-02-24,85.59495544433594
2014-02-25,86.05509185791016
2014-02-26,84.40056610107422
2014-02-27,86.23131561279297
2014-02-28,86.48584747314453
2014-03-03,85.66348266601562
2014-03-04,88.6200942993164
2014-03-05,87.45506286621094
2014-03-06,86.64250183105469
2014-03-07,86.63270568847656
2014-03-10,89.89281463623047
2014-03-11,88.06204986572266
2014-03-12,89.99070739746094
2014-03-13,87.43548583984375
2014-03-14,88.19912719726562
2014-03-17,89.00191497802734
2014-03-18,89.95154571533203
2014-03-19,90.71517181396484
2014-03-20,92.77110290527344
2014-03-21,92.91795349121094
2014-03-24,90.74455261230469
2014-03-25,91.17532348632812
2014-03-26,89.75575256347656
2014-03-27,88.923583984375
2014-03-28,90.49000549316406
2014-03-31,92.94732666015625
2014-04-01,93.92633819580078
2014-04-02,93.04523468017578
2014-04-03,92.58509826660156
2014-04-04,89.9417724609375
2014-04-07,83.86210632324219
2014-04-08,86.05509185791016
2014-04-09,89.07044982910156
2014-04-10,86.31941986083984
2014-04-11,85.57538604736328
2014-04-14,85.35018920898438
2014-04-15,86.63270568847656
2014-04-16,89.56973266601562
2014-04-17,91.5081787109375
2014-04-21,91.29278564453125
2014-04-22,94.08297729492188
2014-04-23,92.47740173339844
2014-04-24,93.02564239501953
2014-04-25,90.41168975830078
2014-04-28,88.47323608398438
2014-04-29,90.94035339355469
2014-04-30,91.86062622070312
2014-05-01,91.2144775390625
2014-05-02,92.02704620361328
2014-05-05,92.46761322021484
2014-05-06,91.46902465820312
2014-05-07,91.38092041015625
2014-05-08,90.94035339355469
2014-05-09,91.5081787109375
2014-05-12,95.6200180053711
2014-05-13,95.60044860839844
2014-05-14,94.69976043701172
2014-05-15,92.45782470703125
2014-05-16,93.35850524902344
2014-05-19,94.582275390625
2014-05-20,94.35710144042969
2014-05-21,95.42422485351562
2014-05-22,96.70671844482422
2014-05-23,97.7934341430664
2014-05-27,99.14446258544922
2014-05-28,98.81159973144531
2014-05-29,99.37943267822266
2014-05-30,98.92908477783203
2014-06-02,99.36963653564453
2014-06-03,98.87034606933594
2014-06-04,100.06473541259766
2014-06-05,103.72624206542969
2014-06-06,103.7458267211914
2014-06-09,105.47867584228516
2014-06-10,104.92063903808594
2014-06-11,104.80316162109375
2014-06-12,102.80596923828125
2014-06-13,103.17799377441406
2014-06-16,102.95281982421875
2014-06-17,100.59339904785156
2014-06-18,102.57100677490234
2014-06-19,102.04235076904297
2014-06-20,103.04092407226562
2014-06-23,103.15841674804688
2014-06-24,101.53324890136719
2014-06-25,103.36400604248047
2014-06-26,103.07029724121094
2014-06-27,102.68849182128906
2014-06-30,102.53184509277344
2014-07-01,104.95980072021484
2014-07-02,105.24369812011719
2014-07-03,106.67305755615234
2014-07-07,104.12762451171875
2014-07-08,104.04932403564453
2014-07-09,106.07587432861328
2014-07-10,105.42972564697266
2014-07-11,105.1360092163086
2014-07-14,107.20171356201172
2014-07-15,105.40035247802734
2014-07-16,105.95838928222656
2014-07-17,107.7499771118164
2014-07-18,109.68842315673828
2014-07-21,109.43386840820312
2014-07-22,110.95133972167969
2014-07-23,110.4030990600586
2014-07-24,110.26603698730469
2014-07-25,110.32476806640625
2014-07-28,108.84646606445312
2014-07-29,108.14158630371094
2014-07-30,108.22969055175781
2014-07-31,103.67727661132812
2014-08-01,103.64791107177734
2014-08-04,104.73462677001953
2014-08-05,103.55000305175781
2014-08-06,103.22694396972656
2014-08-07,103.02134704589844
2014-08-08,104.99895477294922
2014-08-11,107.1234130859375
2014-08-12,107.32899475097656
2014-08-13,108.52338409423828
2014-08-14,109.20870971679688
2014-08-15,109.36534881591797
2014-08-18,111.89119720458984
2014-08-19,112.9876937866211
2014-08-20,114.25059509277344
2014-08-21,113.82962036132812
2014-08-22,114.76949310302734
2014-08-25,115.50375366210938
2014-08-26,115.84639739990234
2014-08-27,115.17088317871094
2014-08-28,114.64221954345703
2014-08-29,115.1806640625
2014-09-02,116.34569549560547
2014-09-03,115.73870849609375
2014-09-04,115.8170394897461
2014-09-05,116.02262115478516
2014-09-08,115.8170394897461
2014-09-09,113.13453674316406
2014-09-10,112.7820816040039
2014-09-11,113.66320037841797
2014-09-12,114.1527099609375
2014-09-15,113.84921264648438
2014-09-16,115.23941802978516
2014-09-17,115.17088317871094
2014-09-18,116.20862579345703
2014-09-19,114.25059509277344
2014-09-22,112.43944549560547
2014-09-23,111.0884017944336
2014-09-24,111.74433898925781
2014-09-25,108.65067291259766
2014-09-26,110.1387710571289
