,TFX
2014-01-02,86.34135437011719
2014-01-03,86.43446350097656
2014-01-06,86.4996109008789
2014-01-07,87.6167221069336
2014-01-08,88.1100845336914
2014-01-09,90.29769897460938
2014-01-10,90.38150024414062
2014-01-13,89.71127319335938
2014-01-14,90.1860122680664
2014-01-15,90.11152648925781
2014-01-16,90.29769897460938
2014-01-17,89.78572082519531
2014-01-21,89.95326232910156
2014-01-22,89.96257781982422
2014-01-23,89.7950439453125
2014-01-24,87.84945678710938
2014-01-27,86.65789031982422
2014-01-28,87.13264465332031
2014-01-29,87.03954315185547
2014-01-30,87.79356384277344
2014-01-31,87.16988372802734
2014-02-03,84.65645599365234
2014-02-04,84.8798599243164
2014-02-05,85.5035400390625
2014-02-06,85.15913391113281
2014-02-07,86.35999298095703
2014-02-10,86.23900604248047
2014-02-11,87.5981216430664
2014-02-12,88.09147644042969
2014-02-13,89.74848175048828
2014-02-14,89.47852325439453
2014-02-18,90.42803955078125
2014-02-19,89.93466186523438
2014-02-20,90.9214096069336
2014-02-21,94.19820404052734
2014-02-24,93.62105560302734
2014-02-25,95.0732650756836
2014-02-26,94.133056640625
2014-02-27,94.91500854492188
2014-02-28,95.26058959960938
2014-03-03,93.81287384033203
2014-03-04,94.1771469116211
2014-03-05,94.63478088378906
2014-03-06,95.6341781616211
2014-03-07,96.10122680664062
2014-03-10,95.46607208251953
2014-03-11,95.3166275024414
2014-03-12,96.03582000732422
2014-03-13,95.55947875976562
2014-03-14,96.14788818359375
2014-03-17,97.04458618164062
2014-03-18,97.1566390991211
2014-03-19,97.58631896972656
2014-03-20,97.1192855834961
2014-03-21,98.3708724975586
2014-03-24,98.52963256835938
2014-03-25,98.44558715820312
2014-03-26,99.0993881225586
2014-03-27,98.24008178710938
2014-03-28,98.68843841552734
2014-03-31,100.1642074584961
2014-04-01,100.37902069091797
2014-04-02,101.2476806640625
2014-04-03,101.5185317993164
2014-04-04,99.62246704101562
2014-04-07,98.51097106933594
2014-04-08,98.00662231445312
2014-04-09,98.296142578125
2014-04-10,95.65288543701172
2014-04-11,95.3166275024414
2014-04-14,95.64352416992188
2014-04-15,95.64352416992188
2014-04-16,95.43805694580078
2014-04-17,95.12046813964844
2014-04-21,96.4188003540039
2014-04-22,95.93309020996094
2014-04-23,95.37266540527344
2014-04-24,94.8869857788086
2014-04-25,93.81287384033203
2014-04-28,94.18646240234375
2014-04-29,94.8496322631836
2014-04-30,95.35398864746094
2014-05-01,96.334716796875
2014-05-02,97.10059356689453
2014-05-05,96.78305053710938
2014-05-06,97.09126281738281
2014-05-07,98.40824127197266
2014-05-08,97.3808364868164
2014-05-09,98.14669799804688
2014-05-12,99.3049087524414
2014-05-13,99.24868774414062
2014-05-14,99.23928833007812
2014-05-15,98.25543975830078
2014-05-16,98.26480865478516
2014-05-19,99.08938598632812
2014-05-20,98.18051147460938
2014-05-21,98.93009948730469
2014-05-22,98.85514068603516
2014-05-23,98.6583480834961
2014-05-27,99.41734313964844
2014-05-28,99.6890640258789
2014-05-29,99.9608154296875
2014-05-30,99.92333984375
2014-06-02,99.36112213134766
2014-06-03,100.17633819580078
2014-06-04,100.75728607177734
2014-06-05,100.91653442382812
2014-06-06,100.96340942382812
2014-06-09,100.8134765625
