,CBOE
2014-01-02,41.46885299682617
2014-01-03,42.02199172973633
2014-01-06,41.42818069458008
2014-01-07,41.23295593261719
2014-01-08,40.68795394897461
2014-01-09,40.4764518737793
2014-01-10,40.54966735839844
2014-01-13,39.42713165283203
2014-01-14,40.460182189941406
2014-01-15,40.53339767456055
2014-01-16,39.898929595947266
2014-01-17,40.574073791503906
2014-01-21,40.56592559814453
2014-01-22,41.28174591064453
2014-01-23,41.265506744384766
2014-01-24,40.69609069824219
2014-01-27,39.8745231628418
2014-01-28,40.82624435424805
2014-01-29,40.44392395019531
2014-01-30,41.81049728393555
2014-01-31,42.31481170654297
2014-02-03,39.963985443115234
2014-02-04,41.48511505126953
2014-02-05,41.257362365722656
2014-02-06,42.03825378417969
2014-02-07,43.45362091064453
2014-02-10,44.22639083862305
2014-02-11,44.52735900878906
2014-02-12,45.592960357666016
2014-02-13,46.08914566040039
2014-02-14,45.8044548034668
2014-02-18,45.95087432861328
2014-02-19,45.0235595703125
2014-02-20,44.48668670654297
2014-02-21,44.06371307373047
2014-02-24,44.14504623413086
2014-02-25,43.81155014038086
2014-02-26,44.0010986328125
2014-02-27,44.1649169921875
2014-02-28,44.25501251220703
2014-03-03,45.37716293334961
2014-03-04,46.351871490478516
2014-03-05,46.89247131347656
2014-03-06,47.01533126831055
2014-03-07,46.91703414916992
2014-03-10,46.24538040161133
2014-03-11,45.95869445800781
2014-03-12,46.392826080322266
2014-03-13,46.83512496948242
2014-03-14,47.9490852355957
2014-03-17,48.00642395019531
2014-03-18,46.769615173339844
2014-03-19,46.03242874145508
2014-03-20,46.409210205078125
2014-03-21,45.85223388671875
2014-03-24,46.335487365722656
2014-03-25,46.671302795410156
2014-03-26,45.917762756347656
2014-03-27,46.26176452636719
2014-03-28,45.66384506225586
2014-03-31,46.360069274902344
2014-04-01,46.13071823120117
2014-04-02,45.25429916381836
2014-04-03,44.84476852416992
2014-04-04,44.01748275756836
2014-04-07,42.32197952270508
2014-04-08,41.8632926940918
2014-04-09,42.89534378051758
2014-04-10,41.87149429321289
2014-04-11,41.56843185424805
2014-04-14,41.30632400512695
2014-04-15,41.31451416015625
2014-04-16,42.19092559814453
2014-04-17,42.7560920715332
2014-04-21,42.63323974609375
2014-04-22,43.19839859008789
2014-04-23,43.14106750488281
2014-04-24,43.354034423828125
2014-04-25,42.95267868041992
2014-04-28,42.977237701416016
2014-04-29,43.3376350402832
2014-04-30,43.706233978271484
2014-05-01,43.78813171386719
2014-05-02,43.23118209838867
2014-05-05,43.648895263671875
2014-05-06,42.5840950012207
2014-05-07,41.830543518066406
2014-05-08,41.74862289428711
2014-05-09,41.6175651550293
2014-05-12,42.22370147705078
2014-05-13,41.65851974487305
2014-05-14,41.10154724121094
2014-05-15,40.184173583984375
2014-05-16,39.90568542480469
2014-05-19,40.012176513671875
2014-05-20,39.520721435546875
2014-05-21,40.167808532714844
2014-05-22,40.429893493652344
2014-05-23,40.806678771972656
2014-05-27,41.633949279785156
2014-05-28,41.80785369873047
2014-05-29,41.75008773803711
2014-05-30,41.816104888916016
2014-06-02,41.461307525634766
2014-06-03,39.65433120727539
2014-06-04,39.46457290649414
2014-06-05,39.778106689453125
2014-06-06,40.15765380859375
2014-06-09,40.15765380859375
2014-06-10,39.2747917175293
2014-06-11,39.67082595825195
2014-06-12,40.63621520996094
2014-06-13,41.4200439453125
2014-06-16,41.461307525634766
2014-06-17,42.335899353027344
2014-06-18,41.5025520324707
2014-06-19,40.80946731567383
2014-06-20,40.33091735839844
2014-06-23,40.61970138549805
2014-06-24,39.951377868652344
2014-06-25,40.21540069580078
2014-06-26,40.38042449951172
2014-06-27,40.50420379638672
2014-06-30,40.60320281982422
2014-07-01,40.41343307495117
2014-07-02,39.95962905883789
2014-07-03,39.984371185302734
2014-07-07,39.852352142333984
2014-07-08,39.08502197265625
2014-07-09,39.2995491027832
2014-07-10,38.67247009277344
2014-07-11,38.730228424072266
2014-07-14,39.332542419433594
2014-07-15,38.944740295410156
2014-07-16,38.58170700073242
2014-07-17,39.72858810424805
2014-07-18,40.39691925048828
2014-07-21,40.916748046875
2014-07-22,39.67082595825195
2014-07-23,39.97611999511719
2014-07-24,40.207149505615234
2014-07-25,40.289669036865234
2014-07-28,40.60320281982422
2014-07-29,40.21540069580078
2014-07-30,40.520687103271484
2014-07-31,39.99262619018555
2014-08-01,41.01576232910156
2014-08-04,40.59495544433594
2014-08-05,40.966243743896484
2014-08-06,41.3787841796875
2014-08-07,41.4200439453125
2014-08-08,41.816104888916016
2014-08-11,41.816104888916016
2014-08-12,41.55205535888672
2014-08-13,41.69233703613281
2014-08-14,41.6263313293457
2014-08-15,42.17089080810547
2014-08-18,42.698951721191406
2014-08-19,42.517433166503906
2014-08-20,42.09664535522461
2014-08-21,42.08839416503906
2014-08-22,42.129634857177734
2014-08-25,43.77159118652344
2014-08-26,44.46467971801758
2014-08-27,43.99195861816406
2014-08-28,44.10009002685547
2014-08-29,44.10841751098633
2014-09-02,44.416175842285156
2014-09-03,44.14999771118164
2014-09-04,44.041866302490234
2014-09-05,44.357933044433594
2014-09-08,44.89026641845703
2014-09-09,44.72391128540039
2014-09-10,45.206336975097656
2014-09-11,45.364376068115234
2014-09-12,45.58894729614258
2014-09-15,45.52239227294922
2014-09-16,45.53904724121094
2014-09-17,46.02146911621094
2014-09-18,46.420719146728516
2014-09-19,45.846797943115234
2014-09-22,45.37268829345703
2014-09-23,45.03166198730469
2014-09-24,44.89026641845703
2014-09-25,44.51596450805664
2014-09-26,44.757179260253906
2014-09-29,44.466064453125
2014-09-30,44.524295806884766
2014-10-01,44.44942855834961
2014-10-02,45.198020935058594
2014-10-03,45.32278823852539
2014-10-06,45.26456832885742
2014-10-07,44.798763275146484
2014-10-08,46.06305694580078
2014-10-09,46.49557113647461
2014-10-10,46.2626838684082
2014-10-13,45.555660247802734
2014-10-14,46.221099853515625
2014-10-15,46.953041076660156
2014-10-16,46.212772369384766
2014-10-17,45.198020935058594
2014-10-20,46.67024612426758
2014-10-21,46.786685943603516
2014-10-22,46.844905853271484
2014-10-23,47.37724685668945
2014-10-24,47.85966110229492
2014-10-27,47.901248931884766
2014-10-28,48.050968170166016
2014-10-29,48.47515869140625
2014-10-30,48.591609954833984
2014-10-31,49.02412414550781
2014-11-03,50.33000946044922
2014-11-04,51.694091796875
2014-11-05,51.13682556152344
2014-11-06,51.061954498291016
2014-11-07,51.477821350097656
2014-11-10,51.461204528808594
2014-11-11,51.88539505004883
2014-11-12,50.779151916503906
2014-11-13,50.63774871826172
2014-11-14,50.57952880859375
2014-11-17,50.022247314453125
2014-11-18,49.5897331237793
2014-11-19,49.789363861083984
2014-11-20,49.48159408569336
2014-11-21,49.431697845458984
2014-11-24,49.39010238647461
2014-11-25,49.80976867675781
2014-11-26,50.08626937866211
2014-11-28,50.1951904296875
2014-12-01,50.396278381347656
2014-12-02,50.714656829833984
2014-12-03,50.563838958740234
2014-12-04,50.74816131591797
2014-12-05,50.86545181274414
2014-12-08,51.644657135009766
2014-12-09,52.055206298828125
2014-12-10,52.92655563354492
2014-12-11,53.22818374633789
2014-12-12,52.23114013671875
2014-12-15,52.12222671508789
2014-12-16,52.12222671508789
2014-12-17,52.59980010986328
2014-12-18,54.01573181152344
2014-12-19,53.764404296875
2014-12-22,54.19169998168945
2014-12-23,54.2000732421875
2014-12-24,54.0660400390625
2014-12-26,53.78115463256836
2014-12-29,54.116294860839844
2014-12-30,53.73926544189453
2014-12-31,53.13602828979492
2015-01-02,53.08575439453125
2015-01-05,54.77819061279297
2015-01-06,55.347930908203125
2015-01-07,56.28630447387695
2015-01-08,55.71657180786133
2015-01-09,55.29765701293945
2015-01-12,55.414955139160156
2015-01-13,54.76982498168945
2015-01-14,54.476566314697266
2015-01-15,54.510093688964844
2015-01-16,55.70820236206055
2015-01-20,55.20549011230469
2015-01-21,53.546566009521484
2015-01-22,55.197113037109375
2015-01-23,55.18873596191406
2015-01-26,55.6495361328125
2015-01-27,55.04629135131836
2015-01-28,54.71116638183594
2015-01-29,54.979270935058594
2015-01-30,54.01573181152344
2015-02-02,53.613590240478516
2015-02-03,53.52981185913086
2015-02-04,54.03250503540039
2015-02-05,54.57710266113281
2015-02-06,52.33169174194336
2015-02-09,51.38492965698242
2015-02-10,51.60276412963867
2015-02-11,51.97978973388672
2015-02-12,52.08871078491211
2015-02-13,52.792503356933594
2015-02-17,52.457374572753906
2015-02-18,52.06357955932617
2015-02-19,51.91276550292969
2015-02-20,52.457374572753906
2015-02-23,52.78413009643555
2015-02-24,52.52439880371094
2015-02-25,52.18707275390625
2015-02-26,51.334999084472656
2015-02-27,50.64322280883789
2015-03-02,50.179222106933594
2015-03-03,49.757415771484375
2015-03-04,49.39464569091797
2015-03-05,49.73209762573242
2015-03-06,50.52511978149414
2015-03-09,50.9891242980957
2015-03-10,51.11564636230469
2015-03-11,51.225341796875
2015-03-12,50.37327194213867
2015-03-13,50.120182037353516
2015-03-16,50.61790466308594
2015-03-17,50.50824737548828
2015-03-18,49.58867645263672
2015-03-19,50.46605682373047
2015-03-20,50.20452880859375
2015-03-23,50.1539192199707
2015-03-24,49.141563415527344
2015-03-25,48.1798210144043
2015-03-26,48.7028694152832
2015-03-27,48.4835319519043
2015-03-30,49.124691009521484
2015-03-31,48.43290328979492
2015-04-01,47.850799560546875
2015-04-02,47.2602653503418
2015-04-06,47.39525604248047
2015-04-07,47.817054748535156
2015-04-08,47.72426986694336
2015-04-09,48.21356201171875
2015-04-10,48.28105163574219
2015-04-13,48.314796447753906
2015-04-14,49.031890869140625
2015-04-15,49.268104553222656
2015-04-16,49.35245895385742
2015-04-17,48.93064498901367
2015-04-20,48.6353874206543
2015-04-21,48.36540985107422
2015-04-22,48.34855270385742
2015-04-23,48.626949310302734
2015-04-24,48.297935485839844
2015-04-27,47.707401275634766
2015-04-28,48.1713752746582
2015-04-29,47.994224548339844
2015-04-30,47.47117233276367
2015-05-01,46.83000946044922
2015-05-04,46.84687042236328
2015-05-05,46.82158279418945
2015-05-06,47.091529846191406
2015-05-07,47.95204544067383
2015-05-08,48.314796447753906
2015-05-11,49.00657272338867
2015-05-12,49.58024215698242
2015-05-13,49.64773178100586
2015-05-14,50.11173629760742
2015-05-15,49.51276779174805
2015-05-18,49.192176818847656
2015-05-19,49.31028366088867
2015-05-20,49.05720520019531
2015-05-21,48.981266021728516
2015-05-22,49.90926742553711
2015-05-26,49.613990783691406
2015-05-27,49.61345672607422
2015-05-28,49.65594482421875
2015-05-29,49.73244094848633
2015-06-01,49.341514587402344
2015-06-02,48.73813247680664
2015-06-03,48.797603607177734
2015-06-04,48.84010314941406
2015-06-05,48.52566909790039
2015-06-08,48.772125244140625
2015-06-09,48.94209289550781
2015-06-10,49.32451629638672
2015-06-11,49.77492141723633
2015-06-12,49.5539665222168
2015-06-15,50.539794921875
2015-06-16,50.310325622558594
2015-06-17,50.36131286621094
2015-06-18,49.842918395996094
2015-06-19,49.65594482421875
2015-06-22,49.630455017089844
2015-06-23,49.205535888671875
2015-06-24,48.542659759521484
2015-06-25,48.916587829589844
2015-06-26,48.69563674926758
2015-06-29,48.491668701171875
2015-06-30,48.627647399902344
2015-07-01,49.69844055175781
2015-07-02,50.50579071044922
2015-07-06,51.321624755859375
2015-07-07,51.18566131591797
2015-07-08,51.2706413269043
2015-07-09,51.74655532836914
2015-07-10,52.56239318847656
2015-07-13,51.321624755859375
2015-07-14,51.63607406616211
2015-07-15,52.19697189331055
2015-07-16,52.32443618774414
2015-07-17,52.62186813354492
2015-07-20,52.3414421081543
2015-07-21,51.96749496459961
2015-07-22,52.73236846923828
2015-07-23,52.19697189331055
2015-07-24,52.63037109375
2015-07-27,51.66156768798828
2015-07-28,51.287635803222656
2015-07-29,51.73805236816406
2015-07-30,52.40941619873047
2015-07-31,52.6728630065918
2015-08-03,52.9873046875
2015-08-04,53.14878463745117
2015-08-05,53.55670928955078
2015-08-06,53.45471954345703
2015-08-07,53.87113952636719
2015-08-10,54.30455780029297
2015-08-11,53.83714294433594
2015-08-12,53.7946662902832
2015-08-13,53.922122955322266
2015-08-14,54.737972259521484
2015-08-17,54.703975677490234
2015-08-18,54.559513092041016
2015-08-19,54.18558120727539
2015-08-20,53.56519317626953
2015-08-21,52.19697189331055
2015-08-24,51.30463409423828
2015-08-25,51.43210983276367
2015-08-26,53.29324722290039
2015-08-27,53.862640380859375
2015-08-28,54.236568450927734
2015-08-31,53.76066589355469
2015-09-01,53.18278503417969
2015-09-02,54.60363006591797
2015-09-03,54.595062255859375
2015-09-04,54.381011962890625
2015-09-08,55.18589401245117
2015-09-09,55.10882568359375
2015-09-10,55.99933624267578
2015-09-11,56.50453567504883
2015-09-14,56.453155517578125
2015-09-15,56.46171188354492
2015-09-16,56.804229736328125
2015-09-17,55.768150329589844
2015-09-18,55.348567962646484
2015-09-21,55.99076843261719
2015-09-22,55.77670669555664
2015-09-23,56.53877639770508
2015-09-24,56.65009307861328
2015-09-25,56.85558319091797
2015-09-28,56.213401794433594
2015-09-29,56.3247184753418
2015-09-30,57.4378547668457
2015-10-01,57.583412170410156
2015-10-02,57.64333724975586
2015-10-05,56.744285583496094
2015-10-06,56.17915344238281
2015-10-07,55.73390197753906
2015-10-08,56.37609100341797
2015-10-09,56.02503204345703
2015-10-12,56.453155517578125
2015-10-13,55.81951141357422
2015-10-14,56.31614685058594
2015-10-15,56.82134246826172
2015-10-16,55.84519577026367
2015-10-19,56.247657775878906
2015-10-20,56.34184646606445
2015-10-21,55.77670669555664
2015-10-22,56.65009307861328
2015-10-23,57.34366226196289
2015-10-26,57.6861686706543
2015-10-27,58.18278503417969
2015-10-28,58.910614013671875
2015-10-29,59.2188720703125
2015-10-30,57.403594970703125
2015-11-02,58.49961853027344
2015-11-03,58.9191780090332
2015-11-04,58.13998794555664
2015-11-05,58.55097579956055
2015-11-06,58.9191780090332
2015-11-09,59.253108978271484
2015-11-10,59.989505767822266
2015-11-11,60.477569580078125
2015-11-12,59.52711486816406
2015-11-13,59.561363220214844
2015-11-16,59.93812561035156
2015-11-17,60.45188522338867
2015-11-18,61.13688278198242
2015-11-19,61.41943359375
2015-11-20,61.63351821899414
2015-11-23,61.265316009521484
2015-11-24,61.07695388793945
2015-11-25,61.50508117675781
2015-11-27,61.993141174316406
2015-11-30,61.83045959472656
2015-12-01,60.31487274169922
2015-12-02,60.210235595703125
2015-12-03,58.71897506713867
2015-12-04,59.88268280029297
2015-12-07,59.70164489746094
2015-12-08,57.098445892333984
2015-12-09,55.391693115234375
2015-12-10,55.60718536376953
2015-12-11,56.32264709472656
2015-12-14,57.61563491821289
2015-12-15,58.089725494384766
2015-12-16,56.90018081665039
2015-12-17,56.06406021118164
2015-12-18,55.61581039428711
2015-12-21,56.21057891845703
2015-12-22,56.572628021240234
2015-12-23,55.77096176147461
2015-12-24,56.40884780883789
2015-12-28,56.40884780883789
2015-12-29,56.857078552246094
2015-12-30,56.61570739746094
2015-12-31,55.9433708190918
2016-01-04,55.15894317626953
2016-01-05,54.39177322387695
2016-01-06,53.84009552001953
2016-01-07,54.18489456176758
2016-01-08,53.91767501831055
2016-01-11,54.52109146118164
2016-01-12,54.874488830566406
2016-01-13,54.055599212646484
2016-01-14,54.52109146118164
2016-01-15,55.01240921020508
2016-01-19,55.01240921020508
2016-01-20,54.7193489074707
2016-01-21,53.70219039916992
2016-01-22,55.77959442138672
2016-01-25,54.607276916503906
2016-01-26,55.07275390625
2016-01-27,55.40892791748047
2016-01-28,55.60718536376953
2016-01-29,57.42598342895508
2016-02-01,57.01222610473633
2016-02-02,56.60709762573242
2016-02-03,55.417545318603516
2016-02-04,53.141883850097656
2016-02-05,52.2798957824707
2016-02-08,51.60753631591797
2016-02-09,53.262577056884766
2016-02-10,53.34014129638672
2016-02-11,53.67631912231445
2016-02-12,53.76252746582031
2016-02-16,53.547027587890625
2016-02-17,53.27118682861328
2016-02-18,53.262577056884766
2016-02-19,54.08146667480469
2016-02-22,53.68495559692383
2016-02-23,54.36592483520508
2016-02-24,55.09861373901367
2016-02-25,54.443504333496094
2016-02-26,54.27109909057617
2016-02-29,53.87458419799805
2016-03-01,54.572792053222656
2016-03-02,54.692413330078125
2016-03-03,55.38713836669922
2016-03-04,55.58686065673828
2016-03-07,54.86607360839844
2016-03-08,56.932899475097656
2016-03-09,56.594207763671875
2016-03-10,56.55948257446289
2016-03-11,56.542110443115234
2016-03-14,57.19342803955078
2016-03-15,57.827362060546875
2016-03-16,57.4018440246582
2016-03-17,57.210784912109375
2016-03-18,56.31632995605469
2016-03-21,56.203426361083984
2016-03-22,56.19475555419922
2016-03-23,56.837379455566406
2016-03-24,56.203426361083984
2016-03-28,56.49000930786133
2016-03-29,56.759212493896484
2016-03-30,56.60291290283203
2016-03-31,56.733158111572266
2016-04-01,58.0878791809082
2016-04-04,57.497371673583984
2016-04-05,56.84605407714844
2016-04-06,56.820011138916016
2016-04-07,56.43790054321289
2016-04-08,55.691070556640625
2016-04-11,55.69976043701172
2016-04-12,55.647666931152344
2016-04-13,56.10791015625
2016-04-14,55.873435974121094
2016-04-15,55.98633575439453
2016-04-18,56.25554275512695
2016-04-19,56.854736328125
2016-04-20,57.13264846801758
2016-04-21,56.56817626953125
2016-04-22,56.90684509277344
2016-04-25,56.51606369018555
2016-04-26,56.86343002319336
2016-04-27,56.446590423583984
2016-04-28,55.621604919433594
2016-04-29,53.8066291809082
2016-05-02,54.77055358886719
2016-05-03,54.249507904052734
2016-05-04,54.414520263671875
2016-05-05,54.42319869995117
2016-05-06,54.79661560058594
2016-05-09,54.8747673034668
2016-05-10,55.473976135253906
2016-05-11,54.96161651611328
2016-05-12,55.8647575378418
2016-05-13,55.222137451171875
2016-05-16,55.2481803894043
2016-05-17,54.4926643371582
2016-05-18,54.52739715576172
2016-05-19,54.96161651611328
2016-05-20,55.34370803833008
2016-05-23,55.09188461303711
2016-05-24,55.795291900634766
2016-05-25,55.734493255615234
2016-05-26,55.27423858642578
2016-05-27,55.50002670288086
2016-05-31,55.27423858642578
2016-06-01,55.31523513793945
2016-06-02,55.00029754638672
2016-06-03,55.10530471801758
2016-06-06,54.96531295776367
2016-06-07,54.61538314819336
2016-06-08,55.1140251159668
2016-06-09,55.33273696899414
2016-06-10,56.3475227355957
2016-06-13,56.51375198364258
2016-06-14,57.00366973876953
