,VST
2016-10-05,11.44979763031006
2016-10-06,11.634469985961914
2016-10-07,11.745277404785156
2016-10-10,11.81914520263672
2016-10-11,12.077691078186035
2016-10-12,12.077691078186035
2016-10-13,11.89301586151123
2016-10-14,11.89301586151123
2016-10-17,11.89301586151123
2016-10-18,11.81914520263672
2016-10-19,11.811758041381836
2016-10-20,11.745277404785156
2016-10-21,11.597536087036133
2016-10-24,11.582764625549316
2016-10-25,11.508891105651855
2016-10-26,11.41286277770996
2016-10-27,11.228188514709473
2016-10-28,11.228188514709473
2016-10-31,11.228188514709473
2016-11-01,11.080450057983398
2016-11-02,10.04627513885498
2016-11-03,10.04627513885498
2016-11-04,10.341751098632812
2016-11-07,10.415619850158691
2016-11-08,10.489490509033203
2016-11-09,10.378686904907228
2016-11-10,10.511652946472168
2016-11-11,10.86622714996338
2016-11-14,10.63723087310791
2016-11-15,10.578134536743164
2016-11-16,10.415619850158691
2016-11-17,10.378686904907228
2016-11-18,10.415619850158691
2016-11-21,10.341751098632812
2016-11-22,10.378686904907228
2016-11-23,10.341751098632812
2016-11-25,10.341751098632812
2016-11-28,10.452554702758787
2016-11-29,10.157078742980955
2016-11-30,10.304818153381348
2016-12-01,10.312204360961914
2016-12-02,10.230948448181152
2016-12-05,10.674165725708008
2016-12-06,11.523667335510254
2016-12-07,11.44979763031006
2016-12-08,11.745277404785156
2016-12-09,12.114623069763184
2016-12-12,12.003820419311523
2016-12-13,11.989046096801758
2016-12-14,12.025982856750488
2016-12-15,12.224114418029783
2016-12-16,12.112126350402832
2016-12-19,12.25857639312744
2016-12-20,12.361948013305664
2016-12-21,12.361948013305664
2016-12-22,12.310262680053713
2016-12-23,12.39210319519043
2016-12-27,12.921899795532228
2016-12-28,12.921899795532228
2016-12-29,13.35262680053711
2016-12-30,13.35262680053711
2017-01-03,13.23202419281006
2017-01-04,13.8695068359375
2017-01-05,13.947036743164062
2017-01-06,13.95565128326416
2017-01-09,13.697214126586914
2017-01-10,13.654139518737791
2017-01-11,13.499077796936035
2017-01-12,13.78335952758789
2017-01-13,14.171014785766602
2017-01-17,14.515600204467772
2017-01-18,14.68789005279541
2017-01-19,14.541440963745115
2017-01-20,14.593132972717283
2017-01-23,14.60174560546875
2017-01-24,14.472526550292969
2017-01-25,14.429452896118164
2017-01-26,14.515600204467772
2017-01-27,14.412223815917969
2017-01-30,14.041793823242188
2017-01-31,13.964265823364258
2017-02-01,14.084872245788574
2017-02-02,14.033181190490724
2017-02-03,14.386380195617676
2017-02-06,14.774036407470703
2017-02-07,14.748196601867676
2017-02-08,14.860180854797363
2017-02-09,14.860180854797363
2017-02-10,15.463204383850098
2017-02-13,15.290913581848145
2017-02-14,15.247842788696287
2017-02-15,15.204768180847168
2017-02-16,14.98940086364746
2017-02-17,14.946328163146973
2017-02-21,14.756805419921877
2017-02-22,14.459603309631348
2017-02-23,14.041793823242188
2017-02-24,14.317461967468262
2017-02-27,13.929805755615234
2017-02-28,13.92119026184082
2017-03-01,14.041793823242188
2017-03-02,13.95565128326416
2017-03-03,14.00734043121338
2017-03-06,13.929805755615234
2017-03-07,13.8695068359375
2017-03-08,13.654139518737791
2017-03-09,13.275096893310549
2017-03-10,13.516304969787598
2017-03-13,13.97287940979004
2017-03-14,13.929805755615234
2017-03-15,13.90396499633789
2017-03-16,13.91257667541504
2017-03-17,13.852274894714355
2017-03-20,13.95565128326416
2017-03-21,13.78335952758789
2017-03-22,13.654139518737791
2017-03-23,13.550764083862305
2017-03-24,13.611064910888672
2017-03-27,13.654139518737791
2017-03-28,13.697214126586914
2017-03-29,13.99872589111328
2017-03-30,14.02457046508789
2017-03-31,14.041793823242188
2017-04-03,14.084872245788574
2017-04-04,14.205474853515623
2017-04-05,14.196861267089844
2017-04-06,14.136558532714844
2017-04-07,13.99872589111328
2017-04-10,13.99872589111328
2017-04-11,13.91257667541504
2017-04-12,13.78335952758789
2017-04-13,13.929805755615234
2017-04-17,13.766128540039062
2017-04-18,13.78335952758789
2017-04-19,13.611064910888672
2017-04-20,13.39570140838623
2017-04-21,13.094191551208496
2017-04-24,13.33539867401123
2017-04-25,13.30955696105957
2017-04-26,13.464617729187012
