,LOW
2014-04-25,38.42318344116211
2014-04-28,38.42318344116211
2014-04-29,38.4646110534668
2014-04-30,38.0338134765625
2014-05-01,38.41489791870117
2014-05-02,38.920249938964844
2014-05-05,38.3486213684082
2014-05-06,37.6030158996582
2014-05-07,37.37106704711914
2014-05-08,37.296512603759766
2014-05-09,37.86812210083008
2014-05-12,38.34033203125
2014-05-13,37.9095458984375
2014-05-14,37.4207649230957
2014-05-15,36.973411560058594
2014-05-16,37.578163146972656
2014-05-19,37.73558044433594
2014-05-20,37.71072006225586
2014-05-21,37.61959457397461
2014-05-22,38.845699310302734
2014-05-23,38.98651885986328
2014-05-27,39.58300018310547
2014-05-28,38.69657516479492
2014-05-29,38.945106506347656
2014-05-30,39.00310516357422
2014-06-02,38.945106506347656
2014-06-03,39.11906433105469
2014-06-04,39.07765197753906
2014-06-05,39.2681999206543
2014-06-06,39.5747184753418
2014-06-09,39.442176818847656
2014-06-10,39.425601959228516
2014-06-11,38.86226272583008
2014-06-12,37.73558044433594
2014-06-13,37.65272903442383
2014-06-16,37.62787628173828
2014-06-17,37.975830078125
2014-06-18,37.975830078125
2014-06-19,38.025535583496094
2014-06-20,38.12494659423828
2014-06-23,38.17464828491211
2014-06-24,38.530879974365234
2014-06-25,38.68828201293945
2014-06-26,39.102508544921875
2014-06-27,39.284751892089844
2014-06-30,39.7569694519043
2014-07-01,39.872962951660156
2014-07-02,39.86466979980469
2014-07-03,39.95579528808594
2014-07-07,39.939239501953125
2014-07-08,39.61613845825195
2014-07-09,39.64928436279297
2014-07-10,39.102508544921875
2014-07-11,39.30134963989258
2014-07-14,39.11906433105469
2014-07-15,39.35932159423828
2014-07-16,39.48360061645508
2014-07-17,39.18535232543945
2014-07-18,39.60786819458008
2014-07-21,39.607872009277344
2014-07-22,39.782684326171875
2014-07-23,39.882564544677734
2014-07-24,39.95749282836914
2014-07-25,39.7077522277832
2014-07-28,39.699432373046875
2014-07-29,39.990787506103516
2014-07-30,40.34873580932617
2014-07-31,39.832618713378906
2014-08-01,39.616180419921875
2014-08-04,39.882564544677734
2014-08-05,39.65780258178711
2014-08-06,40.04072189331055
2014-08-07,39.89087677001953
2014-08-08,41.3892936706543
2014-08-11,41.50584411621094
2014-08-12,41.48086929321289
2014-08-13,41.497520446777344
2014-08-14,41.96368408203125
2014-08-15,41.62239456176758
2014-08-18,41.996978759765625
2014-08-19,42.88770294189453
2014-08-20,43.56197738647461
2014-08-21,43.84501266479492
2014-08-22,43.72847366333008
2014-08-25,43.87000274658203
2014-08-26,43.77009582519531
2014-08-27,43.72015380859375
2014-08-28,43.7368049621582
2014-08-29,43.71181869506836
2014-09-02,43.795074462890625
2014-09-03,44.0448112487793
2014-09-04,44.62751770019531
2014-09-05,45.04373550415039
2014-09-08,44.56924057006836
2014-09-09,44.144691467285156
2014-09-10,44.444374084472656
2014-09-11,44.186317443847656
2014-09-12,44.094749450683594
2014-09-15,44.227935791015625
2014-09-16,44.70243835449219
2014-09-17,44.83563232421875
2014-09-18,45.07704162597656
2014-09-19,45.027095794677734
2014-09-22,44.50264358520508
2014-09-23,44.21963119506836
2014-09-24,44.644168853759766
2014-09-25,44.17799377441406
2014-09-26,44.26956558227539
2014-09-29,44.41107940673828
2014-09-30,44.05311584472656
2014-10-01,43.786739349365234
2014-10-02,44.144691467285156
2014-10-03,44.61086654663086
2014-10-06,44.619197845458984
2014-10-07,44.26956558227539
2014-10-08,45.235206604003906
2014-10-09,44.87724685668945
2014-10-10,44.70243835449219
2014-10-13,43.67851257324219
2014-10-14,43.29560089111328
2014-10-15,42.62964630126953
2014-10-16,42.796142578125
2014-10-17,43.71181869506836
2014-10-20,44.7235221862793
2014-10-21,45.64323425292969
2014-10-22,45.099769592285156
2014-10-23,45.95259094238281
2014-10-24,46.26197052001953
2014-10-27,46.37902069091797
2014-10-28,46.87232208251953
2014-10-29,46.66328430175781
2014-10-30,47.04790496826172
2014-10-31,47.82548522949219
2014-11-03,48.034507751464844
2014-11-04,47.87564468383789
2014-11-05,47.60810089111328
2014-11-06,48.13484191894531
2014-11-07,48.23516845703125
2014-11-10,48.35224533081055
2014-11-11,48.49437713623047
2014-11-12,48.678321838378906
2014-11-13,49.00440216064453
2014-11-14,48.97932434082031
2014-11-17,49.23851013183594
2014-11-18,48.93751907348633
2014-11-19,52.05620193481445
2014-11-20,52.19834899902344
2014-11-21,52.892311096191406
2014-11-24,53.210025787353516
2014-11-25,52.63310623168945
2014-11-26,52.557861328125
2014-11-28,53.368892669677734
2014-12-01,52.808692932128906
2014-12-02,53.48595428466797
