,POOL
2014-01-02,50.668426513671875
2014-01-03,50.65076446533203
2014-01-06,49.97059631347656
2014-01-07,50.226768493652344
2014-01-08,50.0854377746582
2014-01-09,49.77627944946289
2014-01-10,49.97059631347656
2014-01-13,49.290435791015625
2014-01-14,49.42292404174805
2014-01-15,49.34342956542969
2014-01-16,49.93526077270508
2014-01-17,50.023597717285156
2014-01-21,50.20027160644531
2014-01-22,50.38576126098633
2014-01-23,50.17377471923828
2014-01-24,48.86640548706055
2014-01-27,48.30990982055664
2014-01-28,48.857582092285156
2014-01-29,48.04491424560547
2014-01-30,48.027244567871094
2014-01-31,47.85940933227539
2014-02-03,46.53440856933594
2014-02-04,47.046756744384766
2014-02-05,47.01140594482422
2014-02-06,47.523738861083984
2014-02-07,47.9477424621582
2014-02-10,47.885902404785156
2014-02-11,48.21275329589844
2014-02-12,48.027244567871094
2014-02-13,48.52192687988281
2014-02-14,51.419273376464844
2014-02-18,51.233768463134766
2014-02-19,51.07477951049805
2014-02-20,51.33976745605469
2014-02-21,52.01111602783203
2014-02-24,52.24961853027344
2014-02-25,51.83443832397461
2014-02-26,51.516422271728516
2014-02-27,51.46343994140625
2014-02-28,51.640113830566406
2014-03-03,51.428123474121094
2014-03-04,53.132965087890625
2014-03-05,52.80612564086914
2014-03-06,52.4704475402832
2014-03-07,52.92095184326172
2014-03-10,53.0269660949707
2014-03-11,52.6104621887207
2014-03-12,52.60161590576172
2014-03-13,52.26485061645508
2014-03-14,52.140811920166016
2014-03-17,52.433250427246094
2014-03-18,53.19533157348633
2014-03-19,54.64860153198242
2014-03-20,54.71063995361328
2014-03-21,54.53339767456055
2014-03-24,54.232112884521484
2014-03-25,54.001712799072266
2014-03-26,53.72700881958008
2014-03-27,53.41684341430664
2014-03-28,53.38140869140625
2014-03-31,54.33844757080078
2014-04-01,55.313209533691406
2014-04-02,55.065086364746094
2014-04-03,55.047367095947266
2014-04-04,54.53339767456055
2014-04-07,54.16122055053711
2014-04-08,54.24984359741211
2014-04-09,53.97514343261719
2014-04-10,51.121742248535156
2014-04-11,50.45713424682617
2014-04-14,50.864768981933594
2014-04-15,51.219215393066406
2014-04-16,51.65342330932617
2014-04-17,51.095157623291016
2014-04-21,51.08629608154297
2014-04-22,51.69773483276367
2014-04-23,51.38758087158203
2014-04-24,51.61799240112305
2014-04-25,51.24581527709961
2014-04-28,51.38758087158203
2014-04-29,51.45848083496094
2014-04-30,52.30030822753906
2014-05-01,51.59141540527344
2014-05-02,51.67115020751953
2014-05-05,51.759761810302734
2014-05-06,51.01538848876953
2014-05-07,51.759761810302734
2014-05-08,50.70524215698242
2014-05-09,51.883827209472656
2014-05-12,52.84971618652344
2014-05-13,51.89269256591797
2014-05-14,51.068580627441406
2014-05-15,51.405311584472656
2014-05-16,51.92814254760742
2014-05-19,51.7502326965332
2014-05-20,50.86964797973633
2014-05-21,51.19876480102539
2014-05-22,51.53675842285156
2014-05-23,51.99040222167969
2014-05-27,52.51519775390625
2014-05-28,51.54566192626953
2014-05-29,51.2699089050293
2014-05-30,51.34998321533203
2014-06-02,50.90522766113281
2014-06-03,50.896324157714844
2014-06-04,51.180965423583984
2014-06-05,51.910343170166016
2014-06-06,52.239444732666016
2014-06-09,52.63084030151367
2014-06-10,52.33729553222656
2014-06-11,51.945919036865234
2014-06-12,51.69686508178711
2014-06-13,51.33217239379883
2014-06-16,50.98527145385742
2014-06-17,51.465599060058594
2014-06-18,51.51896667480469
2014-06-19,50.86964797973633
2014-06-20,50.70063781738281
2014-06-23,50.8785514831543
2014-06-24,51.127586364746094
2014-06-25,51.57233810424805
2014-06-26,51.2699089050293
2014-06-27,51.4211311340332
2014-06-30,50.309268951416016
2014-07-01,51.172061920166016
2014-07-02,50.56721496582031
2014-07-03,51.02975082397461
2014-07-07,50.940792083740234
2014-07-08,50.09579849243164
2014-07-09,50.24700164794922
2014-07-10,50.033531188964844
2014-07-11,49.49094009399414
2014-07-14,49.45537185668945
2014-07-15,48.743778228759766
2014-07-16,48.352413177490234
2014-07-17,49.49984359741211
2014-07-18,49.95347213745117
2014-07-21,49.50873947143555
2014-07-22,49.5354118347168
2014-07-23,49.731117248535156
2014-07-24,49.46424865722656
2014-07-25,49.33082580566406
2014-07-28,49.18852615356445
2014-07-29,48.52141571044922
2014-07-30,49.17071533203125
2014-07-31,48.70819091796875
2014-08-01,48.592567443847656
2014-08-04,48.63703155517578
2014-08-05,48.823822021484375
2014-08-06,49.135154724121094
2014-08-07,49.18852615356445
2014-08-08,50.09579849243164
2014-08-11,50.23867416381836
2014-08-12,49.76539611816406
2014-08-13,49.64931106567383
2014-08-14,49.90826416015625
2014-08-15,49.64931106567383
2014-08-18,50.390480041503906
2014-08-19,50.29226303100586
2014-08-20,50.10472869873047
2014-08-21,50.14043426513672
2014-08-22,50.319026947021484
2014-08-25,50.24760437011719
2014-08-26,50.60478973388672
2014-08-27,50.44404220581055
2014-08-28,50.32797622680664
2014-08-29,50.59585952758789
2014-09-02,50.65836715698242
2014-09-03,50.122589111328125
2014-09-04,49.9261360168457
2014-09-05,49.64931106567383
2014-09-08,49.33675765991211
2014-09-09,49.10459899902344
2014-09-10,49.390350341796875
2014-09-11,49.79217529296875
2014-09-12,48.890281677246094
2014-09-15,49.47964859008789
2014-09-16,49.48857116699219
2014-09-17,49.68500900268555
2014-09-18,50.15830993652344
2014-09-19,49.97077941894531
2014-09-22,49.61360168457031
2014-09-23,48.5241584777832
2014-09-24,48.89921569824219
2014-09-25,48.43486404418945
2014-09-26,48.640262603759766
2014-09-29,48.72062301635742
2014-09-30,48.14912033081055
2014-10-01,47.916934967041016
2014-10-02,48.96171951293945
2014-10-03,48.91707229614258
2014-10-06,49.24747085571289
2014-10-07,48.43486404418945
2014-10-08,49.202816009521484
2014-10-09,48.1669807434082
2014-10-10,48.104469299316406
2014-10-13,47.916934967041016
2014-10-14,47.631187438964844
2014-10-15,47.970523834228516
2014-10-16,51.32809066772461
2014-10-17,50.80125045776367
2014-10-20,51.3370246887207
2014-10-21,52.194278717041016
2014-10-22,51.560272216796875
2014-10-23,52.08712387084961
2014-10-24,51.59598159790039
2014-10-27,51.515621185302734
2014-10-28,52.61398696899414
2014-10-29,52.230003356933594
2014-10-30,52.59611511230469
2014-10-31,53.31050491333008
2014-11-03,52.98903274536133
2014-11-04,54.524932861328125
2014-11-05,53.66768264770508
2014-11-06,53.596248626708984
2014-11-07,53.64106369018555
2014-11-10,53.72172546386719
2014-11-11,53.703792572021484
2014-11-12,54.09816360473633
2014-11-13,53.50663375854492
2014-11-14,53.29151916503906
2014-11-17,53.040557861328125
2014-11-18,53.058494567871094
2014-11-19,52.44904327392578
2014-11-20,52.63725280761719
2014-11-21,52.37733459472656
2014-11-24,53.318416595458984
2014-11-25,53.16604232788086
2014-11-26,53.29151916503906
2014-11-28,53.246707916259766
2014-12-01,52.85234832763672
2014-12-02,53.4797248840332
2014-12-03,54.232601165771484
2014-12-04,54.45664978027344
2014-12-05,54.87790298461914
2014-12-08,54.68071365356445
2014-12-09,55.541141510009766
2014-12-10,54.60902786254883
2014-12-11,55.29018020629883
2014-12-12,54.87790298461914
2014-12-15,54.76138687133789
2014-12-16,54.447689056396484
2014-12-17,55.96237564086914
2014-12-18,56.17747497558594
2014-12-19,55.200557708740234
2014-12-22,55.79207992553711
2014-12-23,56.410499572753906
2014-12-24,56.12369918823242
2014-12-26,56.813819885253906
2014-12-29,57.44120407104492
2014-12-30,57.22608947753906
2014-12-31,56.85863494873047
2015-01-02,56.535972595214844
2015-01-05,56.14162063598633
2015-01-06,55.926536560058594
2015-01-07,57.252994537353516
2015-01-08,58.06857681274414
2015-01-09,57.8803596496582
2015-01-12,57.6921501159668
2015-01-13,57.70111083984375
2015-01-14,57.046844482421875
2015-01-15,56.410499572753906
2015-01-16,56.813819885253906
2015-01-20,56.338809967041016
2015-01-21,56.85863494873047
2015-01-22,57.82659149169922
2015-01-23,58.05962371826172
2015-01-26,58.328495025634766
2015-01-27,57.99687957763672
2015-01-28,56.57181167602539
2015-01-29,57.252994537353516
2015-01-30,55.7562255859375
2015-02-02,56.392574310302734
2015-02-03,57.414306640625
2015-02-04,57.3694953918457
2015-02-05,58.18509292602539
2015-02-06,57.728004455566406
2015-02-09,56.82277297973633
2015-02-10,57.961021423339844
2015-02-11,57.961021423339844
2015-02-12,62.55884552001953
2015-02-13,62.81873321533203
2015-02-17,62.281002044677734
2015-02-18,62.56779861450195
2015-02-19,62.58572006225586
2015-02-20,62.67534255981445
2015-02-23,62.24515151977539
2015-02-24,62.28995132446289
2015-02-25,62.18239974975586
2015-02-26,62.60364532470703
2015-02-27,61.99420166015625
2015-03-02,62.54090118408203
2015-03-03,62.16447067260742
2015-03-04,61.42955780029297
2015-03-05,61.106895446777344
2015-03-06,60.64085006713867
2015-03-09,61.035179138183594
2015-03-10,60.53166580200195
2015-03-11,61.30494689941406
2015-03-12,62.374961853027344
2015-03-13,62.3389892578125
2015-03-16,62.72562026977539
2015-03-17,62.6806526184082
2015-03-18,63.20220947265625
2015-03-19,62.743595123291016
2015-03-20,63.32809066772461
2015-03-23,63.2921028137207
2015-03-24,62.78855895996094
2015-03-25,61.75453567504883
2015-03-26,61.02619171142578
2015-03-27,62.16813659667969
2015-03-30,63.1302490234375
2015-03-31,62.72562026977539
2015-04-01,62.01528549194336
2015-04-02,61.59266662597656
2015-04-06,60.97224426269531
2015-04-07,61.47580337524414
2015-04-08,61.952354431152344
2015-04-09,61.67359924316406
2015-04-10,61.9703254699707
2015-04-13,61.583702087402344
2015-04-14,61.84444808959961
2015-04-15,62.26703643798828
2015-04-16,62.204105377197266
2015-04-17,61.215030670166016
2015-04-20,61.96134567260742
2015-04-21,61.74553298950195
2015-04-22,61.63764190673828
2015-04-23,62.968379974365234
2015-04-24,60.77445602416992
2015-04-27,60.621585845947266
2015-04-28,60.64854431152344
2015-04-29,59.79434585571289
2015-04-30,58.34669876098633
2015-05-01,59.24585723876953
2015-05-04,59.24585723876953
2015-05-05,58.859222412109375
2015-05-06,58.59846115112305
2015-05-07,59.128971099853516
2015-05-08,59.61450958251953
2015-05-11,59.81233215332031
2015-05-12,60.001163482666016
2015-05-13,59.704437255859375
2015-05-14,61.25996398925781
2015-05-15,61.61064910888672
2015-05-18,62.22441101074219
2015-05-19,62.323692321777344
2015-05-20,62.10707092285156
2015-05-21,61.15937423706055
2015-05-22,61.01496505737305
2015-05-26,60.42825698852539
2015-05-27,61.385013580322266
2015-05-28,61.25864028930664
2015-05-29,59.82352828979492
2015-06-01,60.328983306884766
2015-06-02,60.72611999511719
2015-06-03,61.58357238769531
2015-06-04,61.07813262939453
2015-06-05,61.764076232910156
2015-06-08,61.75508499145508
2015-06-09,61.79117202758789
2015-06-10,62.4410400390625
2015-06-11,62.46813201904297
2015-06-12,62.07097625732422
2015-06-15,61.24959945678711
2015-06-16,61.61968994140625
2015-06-17,62.098052978515625
2015-06-18,63.22627639770508
2015-06-19,63.72270202636719
2015-06-22,64.33647155761719
2015-06-23,63.551231384277344
2015-06-24,63.97543716430664
2015-06-25,64.5440902709961
2015-06-26,64.80581665039062
2015-06-29,63.11798095703125
2015-06-30,63.34361267089844
2015-07-01,64.03861236572266
2015-07-02,63.0547981262207
2015-07-06,63.25336837768555
2015-07-07,63.24434280395508
2015-07-08,62.78403854370117
2015-07-09,63.32559585571289
2015-07-10,64.26425170898438
2015-07-13,64.7336196899414
2015-07-14,63.99348068237305
2015-07-15,63.632442474365234
2015-07-16,64.41770935058594
2015-07-17,64.72457885742188
2015-07-20,65.32030487060547
2015-07-21,64.31842803955078
2015-07-22,64.26425170898438
2015-07-23,62.278560638427734
2015-07-24,62.034881591796875
2015-07-27,62.07097625732422
2015-07-28,62.08901596069336
2015-07-29,62.85621643066406
2015-07-30,63.406803131103516
2015-07-31,63.560264587402344
2015-08-03,63.794925689697266
2015-08-04,63.87614059448242
2015-08-05,63.86713409423828
2015-08-06,63.515113830566406
2015-08-07,63.090885162353516
2015-08-10,64.03309631347656
2015-08-11,64.04216003417969
2015-08-12,63.82472229003906
2015-08-13,63.81566619873047
2015-08-14,64.80317687988281
2015-08-17,65.23799896240234
2015-08-18,64.72164154052734
2015-08-19,64.49514770507812
2015-08-20,63.734130859375
2015-08-21,62.35708999633789
2015-08-24,59.9200439453125
2015-08-25,60.146549224853516
2015-08-26,61.30616760253906
2015-08-27,62.67417526245117
2015-08-28,62.918758392333984
2015-08-31,63.12715530395508
2015-09-01,60.86225128173828
2015-09-02,62.74664306640625
2015-09-03,63.063743591308594
2015-09-04,62.7285270690918
2015-09-08,64.58573913574219
2015-09-09,64.30489349365234
2015-09-10,64.36831665039062
2015-09-11,65.40107727050781
2015-09-14,65.14743041992188
2015-09-15,65.41015625
2015-09-16,65.72725677490234
2015-09-17,65.95372009277344
2015-09-18,64.98433685302734
2015-09-21,65.56417846679688
2015-09-22,65.13835906982422
2015-09-23,65.22897338867188
2015-09-24,65.48262786865234
2015-09-25,65.91748809814453
2015-09-28,65.21084594726562
2015-09-29,65.07496643066406
2015-09-30,65.50077056884766
2015-10-01,65.7997055053711
2015-10-02,66.9321517944336
2015-10-05,67.5844497680664
2015-10-06,67.37611389160156
2015-10-07,67.63880157470703
2015-10-08,68.49946594238281
2015-10-09,68.55384826660156
2015-10-12,68.10086059570312
2015-10-13,67.50289154052734
2015-10-14,66.83250427246094
2015-10-15,67.89248657226562
2015-10-16,68.14615631103516
2015-10-19,68.53569030761719
2015-10-20,68.0283432006836
2015-10-21,66.9321517944336
2015-10-22,72.29544830322266
2015-10-23,73.57283782958984
2015-10-26,74.0439453125
2015-10-27,73.4913101196289
2015-10-28,75.00426483154297
2015-10-29,74.64188385009766
2015-10-30,73.87181091308594
2015-11-02,74.1707534790039
2015-11-03,75.71089935302734
2015-11-04,74.98614501953125
2015-11-05,74.71434783935547
2015-11-06,74.49622344970703
2015-11-09,73.06939697265625
2015-11-10,74.13272094726562
2015-11-11,74.5325927734375
2015-11-12,73.9691162109375
2015-11-13,72.22416687011719
2015-11-16,73.38744354248047
2015-11-17,73.57833099365234
2015-11-18,74.49622344970703
2015-11-19,74.55075073242188
2015-11-20,74.48713684082031
2015-11-23,74.42353057861328
2015-11-24,74.52351379394531
2015-11-25,74.75070190429688
2015-11-27,75.33235931396484
2015-11-30,74.5598373413086
2015-12-01,75.00517272949219
2015-12-02,75.02335357666016
2015-12-03,74.16905975341797
2015-12-04,76.48656463623047
2015-12-07,75.05970001220703
2015-12-08,74.35991668701172
2015-12-09,72.9057846069336
2015-12-10,73.9145736694336
2015-12-11,72.85125732421875
2015-12-14,72.91486358642578
2015-12-15,74.05998992919922
2015-12-16,75.71403503417969
2015-12-17,73.63285064697266
2015-12-18,72.42410278320312
2015-12-21,73.02392578125
2015-12-22,73.9691162109375
2015-12-23,74.84156799316406
2015-12-24,74.49622344970703
2015-12-28,74.70521545410156
2015-12-29,75.02335357666016
2015-12-30,74.24176788330078
2015-12-31,73.41473388671875
2016-01-04,71.95153045654297
2016-01-05,72.26961517333984
2016-01-06,71.58800506591797
2016-01-07,70.46104431152344
2016-01-08,69.0342025756836
2016-01-11,68.88878631591797
2016-01-12,70.07025146484375
2016-01-13,68.27987670898438
2016-01-14,68.99784851074219
2016-01-15,67.70731353759766
2016-01-19,68.18896484375
2016-01-20,67.75276947021484
2016-01-21,67.58919525146484
2016-01-22,69.2523193359375
2016-01-25,70.86093139648438
2016-01-26,70.3065414428711
2016-01-27,70.33382415771484
2016-01-28,72.61497497558594
2016-01-29,76.7955551147461
2016-02-01,76.29570007324219
2016-02-02,73.51470947265625
2016-02-03,72.55133819580078
2016-02-04,72.69674682617188
2016-02-05,69.9793701171875
2016-02-08,69.92485809326172
2016-02-09,70.23383331298828
2016-02-10,70.36109161376953
2016-02-11,70.49739837646484
2016-02-12,70.7791519165039
2016-02-16,72.18781280517578
2016-02-17,72.88760375976562
2016-02-18,72.91486358642578
2016-02-19,73.70552825927734
2016-02-22,73.56012725830078
2016-02-23,73.57833099365234
2016-02-24,72.99665069580078
2016-02-25,73.41473388671875
2016-02-26,74.36901092529297
2016-02-29,72.95123291015625
2016-03-01,74.2508316040039
2016-03-02,73.82369995117188
2016-03-03,73.9145736694336
2016-03-04,74.12361145019531
2016-03-07,74.09634399414062
2016-03-08,73.66011810302734
2016-03-09,74.9142837524414
2016-03-10,74.06907653808594
2016-03-11,75.19602966308594
2016-03-14,74.98633575439453
2016-03-15,75.013671875
2016-03-16,75.40572357177734
2016-03-17,76.71855163574219
2016-03-18,78.07695007324219
2016-03-21,78.0313720703125
2016-03-22,77.6302261352539
2016-03-23,77.88550567626953
2016-03-24,78.04960632324219
2016-03-28,78.85188293457031
2016-03-29,80.19207000732422
2016-03-30,79.80915832519531
2016-03-31,79.99150085449219
2016-04-01,80.5841064453125
2016-04-04,79.7088623046875
2016-04-05,79.0251235961914
2016-04-06,81.26785278320312
2016-04-07,80.29236602783203
2016-04-08,81.42285919189453
2016-04-11,80.98521423339844
2016-04-12,81.0125732421875
2016-04-13,82.73570251464844
2016-04-14,82.78125762939453
2016-04-15,82.57156372070312
2016-04-18,83.54708862304688
2016-04-19,83.11859893798828
2016-04-20,82.79949951171875
2016-04-21,82.32542419433594
2016-04-22,81.45930480957031
2016-04-25,81.5140151977539
2016-04-26,81.27698516845703
2016-04-27,81.72370910644531
2016-04-28,80.81201171875
2016-04-29,79.69063568115234
2016-05-02,80.56587219238281
2016-05-03,79.60857391357422
2016-05-04,79.800048828125
2016-05-05,79.61771392822266
2016-05-06,80.82111358642578
2016-05-09,82.17955780029297
2016-05-10,82.3801040649414
2016-05-11,82.02456665039062
2016-05-12,82.79949951171875
2016-05-13,82.3801040649414
2016-05-16,82.02456665039062
2016-05-17,80.21318054199219
2016-05-18,80.18572998046875
2016-05-19,80.24976348876953
