,GIS
2014-01-02,34.1417121887207
2014-01-03,34.044944763183594
2014-01-06,34.10023498535156
2014-01-07,34.45270919799805
2014-01-08,33.825923919677734
2014-01-09,34.12539291381836
2014-01-10,34.327362060546875
2014-01-13,33.99307632446289
2014-01-14,33.98609924316406
2014-01-15,33.70753479003906
2014-01-16,33.79110336303711
2014-01-17,33.623958587646484
2014-01-21,33.80503463745117
2014-01-22,33.965213775634766
2014-01-23,33.92342758178711
2014-01-24,33.623958587646484
2014-01-27,33.798072814941406
2014-01-28,34.09751892089844
2014-01-29,33.38716125488281
2014-01-30,33.825923919677734
2014-01-31,33.44289016723633
2014-02-03,32.6350212097168
2014-02-04,32.79519271850586
2014-02-05,32.98324203491211
2014-02-06,33.19217300415039
2014-02-07,33.46377944946289
2014-02-10,33.64485549926758
2014-02-11,34.07665252685547
2014-02-12,33.798072814941406
2014-02-13,34.257713317871094
2014-02-14,34.745216369628906
2014-02-18,34.59896469116211
2014-02-19,34.31342697143555
2014-02-20,34.66861343383789
2014-02-21,34.480567932128906
2014-02-24,34.71735763549805
2014-02-25,34.85665512084961
2014-02-26,34.585044860839844
2014-02-27,34.66861343383789
2014-02-28,34.84272384643555
2014-03-03,34.724327087402344
2014-03-04,35.33719253540039
2014-03-05,35.26754379272461
2014-03-06,35.28842544555664
2014-03-07,35.37897491455078
2014-03-10,35.135231018066406
2014-03-11,35.33719253540039
2014-03-12,35.76200866699219
2014-03-13,35.52524185180664
2014-03-14,34.661651611328125
2014-03-17,35.121307373046875
2014-03-18,35.31630325317383
2014-03-19,35.33719253540039
2014-03-20,35.55308532714844
2014-03-21,35.539161682128906
2014-03-24,35.32326126098633
2014-03-25,35.573997497558594
2014-03-26,35.58791732788086
2014-03-27,35.573997497558594
2014-03-28,35.72719955444336
2014-03-31,36.08935546875
2014-04-01,36.06148910522461
2014-04-02,35.95005416870117
2014-04-03,36.374874114990234
2014-04-04,35.69237518310547
2014-04-07,36.11023712158203
2014-04-08,35.9979133605957
2014-04-09,35.99089813232422
2014-04-10,35.801368713378906
2014-04-11,35.90665817260742
2014-04-14,36.0119514465332
2014-04-15,35.97685623168945
2014-04-16,36.68585968017578
2014-04-17,36.566532135009766
2014-04-21,36.71395492553711
2014-04-22,36.63673400878906
2014-04-23,36.763084411621094
2014-04-24,36.805206298828125
2014-04-25,36.70692825317383
2014-04-28,37.32467269897461
2014-04-29,37.071956634521484
2014-04-30,37.21936798095703
2014-05-01,36.980709075927734
2014-05-02,37.029850006103516
2014-05-05,37.21234130859375
2014-05-06,37.10704803466797
2014-05-07,37.58441162109375
2014-05-08,37.675655364990234
2014-05-09,38.1881217956543
2014-05-12,38.08984375
2014-05-13,38.16706085205078
2014-05-14,37.97751998901367
2014-05-15,37.49314880371094
2014-05-16,37.77396011352539
2014-05-19,37.710777282714844
2014-05-20,37.542293548583984
2014-05-21,37.542293548583984
2014-05-22,37.72481918334961
2014-05-23,37.77396011352539
2014-05-27,38.0758056640625
2014-05-28,38.0758056640625
2014-05-29,38.398712158203125
2014-05-30,38.560184478759766
2014-06-02,38.54613494873047
2014-06-03,38.6444091796875
2014-06-04,39.00242233276367
2014-06-05,38.847999572753906
2014-06-06,38.897132873535156
2014-06-09,38.72864532470703
2014-06-10,38.72162628173828
2014-06-11,38.43381881713867
2014-06-12,38.0477294921875
2014-06-13,38.124942779541016
2014-06-16,38.05474090576172
2014-06-17,38.11090087890625
2014-06-18,38.384681701660156
2014-06-19,38.49699783325195
2014-06-20,38.356605529785156
2014-06-23,38.096858978271484
2014-06-24,37.69673156738281
2014-06-25,36.33487319946289
2014-06-26,36.5244026184082
2014-06-27,36.72097396850586
2014-06-30,36.88242721557617
2014-07-01,37.1351318359375
2014-07-02,37.21234130859375
2014-07-03,37.24043655395508
2014-07-07,37.50017547607422
2014-07-08,37.5638313293457
2014-07-09,37.67702865600586
2014-07-10,37.50724792480469
2014-07-11,37.42943572998047
2014-07-14,37.52139663696289
2014-07-15,37.443572998046875
2014-07-16,37.5496940612793
2014-07-17,37.33745574951172
2014-07-18,37.535552978515625
2014-07-21,37.39406967163086
2014-07-22,37.45773696899414
2014-07-23,37.42235565185547
2014-07-24,37.45773696899414
2014-07-25,37.35869216918945
2014-07-28,37.40113067626953
2014-07-29,37.14645767211914
2014-07-30,36.5380973815918
2014-07-31,35.47696304321289
2014-08-01,36.02874755859375
2014-08-04,36.283416748046875
2014-08-05,35.99337387084961
2014-08-06,36.58760070800781
2014-08-07,36.27634048461914
2014-08-08,36.764461517333984
2014-08-11,37.096946716308594
2014-08-12,37.125244140625
2014-08-13,37.17475128173828
2014-08-14,37.33745574951172
2014-08-15,37.25257110595703
2014-08-18,37.486019134521484
2014-08-19,37.65579605102539
2014-08-20,37.79020690917969
2014-08-21,37.648719787597656
2014-08-22,37.28794479370117
2014-08-25,37.386993408203125
2014-08-26,37.47895050048828
2014-08-27,37.67702865600586
2014-08-28,37.627498626708984
2014-08-29,37.76192092895508
2014-09-02,37.74776840209961
2014-09-03,37.875099182128906
2014-09-04,37.832664489746094
2014-09-05,38.073177337646484
2014-09-08,37.8538818359375
2014-09-09,37.61335372924805
2014-09-10,37.65579605102539
2014-09-11,37.684104919433594
2014-09-12,37.344539642333984
2014-09-15,37.62043380737305
2014-09-16,37.62043380737305
2014-09-17,35.9580078125
2014-09-18,36.2338981628418
2014-09-19,36.27634048461914
2014-09-22,35.90141677856445
2014-09-23,35.66088104248047
2014-09-24,35.689186096191406
2014-09-25,35.45573806762695
2014-09-26,35.568912506103516
2014-09-29,35.816532135009766
2014-09-30,35.689186096191406
2014-10-01,35.35670471191406
2014-10-02,35.46988296508789
2014-10-03,35.70333480834961
2014-10-06,35.7882194519043
2014-10-07,35.498191833496094
2014-10-08,35.76921463012695
2014-10-09,35.583778381347656
2014-10-10,35.52670669555664
2014-10-13,35.1486930847168
2014-10-14,35.319881439208984
2014-10-15,35.02745056152344
2014-10-16,34.849124908447266
2014-10-17,35.15583038330078
2014-10-20,35.60517501831055
2014-10-21,35.99032211303711
2014-10-22,36.090179443359375
2014-10-23,36.02598190307617
2014-10-24,36.396873474121094
2014-10-27,36.48960494995117
2014-10-28,36.646507263183594
2014-10-29,36.30415344238281
2014-10-30,36.69643783569336
2014-10-31,37.0601921081543
2014-11-03,37.55945587158203
2014-11-04,37.70212173461914
2014-11-05,37.9232063293457
2014-11-06,37.99454879760742
2014-11-07,36.63224411010742
2014-11-10,36.282752990722656
2014-11-11,36.35407638549805
2014-11-12,36.346954345703125
2014-11-13,36.37548065185547
2014-11-14,36.24708938598633
2014-11-17,36.62508773803711
2014-11-18,36.79629135131836
2014-11-19,37.03165817260742
2014-11-20,36.831947326660156
2014-11-21,36.98174285888672
2014-11-24,36.73208999633789
2014-11-25,36.839080810546875
2014-11-26,36.98174285888672
2014-11-28,37.6236572265625
2014-12-01,37.53807067871094
2014-12-02,37.83762741088867
2014-12-03,37.83049011230469
2014-12-04,37.801963806152344
2014-12-05,37.88755416870117
2014-12-08,37.752037048339844
2014-12-09,37.28842544555664
2014-12-10,37.08158493041992
2014-12-11,37.43108367919922
2014-12-12,37.16004180908203
2014-12-15,36.71070861816406
2014-12-16,36.46820068359375
2014-12-17,37.224246978759766
2014-12-18,38.16572189331055
2014-12-19,38.37969207763672
2014-12-22,38.78624725341797
2014-12-23,38.807640075683594
2014-12-24,38.7363166809082
2014-12-26,38.78624725341797
2014-12-29,38.7363166809082
2014-12-30,38.764827728271484
2014-12-31,38.0373420715332
2015-01-02,37.88042449951172
2015-01-05,37.195709228515625
2015-01-06,37.102989196777344
2015-01-07,37.88755416870117
2015-01-08,38.50571823120117
2015-01-09,38.117576599121094
2015-01-12,37.844425201416016
2015-01-13,37.887550354003906
2015-01-14,38.03850555419922
2015-01-15,38.419456481933594
2015-01-16,38.390708923339844
2015-01-20,39.10232162475586
2015-01-21,38.87229919433594
2015-01-22,39.37544250488281
2015-01-23,39.21732711791992
2015-01-26,39.49766159057617
2015-01-27,39.61264419555664
2015-01-28,38.87229919433594
2015-01-29,38.54884338378906
2015-01-30,37.72222900390625
2015-02-02,38.14631271362305
2015-02-03,38.28288650512695
2015-02-04,38.25413513183594
2015-02-05,38.38352584838867
2015-02-06,38.21101379394531
2015-02-09,38.09600830078125
2015-02-10,38.261322021484375
2015-02-11,38.21101379394531
2015-02-12,38.045684814453125
2015-02-13,37.72222900390625
2015-02-17,37.6215934753418
2015-02-18,38.00975036621094
2015-02-19,38.419456481933594
2015-02-20,38.43382263183594
2015-02-23,38.448204040527344
2015-02-24,38.39789962768555
2015-02-25,38.48414611816406
2015-02-26,38.39789962768555
