,SO
2014-01-02,25.13733673095703
2014-01-03,25.001432418823242
2014-01-06,24.95818519592285
2014-01-07,25.180578231811523
2014-01-08,24.95818519592285
2014-01-09,25.094085693359375
2014-01-10,25.56978416442871
2014-01-13,25.49564552307129
2014-01-14,25.39061737060547
2014-01-15,25.37827491760254
2014-01-16,25.477115631103516
2014-01-17,25.427690505981445
2014-01-21,25.730403900146484
2014-01-22,25.699514389038086
2014-01-23,25.594493865966797
2014-01-24,25.464767456054688
2014-01-27,25.48329734802246
2014-01-28,25.48329734802246
2014-01-29,25.260896682739258
2014-01-30,25.578041076660156
2014-01-31,25.79697036743164
2014-02-03,25.803234100341797
2014-02-04,25.6468448638916
2014-02-05,25.53425407409668
2014-02-06,25.590551376342773
2014-02-07,25.70939064025879
2014-02-10,25.82200050354004
2014-02-11,26.078468322753906
2014-02-12,26.028425216674805
2014-02-13,26.416248321533203
2014-02-14,26.597658157348633
2014-02-18,26.61017417907715
2014-02-19,26.37871742248535
2014-02-20,26.52259635925293
2014-02-21,26.49131965637207
2014-02-24,26.34744644165039
2014-02-25,26.37871742248535
2014-02-26,26.272390365600586
2014-02-27,26.27863311767578
2014-02-28,26.49131965637207
2014-03-03,26.30365753173828
2014-03-04,26.478805541992188
2014-03-05,26.40999984741211
2014-03-06,26.297407150268555
2014-03-07,26.334930419921875
2014-03-10,26.37247085571289
2014-03-11,26.30365753173828
2014-03-12,26.66646385192871
2014-03-13,26.99799919128418
2014-03-14,27.204421997070312
2014-03-17,27.223182678222656
2014-03-18,27.17940330505371
2014-03-19,26.76655387878418
2014-03-20,26.76655387878418
2014-03-21,26.847867965698242
2014-03-24,27.010501861572266
2014-03-25,27.166900634765625
2014-03-26,26.99174690246582
2014-03-27,27.148134231567383
2014-03-28,27.12936019897461
2014-03-31,27.485918045043945
2014-04-01,27.210691452026367
2014-04-02,27.07931900024414
2014-04-03,27.09182357788086
2014-04-04,27.335786819458008
2014-04-07,27.654809951782227
2014-04-08,27.967580795288086
2014-04-09,27.754884719848633
