,MOS
2014-01-02,38.1207389831543
2014-01-03,37.98286819458008
2014-01-06,37.780094146728516
2014-01-07,37.593544006347656
2014-01-08,38.07209014892578
2014-01-09,37.415103912353516
2014-01-10,37.75576400756836
2014-01-13,37.43132781982422
2014-01-14,38.956153869628906
2014-01-15,39.99434280395508
2014-01-16,40.0024528503418
2014-01-17,39.369808197021484
2014-01-21,39.19137191772461
2014-01-22,38.74528503417969
2014-01-23,38.136962890625
2014-01-24,36.80678939819336
2014-01-27,36.2552604675293
2014-01-28,36.6202507019043
2014-01-29,36.239036560058594
2014-01-30,36.441810607910156
2014-01-31,36.22282028198242
2014-02-03,36.21471405029297
2014-02-04,36.59592056274414
2014-02-05,36.385040283203125
2014-02-06,37.480003356933594
2014-02-07,37.674652099609375
2014-02-10,37.974754333496094
2014-02-11,38.89937973022461
2014-02-12,38.91560745239258
2014-02-13,38.6317138671875
2014-02-14,38.75338363647461
2014-02-18,38.858829498291016
2014-02-19,38.485721588134766
2014-02-20,39.23193359375
2014-02-21,38.956153869628906
2014-02-24,38.93181610107422
2014-02-25,38.939945220947266
2014-02-26,39.03727340698242
2014-02-27,39.24004364013672
2014-02-28,39.62935256958008
2014-03-03,39.726680755615234
2014-03-04,39.922340393066406
2014-03-05,40.63975524902344
2014-03-06,40.762046813964844
2014-03-07,40.54191970825195
2014-03-10,40.67235565185547
2014-03-11,39.79191207885742
2014-03-12,39.367977142333984
2014-03-13,38.8543815612793
2014-03-14,39.05002975463867
2014-03-17,39.14786148071289
2014-03-18,39.57179260253906
2014-03-19,39.889732360839844
2014-03-20,39.97941207885742
2014-03-21,39.661460876464844
2014-03-24,39.48210906982422
2014-03-25,39.694061279296875
2014-03-26,39.555484771728516
2014-03-27,39.70223617553711
2014-03-28,40.08540344238281
2014-03-31,40.762046813964844
2014-04-01,40.59899139404297
2014-04-02,40.37073516845703
2014-04-03,40.28920364379883
2014-04-04,40.08540344238281
2014-04-07,39.35982894897461
2014-04-08,39.367977142333984
2014-04-09,39.52287673950195
2014-04-10,39.19678497314453
2014-04-11,38.479373931884766
2014-04-14,38.675018310546875
2014-04-15,39.433204650878906
2014-04-16,39.65331268310547
2014-04-17,39.71852493286133
2014-04-21,39.85713195800781
2014-04-22,39.97941207885742
2014-04-23,39.81635665893555
2014-04-24,39.77560043334961
2014-04-25,40.28920364379883
2014-04-28,40.55007553100586
2014-04-29,40.71311950683594
2014-04-30,40.79465103149414
2014-05-01,40.615291595458984
2014-05-02,40.7049674987793
2014-05-05,40.52562713623047
2014-05-06,39.66962432861328
2014-05-07,39.74299240112305
2014-05-08,39.62071228027344
2014-05-09,39.50656509399414
2014-05-12,39.71852493286133
2014-05-13,40.15876007080078
2014-05-14,40.762046813964844
2014-05-15,40.19137191772461
2014-05-16,40.19952392578125
2014-05-19,40.354427337646484
2014-05-20,40.50116729736328
2014-05-21,40.762046813964844
2014-05-22,40.338111877441406
2014-05-23,40.37887954711914
2014-05-27,40.4114875793457
2014-05-28,40.21583557128906
2014-05-29,40.65606689453125
2014-05-30,40.7538948059082
2014-06-02,40.631595611572266
2014-06-03,40.10720443725586
2014-06-04,40.04167175292969
2014-06-05,40.00889205932617
2014-06-06,39.935157775878906
2014-06-09,40.205543518066406
2014-06-10,40.23832702636719
2014-06-11,39.99251174926758
2014-06-12,39.82045364379883
2014-06-13,39.804054260253906
2014-06-16,40.680763244628906
2014-06-17,41.00851058959961
2014-06-18,41.01670455932617
2014-06-19,41.48373031616211
2014-06-20,41.491920471191406
2014-06-23,41.614830017089844
2014-06-24,41.07404708862305
2014-06-25,40.93476104736328
2014-06-26,40.93476104736328
2014-06-27,40.721736907958984
2014-06-30,40.51689147949219
2014-07-01,40.43496322631836
2014-07-02,40.205543518066406
2014-07-03,40.30384826660156
2014-07-07,39.951534271240234
2014-07-08,39.48451614379883
2014-07-09,39.361602783203125
2014-07-10,38.7880744934082
2014-07-11,38.730712890625
2014-07-14,39.00108337402344
2014-07-15,38.894569396972656
2014-07-16,39.173160552978516
2014-07-17,38.96012496948242
2014-07-18,39.15678024291992
2014-07-21,38.69793701171875
2014-07-22,38.730712890625
2014-07-23,38.91916275024414
2014-07-24,38.7880744934082
2014-07-25,38.59141159057617
2014-07-28,38.886383056640625
2014-07-29,38.67335510253906
2014-07-30,38.65696716308594
2014-07-31,37.78025817871094
2014-08-01,37.72290802001953
2014-08-04,38.4603271484375
2014-08-05,38.59961700439453
2014-08-06,38.53406524658203
2014-08-07,37.870384216308594
2014-08-08,37.919551849365234
2014-08-11,38.09980773925781
2014-08-12,38.1243896484375
2014-08-13,37.46072006225586
2014-08-14,37.657352447509766
2014-08-15,38.058841705322266
2014-08-18,38.50129318237305
2014-08-19,38.59961700439453
2014-08-20,38.804447174072266
2014-08-21,38.96012496948242
2014-08-22,38.894569396972656
2014-08-25,38.94373321533203
2014-08-26,38.94373321533203
2014-08-27,39.287879943847656
2014-08-28,39.30425262451172
2014-08-29,39.13218688964844
2014-09-02,39.041587829589844
