,FOXA
2019-03-12,34.927284240722656
2019-03-13,36.5357666015625
2019-03-14,37.362998962402344
2019-03-15,38.328094482421875
2019-03-18,38.328094482421875
2019-03-19,37.07806396484375
2019-03-20,35.49714660644531
2019-03-21,36.783939361572266
2019-03-22,35.589054107666016
2019-03-25,34.412559509277344
2019-03-26,34.50447082519531
2019-03-27,33.934608459472656
2019-03-28,33.45665740966797
2019-03-29,33.74159240722656
2019-04-01,33.87027359008789
2019-04-02,33.34635925292969
2019-04-03,33.16252899169922
2019-04-04,33.78754425048828
2019-04-05,34.63315963745117
2019-04-08,34.44013977050781
2019-04-09,34.29307174682617
2019-04-10,33.530181884765625
2019-04-11,34.09086227416992
2019-04-12,34.49528121948242
2019-04-15,34.49528121948242
2019-04-16,34.69749069213867
2019-04-17,35.69935607910156
2019-04-18,35.33169937133789
2019-04-22,34.65153503417969
2019-04-23,35.00081253051758
2019-04-24,34.8905143737793
2019-04-25,35.06515121459961
2019-04-26,35.36846923828125
2019-04-29,36.030242919921875
2019-04-30,35.83722686767578
2019-05-01,36.21406936645508
2019-05-02,34.26549530029297
2019-05-03,34.44013977050781
2019-05-06,34.85374450683594
2019-05-07,34.24711227416992
2019-05-08,34.3941764831543
2019-05-09,35.386844635009766
2019-05-10,35.41442108154297
2019-05-13,34.89970397949219
2019-05-14,34.826171875
2019-05-15,34.66072463989258
2019-05-16,33.7691650390625
2019-05-17,34.51835632324219
2019-05-20,34.351871490478516
2019-05-21,34.86057662963867
2019-05-22,34.3333740234375
2019-05-23,34.139137268066406
2019-05-24,34.14838409423828
2019-05-28,33.889404296875
2019-05-29,33.103214263916016
2019-05-30,32.57600402832031
2019-05-31,32.58525466918945
2019-06-03,31.66958236694336
2019-06-04,31.89155960083008
2019-06-05,31.780563354492188
2019-06-06,31.558584213256836
2019-06-07,31.45684242248535
2019-06-10,31.475343704223633
2019-06-11,31.61408042907715
2019-06-12,32.418766021728516
2019-06-13,32.640750885009766
2019-06-14,32.594505310058594
2019-06-17,33.41769027709961
2019-06-18,33.473182678222656
2019-06-19,33.28820037841797
2019-06-20,32.90898513793945
2019-06-21,33.46393585205078
2019-06-24,33.11246109008789
2019-06-25,32.68699645996094
2019-06-26,32.80723571777344
2019-06-27,33.28820037841797
2019-06-28,33.889404296875
2019-07-01,33.223453521728516
2019-07-02,33.84315872192383
2019-07-03,33.62117004394531
2019-07-05,33.8524055480957
2019-07-08,33.41769027709961
2019-07-09,33.31594467163086
2019-07-10,33.42693328857422
2019-07-11,33.56568145751953
2019-07-12,34.18538284301758
2019-07-15,34.231624603271484
2019-07-16,33.93565368652344
2019-07-17,33.45468521118164
2019-07-18,33.80615997314453
2019-07-19,33.69517135620117
2019-07-22,33.38993835449219
2019-07-23,33.50093460083008
2019-07-24,33.8524055480957
2019-07-25,34.379608154296875
2019-07-26,34.41661071777344
2019-07-29,34.694087982177734
2019-07-30,34.98081970214844
2019-07-31,34.51835632324219
2019-08-01,34.12063980102539
2019-08-02,33.88016128540039
2019-08-05,33.34370040893555
2019-08-06,33.71366882324219
2019-08-07,34.25937271118164
2019-08-08,32.492759704589844
2019-08-09,32.74249267578125
2019-08-12,32.32627868652344
2019-08-13,32.428016662597656
2019-08-14,31.160863876342773
2019-08-15,30.29142951965332
2019-08-16,30.51341438293457
2019-08-19,31.327346801757812
2019-08-20,31.068370819091797
2019-08-21,30.90188217163086
2019-08-22,30.568906784057617
2019-08-23,29.366498947143555
2019-08-26,29.671728134155273
2019-08-27,29.53298568725586
2019-08-28,29.40349578857422
2019-08-29,30.282180786132812
2019-08-30,30.679895401000977
2019-09-03,30.521568298339844
2019-09-04,31.257360458374023
2019-09-05,31.90001678466797
2019-09-06,31.881393432617188
2019-09-09,31.94658851623535
2019-09-10,31.94658851623535
2019-09-11,31.66716957092285
2019-09-12,31.47157859802246
2019-09-13,31.50883102416992
2019-09-16,31.29461669921875
2019-09-17,30.605392456054688
2019-09-18,30.400480270385746
2019-09-19,29.84165382385254
2019-09-20,30.055870056152344
2019-09-23,30.055870056152344
2019-09-24,29.422527313232425
2019-09-25,29.813711166381836
2019-09-26,29.292133331298828
2019-09-27,29.28282165527344
2019-09-30,29.37130355834961
2019-10-01,29.09654426574707
2019-10-02,28.332801818847656
2019-10-03,28.370058059692383
2019-10-04,28.472511291503903
2019-10-07,28.500452041625977
2019-10-08,27.992847442626953
2019-10-09,28.155838012695312
2019-10-10,28.42594337463379
2019-10-11,29.30144691467285
2019-10-14,29.236251831054688
2019-10-15,29.524978637695312
2019-10-16,29.795080184936523
2019-10-17,29.7857666015625
2019-10-18,29.99998664855957
2019-10-21,30.493623733520508
2019-10-22,31.154905319213867
2019-10-23,30.959318161010746
2019-10-24,30.083810806274418
2019-10-25,30.186267852783203
2019-10-28,30.726469039916992
2019-10-29,30.586761474609375
2019-10-30,29.878908157348633
2019-10-31,29.84165382385254
2019-11-01,30.16763687133789
2019-11-04,30.31665802001953
2019-11-05,30.582101821899418
2019-11-06,30.828920364379883
2019-11-07,32.54267883300781
2019-11-08,32.72895431518555
2019-11-11,32.5892448425293
2019-11-12,32.118900299072266
2019-11-13,31.909324645996097
2019-11-14,31.8720760345459
2019-11-15,31.918651580810547
2019-11-18,32.77552032470703
2019-11-19,33.77210235595703
