,LLY
2014-01-02,40.65234375
2014-01-03,40.948848724365234
2014-01-06,41.29344177246094
2014-01-07,41.0209846496582
2014-01-08,40.956871032714844
2014-01-09,41.41363525390625
2014-01-10,41.613983154296875
2014-01-13,41.726158142089844
2014-01-14,42.02265930175781
2014-01-15,42.79997253417969
2014-01-16,44.31452560424805
2014-01-17,44.20233154296875
2014-01-21,44.546905517578125
2014-01-22,44.5549201965332
2014-01-23,44.19432830810547
2014-01-24,43.36893081665039
2014-01-27,43.37693786621094
2014-01-28,43.45708465576172
2014-01-29,43.200645446777344
2014-01-30,42.687782287597656
2014-01-31,43.28078079223633
2014-02-03,42.1989631652832
2014-02-04,42.55154800415039
2014-02-05,42.247039794921875
2014-02-06,42.247039794921875
2014-02-07,42.63969802856445
2014-02-10,43.248722076416016
2014-02-11,43.68145751953125
2014-02-12,43.115421295166016
2014-02-13,43.24479675292969
2014-02-14,43.82700729370117
2014-02-18,44.676048278808594
2014-02-19,46.97252655029297
2014-02-20,46.94017028808594
2014-02-21,46.867401123046875
2014-02-24,46.92399597167969
2014-02-25,47.28789138793945
2014-02-26,47.43341827392578
2014-02-27,48.145015716552734
2014-02-28,48.20161437988281
2014-03-03,47.73261642456055
2014-03-04,48.39567947387695
2014-03-05,48.05607223510742
2014-03-06,47.48194122314453
2014-03-07,47.3768310546875
2014-03-10,47.627498626708984
2014-03-11,47.24744415283203
2014-03-12,47.870086669921875
2014-03-13,47.1746711730957
2014-03-14,47.60324478149414
2014-03-17,47.60324478149414
2014-03-18,48.03181076049805
2014-03-19,47.74878692626953
2014-03-20,47.36065673828125
2014-03-21,46.72184371948242
2014-03-24,46.41456604003906
2014-03-25,46.26093673706055
2014-03-26,46.4792594909668
2014-03-27,46.51969528198242
2014-03-28,46.584381103515625
2014-03-31,47.595149993896484
2014-04-01,47.56279754638672
2014-04-02,47.82965850830078
2014-04-03,47.68410110473633
2014-04-04,47.71644973754883
2014-04-07,47.401092529296875
2014-04-08,47.368736267089844
2014-04-09,48.86468505859375
2014-04-10,47.43341827392578
2014-04-11,47.26362228393555
2014-04-14,47.66792297363281
2014-04-15,48.0479850769043
2014-04-16,48.48463439941406
2014-04-17,48.86468505859375
2014-04-21,49.21238708496094
2014-04-22,48.541229248046875
2014-04-23,48.16119384765625
2014-04-24,47.44960403442383
2014-04-25,47.30406188964844
2014-04-28,47.68410110473633
2014-04-29,48.20970916748047
2014-04-30,47.789222717285156
2014-05-01,48.12883758544922
2014-05-02,47.77305221557617
2014-05-05,47.611328125
2014-05-06,47.352561950683594
2014-05-07,47.82965850830078
2014-05-08,48.1126823425293
2014-05-09,47.99946975708008
2014-05-12,48.0479850769043
2014-05-13,48.952999114990234
2014-05-14,49.001922607421875
2014-05-15,47.4609375
2014-05-16,47.566917419433594
2014-05-19,47.81967544555664
2014-05-20,47.82782745361328
2014-05-21,48.16212844848633
2014-05-22,48.69209289550781
2014-05-23,48.757320404052734
2014-05-27,48.70024871826172
2014-05-28,48.67579650878906
2014-05-29,48.488258361816406
2014-05-30,48.806251525878906
2014-06-02,48.50456619262695
2014-06-03,48.390419006347656
2014-06-04,48.284420013427734
2014-06-05,48.577945709228516
2014-06-06,48.61873245239258
2014-06-09,48.70840835571289
2014-06-10,48.71654510498047
2014-06-11,48.488258361816406
2014-06-12,48.007205963134766
2014-06-13,48.023521423339844
2014-06-16,47.9664421081543
2014-06-17,48.30888366699219
2014-06-18,48.91224670410156
2014-06-19,48.7980842590332
2014-06-20,50.575531005859375
2014-06-23,50.608154296875
2014-06-24,50.461387634277344
2014-06-25,51.36640167236328
2014-06-26,51.39902877807617
2014-06-27,51.44794464111328
2014-06-30,50.689674377441406
