,HON
2014-01-02,68.99015808105469
2014-01-03,69.14292907714844
2014-01-06,69.07418823242188
2014-01-07,69.3567886352539
2014-01-08,69.08181762695312
2014-01-09,69.104736328125
2014-01-10,68.86793518066406
2014-01-13,67.882568359375
2014-01-14,68.27975463867188
2014-01-15,68.67696380615234
2014-01-16,68.78392791748047
2014-01-17,68.70755004882812
2014-01-21,69.19637298583984
2014-01-22,69.57833099365234
2014-01-23,68.59296417236328
2014-01-24,67.57706451416016
2014-01-27,68.96726989746094
2014-01-28,69.08946990966797
2014-01-29,68.54713439941406
2014-01-30,70.04426574707031
2014-01-31,69.68524932861328
2014-02-03,67.79094696044922
2014-02-04,68.56243896484375
2014-02-05,68.43255615234375
2014-02-06,69.61651611328125
2014-02-07,71.15945434570312
2014-02-10,70.92267608642578
2014-02-11,71.92333984375
2014-02-12,72.02262115478516
2014-02-13,72.2059326171875
2014-02-14,72.26702880859375
2014-02-18,72.06843566894531
2014-02-19,70.99907684326172
2014-02-20,71.46501159667969
2014-02-21,71.74763488769531
2014-02-24,71.61779022216797
2014-02-25,72.04757690429688
2014-02-26,72.03993225097656
2014-02-27,72.43135070800781
2014-02-28,72.48509216308594
2014-03-03,71.83267974853516
2014-03-04,72.6078872680664
2014-03-05,72.65393829345703
2014-03-06,72.72301483154297
2014-03-07,73.25260925292969
2014-03-10,73.1067886352539
2014-03-11,72.2317886352539
2014-03-12,72.03223419189453
2014-03-13,71.26471710205078
2014-03-14,70.61997985839844
2014-03-17,71.6868667602539
2014-03-18,71.95549011230469
2014-03-19,71.29541015625
2014-03-20,71.34149169921875
2014-03-21,71.3721694946289
2014-03-24,70.58930206298828
2014-03-25,70.95001983642578
2014-03-26,69.72198486328125
2014-03-27,69.3075180053711
2014-03-28,69.76036071777344
2014-03-31,71.19563293457031
2014-04-01,71.57939910888672
2014-04-02,72.05526733398438
2014-04-03,72.36227416992188
2014-04-04,71.63314056396484
2014-04-07,70.53556823730469
2014-04-08,70.58930206298828
2014-04-09,71.54102325439453
2014-04-10,70.1057357788086
2014-04-11,69.38426208496094
2014-04-14,69.78340911865234
2014-04-15,70.38973999023438
2014-04-16,71.61011505126953
2014-04-17,71.45661163330078
2014-04-21,71.51799774169922
2014-04-22,71.64081573486328
2014-04-23,72.17039489746094
2014-04-24,71.8633804321289
2014-04-25,71.11123657226562
2014-04-28,70.96540069580078
2014-04-29,70.97306060791016
2014-04-30,71.3031234741211
2014-05-01,70.79654693603516
2014-05-02,70.89632415771484
2014-05-05,71.08052062988281
2014-05-06,70.28997039794922
2014-05-07,71.31844329833984
2014-05-08,71.34915161132812
2014-05-09,71.22634887695312
2014-05-12,72.44669342041016
2014-05-13,72.31623077392578
2014-05-14,71.18030548095703
2014-05-15,69.96759033203125
2014-05-16,69.99832916259766
2014-05-19,70.52788543701172
2014-05-20,69.69489288330078
2014-05-21,70.3890609741211
2014-05-22,70.53559875488281
2014-05-23,70.93669128417969
2014-05-27,71.23748779296875
2014-05-28,71.35320281982422
2014-05-29,71.5999984741211
2014-05-30,71.84683227539062
2014-06-02,72.04734802246094
2014-06-03,71.9316635131836
2014-06-04,72.38672637939453
2014-06-05,73.23516845703125
2014-06-06,73.42798614501953
2014-06-09,73.89849090576172
2014-06-10,73.5359878540039
2014-06-11,73.2043228149414
2014-06-12,72.24018096923828
2014-06-13,72.3250503540039
2014-06-16,72.34817504882812
2014-06-17,72.73382568359375
2014-06-18,72.64896392822266
2014-06-19,72.84180450439453
2014-06-20,73.13489532470703
2014-06-23,72.710693359375
2014-06-24,71.74654388427734
2014-06-25,71.89311981201172
2014-06-26,71.77740478515625
2014-06-27,71.9316635131836
2014-06-30,71.6926040649414
2014-07-01,72.95751190185547
