,DLR
2014-01-02,32.33648681640625
2014-01-03,32.57181167602539
2014-01-06,32.506431579589844
2014-01-07,32.59141159057617
2014-01-08,32.3430290222168
2014-01-09,32.48682403564453
2014-01-10,32.68293762207031
2014-01-13,32.820194244384766
2014-01-14,33.467315673828125
2014-01-15,34.32361602783203
2014-01-16,34.53279113769531
2014-01-17,33.839908599853516
2014-01-21,34.663516998291016
2014-01-22,34.160194396972656
2014-01-23,34.28437805175781
2014-01-24,34.21902084350586
2014-01-27,33.669944763183594
2014-01-28,34.068687438964844
2014-01-29,32.879024505615234
2014-01-30,32.650245666503906
2014-01-31,33.330047607421875
2014-02-03,32.754825592041016
2014-02-04,33.892189025878906
2014-02-05,33.94448471069336
2014-02-06,33.6307258605957
2014-02-07,33.89873123168945
2014-02-10,34.552391052246094
2014-02-11,34.0621452331543
2014-02-12,34.5850715637207
2014-02-13,35.0164909362793
2014-02-14,34.898834228515625
2014-02-18,34.98380661010742
2014-02-19,34.40858840942383
2014-02-20,34.04906463623047
2014-02-21,34.9576530456543
2014-02-24,35.38907241821289
2014-02-25,35.00341033935547
2014-02-26,35.02956771850586
2014-02-27,35.107994079589844
2014-02-28,35.402156829833984
2014-03-03,35.52633285522461
2014-03-04,35.9119987487793
2014-03-05,35.79434585571289
2014-03-06,35.49364471435547
2014-03-07,34.225563049316406
2014-03-10,34.24517059326172
2014-03-11,34.807315826416016
2014-03-12,34.9666748046875
2014-03-13,34.05034637451172
2014-03-14,34.203060150146484
2014-03-17,35.03971862792969
2014-03-18,34.46867370605469
2014-03-19,33.392982482910156
2014-03-20,33.047698974609375
2014-03-21,33.18049621582031
2014-03-24,33.426177978515625
2014-03-25,34.36243438720703
2014-03-26,34.58155059814453
2014-03-27,35.29869842529297
2014-03-28,35.52444076538086
2014-03-31,35.24555969238281
2014-04-01,35.152610778808594
2014-04-02,34.67451477050781
2014-04-03,35.27212142944336
2014-04-04,35.31196594238281
2014-04-07,35.41156005859375
2014-04-08,35.59085464477539
2014-04-09,35.975975036621094
2014-04-10,35.11276626586914
2014-04-11,34.31595230102539
2014-04-14,34.60147476196289
2014-04-15,35.404930114746094
2014-04-16,35.74357223510742
2014-04-17,35.504520416259766
2014-04-21,35.57756423950195
2014-04-22,35.47797393798828
2014-04-23,35.026424407958984
2014-04-24,35.0994873046875
2014-04-25,34.940128326416016
2014-04-28,35.01980209350586
2014-04-29,35.365081787109375
2014-04-30,35.45804977416992
2014-05-01,35.55101013183594
2014-05-02,35.856449127197266
2014-05-05,35.975975036621094
2014-05-06,36.18845748901367
2014-05-07,37.04500961303711
2014-05-08,37.33720016479492
2014-05-09,38.42615509033203
2014-05-12,38.83120346069336
2014-05-13,38.90425109863281
2014-05-14,39.043697357177734
2014-05-15,38.671844482421875
2014-05-16,39.3956184387207
2014-05-19,39.1632080078125
2014-05-20,39.05697250366211
2014-05-21,38.34647750854492
2014-05-22,38.15391540527344
2014-05-23,38.087520599365234
2014-05-27,38.23359298706055
2014-05-28,38.27342987060547
2014-05-29,38.11408615112305
2014-05-30,38.18046951293945
2014-06-02,38.57888412475586
2014-06-03,38.55896759033203
2014-06-04,38.76481246948242
2014-06-05,39.37569808959961
2014-06-06,38.95073318481445
2014-06-09,38.52576446533203
2014-06-10,38.705047607421875
2014-06-11,38.193111419677734
2014-06-12,38.17963790893555
2014-06-13,38.16617202758789
2014-06-16,38.80609130859375
2014-06-17,38.98121643066406
2014-06-18,38.87344741821289
2014-06-19,39.122676849365234
2014-06-20,38.99468994140625
2014-06-23,38.71178436279297
2014-06-24,38.880184173583984
2014-06-25,38.79935073852539
2014-06-26,38.85997772216797
2014-06-27,39.33823013305664
2014-06-30,39.284332275390625
2014-07-01,39.661556243896484
2014-07-02,39.52009963989258
2014-07-03,39.18330001831055
2014-07-07,39.49314880371094
2014-07-08,39.87710952758789
2014-07-09,39.930999755859375
2014-07-10,40.28127670288086
2014-07-11,40.18022918701172
2014-07-14,40.395774841308594
2014-07-15,40.678707122802734
2014-07-16,40.78647232055664
2014-07-17,40.69216537475586
2014-07-18,41.24452209472656
2014-07-21,41.24452209472656
2014-07-22,41.958534240722656
2014-07-23,42.551292419433594
2014-07-24,42.753387451171875
2014-07-25,42.382911682128906
2014-07-28,42.7668571472168
2014-07-29,43.04975891113281
2014-07-30,43.63580322265625
2014-07-31,43.37309646606445
2014-08-01,43.1710090637207
2014-08-04,43.34614562988281
2014-08-05,43.453941345214844
2014-08-06,43.1373405456543
2014-08-07,43.11039352416992
2014-08-08,43.52128219604492
2014-08-11,43.7705192565918
2014-08-12,43.662750244140625
2014-08-13,44.38349151611328
2014-08-14,44.302669525146484
2014-08-15,44.120792388916016
2014-08-18,44.78765869140625
2014-08-19,44.713565826416016
2014-08-20,45.090782165527344
2014-08-21,45.48146057128906
2014-08-22,44.38349151611328
2014-08-25,44.235294342041016
2014-08-26,44.18815231323242
2014-08-27,44.18815231323242
2014-08-28,44.1005859375
2014-08-29,43.952388763427734
2014-09-02,44.140995025634766
2014-09-03,44.329612731933594
2014-09-04,44.42390060424805
2014-09-05,44.956050872802734
2014-09-08,45.494937896728516
2014-09-09,45.38041305541992
2014-09-10,44.821327209472656
2014-09-11,45.019134521484375
2014-09-12,43.914127349853516
2014-09-15,43.402549743652344
2014-09-16,43.607173919677734
2014-09-17,43.29341125488281
2014-09-18,42.87732696533203
2014-09-19,42.945526123046875
2014-09-22,42.713619232177734
2014-09-23,42.072444915771484
2014-09-24,42.120182037353516
2014-09-25,42.12699508666992
2014-09-26,42.53627395629883
2014-09-29,42.67950439453125
2014-09-30,42.5499153137207
2014-10-01,42.89779281616211
2014-10-02,42.85686492919922
2014-10-03,42.88414001464844
2014-10-06,42.79547119140625
2014-10-07,42.56355285644531
2014-10-08,43.14334487915039
2014-10-09,43.35480499267578
2014-10-10,42.87051010131836
2014-10-13,43.19108963012695
2014-10-14,43.927764892578125
2014-10-15,43.416194915771484
2014-10-16,42.98645782470703
2014-10-17,43.92094802856445
2014-10-20,44.534847259521484
2014-10-21,45.25788116455078
2014-10-22,45.16238784790039
2014-10-23,45.22378921508789
2014-10-24,45.22378921508789
2014-10-27,45.97410583496094
2014-10-28,46.062774658203125
2014-10-29,45.71489715576172
2014-10-30,46.04230499267578
2014-10-31,47.058650970458984
2014-11-03,46.15826416015625
2014-11-04,46.21283721923828
2014-11-05,46.55387878417969
2014-11-06,46.117340087890625
2014-11-07,46.22648239135742
2014-11-10,46.79944610595703
2014-11-11,46.690303802490234
2014-11-12,46.65620422363281
2014-11-13,47.10641098022461
2014-11-14,46.949520111083984
2014-11-17,47.34513854980469
2014-11-18,47.07228088378906
2014-11-19,46.758522033691406
2014-11-20,46.594818115234375
