,MAR
2014-01-02,43.84819793701172
2014-01-03,43.57056427001953
2014-01-06,43.39145278930664
2014-01-07,43.57951736450195
2014-01-08,44.000450134277344
2014-01-09,43.87506103515625
2014-01-10,44.13478469848633
2014-01-13,43.66011047363281
2014-01-14,44.18852615356445
2014-01-15,44.6183967590332
2014-01-16,45.29010009765625
2014-01-17,45.33487319946289
2014-01-21,45.48713684082031
2014-01-22,45.827449798583984
2014-01-23,45.29905319213867
2014-01-24,44.564666748046875
2014-01-27,43.928802490234375
2014-01-28,44.51092529296875
2014-01-29,43.75864028930664
2014-01-30,44.161651611328125
2014-01-31,44.15270233154297
2014-02-03,42.513771057128906
2014-02-04,42.970523834228516
2014-02-05,42.8899040222168
2014-02-06,43.66908645629883
2014-02-07,44.09897232055664
2014-02-10,44.2064323425293
2014-02-11,44.50197982788086
2014-02-12,44.466163635253906
2014-02-13,44.87812805175781
2014-02-14,46.14091491699219
2014-02-18,46.01554870605469
2014-02-19,46.15882873535156
2014-02-20,46.382720947265625
2014-02-21,47.02754211425781
2014-02-24,47.8873176574707
2014-02-25,48.23659896850586
2014-02-26,48.012001037597656
2014-02-27,48.38932418823242
2014-02-28,48.721744537353516
2014-03-03,47.877227783203125
2014-03-04,48.36237716674805
2014-03-05,48.41626739501953
2014-03-06,49.05416488647461
2014-03-07,49.22486877441406
2014-03-10,48.68581008911133
2014-03-11,48.55105209350586
2014-03-12,48.54206466674805
2014-03-13,48.25456619262695
2014-03-14,48.407291412353516
2014-03-17,48.58698654174805
2014-03-18,48.892452239990234
2014-03-19,48.721744537353516
2014-03-20,48.51510238647461
2014-03-21,49.638153076171875
2014-03-24,49.54830551147461
2014-03-25,49.84477615356445
2014-03-26,49.934627532958984
2014-03-27,49.197914123535156
2014-03-28,49.80885314941406
2014-03-31,50.329933166503906
2014-04-01,51.147499084472656
2014-04-02,51.13850402832031
2014-04-03,50.8420295715332
2014-04-04,50.13227844238281
2014-04-07,50.13227844238281
2014-04-08,50.24907302856445
2014-04-09,50.91390609741211
2014-04-10,49.70103073120117
2014-04-11,49.68305587768555
2014-04-14,49.7908935546875
2014-04-15,50.40180587768555
2014-04-16,50.49164962768555
2014-04-17,50.53657913208008
2014-04-21,50.52759552001953
2014-04-22,51.255306243896484
2014-04-23,51.39907455444336
2014-04-24,51.776405334472656
2014-04-25,51.41701889038086
2014-04-28,50.285011291503906
2014-04-29,50.86899948120117
2014-04-30,52.045936584472656
2014-05-01,52.60293960571289
2014-05-02,53.08810806274414
2014-05-05,52.89942932128906
2014-05-06,52.108821868896484
2014-05-07,52.207637786865234
2014-05-08,52.00999069213867
2014-05-09,52.26155090332031
2014-05-12,53.20490646362305
2014-05-13,52.89045715332031
2014-05-14,52.629913330078125
2014-05-15,52.045936584472656
2014-05-16,52.42326354980469
2014-05-19,52.656856536865234
