,C
2015-02-19,39.13875961303711
2015-02-20,39.64408493041992
2015-02-23,39.291908264160156
2015-02-24,39.735965728759766
2015-02-25,39.88142013549805
2015-02-26,40.12643814086914
2015-02-27,40.13408279418945
2015-03-02,40.95331573486328
2015-03-03,41.13705825805664
2015-03-04,41.09111785888672
2015-03-05,41.00690841674805
2015-03-06,40.624080657958984
2015-03-09,40.53987121582031
2015-03-10,39.22299575805664
2015-03-11,40.0651741027832
2015-03-12,41.40502166748047
2015-03-13,40.991600036621094
2015-03-16,41.1064338684082
2015-03-17,41.22127151489258
2015-03-18,41.12938690185547
2015-03-19,40.10346221923828
2015-03-20,40.56283950805664
2015-03-23,40.18002700805664
2015-03-24,39.76658248901367
2015-03-25,39.33784103393555
2015-03-26,39.19236755371094
2015-03-27,39.04690170288086
2015-03-30,39.53689956665039
2015-03-31,39.44502258300781
2015-04-01,39.52159118652344
2015-04-02,39.70535659790039
2015-04-06,39.52159118652344
2015-04-07,39.44502258300781
2015-04-08,39.728302001953125
2015-04-09,39.912071228027344
2015-04-10,40.141754150390625
2015-04-13,40.317840576171875
2015-04-14,40.371429443359375
2015-04-15,40.73893356323242
2015-04-16,41.35909652709961
2015-04-17,40.631744384765625
2015-04-20,40.73128890991211
2015-04-21,40.18002700805664
2015-04-22,40.65470504760742
2015-04-23,40.74660110473633
2015-04-24,40.50159454345703
2015-04-27,40.42502212524414
2015-04-28,40.593467712402344
2015-04-29,41.160037994384766
2015-04-30,40.82315444946289
2015-05-01,41.160037994384766
2015-05-04,41.473934173583984
2015-05-05,40.84611892700195
2015-05-06,40.44034194946289
2015-05-07,40.85416793823242
2015-05-08,41.39828109741211
2015-05-11,41.35996627807617
2015-05-12,41.18370056152344
2015-05-13,41.536216735839844
2015-05-14,41.842750549316406
2015-05-15,41.5668830871582
2015-05-18,41.89639663696289
2015-05-19,42.40219497680664
2015-05-20,42.064998626708984
2015-05-21,42.02668762207031
2015-05-22,42.126312255859375
2015-05-26,41.5668830871582
2015-05-27,42.049678802490234
2015-05-28,41.804443359375
2015-05-29,41.44425582885742
2015-06-01,41.727806091308594
2015-06-02,41.93472671508789
2015-06-03,42.632110595703125
2015-06-04,42.40219497680664
2015-06-05,43.099578857421875
2015-06-08,42.64742660522461
2015-06-09,42.9156494140625
2015-06-10,43.697330474853516
2015-06-11,43.84293746948242
2015-06-12,43.766300201416016
2015-06-15,43.41377639770508
2015-06-16,43.73564910888672
2015-06-17,43.32949447631836
2015-06-18,43.498069763183594
2015-06-19,43.0919189453125
2015-06-22,43.64369201660156
2015-06-23,43.980899810791016
2015-06-24,43.421443939208984
2015-06-25,43.0612678527832
2015-06-26,43.176212310791016
2015-06-29,42.057334899902344
2015-06-30,42.333251953125
2015-07-01,42.67042541503906
2015-07-02,42.43286895751953
2015-07-06,42.21062469482422
2015-07-07,41.76612091064453
2015-07-08,40.463321685791016
2015-07-09,41.160709381103516
2015-07-10,41.81210708618164
2015-07-13,42.563148498535156
2015-07-14,42.846683502197266
2015-07-15,43.268184661865234
2015-07-16,44.9005012512207
2015-07-17,45.02312469482422
2015-07-20,45.09973907470703
2015-07-21,45.29133987426758
2015-07-22,46.24162673950195
2015-07-23,45.88143539428711
2015-07-24,44.984798431396484
2015-07-27,44.417701721191406
