,BRO
2014-01-02,13.936899185180664
2014-01-03,13.91899585723877
2014-01-06,13.820533752441406
2014-01-07,14.129345893859863
2014-01-08,14.115921974182129
2014-01-09,14.18305492401123
2014-01-10,14.18305492401123
2014-01-13,13.963749885559082
2014-01-14,14.124876022338867
2014-01-15,14.124876022338867
2014-01-16,14.411309242248535
2014-01-17,14.50529670715332
2014-01-21,14.57242488861084
2014-01-22,14.670893669128418
2014-01-23,14.43816089630127
2014-01-24,14.053262710571289
2014-01-27,14.16515064239502
2014-01-28,14.299415588378906
2014-01-29,14.138296127319336
2014-01-30,14.263614654541016
2014-01-31,14.093544960021973
2014-02-03,13.77476978302002
2014-02-04,12.697209358215332
2014-02-05,12.93516731262207
2014-02-06,12.701701164245605
2014-02-07,13.101293563842773
2014-02-10,13.137211799621582
2014-02-11,13.289863586425781
2014-02-12,13.235989570617676
2014-02-13,13.258441925048828
2014-02-14,13.289863586425781
2014-02-18,13.379659652709961
2014-02-19,13.370684623718262
2014-02-20,13.496397018432617
2014-02-21,13.451499938964844
2014-02-24,13.339250564575195
2014-02-25,13.294355392456055
2014-02-26,13.218029022216797
2014-02-27,13.384151458740234
2014-02-28,13.51435661315918
2014-03-03,13.438028335571289
2014-03-04,13.595174789428711
2014-03-05,13.684971809387207
2014-03-06,13.84211254119873
2014-03-07,13.869050025939941
2014-03-10,13.891504287719727
2014-03-11,13.904969215393066
2014-03-12,13.94089126586914
2014-03-13,13.891504287719727
2014-03-14,13.954357147216797
2014-03-17,13.91395092010498
2014-03-18,14.021706581115723
2014-03-19,13.895991325378418
2014-03-20,14.008235931396484
2014-03-21,13.91395092010498
2014-03-24,13.81517219543457
2014-03-25,13.801704406738281
2014-03-26,13.698439598083496
2014-03-27,13.608644485473633
2014-03-28,13.671499252319336
2014-03-31,13.810685157775879
2014-04-01,13.94089126586914
2014-04-02,13.985790252685547
2014-04-03,13.900479316711426
2014-04-04,13.707418441772461
2014-04-07,13.298842430114746
2014-04-08,13.276394844055176
2014-04-09,13.460480690002441
2014-04-10,13.150679588317871
2014-04-11,13.024967193603516
2014-04-14,13.047417640686035
2014-04-15,13.253946304321289
2014-04-16,13.397621154785156
2014-04-17,13.51884651184082
2014-04-21,13.51435661315918
2014-04-22,12.980067253112793
2014-04-23,13.191088676452637
2014-04-24,13.244965553283691
2014-04-25,13.285378456115723
2014-04-28,13.271906852722168
2014-04-29,13.348230361938477
2014-04-30,13.370684623718262
2014-05-01,13.375170707702637
2014-05-02,13.361653327941895
2014-05-05,13.37066650390625
2014-05-06,13.163435935974121
2014-05-07,13.212993621826172
2014-05-08,13.303096771240234
2014-05-09,13.343636512756348
2014-05-12,13.559873580932617
2014-05-13,13.53735065460205
2014-05-14,13.469773292541504
2014-05-15,13.411211967468262
2014-05-16,13.325617790222168
2014-05-19,13.379674911499023
2014-05-20,13.240023612976074
2014-05-21,13.28507137298584
2014-05-22,13.375171661376953
2014-05-23,13.546358108520508
2014-05-27,13.622943878173828
2014-05-28,13.523836135864258
2014-05-29,13.645469665527344
2014-05-30,13.600418090820312
2014-06-02,13.600418090820312
2014-06-03,13.564379692077637
2014-06-04,13.67249870300293
2014-06-05,13.658982276916504
2014-06-06,13.861703872680664
2014-06-09,13.902250289916992
2014-06-10,13.866209983825684
2014-06-11,13.82116413116455
2014-06-12,13.816656112670898
2014-06-13,13.771608352661133
2014-06-16,13.74457836151123
2014-06-17,13.857199668884277
2014-06-18,13.884232521057129
2014-06-19,13.830169677734375
2014-06-20,13.758091926574707
2014-06-23,13.798633575439453
2014-06-24,13.722049713134766
2014-06-25,13.80313777923584
2014-06-26,13.717545509338379
2014-06-27,13.731064796447754
2014-06-30,13.834676742553711
2014-07-01,13.96531867980957
2014-07-02,13.807644844055176
2014-07-03,13.861703872680664
2014-07-07,13.789628028869629
2014-07-08,13.767099380493164
2014-07-09,13.753585815429688
2014-07-10,13.636460304260254
2014-07-11,13.640965461730957
2014-07-14,13.699524879455566
2014-07-15,13.704032897949219
2014-07-16,13.753585815429688
2014-07-17,13.67249870300293
2014-07-18,13.68150806427002
2014-07-21,13.613931655883789
2014-07-22,14.222101211547852
2014-07-23,14.213090896606445
2014-07-24,14.2896728515625
2014-07-25,14.244626998901367
2014-07-28,14.235615730285645
2014-07-29,14.023884773254395
2014-07-30,14.041905403137207
2014-07-31,13.866209983825684
2014-08-01,13.758091926574707
2014-08-04,13.780617713928223
2014-08-05,13.65447998046875
2014-08-06,13.781034469604492
2014-08-07,13.74035358428955
2014-08-08,13.835271835327148
2014-08-11,13.875948905944824
2014-08-12,13.957304954528809
2014-08-13,14.088386535644531
2014-08-14,14.156182289123535
2014-08-15,14.214941024780273
2014-08-18,14.341496467590332
2014-08-19,14.395735740661621
2014-08-20,14.413811683654785
2014-08-21,14.567487716674805
2014-08-22,14.567487716674805
2014-08-25,14.630765914916992
2014-08-26,14.703084945678711
2014-08-27,14.716641426086426
2014-08-28,14.694045066833496
2014-08-29,14.743762016296387
2014-09-02,14.847722053527832
2014-09-03,14.888396263122559
2014-09-04,14.901959419250488
2014-09-05,14.856759071350098
2014-09-08,14.879359245300293
2014-09-09,14.752802848815918
2014-09-10,14.757325172424316
2014-09-11,14.784441947937012
2014-09-12,14.86579704284668
2014-09-15,14.852239608764648
2014-09-16,14.820602416992188
2014-09-17,14.874837875366211
2014-09-18,14.978795051574707
