,EXC
2014-01-02,13.084436416625977
2014-01-03,12.81956672668457
2014-01-06,12.901437759399414
2014-01-07,12.968856811523438
2014-01-08,12.939958572387695
2014-01-09,13.017009735107422
2014-01-10,13.084436416625977
2014-01-13,12.99293327331543
2014-01-14,12.949593544006348
2014-01-15,12.891802787780762
2014-01-16,13.200011253356934
2014-01-17,13.09887981414795
2014-01-21,13.373382568359375
2014-01-22,13.546745300292969
2014-01-23,13.638246536254883
2014-01-24,13.61417007446289
2014-01-27,13.58045768737793
2014-01-28,13.532299041748047
2014-01-29,13.575643539428711
2014-01-30,13.960904121398926
2014-01-31,13.965721130371094
2014-02-03,13.951272010803223
2014-02-04,13.922375679016113
2014-02-05,13.898297309875488
2014-02-06,14.201689720153809
2014-02-07,14.177617073059082
2014-02-10,14.15834903717041
2014-02-11,14.192060470581055
2014-02-12,14.08498477935791
2014-02-13,14.308870315551758
2014-02-14,14.47433853149414
2014-02-18,14.625215530395508
2014-02-19,14.581418991088867
2014-02-20,14.7128267288208
2014-02-21,14.805298805236816
2014-02-24,14.79069995880127
2014-02-25,14.776095390319824
2014-02-26,14.805298805236816
2014-02-27,14.683627128601074
2014-02-28,14.800426483154297
2014-03-03,14.615487098693848
2014-03-04,14.795560836791992
2014-03-05,14.73715877532959
2014-03-06,14.50840950012207
2014-03-07,14.513286590576172
2014-03-10,14.542481422424316
2014-03-11,14.523014068603516
2014-03-12,14.68848991394043
2014-03-13,14.849100112915039
2014-03-14,14.912373542785645
2014-03-17,15.097318649291992
2014-03-18,15.160589218139648
2014-03-19,15.116783142089844
2014-03-20,15.267654418945312
2014-03-21,15.841962814331055
2014-03-24,16.026905059814453
2014-03-25,16.026905059814453
2014-03-26,15.788422584533691
2014-03-27,15.973370552062988
2014-03-28,16.20210838317871
2014-03-31,16.333524703979492
2014-04-01,16.299453735351562
2014-04-02,16.309188842773438
2014-04-03,16.440593719482422
2014-04-04,16.776416778564453
2014-04-07,16.883485794067383
2014-04-08,17.297178268432617
2014-04-09,17.175504684448242
2014-04-10,17.078166961669922
2014-04-11,17.11223602294922
2014-04-14,17.175504684448242
2014-04-15,17.521066665649414
2014-04-16,17.637866973876953
2014-04-17,17.550264358520508
2014-04-21,17.491857528686523
2014-04-22,17.467519760131836
2014-04-23,17.47239875793457
2014-04-24,17.525930404663086
2014-04-25,17.647600173950195
2014-04-28,17.76927947998047
2014-04-29,17.60866928100586
2014-04-30,17.048965454101562
2014-05-01,17.516193389892578
2014-05-02,17.443191528320312
2014-05-05,17.637866973876953
2014-05-06,17.5405330657959
2014-05-07,17.890949249267578
2014-05-08,17.754674911499023
2014-05-09,17.6184024810791
2014-05-12,17.229042053222656
2014-05-13,17.34098243713379
2014-05-14,17.08568572998047
2014-05-15,16.962940216064453
2014-05-16,16.87456512451172
2014-05-19,16.67817497253418
2014-05-20,16.63890266418457
2014-05-21,16.643814086914062
2014-05-22,16.791099548339844
2014-05-23,16.766551971435547
2014-05-27,17.370437622070312
2014-05-28,17.669933319091797
2014-05-29,17.704303741455078
2014-05-30,18.082353591918945
2014-06-02,17.969423294067383
2014-06-03,18.259098052978516
2014-06-04,18.298370361328125
2014-06-05,18.391658782958984
2014-06-06,18.36710548400879
2014-06-09,18.20508575439453
2014-06-10,18.24436378479004
2014-06-11,17.55210304260254
2014-06-12,17.21824073791504
2014-06-13,17.537370681762695
2014-06-16,17.72884750366211
2014-06-17,17.817222595214844
2014-06-18,18.092164993286133
2014-06-19,18.24927520751953
2014-06-20,18.04798126220703
2014-06-23,17.812313079833984
2014-06-24,17.7779483795166
2014-06-25,17.782854080200195
2014-06-26,17.72884750366211
2014-06-27,17.817222595214844
2014-06-30,17.910505294799805
2014-07-01,17.527551651000977
2014-07-02,16.982580184936523
2014-07-03,16.67817497253418
2014-07-07,16.869657516479492
2014-07-08,16.850013732910156
2014-07-09,16.820560455322266
2014-07-10,16.869657516479492
2014-07-11,16.58489227294922
2014-07-14,16.147930145263672
2014-07-15,16.1282958984375
2014-07-16,16.1724853515625
2014-07-17,15.686424255371094
2014-07-18,15.755158424377441
2014-07-21,15.823891639709473
2014-07-22,15.602954864501953
2014-07-23,15.593138694763184
2014-07-24,15.617688179016113
2014-07-25,15.440938949584961
2014-07-28,15.686424255371094
2014-07-29,15.450756072998047
2014-07-30,15.224912643432617
2014-07-31,15.259279251098633
2014-08-01,15.485124588012695
2014-08-04,15.39675235748291
2014-08-05,15.283834457397461
2014-08-06,15.30838394165039
2014-08-07,15.494949340820312
2014-08-08,15.769883155822754
2014-08-11,15.76497745513916
2014-08-12,15.647148132324219
2014-08-13,15.592609405517578
2014-08-14,15.78100872039795
2014-08-15,15.766130447387695
2014-08-18,15.776049613952637
2014-08-19,15.845465660095215
2014-08-20,15.860334396362305
2014-08-21,15.989236831665039
2014-08-22,16.058652877807617
2014-08-25,16.276803970336914
2014-08-26,16.018993377685547
2014-08-27,16.24704933166504
2014-08-28,16.361082077026367
2014-08-29,16.569313049316406
2014-09-02,16.276803970336914
2014-09-03,16.48998260498047
2014-09-04,16.633771896362305
2014-09-05,16.762676239013672
2014-09-08,16.57923698425293
2014-09-09,16.420581817626953
2014-09-10,16.380908966064453
2014-09-11,16.485031127929688
2014-09-12,16.291675567626953
2014-09-15,16.475120544433594
2014-09-16,16.76763343811035
2014-09-17,16.698226928710938
2014-09-18,16.7477970123291
2014-09-19,17.060150146484375
2014-09-22,17.00065803527832
2014-09-23,16.916366577148438
2014-09-24,16.812252044677734
2014-09-25,16.65856170654297
2014-09-26,16.708141326904297
2014-09-29,16.911407470703125
2014-09-30,16.9014949798584
2014-10-01,17.139480590820312
2014-10-02,17.21880340576172
2014-10-03,17.29317283630371
2014-10-06,17.24854850769043
2014-10-07,17.233673095703125
2014-10-08,17.764171600341797
2014-10-09,17.253511428833008
2014-10-10,17.268383026123047
2014-10-13,16.911407470703125
2014-10-14,17.17418098449707
2014-10-15,16.822168350219727
2014-10-16,16.9014949798584
2014-10-17,17.045276641845703
2014-10-20,17.347707748413086
2014-10-21,17.3526668548584
2014-10-22,17.29317283630371
2014-10-23,17.29317283630371
2014-10-24,17.714590072631836
2014-10-27,17.451826095581055
2014-10-28,17.71955108642578
2014-10-29,17.491485595703125
2014-10-30,18.19550323486328
2014-10-31,18.140972137451172
2014-11-03,18.046777725219727
2014-11-04,18.08147430419922
2014-11-05,18.602062225341797
2014-11-06,18.562395095825195
2014-11-07,18.726009368896484
2014-11-10,18.6417236328125
2014-11-11,18.616928100585938
2014-11-12,17.962039947509766
2014-11-13,17.67708396911621
2014-11-14,17.70208740234375
2014-11-17,17.852054595947266
2014-11-18,17.892053604125977
2014-11-19,18.022024154663086
2014-11-20,17.96703338623047
2014-11-21,18.12200927734375
2014-11-24,17.622095108032227
2014-11-25,17.587099075317383
2014-11-26,17.842060089111328
2014-11-28,18.08201789855957
2014-12-01,18.11701202392578
2014-12-02,18.346969604492188
2014-12-03,18.107011795043945
2014-12-04,17.842060089111328
2014-12-05,17.79206657409668
2014-12-08,17.912046432495117
2014-12-09,18.177003860473633
2014-12-10,17.96703338623047
2014-12-11,18.13201332092285
2014-12-12,17.95703887939453
2014-12-15,17.7520694732666
2014-12-16,17.737077713012695
2014-12-17,18.286985397338867
2014-12-18,18.76190757751465
2014-12-19,18.80190658569336
2014-12-22,18.501949310302734
2014-12-23,18.61693000793457
2014-12-24,18.921886444091797
2014-12-26,19.101848602294922
2014-12-29,19.311817169189453
2014-12-30,19.046857833862305
2014-12-31,18.536941528320312
2015-01-02,18.781902313232422
2015-01-05,18.24699592590332
2015-01-06,18.107011795043945
2015-01-07,18.13201332092285
2015-01-08,18.271987915039062
2015-01-09,18.241987228393555
2015-01-12,18.31197738647461
2015-01-13,18.251989364624023
2015-01-14,18.45695686340332
2015-01-15,18.631925582885742
2015-01-16,18.686920166015625
2015-01-20,18.621931076049805
2015-01-21,18.991867065429688
2015-01-22,18.621931076049805
2015-01-23,18.681921005249023
2015-01-26,18.666919708251953
2015-01-27,18.701913833618164
2015-01-28,18.496950149536133
2015-01-29,18.511947631835938
2015-01-30,18.01702880859375
2015-02-02,18.022024154663086
2015-02-03,18.46195411682129
2015-02-04,18.092018127441406
2015-02-05,18.296981811523438
2015-02-06,17.497116088867188
2015-02-09,17.237159729003906
2015-02-10,17.497116088867188
2015-02-11,17.280227661132812
