,LMT
2014-10-02,133.82675170898438
2014-10-03,135.3369903564453
2014-10-06,134.25936889648438
2014-10-07,131.2997589111328
2014-10-08,133.82675170898438
2014-10-09,132.46087646484375
2014-10-10,132.40011596679688
2014-10-13,131.19354248046875
2014-10-14,133.64466857910156
2014-10-15,132.9464874267578
2014-10-16,132.58982849121094
2014-10-17,133.74334716796875
2014-10-20,133.20457458496094
2014-10-21,130.9886474609375
2014-10-22,133.56883239746094
2014-10-23,137.10513305664062
2014-10-24,137.60595703125
2014-10-27,138.87332153320312
2014-10-28,140.80841064453125
2014-10-29,141.47622680664062
2014-10-30,143.6466064453125
2014-10-31,144.61793518066406
2014-11-03,144.75453186035156
2014-11-04,144.784912109375
2014-11-05,143.98049926757812
2014-11-06,144.09432983398438
2014-11-07,141.2637481689453
2014-11-10,141.90118408203125
2014-11-11,141.99984741210938
2014-11-12,141.8101043701172
2014-11-13,142.64488220214844
2014-11-14,141.60520935058594
2014-11-17,140.77806091308594
2014-11-18,141.57485961914062
2014-11-19,141.14993286132812
2014-11-20,140.81594848632812
2014-11-21,142.61453247070312
2014-11-24,143.2899169921875
2014-11-25,143.17605590820312
2014-11-26,144.69073486328125
2014-11-28,146.5342254638672
2014-12-01,146.18235778808594
2014-12-02,145.425048828125
2014-12-03,145.09609985351562
2014-12-04,145.13433837890625
2014-12-05,145.24151611328125
2014-12-08,145.22613525390625
2014-12-09,145.815185546875
2014-12-10,143.74215698242188
2014-12-11,144.7671661376953
2014-12-12,141.6538543701172
2014-12-15,140.91184997558594
2014-12-16,141.81443786621094
2014-12-17,141.63088989257812
2014-12-18,146.59539794921875
2014-12-19,147.52101135253906
2014-12-22,150.2748565673828
2014-12-23,149.7546844482422
2014-12-24,150.2595672607422
2014-12-26,150.5731658935547
2014-12-29,149.6552276611328
2014-12-30,149.49459838867188
2014-12-31,147.30686950683594
2015-01-02,147.87290954589844
2015-01-05,144.79779052734375
2015-01-06,144.1169891357422
2015-01-07,145.975830078125
2015-01-08,149.26507568359375
2015-01-09,149.18089294433594
2015-01-12,148.76022338867188
2015-01-13,148.66842651367188
2015-01-14,147.8116912841797
2015-01-15,147.1538543701172
2015-01-16,148.94386291503906
2015-01-20,149.7393798828125
2015-01-21,149.54815673828125
2015-01-22,151.52935791015625
2015-01-23,151.03213500976562
2015-01-26,149.685791015625
2015-01-27,145.76162719726562
2015-01-28,144.7671661376953
2015-01-29,147.25331115722656
2015-01-30,144.09400939941406
2015-02-02,144.82839965820312
2015-02-03,146.87081909179688
2015-02-04,147.08497619628906
2015-02-05,148.44662475585938
2015-02-06,149.34921264648438
2015-02-09,147.65106201171875
2015-02-10,149.67816162109375
2015-02-11,150.16770935058594
