,LKQ
2014-01-02,30.325284957885742
2014-01-03,30.194246292114258
2014-01-06,29.632667541503906
2014-01-07,29.94153594970703
2014-01-08,30.222326278686523
2014-01-09,29.988332748413086
2014-01-10,30.446956634521484
2014-01-13,30.194246292114258
2014-01-14,30.222326278686523
2014-01-15,27.57353973388672
2014-01-16,27.4144287109375
2014-01-17,26.14151382446289
2014-01-21,24.278942108154297
2014-01-22,24.9996337890625
2014-01-23,24.849884033203125
2014-01-24,24.48485565185547
2014-01-27,24.559730529785156
2014-01-28,24.9153995513916
2014-01-29,24.82180404663086
2014-01-30,25.570575714111328
2014-01-31,25.336584091186523
2014-02-03,24.924758911132812
2014-02-04,24.765642166137695
2014-02-05,24.503576278686523
2014-02-06,25.24298667907715
2014-02-07,26.291269302368164
2014-02-10,25.598655700683594
2014-02-11,25.7203311920166
2014-02-12,25.86072540283203
2014-02-13,26.67501449584961
2014-02-14,26.993242263793945
2014-02-18,27.0681209564209
2014-02-19,27.124277114868164
2014-02-20,27.227231979370117
2014-02-21,27.629697799682617
2014-02-24,27.620338439941406
2014-02-25,27.19915199279785
2014-02-26,27.208515167236328
2014-02-27,25.23362922668457
2014-02-28,26.104074478149414
2014-03-03,26.010478973388672
2014-03-04,26.67501449584961
2014-03-05,26.609498977661133
2014-03-06,25.804567337036133
2014-03-07,26.04792022705078
2014-03-10,25.795209884643555
2014-03-11,25.50505828857422
2014-03-12,25.495695114135742
2014-03-13,25.23362922668457
2014-03-14,24.597171783447266
2014-03-17,24.34446144104004
2014-03-18,24.091751098632812
2014-03-19,24.6252498626709
2014-03-20,24.15726661682129
2014-03-21,24.091751098632812
2014-03-24,23.66120719909668
2014-03-25,23.614408493041992
2014-03-26,23.18386459350586
2014-03-27,23.52080726623535
2014-03-28,24.232147216796875
2014-03-31,24.662689208984375
2014-04-01,25.42082405090332
2014-04-02,25.327226638793945
2014-04-03,26.188312530517578
2014-04-04,25.7203311920166
2014-04-07,25.50505828857422
2014-04-08,25.89816665649414
2014-04-09,26.05727767944336
2014-04-10,25.402101516723633
2014-04-11,25.66417121887207
2014-04-14,24.962202072143555
2014-04-15,25.68288803100586
2014-04-16,25.074514389038086
2014-04-17,25.626733779907227
2014-04-21,25.69225311279297
2014-04-22,25.42082405090332
2014-04-23,25.355304718017578
2014-04-24,25.61737823486328
2014-04-25,24.943479537963867
2014-04-28,25.476978302001953
2014-04-29,27.657777786254883
2014-04-30,27.25531578063965
2014-05-01,27.25531578063965
2014-05-02,27.386350631713867
2014-05-05,27.386350631713867
2014-05-06,26.590778350830078
2014-05-07,27.09619903564453
2014-05-08,27.077482223510742
2014-05-09,26.937084197998047
2014-05-12,27.47058868408203
2014-05-13,27.47058868408203
2014-05-14,26.68437385559082
2014-05-15,26.543981552124023
2014-05-16,26.57206153869629
2014-05-19,26.56269645690918
2014-05-20,26.132156372070312
2014-05-21,26.27254867553711
2014-05-22,26.338071823120117
2014-05-23,26.328706741333008
2014-05-27,26.824769973754883
2014-05-28,26.478464126586914
2014-05-29,26.244470596313477
2014-05-30,25.96368408203125
2014-06-02,26.207035064697266
2014-06-03,26.319351196289062
2014-06-04,26.188312530517578
2014-06-05,26.104074478149414
2014-06-06,26.338071823120117
2014-06-09,26.403583526611328
2014-06-10,25.495695114135742
2014-06-11,25.14939308166504
2014-06-12,24.65332794189453
2014-06-13,24.33510398864746
2014-06-16,24.01687240600586
2014-06-17,24.101112365722656
2014-06-18,25.074514389038086
2014-06-19,24.784366607666016
2014-06-20,24.82180404663086
2014-06-23,24.372541427612305
2014-06-24,24.185348510742188
2014-06-25,24.700130462646484
2014-06-26,24.634607315063477
2014-06-27,24.943479537963867
2014-06-30,24.980918884277344
2014-07-01,25.28978729248047
2014-07-02,25.018356323242188
2014-07-03,25.327226638793945
2014-07-07,25.3740234375
2014-07-08,24.793725967407227
2014-07-09,25.29914665222168
2014-07-10,24.86860466003418
2014-07-11,24.896678924560547
2014-07-14,25.018356323242188
2014-07-15,24.9153995513916
2014-07-16,24.569089889526367
2014-07-17,24.091751098632812
2014-07-18,24.222782135009766
2014-07-21,24.110471725463867
2014-07-22,23.913917541503906
2014-07-23,24.091751098632812
2014-07-24,24.06367301940918
2014-07-25,23.726726531982422
2014-07-28,23.848398208618164
2014-07-29,23.782880783081055
2014-07-30,23.708005905151367
2014-07-31,24.48485565185547
2014-08-01,23.93263816833496
2014-08-04,24.765642166137695
2014-08-05,24.475496292114258
2014-08-06,24.438058853149414
2014-08-07,24.316381454467773
2014-08-08,24.849884033203125
2014-08-11,24.896678924560547
2014-08-12,24.634607315063477
2014-08-13,24.503576278686523
2014-08-14,24.765642166137695
2014-08-15,24.81244659423828
2014-08-18,25.486339569091797
2014-08-19,25.3740234375
2014-08-20,25.570575714111328
2014-08-21,25.467618942260742
2014-08-22,25.551855087280273
2014-08-25,26.25383186340332
2014-08-26,26.113433837890625
2014-08-27,25.97304344177246
2014-08-28,25.99176025390625
2014-08-29,26.581417083740234
2014-09-02,27.09619903564453
2014-09-03,26.955806732177734
2014-09-04,26.90900993347168
2014-09-05,26.79669189453125
2014-09-08,26.618858337402344
2014-09-09,26.441024780273438
2014-09-10,26.178953170776367
2014-09-11,26.394227981567383
2014-09-12,26.160234451293945
2014-09-15,26.178953170776367
2014-09-16,26.26319122314453
2014-09-17,26.019838333129883
2014-09-18,25.72968864440918
2014-09-19,25.57993507385254
2014-09-22,25.093233108520508
2014-09-23,24.737565994262695
2014-09-24,24.924758911132812
2014-09-25,24.578453063964844
2014-09-26,24.86860466003418
2014-09-29,24.887319564819336
2014-09-30,24.887319564819336
2014-10-01,24.924758911132812
2014-10-02,25.336584091186523
2014-10-03,25.626733779907227
2014-10-06,25.36466407775879
2014-10-07,24.700130462646484
2014-10-08,24.952838897705078
2014-10-09,24.42869758605957
2014-10-10,24.05431365966797
2014-10-13,23.52080726623535
2014-10-14,24.307018280029297
2014-10-15,24.20406723022461
2014-10-16,24.606534957885742
2014-10-17,24.569089889526367
2014-10-20,24.784366607666016
2014-10-21,25.252349853515625
2014-10-22,25.121313095092773
2014-10-23,25.41145896911621
2014-10-24,25.486339569091797
2014-10-27,25.533140182495117
2014-10-28,26.04792022705078
2014-10-29,25.870084762573242
2014-10-30,25.140029907226562
2014-10-31,26.740535736083984
2014-11-03,26.946449279785156
2014-11-04,26.375507354736328
2014-11-05,26.91836929321289
2014-11-06,27.08684539794922
2014-11-07,27.25531578063965
2014-11-10,27.358266830444336
2014-11-11,27.25531578063965
2014-11-12,27.376991271972656
2014-11-13,27.208515167236328
2014-11-14,27.124277114868164
2014-11-17,26.9277286529541
2014-11-18,27.10555648803711
2014-11-19,26.88092613220215
2014-11-20,26.974525451660156
2014-11-21,26.946449279785156
2014-11-24,27.14299774169922
2014-11-25,26.90900993347168
2014-11-26,27.021318435668945
2014-11-28,27.18979263305664
2014-12-01,26.890287399291992
2014-12-02,27.011962890625
2014-12-03,27.667137145996094
2014-12-04,27.124277114868164
2014-12-05,27.376991271972656
2014-12-08,27.10555648803711
2014-12-09,27.545459747314453
2014-12-10,27.040040969848633
2014-12-11,26.73117446899414
2014-12-12,26.029197692871094
2014-12-15,25.748409271240234
2014-12-16,25.196191787719727
2014-12-17,25.645448684692383
2014-12-18,25.748409271240234
2014-12-19,25.84200668334961
2014-12-22,25.92624282836914
2014-12-23,26.160234451293945
2014-12-24,26.14151382446289
2014-12-26,26.30999183654785
2014-12-29,26.41294288635254
2014-12-30,26.431665420532227
2014-12-31,26.319351196289062
2015-01-02,26.001123428344727
2015-01-05,25.68288803100586
2015-01-06,25.22426986694336
2015-01-07,25.57993507385254
2015-01-08,25.85136604309082
2015-01-09,25.636093139648438
2015-01-12,25.17746925354004
2015-01-13,24.924758911132812
2015-01-14,24.531654357910156
2015-01-15,23.66120719909668
2015-01-16,23.988792419433594
2015-01-20,24.007511138916016
2015-01-21,24.606534957885742
