,HAL
2014-01-02,41.219146728515625
2014-01-03,41.318058013916016
2014-01-06,41.47465515136719
2014-01-07,41.37575149536133
2014-01-08,40.79881286621094
2014-01-09,40.88945388793945
2014-01-10,41.639495849609375
2014-01-13,40.8647346496582
2014-01-14,41.54059982299805
2014-01-15,41.73841094970703
2014-01-16,41.95270538330078
2014-01-17,41.7548828125
2014-01-21,41.02958297729492
2014-01-22,41.65597915649414
2014-01-23,41.30156707763672
2014-01-24,40.06524658203125
2014-01-27,39.966331481933594
2014-01-28,39.83447265625
2014-01-29,39.727317810058594
2014-01-30,40.74934387207031
2014-01-31,40.39493942260742
2014-02-03,39.83447265625
2014-02-04,40.68339538574219
2014-02-05,40.609230041503906
2014-02-06,41.83731460571289
2014-02-07,42.83462142944336
2014-02-10,42.75218963623047
2014-02-11,44.37590789794922
2014-02-12,43.782474517822266
2014-02-13,44.06271743774414
2014-02-14,44.15338134765625
2014-02-18,44.614933013916016
2014-02-19,44.94462585449219
2014-02-20,45.64519500732422
2014-02-21,45.57926559448242
2014-02-24,46.46118927001953
2014-02-25,45.81005859375
2014-02-26,45.46387481689453
2014-02-27,45.90070724487305
2014-02-28,46.98044204711914
2014-03-03,46.5920295715332
2014-03-04,47.021759033203125
2014-03-05,46.435020446777344
2014-03-06,47.03828048706055
2014-03-07,46.443275451660156
2014-03-10,46.666412353515625
2014-03-11,46.04662322998047
2014-03-12,45.77390670776367
2014-03-13,45.6582145690918
2014-03-14,45.60862731933594
2014-03-17,46.79037094116211
2014-03-18,47.021759033203125
2014-03-19,46.92258071899414
2014-03-20,47.401893615722656
2014-03-21,47.980369567871094
2014-03-24,47.74898147583008
2014-03-25,48.872886657714844
2014-03-26,48.23655319213867
2014-03-27,48.00517272949219
2014-03-28,49.13732147216797
2014-03-31,48.66627502441406
2014-04-01,49.27781295776367
2014-04-02,49.525726318359375
2014-04-03,49.41830062866211
2014-04-04,49.013362884521484
2014-04-07,47.401893615722656
2014-04-08,48.352237701416016
2014-04-09,48.58364486694336
2014-04-10,47.856422424316406
2014-04-11,47.608497619628906
2014-04-14,48.823307037353516
2014-04-15,49.55878448486328
2014-04-16,49.99677276611328
2014-04-17,50.32733154296875
2014-04-21,51.996639251708984
2014-04-22,52.37678146362305
2014-04-23,53.484161376953125
2014-04-24,52.46769332885742
2014-04-25,51.94705581665039
2014-04-28,51.88094711303711
2014-04-29,52.07100296020508
2014-04-30,52.120609283447266
2014-05-01,51.98837661743164
2014-05-02,52.7734489440918
2014-05-05,52.81478500366211
2014-05-06,52.492488861083984
2014-05-07,53.50067901611328
2014-05-08,52.4181022644043
2014-05-09,52.475955963134766
2014-05-12,53.029632568359375
2014-05-13,52.97178649902344
2014-05-14,52.88088607788086
2014-05-15,51.54213333129883
2014-05-16,51.93878936767578
2014-05-19,52.236297607421875
2014-05-20,51.963592529296875
2014-05-21,52.2032470703125
2014-05-22,52.40156173706055
2014-05-23,52.89741516113281
2014-05-27,52.864349365234375
2014-05-28,52.42636489868164
2014-05-29,52.8891487121582
2014-05-30,53.418033599853516
2014-06-02,53.848758697509766
2014-06-03,54.31260681152344
2014-06-04,54.16352462768555
2014-06-05,54.57767105102539
2014-06-06,55.48054885864258
2014-06-09,55.63791275024414
2014-06-10,55.58823013305664
2014-06-11,55.447410583496094
2014-06-12,55.19892120361328
2014-06-13,55.977535247802734
2014-06-16,56.00238800048828
2014-06-17,56.00238800048828
2014-06-18,56.73958206176758
2014-06-19,57.137184143066406
2014-06-20,58.18085479736328
2014-06-23,58.28853225708008
2014-06-24,56.45796585083008
2014-06-25,57.518211364746094
2014-06-26,57.60930633544922
2014-06-27,58.37137222290039
2014-06-30,58.81864547729492
2014-07-01,58.68613815307617
2014-07-02,58.66127395629883
2014-07-03,58.7855224609375
2014-07-07,58.114593505859375
2014-07-08,57.70042419433594
2014-07-09,58.53704071044922
2014-07-10,57.44363784790039
2014-07-11,57.14543914794922
2014-07-14,57.8163948059082
2014-07-15,58.197410583496094
2014-07-16,59.52271270751953
2014-07-17,58.2719841003418
2014-07-18,58.75239181518555
2014-07-21,58.81037521362305
2014-07-22,60.70721435546875
2014-07-23,61.31187438964844
2014-07-24,60.80660629272461
2014-07-25,60.80660629272461
2014-07-28,60.16880798339844
2014-07-29,58.992610931396484
2014-07-30,58.59502029418945
2014-07-31,57.14543914794922
2014-08-01,56.921791076660156
2014-08-04,58.05657958984375
2014-08-05,56.09347915649414
2014-08-06,56.29230880737305
2014-08-07,55.803592681884766
2014-08-08,56.582210540771484
2014-08-11,57.501644134521484
2014-08-12,57.17030334472656
2014-08-13,57.601016998291016
2014-08-14,55.77873611450195
2014-08-15,56.673316955566406
2014-08-18,57.046058654785156
2014-08-19,56.96323776245117
2014-08-20,56.971500396728516
2014-08-21,56.60704803466797
2014-08-22,55.886417388916016
2014-08-25,56.781005859375
2014-08-26,57.824668884277344
2014-08-27,56.7230339050293
2014-08-28,55.81187057495117
2014-08-29,56.12733840942383
2014-09-02,56.02771759033203
2014-09-03,56.1024284362793
2014-09-04,55.24736022949219
2014-09-05,55.9945068359375
2014-09-08,55.048099517822266
2014-09-09,54.6496467590332
2014-09-10,55.38017654418945
2014-09-11,55.67906188964844
2014-09-12,54.67454147338867
2014-09-15,55.02321243286133
2014-09-16,55.86167907714844
2014-09-17,54.98999786376953
2014-09-18,55.064727783203125
2014-09-19,55.21414566040039
2014-09-22,53.69496154785156
2014-09-23,53.794586181640625
2014-09-24,53.7281608581543
2014-09-25,52.84819030761719
2014-09-26,54.691139221191406
2014-09-29,54.467002868652344
2014-09-30,53.5538330078125
2014-10-01,51.86029052734375
2014-10-02,51.005218505859375
2014-10-03,51.3538932800293
2014-10-06,51.20446014404297
2014-10-07,50.814273834228516
2014-10-08,50.1501579284668
2014-10-09,47.5517463684082
2014-10-10,45.06955337524414
2014-10-13,41.7240104675293
2014-10-14,41.20100021362305
2014-10-15,42.039459228515625
2014-10-16,42.47943878173828
2014-10-17,43.66658020019531
2014-10-20,43.93222427368164
2014-10-21,46.206878662109375
2014-10-22,45.18577575683594
2014-10-23,46.36460876464844
2014-10-24,46.306495666503906
2014-10-27,43.492244720458984
2014-10-28,44.2144889831543
2014-10-29,45.177486419677734
2014-10-30,44.76239776611328
2014-10-31,45.775211334228516
2014-11-03,44.72919464111328
2014-11-04,42.48774719238281
2014-11-05,43.47565460205078
2014-11-06,44.1397705078125
2014-11-07,44.71257781982422
2014-11-10,44.521644592285156
2014-11-11,44.59636688232422
2014-11-12,44.18959045410156
2014-11-13,44.65446853637695
2014-11-14,45.72538757324219
2014-11-17,40.868919372558594
2014-11-18,40.29612350463867
2014-11-19,40.204803466796875
2014-11-20,40.85232925415039
2014-11-21,42.03116226196289
2014-11-24,41.408538818359375
2014-11-25,40.06367111206055
2014-11-26,39.299922943115234
2014-11-28,35.03289031982422
2014-12-01,34.21103286743164
2014-12-02,33.48878860473633
2014-12-03,33.980770111083984
2014-12-04,33.972442626953125
2014-12-05,33.66388702392578
2014-12-08,32.17958450317383
2014-12-09,32.93842315673828
2014-12-10,31.787660598754883
2014-12-11,31.879375457763672
2014-12-12,31.629222869873047
2014-12-15,31.537492752075195
2014-12-16,31.77931022644043
2014-12-17,32.88838195800781
2014-12-18,32.713260650634766
2014-12-19,33.76395797729492
2014-12-22,33.08852005004883
2014-12-23,33.255306243896484
2014-12-24,33.10519027709961
2014-12-26,33.13020324707031
2014-12-29,33.3553581237793
2014-12-30,32.96343994140625
2014-12-31,32.796653747558594
2015-01-02,32.93008041381836
2015-01-05,32.2796516418457
2015-01-06,31.962778091430664
2015-01-07,32.82167053222656
2015-01-08,33.530460357666016
2015-01-09,33.188594818115234
2015-01-12,32.137901306152344
2015-01-13,31.92942237854004
2015-01-14,31.97110366821289
2015-01-15,31.128894805908203
2015-01-16,32.6298828125
2015-01-20,33.213600158691406
2015-01-21,33.93073654174805
2015-01-22,34.03915786743164
2015-01-23,34.180904388427734
2015-01-26,34.57282257080078
2015-01-27,34.60618209838867
2015-01-28,32.91340255737305
2015-01-29,32.99679946899414
2015-01-30,33.347023010253906
2015-02-02,34.61451721191406
2015-02-03,36.12385940551758
2015-02-04,35.34833908081055
2015-02-05,36.14887619018555
2015-02-06,36.15720748901367
2015-02-09,36.28230285644531
2015-02-10,35.52345657348633
2015-02-11,35.1482048034668
2015-02-12,35.66522216796875
2015-02-13,36.849327087402344
2015-02-17,37.41636276245117
2015-02-18,37.01611328125
2015-02-19,36.891021728515625
2015-02-20,36.15720748901367
2015-02-23,36.040462493896484
2015-02-24,35.95706558227539
2015-02-25,36.424049377441406
2015-02-26,35.606849670410156
2015-02-27,35.806976318359375
2015-03-02,35.99959182739258
2015-03-03,36.100067138671875
2015-03-04,36.06658172607422
2015-03-05,35.95770263671875
2015-03-06,35.48876190185547
2015-03-09,35.20405960083008
2015-03-10,34.592750549316406
2015-03-11,34.592750549316406
2015-03-12,34.32478713989258
2015-03-13,33.64649963378906
2015-03-16,33.931217193603516
2015-03-17,33.73023986816406
2015-03-18,34.82722091674805
2015-03-19,34.79373550415039
2015-03-20,35.85721969604492
2015-03-23,35.505523681640625
2015-03-24,35.61437225341797
2015-03-25,36.393157958984375
2015-03-26,36.158687591552734
2015-03-27,36.225669860839844
2015-03-30,36.69461441040039
2015-03-31,36.744869232177734
2015-04-01,36.69461441040039
2015-04-02,36.811851501464844
2015-04-06,38.41965103149414
2015-04-07,37.280792236328125
2015-04-08,37.029579162597656
2015-04-09,38.55363464355469
2015-04-10,38.73785400390625
2015-04-13,38.05120086669922
2015-04-14,38.6876106262207
2015-04-15,40.41264343261719
2015-04-16,40.05255889892578
2015-04-17,39.26542663574219
2015-04-20,40.06930923461914
2015-04-21,39.39939498901367
2015-04-22,39.44964599609375
