,TRGP
2014-01-02,51.029296875
2014-01-03,50.823951721191406
2014-01-06,50.712493896484375
2014-01-07,50.06713104248047
2014-01-08,52.46079635620117
2014-01-09,51.316776275634766
2014-01-10,51.53384780883789
2014-01-13,50.92958068847656
2014-01-14,51.7039794921875
2014-01-15,52.19678497314453
2014-01-16,52.155738830566406
2014-01-17,51.77438735961914
2014-01-21,53.00639724731445
2014-01-22,52.155738830566406
2014-01-23,52.89293670654297
2014-01-24,52.060035705566406
2014-01-27,51.853267669677734
2014-01-28,52.780704498291016
2014-01-29,52.72161865234375
2014-01-30,53.182395935058594
2014-01-31,53.33597946166992
2014-02-03,52.69208908081055
2014-02-04,52.68618392944336
2014-02-05,52.58576583862305
2014-02-06,53.92669677734375
2014-02-07,54.901363372802734
2014-02-10,54.36383056640625
2014-02-11,55.52754592895508
2014-02-12,55.77564239501953
2014-02-13,56.89208221435547
2014-02-14,57.01613998413086
2014-02-18,57.39424514770508
2014-02-19,56.7739372253418
2014-02-20,56.992530822753906
2014-02-21,56.70306396484375
2014-02-24,56.833038330078125
2014-02-25,56.80940628051758
2014-02-26,57.35287094116211
2014-02-27,57.57143020629883
2014-02-28,57.157936096191406
2014-03-03,57.11658477783203
2014-03-04,58.18577575683594
2014-03-05,58.34528350830078
2014-03-06,58.28030014038086
2014-03-07,58.108985900878906
2014-03-10,57.8549690246582
2014-03-11,57.37060546875
2014-03-12,57.47692108154297
2014-03-13,57.12247848510742
2014-03-14,57.813621520996094
2014-03-17,57.825435638427734
2014-03-18,57.58915328979492
2014-03-19,57.73091125488281
2014-03-20,58.29801940917969
2014-03-21,58.20938491821289
2014-03-24,57.66594314575195
2014-03-25,57.34696578979492
2014-03-26,57.4355583190918
2014-03-27,57.65412521362305
2014-03-28,57.57143020629883
2014-03-31,58.63472366333008
2014-04-01,61.38155746459961
2014-04-02,61.69464874267578
2014-04-03,61.41108322143555
2014-04-04,61.34022903442383
2014-04-07,59.993385314941406
2014-04-08,60.7790412902832
2014-04-09,60.43642044067383
2014-04-10,60.86173629760742
2014-04-11,61.73599624633789
2014-04-14,61.82461929321289
2014-04-15,62.013648986816406
2014-04-16,62.87017822265625
2014-04-17,63.07102966308594
2014-04-21,64.28199005126953
2014-04-22,64.35285949707031
2014-04-23,64.58325958251953
2014-04-24,63.577816009521484
2014-04-25,62.73992156982422
2014-04-28,63.73823928833008
2014-04-29,64.31466674804688
2014-04-30,64.17203521728516
2014-05-01,63.447086334228516
2014-05-02,63.22719955444336
2014-05-05,65.49125671386719
2014-05-06,65.03961181640625
2014-05-07,65.889404296875
2014-05-08,64.96240234375
2014-05-09,65.08123016357422
2014-05-12,65.93098449707031
2014-05-13,66.33509063720703
2014-05-14,65.82404327392578
2014-05-15,65.69923400878906
2014-05-16,66.76295471191406
2014-05-19,67.33338928222656
2014-05-20,67.44631958007812
2014-05-21,68.15348815917969
2014-05-22,68.58726501464844
2014-05-23,68.64073944091797
2014-05-27,68.6229019165039
2014-05-28,68.28419494628906
2014-05-29,68.31982421875
2014-05-30,68.31388092041016
2014-06-02,68.89031982421875
2014-06-03,69.65095520019531
2014-06-04,70.0906753540039
2014-06-05,70.7918930053711
2014-06-06,71.62381744384766
2014-06-09,71.57630920410156
2014-06-10,71.67732238769531
2014-06-11,71.11872100830078
2014-06-12,70.76219177246094
2014-06-13,70.97016143798828
2014-06-16,72.49736022949219
2014-06-17,73.49566650390625
2014-06-18,74.30979919433594
2014-06-19,89.50452423095703
2014-06-20,82.0586929321289
2014-06-23,83.6869125366211
2014-06-24,79.9194564819336
2014-06-25,79.23603057861328
2014-06-26,82.08245086669922
2014-06-27,81.45851135253906
2014-06-30,82.93819427490234
2014-07-01,84.10287475585938
2014-07-02,83.76417541503906
2014-07-03,84.53072357177734
2014-07-07,83.66313934326172
2014-07-08,81.42879486083984
2014-07-09,81.83882904052734
2014-07-10,82.46277618408203
2014-07-11,83.15804290771484
2014-07-14,83.11644744873047
2014-07-15,82.00520324707031
2014-07-16,82.88468933105469
2014-07-17,82.30232238769531
2014-07-18,82.21319580078125
2014-07-21,80.85832977294922
2014-07-22,81.72589111328125
2014-07-23,80.846435546875
2014-07-24,80.9121322631836
2014-07-25,79.55635070800781
2014-07-28,79.26366424560547
2014-07-29,78.78585815429688
2014-07-30,78.37374877929688
2014-07-31,76.15190887451172
2014-08-01,77.32254791259766
2014-08-04,79.58023071289062
2014-08-05,78.38569641113281
2014-08-06,78.22444152832031
2014-08-07,77.6092529296875
2014-08-08,78.58279418945312
2014-08-11,80.93602752685547
2014-08-12,80.58961486816406
2014-08-13,80.32683563232422
2014-08-14,79.37715148925781
2014-08-15,82.23807525634766
2014-08-18,82.04096984863281
2014-08-19,82.79350280761719
2014-08-20,82.5008773803711
2014-08-21,82.03501892089844
2014-08-22,82.20822143554688
2014-08-25,83.56998443603516
2014-08-26,83.05633544921875
2014-08-27,83.6117935180664
2014-08-28,83.16981506347656
2014-08-29,83.3489990234375
2014-09-02,83.11009979248047
2014-09-03,83.96418762207031
2014-09-04,83.5819320678711
2014-09-05,84.55548095703125
2014-09-08,84.32852172851562
2014-09-09,84.32252502441406
2014-09-10,84.75257873535156
2014-09-11,84.60924530029297
2014-09-12,83.28925323486328
2014-09-15,82.77562713623047
2014-09-16,83.98807525634766
2014-09-17,83.70140075683594
2014-09-18,83.36690521240234
2014-09-19,83.40872192382812
2014-09-22,82.83536529541016
2014-09-23,81.70055389404297
2014-09-24,82.10665893554688
2014-09-25,80.88824462890625
2014-09-26,81.74829864501953
2014-09-29,82.10665893554688
2014-09-30,81.33023071289062
2014-10-01,81.88568878173828
2014-10-02,83.08023071289062
2014-10-03,82.9368667602539
2014-10-06,82.07682037353516
2014-10-07,80.7568588256836
2014-10-08,79.27561950683594
2014-10-09,75.39933013916016
2014-10-10,72.65787506103516
2014-10-13,65.10840606689453
2014-10-14,66.58363342285156
2014-10-15,68.84728240966797
2014-10-16,72.06656646728516
2014-10-17,73.70907592773438
2014-10-20,75.23806762695312
2014-10-21,76.74916076660156
2014-10-22,75.02906036376953
2014-10-23,75.36949157714844
2014-10-24,76.05632781982422
2014-10-27,75.44115447998047
2014-10-28,76.23552703857422
2014-10-29,76.71334075927734
2014-10-30,75.21337127685547
2014-10-31,77.26777648925781
2014-11-03,76.82324981689453
2014-11-04,72.39010620117188
2014-11-05,72.06573486328125
2014-11-06,71.13465118408203
2014-11-07,72.17987823486328
2014-11-10,70.9063720703125
2014-11-11,71.5010757446289
2014-11-12,71.08659362792969
2014-11-13,69.34458923339844
2014-11-14,69.62089538574219
2014-11-17,69.7470474243164
2014-11-18,70.73819732666016
2014-11-19,71.14065551757812
2014-11-20,72.97880554199219
2014-11-21,73.6034927368164
2014-11-24,72.9187240600586
2014-11-25,73.53144836425781
2014-11-26,75.30950164794922
2014-11-28,68.56365203857422
2014-12-01,60.069793701171875
2014-12-02,62.14219665527344
2014-12-03,63.86020278930664
2014-12-04,65.27183532714844
2014-12-05,64.96548461914062
2014-12-08,58.7542724609375
2014-12-09,59.018585205078125
2014-12-10,53.67236328125
2014-12-11,55.870914459228516
2014-12-12,55.60060119628906
2014-12-15,54.579410552978516
2014-12-16,54.83171463012695
2014-12-17,60.40018844604492
2014-12-18,61.157073974609375
2014-12-19,61.73371124267578
2014-12-22,61.04892349243164
2014-12-23,61.69767761230469
2014-12-24,62.65880584716797
2014-12-26,62.59873580932617
2014-12-29,64.38279724121094
2014-12-30,64.16656494140625
2014-12-31,63.70402908325195
2015-01-02,64.31071472167969
2015-01-05,59.58323287963867
2015-01-06,57.73307418823242
2015-01-07,57.18644714355469
2015-01-08,58.80231857299805
2015-01-09,55.756778717041016
2015-01-12,53.62430953979492
2015-01-13,51.581939697265625
2015-01-14,51.35366439819336
2015-01-15,52.0384635925293
2015-01-16,53.42608642578125
2015-01-20,53.87660598754883
2015-01-21,55.27622604370117
2015-01-22,54.807674407958984
2015-01-23,54.73558807373047
2015-01-26,55.017921447753906
2015-01-27,55.4504280090332
2015-01-28,52.54304122924805
2015-01-29,51.782432556152344
2015-01-30,52.624855041503906
2015-02-02,55.52187728881836
2015-02-03,58.37645721435547
2015-02-04,56.15825271606445
2015-02-05,58.57644271850586
2015-02-06,57.22492218017578
2015-02-09,56.86128616333008
2015-02-10,57.188568115234375
2015-02-11,54.897613525390625
2015-02-12,56.509761810302734
2015-02-13,56.92796325683594
2015-02-17,60.03706359863281
2015-02-18,59.75829315185547
2015-02-19,58.0309944152832
2015-02-20,58.33402633666992
2015-02-23,58.715850830078125
2015-02-24,58.63100814819336
2015-02-25,59.54011154174805
2015-02-26,59.10375213623047
2015-02-27,60.35224151611328
2015-03-02,59.90980529785156
2015-03-03,59.35828399658203
2015-03-04,60.079498291015625
2015-03-05,60.93405532836914
2015-03-06,59.86738586425781
2015-03-09,58.958274841308594
2015-03-10,58.21886444091797
2015-03-11,57.218868255615234
2015-03-12,55.24913787841797
2015-03-13,54.00669860839844
2015-03-16,53.98246383666992
2015-03-17,54.44914627075195
2015-03-18,55.75822830200195
2015-03-19,54.57035446166992
2015-03-20,54.982479095458984
2015-03-23,55.52187728881836
2015-03-24,55.067325592041016
2015-03-25,55.855228424072266
2015-03-26,57.27946090698242
2015-03-27,57.558250427246094
2015-03-30,58.885562896728516
2015-03-31,58.055233001708984
2015-04-01,57.57038497924805
2015-04-02,57.48552322387695
2015-04-06,59.17645263671875
2015-04-07,59.84918975830078
2015-04-08,59.370426177978516
2015-04-09,60.958309173583984
2015-04-10,60.946170806884766
2015-04-13,60.27345657348633
2015-04-14,62.01286315917969
2015-04-15,64.82502746582031
2015-04-16,63.85531234741211
2015-04-17,63.20680618286133
2015-04-20,63.794700622558594
2015-04-21,63.4007568359375
2015-04-22,63.90378189086914
2015-04-23,64.98257446289062
2015-04-24,64.75228118896484
2015-04-27,64.65531921386719
2015-04-28,64.1401596069336
2015-04-29,64.66741943359375
2015-04-30,64.11771392822266
2015-05-01,64.14212036132812
2015-05-04,64.49639892578125
2015-05-05,63.67790222167969
2015-05-06,62.19972610473633
2015-05-07,62.24247741699219
2015-05-08,63.10374450683594
2015-05-11,62.132537841796875
2015-05-12,61.454524993896484
2015-05-13,62.059242248535156
2015-05-14,61.23463821411133
2015-05-15,61.833248138427734
2015-05-18,61.564449310302734
2015-05-19,60.87422561645508
2015-05-20,60.153472900390625
2015-05-21,60.20845413208008
2015-05-22,60.165706634521484
2015-05-26,59.255558013916016
2015-05-27,58.48594665527344
2015-05-28,57.33760070800781
2015-05-29,56.16484069824219
2015-06-01,55.957149505615234
2015-06-02,56.61683654785156
2015-06-03,55.78001022338867
2015-06-04,53.80707550048828
2015-06-05,54.8576774597168
2015-06-08,54.552268981933594
2015-06-09,54.47287368774414
2015-06-10,55.285240173339844
2015-06-11,54.759944915771484
2015-06-12,54.5278434753418
2015-06-15,55.285240173339844
2015-06-16,54.73552322387695
2015-06-17,54.93098831176758
2015-06-18,55.144744873046875
2015-06-19,54.601131439208984
2015-06-22,56.549652099609375
2015-06-23,57.28261947631836
2015-06-24,56.83673095703125
2015-06-25,55.62731170654297
2015-06-26,55.688392639160156
2015-06-29,54.18577575683594
2015-06-30,54.49729537963867
2015-07-01,53.10462951660156
2015-07-02,53.47721862792969
2015-07-06,52.26780319213867
2015-07-07,54.3262825012207
2015-07-08,52.75645446777344
2015-07-09,53.5566291809082
2015-07-10,53.532203674316406
2015-07-13,54.98596954345703
2015-07-14,55.743370056152344
2015-07-15,54.33849334716797
2015-07-16,53.94144821166992
2015-07-17,53.660465240478516
2015-07-20,52.92137908935547
2015-07-21,53.62384033203125
2015-07-22,52.18229293823242
2015-07-23,53.03742218017578
2015-07-24,52.762569427490234
2015-07-27,52.56100082397461
2015-07-28,54.344608306884766
2015-07-29,55.6395149230957
2015-07-30,55.303409576416016
2015-07-31,54.55097198486328
2015-08-03,52.355369567871094
2015-08-04,51.52275466918945
2015-08-05,48.5130500793457
2015-08-06,47.34123229980469
2015-08-07,45.58967971801758
2015-08-10,47.69894790649414
2015-08-11,47.729793548583984
2015-08-12,48.09982681274414
2015-08-13,46.237274169921875
2015-08-14,45.799381256103516
2015-08-17,46.45313262939453
2015-08-18,46.28044509887695
2015-08-19,44.794105529785156
2015-08-20,40.11916732788086
2015-08-21,39.23723220825195
2015-08-24,36.56673049926758
2015-08-25,36.21519088745117
2015-08-26,36.71474838256836
2015-08-27,39.43459701538086
2015-08-28,40.6804084777832
2015-08-31,40.7420768737793
2015-09-01,39.32356262207031
2015-09-02,39.064552307128906
2015-09-03,39.712120056152344
2015-09-04,39.157047271728516
2015-09-08,39.705955505371094
2015-09-09,39.2310791015625
2015-09-10,38.503318786621094
2015-09-11,36.85042953491211
2015-09-14,36.23368453979492
2015-09-15,36.53589630126953
2015-09-16,37.94207000732422
2015-09-17,38.170265197753906
2015-09-18,37.454837799072266
2015-09-21,38.10858917236328
2015-09-22,37.39317321777344
