,ADM
2014-01-02,31.675962448120117
2014-01-03,31.82331657409668
2014-01-06,31.889623641967773
2014-01-07,31.572790145874023
2014-01-08,31.21175193786621
2014-01-09,31.064382553100586
2014-01-10,30.93177032470703
2014-01-13,30.60019874572754
2014-01-14,31.18964195251465
2014-01-15,31.2780704498291
2014-01-16,30.393890380859375
2014-01-17,30.217042922973633
2014-01-21,30.482303619384766
2014-01-22,31.13069725036621
2014-01-23,30.091779708862305
2014-01-24,29.156021118164062
2014-01-27,29.001291275024414
2014-01-28,29.524431228637695
2014-01-29,28.89813995361328
2014-01-30,29.11180305480957
2014-01-31,29.08970832824707
2014-02-03,28.669708251953125
2014-02-04,28.168676376342773
2014-02-05,28.485517501831055
2014-02-06,28.817081451416016
2014-02-07,29.391801834106445
2014-02-10,29.553909301757812
2014-02-11,29.863374710083008
2014-02-12,29.951793670654297
2014-02-13,29.96651840209961
2014-02-14,30.047571182250977
2014-02-18,30.040157318115234
2014-02-19,29.610275268554688
2014-02-20,29.73628807067871
2014-02-21,29.639921188354492
2014-02-24,29.765926361083984
2014-02-25,29.9364070892334
2014-02-26,29.9364070892334
2014-02-27,29.565813064575195
2014-02-28,30.09204864501953
2014-03-03,29.55838966369629
2014-03-04,30.166156768798828
2014-03-05,30.143936157226562
2014-03-06,30.34404945373535
2014-03-07,30.633108139038086
2014-03-10,31.463233947753906
2014-03-11,31.463233947753906
2014-03-12,31.81900978088379
2014-03-13,31.426170349121094
2014-03-14,31.507715225219727
2014-03-17,31.544767379760742
2014-03-18,31.81900978088379
2014-03-19,31.618865966796875
2014-03-20,31.648542404174805
2014-03-21,31.626298904418945
2014-03-24,31.352048873901367
2014-03-25,31.4335994720459
2014-03-26,31.648542404174805
2014-03-27,31.944997787475586
2014-03-28,32.02653121948242
2014-03-31,32.15994644165039
2014-04-01,32.18959045410156
2014-04-02,32.18959045410156
2014-04-03,31.982059478759766
2014-04-04,31.907939910888672
2014-04-07,32.315589904785156
2014-04-08,32.263710021972656
2014-04-09,32.89371871948242
2014-04-10,32.73807144165039
2014-04-11,32.91594696044922
2014-04-14,33.12348556518555
2014-04-15,32.81217956542969
2014-04-16,33.368072509765625
2014-04-17,33.38289260864258
2014-04-21,33.271732330322266
2014-04-22,33.06418991088867
2014-04-23,33.153133392333984
2014-04-24,33.07902145385742
2014-04-25,32.92336654663086
2014-04-28,32.89371871948242
2014-04-29,32.041351318359375
2014-04-30,32.41194534301758
2014-05-01,32.048770904541016
2014-05-02,32.278533935546875
2014-05-05,32.174774169921875
2014-05-06,31.974647521972656
2014-05-07,32.81217956542969
2014-05-08,32.6639518737793
2014-05-09,32.90113830566406
2014-05-12,33.10866165161133
2014-05-13,33.019248962402344
2014-05-14,32.67644500732422
2014-05-15,32.43799591064453
2014-05-16,32.65408706665039
2014-05-19,32.706260681152344
2014-05-20,32.28895568847656
2014-05-21,32.68389892578125
2014-05-22,32.527408599853516
2014-05-23,32.46036148071289
2014-05-27,33.026676177978516
2014-05-28,33.00432205200195
2014-05-29,33.26514434814453
2014-05-30,33.48871612548828
2014-06-02,33.42164611816406
2014-06-03,33.049041748046875
2014-06-04,33.019248962402344
2014-06-05,33.51106262207031
2014-06-06,33.667564392089844
2014-06-09,33.63774871826172
2014-06-10,33.63774871826172
2014-06-11,33.28004455566406
2014-06-12,32.393280029296875
2014-06-13,32.66900634765625
2014-06-16,32.95218276977539
2014-06-17,33.09375
2014-06-18,33.10866165161133
2014-06-19,33.62284851074219
2014-06-20,33.4365348815918
2014-06-23,33.51851272583008
2014-06-24,32.99687957763672
2014-06-25,32.706260681152344
2014-06-26,32.73606872558594
2014-06-27,32.65408706665039
2014-06-30,32.870201110839844
2014-07-01,33.42164611816406
2014-07-02,33.771881103515625
2014-07-03,34.10721969604492
2014-07-07,34.65119171142578
2014-07-08,34.23389434814453
2014-07-09,34.390384674072266
2014-07-10,35.28460693359375
2014-07-11,35.65719985961914
2014-07-14,35.82113265991211
2014-07-15,35.42620086669922
2014-07-16,35.59013366699219
2014-07-17,35.26226806640625
2014-07-18,35.8434944152832
2014-07-21,35.82859420776367
2014-07-22,35.91801452636719
2014-07-23,35.9850959777832
2014-07-24,36.08941650390625
2014-07-25,35.8583869934082
2014-07-28,35.82113265991211
2014-07-29,35.44855880737305
2014-07-30,34.83005142211914
2014-07-31,34.5766716003418
2014-08-01,34.70336151123047
2014-08-04,34.98653030395508
2014-08-05,36.18628692626953
2014-08-06,36.24589920043945
2014-08-07,36.1564826965332
2014-08-08,36.543975830078125
2014-08-11,37.11777114868164
2014-08-12,36.991092681884766
2014-08-13,37.289154052734375
2014-08-14,37.23700714111328
2014-08-15,37.06559753417969
2014-08-18,37.102867126464844
2014-08-19,37.207698822021484
2014-08-20,37.290061950683594
2014-08-21,37.11783981323242
2014-08-22,36.79585266113281
2014-08-25,37.03547668457031
2014-08-26,36.840782165527344
2014-08-27,37.125328063964844
2014-08-28,37.25262451171875
2014-08-29,37.33498764038086
2014-09-02,37.484745025634766
2014-09-03,37.387413024902344
2014-09-04,37.58958053588867
2014-09-05,37.70939254760742
2014-09-08,37.836692810058594
2014-09-09,37.784278869628906
2014-09-10,37.94152069091797
2014-09-11,38.12871170043945
2014-09-12,37.746826171875
2014-09-15,37.85914611816406
2014-09-16,38.38330078125
2014-09-17,38.338382720947266
2014-09-18,38.98234939575195
2014-09-19,38.70528793334961
2014-09-22,38.53307342529297
2014-09-23,38.01640319824219
2014-09-24,38.53307342529297
2014-09-25,37.79924774169922
2014-09-26,38.09128189086914
