,EXR
2014-01-02,28.217792510986328
2014-01-03,28.420345306396484
2014-01-06,28.54189109802246
2014-01-07,28.454116821289062
2014-01-08,28.339323043823242
2014-01-09,28.690454483032227
2014-01-10,29.419696807861328
2014-01-13,29.237377166748047
2014-01-14,29.689783096313477
2014-01-15,30.148942947387695
2014-01-16,29.966623306274414
2014-01-17,29.6965389251709
2014-01-21,29.791065216064453
2014-01-22,29.649274826049805
2014-01-23,29.730289459228516
2014-01-24,29.439945220947266
2014-01-27,29.47371482849121
2014-01-28,30.148942947387695
2014-01-29,30.142183303833008
2014-01-30,30.621604919433594
2014-01-31,30.83092498779297
2014-02-03,29.973365783691406
2014-02-04,30.6418399810791
2014-02-05,30.581079483032227
2014-02-06,30.78365135192871
2014-02-07,31.074007034301758
2014-02-10,31.674957275390625
2014-02-11,31.82350730895996
2014-02-12,31.82350730895996
2014-02-13,31.99230194091797
2014-02-14,31.870765686035156
2014-02-18,32.06657028198242
2014-02-19,32.07332992553711
2014-02-20,32.03957748413086
2014-02-21,32.14760971069336
2014-02-24,32.10709762573242
2014-02-25,32.25564193725586
2014-02-26,32.62703323364258
2014-02-27,32.42445373535156
2014-02-28,33.1536979675293
2014-03-03,32.903873443603516
2014-03-04,33.49806213378906
2014-03-05,33.50481033325195
2014-03-06,33.18745422363281
2014-03-07,32.56624984741211
2014-03-10,32.586509704589844
2014-03-11,33.25499725341797
2014-03-12,33.50687789916992
2014-03-13,33.438785552978516
2014-03-14,33.534088134765625
2014-03-17,33.009910583496094
2014-03-18,33.05076217651367
2014-03-19,32.37000274658203
2014-03-20,32.27469253540039
2014-03-21,32.67633819580078
2014-03-24,32.40401840209961
2014-03-25,32.61507034301758
2014-03-26,32.37000274658203
2014-03-27,32.40401840209961
2014-03-28,32.67633819580078
2014-03-31,33.023529052734375
2014-04-01,33.66343688964844
2014-04-02,33.30262756347656
2014-04-03,32.93503189086914
2014-04-04,32.84651565551758
2014-04-07,32.67633819580078
