,RF
2014-01-02,6.928946495056152
2014-01-03,6.91493558883667
2014-01-06,7.055055141448975
2014-01-07,7.076076030731201
2014-01-08,7.181163311004639
2014-01-09,7.321282863616943
2014-01-10,7.342300891876221
2014-01-13,7.223200798034668
2014-01-14,7.26523494720459
2014-01-15,7.447393417358398
2014-01-16,7.342300891876221
2014-01-17,7.4053568840026855
2014-01-21,7.6085286140441895
2014-01-22,7.720626354217529
2014-01-23,7.650565147399902
2014-01-24,7.391343593597412
2014-01-27,7.29326057434082
2014-01-28,7.377329349517822
2014-01-29,7.223200798034668
2014-01-30,7.30726957321167
2014-01-31,7.125112533569336
2014-02-03,6.879906177520752
2014-02-04,6.984997272491455
2014-02-05,6.935952663421631
2014-02-06,7.1951775550842285
2014-02-07,7.167150020599365
2014-02-10,7.146132469177246
2014-02-11,7.216192245483398
2014-02-12,7.181163311004639
2014-02-13,7.216192245483398
2014-02-14,7.251221656799316
2014-02-18,7.26523494720459
2014-02-19,7.076076030731201
2014-02-20,7.160146713256836
2014-02-21,7.174158096313477
2014-02-24,7.314279079437256
2014-02-25,7.321282863616943
2014-02-26,7.370328426361084
2014-02-27,7.4053568840026855
2014-02-28,7.454397678375244
2014-03-03,7.377329349517822
2014-03-04,7.552481174468994
2014-03-05,7.517454147338867
2014-03-06,7.587513446807861
2014-03-07,7.741644859313965
2014-03-10,7.636553764343262
2014-03-11,7.566494464874268
2014-03-12,7.552441596984863
2014-03-13,7.496240139007568
2014-03-14,7.468138217926025
2014-03-17,7.587571144104004
2014-03-18,7.5945940017700195
2014-03-19,7.791311264038086
2014-03-20,7.93884801864624
2014-03-21,7.791311264038086
2014-03-24,7.777258396148682
2014-03-25,7.805363655090332
2014-03-26,7.728083610534668
2014-03-27,7.580547332763672
2014-03-28,7.692955493927002
2014-03-31,7.805363655090332
2014-04-01,7.903717041015625
2014-04-02,7.791311264038086
2014-04-03,7.784289360046387
2014-04-04,7.707005500793457
2014-04-07,7.545418739318848
2014-04-08,7.489214897155762
2014-04-09,7.510288238525391
2014-04-10,7.229267120361328
2014-04-11,7.144959926605225
2014-04-14,7.151988983154297
2014-04-15,7.2152204513549805
2014-04-16,7.264395713806152
2014-04-17,7.180091857910156
2014-04-21,7.2222442626953125
2014-04-22,7.29952335357666
2014-04-23,7.313575744628906
2014-04-24,7.243321895599365
2014-04-25,7.130913734436035
2014-04-28,7.074707984924316
