,K
2014-01-02,39.593326568603516
2014-01-03,39.44358444213867
2014-01-06,39.22871780395508
2014-01-07,39.586822509765625
2014-01-08,39.18314743041992
2014-01-09,39.24824142456055
2014-01-10,39.57379913330078
2014-01-13,39.345909118652344
2014-01-14,39.645416259765625
2014-01-15,39.78215408325195
2014-01-16,39.90585708618164
2014-01-17,39.371952056884766
2014-01-21,39.560787200927734
2014-01-22,39.72354507446289
2014-01-23,39.391483306884766
2014-01-24,38.95524978637695
2014-01-27,38.97478103637695
2014-01-28,39.085479736328125
2014-01-29,38.00464630126953
2014-01-30,37.848384857177734
2014-01-31,37.75072479248047
2014-02-03,37.04752731323242
2014-02-04,37.28191375732422
2014-02-05,37.353553771972656
2014-02-06,37.594459533691406
2014-02-07,37.99813461303711
2014-02-10,38.62970733642578
2014-02-11,38.98128890991211
2014-02-12,38.68178939819336
2014-02-13,38.72737121582031
2014-02-14,39.189640045166016
2014-02-18,39.144073486328125
2014-02-19,38.890140533447266
2014-02-20,39.22219467163086
2014-02-21,39.03337860107422
2014-02-24,39.52822494506836
2014-02-25,39.59983444213867
2014-02-26,39.28079605102539
2014-02-27,39.17012023925781
2014-02-28,39.515201568603516
2014-03-03,39.502174377441406
2014-03-04,40.19105911254883
2014-03-05,40.20417022705078
2014-03-06,40.302589416503906
2014-03-07,40.41412353515625
2014-03-10,40.46661376953125
2014-03-11,40.4797248840332
2014-03-12,40.72248077392578
2014-03-13,40.66343307495117
2014-03-14,39.95486831665039
2014-03-17,39.92205810546875
2014-03-18,40.578147888183594
2014-03-19,40.49940490722656
2014-03-20,40.59782028198242
2014-03-21,40.40099334716797
2014-03-24,40.28290557861328
2014-03-25,40.43381118774414
2014-03-26,40.47316360473633
2014-03-27,40.51908493041992
2014-03-28,40.7618408203125
2014-03-31,41.14235305786133
2014-04-01,41.08331298828125
2014-04-02,41.10300064086914
2014-04-03,43.55671310424805
2014-04-04,41.83779525756836
2014-04-07,42.68412399291992
2014-04-08,42.22488784790039
2014-04-09,43.36644744873047
2014-04-10,43.04498291015625
2014-04-11,43.09090042114258
2014-04-14,42.999053955078125
2014-04-15,42.78255081176758
2014-04-16,43.287715911865234
2014-04-17,43.523902893066406
2014-04-21,43.287715911865234
2014-04-22,43.48454284667969
2014-04-23,43.655113220214844
2014-04-24,43.648563385009766
2014-04-25,43.76665496826172
2014-04-28,44.147186279296875
2014-04-29,43.970035552978516
2014-04-30,43.84538650512695
2014-05-01,42.887516021728516
2014-05-02,43.03841781616211
2014-05-05,42.677581787109375
2014-05-06,42.86783218383789
2014-05-07,43.346771240234375
2014-05-08,43.320526123046875
2014-05-09,44.094688415527344
2014-05-12,44.888545989990234
2014-05-13,44.68516540527344
2014-05-14,44.33743667602539
2014-05-15,44.107810974121094
2014-05-16,44.31119155883789
2014-05-19,44.350555419921875
