,YUM
2014-01-02,43.759395599365234
2014-01-03,44.03329849243164
2014-01-06,43.99833679199219
2014-01-07,44.61606216430664
2014-01-08,44.59859085083008
2014-01-09,43.73609924316406
2014-01-10,43.71861267089844
2014-01-13,42.780357360839844
2014-01-14,42.67546844482422
2014-01-15,42.85704803466797
2014-01-16,42.34747314453125
2014-01-17,42.2303352355957
2014-01-21,41.67390060424805
2014-01-22,41.78517532348633
2014-01-23,40.8831672668457
2014-01-24,40.30915832519531
2014-01-27,39.735172271728516
2014-01-28,39.946022033691406
2014-01-29,38.956153869628906
2014-01-30,39.00887680053711
2014-01-31,39.33102035522461
2014-02-03,38.75115966796875
2014-02-04,42.20690155029297
2014-02-05,41.31660079956055
2014-02-06,41.68561935424805
2014-02-07,42.01361083984375
2014-02-10,42.61689376831055
2014-02-11,42.880470275878906
2014-02-12,43.056190490722656
2014-02-13,43.23775863647461
2014-02-14,43.00347900390625
2014-02-18,42.89805221557617
2014-02-19,42.65204620361328
2014-02-20,42.745765686035156
2014-02-21,42.66961669921875
2014-02-24,42.73991012573242
2014-02-25,42.921478271484375
2014-02-26,42.98591232299805
2014-02-27,43.220191955566406
2014-02-28,43.390052795410156
2014-03-03,43.114768981933594
2014-03-04,43.71806335449219
2014-03-05,43.817623138427734
2014-03-06,45.27021408081055
2014-03-07,45.194061279296875
2014-03-10,45.33464431762695
2014-03-11,45.293643951416016
2014-03-12,45.170631408691406
2014-03-13,44.41505813598633
2014-03-14,43.97576904296875
2014-03-17,43.99920654296875
2014-03-18,43.96405029296875
2014-03-19,43.46033477783203
2014-03-20,44.07534408569336
2014-03-21,44.08705520629883
2014-03-24,43.65362548828125
2014-03-25,43.21432876586914
2014-03-26,43.44276809692383
2014-03-27,42.8746223449707
2014-03-28,43.46033477783203
2014-03-31,44.15734100341797
2014-04-01,44.549766540527344
2014-04-02,45.16477584838867
2014-04-03,44.77235412597656
2014-04-04,44.18662643432617
2014-04-07,44.063629150390625
2014-04-08,44.696205139160156
2014-04-09,45.20827102661133
2014-04-10,44.25478744506836
2014-04-11,43.772151947021484
2014-04-14,44.396034240722656
2014-04-15,44.419578552246094
2014-04-16,45.237701416015625
2014-04-17,44.931636810302734
2014-04-21,44.73740005493164
2014-04-22,45.60260009765625
2014-04-23,45.20827102661133
2014-04-24,45.196475982666016
2014-04-25,45.714447021484375
2014-04-28,45.726219177246094
2014-04-29,45.30832290649414
2014-04-30,45.314208984375
2014-05-01,44.878662109375
2014-05-02,44.84922409057617
2014-05-05,44.90808868408203
2014-05-06,44.64323043823242
2014-05-07,44.59614181518555
2014-05-08,44.696197509765625
2014-05-09,44.92575454711914
2014-05-12,44.808040618896484
2014-05-13,45.008155822753906
2014-05-14,44.64912796020508
2014-05-15,44.06644058227539
2014-05-16,44.03112030029297
2014-05-19,43.90751647949219
2014-05-20,43.94282913208008
2014-05-21,43.94871520996094
2014-05-22,44.06644058227539
2014-05-23,44.007572174072266
2014-05-27,44.831573486328125
2014-05-28,45.28477096557617
2014-05-29,45.15528106689453
2014-05-30,45.50254821777344
2014-06-02,45.97928237915039
2014-06-03,46.291236877441406
2014-06-04,46.3206672668457
2014-06-05,46.561981201171875
2014-06-06,47.07991027832031
2014-06-09,46.979854583740234
2014-06-10,46.732666015625
2014-06-11,46.80916976928711
2014-06-12,46.361873626708984
2014-06-13,46.63259506225586
2014-06-16,46.55609130859375
2014-06-17,46.78563690185547
2014-06-18,46.8974609375
2014-06-19,47.30357360839844
2014-06-20,47.38010025024414
2014-06-23,47.44483947753906
2014-06-24,47.438941955566406
2014-06-25,48.251190185546875
2014-06-26,48.0981559753418
2014-06-27,48.20998001098633
2014-06-30,47.79209518432617
2014-07-01,47.99221420288086
2014-07-02,48.21586990356445
2014-07-03,48.55136489868164
2014-07-07,48.43363952636719
2014-07-08,48.43952178955078
2014-07-09,49.208126068115234
2014-07-10,48.75879669189453
2014-07-11,48.687835693359375
2014-07-14,49.24360275268555
2014-07-15,49.17856216430664
2014-07-16,48.90067672729492
2014-07-17,45.530670166015625
2014-07-18,45.7730712890625
2014-07-21,43.82793426513672
2014-07-22,44.247703552246094
2014-07-23,44.17084503173828
2014-07-24,43.65646743774414
2014-07-25,43.77471160888672
2014-07-28,43.845672607421875
2014-07-29,43.63874816894531
2014-07-30,43.15983581542969
2014-07-31,41.03141403198242
2014-08-01,41.65812301635742
2014-08-04,41.492576599121094
2014-08-05,41.143733978271484
