,MSFT
2014-01-02,31.05855941772461
2014-01-03,30.849613189697266
2014-01-06,30.197694778442383
2014-01-07,30.43171501159668
2014-01-08,29.888431549072266
2014-01-09,29.69620704650879
2014-01-10,30.12247085571289
2014-01-13,29.236501693725586
2014-01-14,29.9051570892334
2014-01-15,30.724245071411133
2014-01-16,30.832897186279297
2014-01-17,30.406633377075195
2014-01-21,30.231107711791992
2014-01-22,30.03052520751953
2014-01-23,30.139171600341797
2014-01-24,30.766027450561523
2014-01-27,30.114107131958008
2014-01-28,30.314699172973633
2014-01-29,30.640661239624023
2014-01-30,30.807828903198242
2014-01-31,31.626911163330078
2014-02-03,30.490224838256836
2014-02-04,30.381563186645508
2014-02-05,29.93859100341797
2014-02-06,30.239484786987305
2014-02-07,30.557079315185547
2014-02-10,30.757686614990234
2014-02-11,31.066925048828125
2014-02-12,31.317676544189453
2014-02-13,31.43468475341797
2014-02-14,31.443023681640625
2014-02-18,31.51039695739746
2014-02-19,31.5861873626709
2014-02-20,31.788278579711914
2014-02-21,31.98197364807129
2014-02-24,31.737754821777344
2014-02-25,31.611461639404297
2014-02-26,31.552513122558594
2014-02-27,31.880908966064453
2014-02-28,32.25984573364258
2014-03-03,31.813554763793945
2014-03-04,32.344058990478516
2014-03-05,32.091434478759766
2014-03-06,32.1251106262207
2014-03-07,31.91461181640625
2014-03-10,31.847227096557617
2014-03-11,32.01563262939453
2014-03-12,32.22616195678711
2014-03-13,31.90618324279785
2014-03-14,31.746191024780273
2014-03-17,32.040916442871094
2014-03-18,33.304019927978516
2014-03-19,33.06824493408203
2014-03-20,33.96082305908203
2014-03-21,33.81767654418945
2014-03-24,34.10398864746094
2014-03-25,33.9692497253418
2014-03-26,33.506126403808594
2014-03-27,33.14402770996094
2014-03-28,33.93557357788086
2014-03-31,34.51660919189453
2014-04-01,34.878700256347656
2014-04-02,34.819759368896484
2014-04-03,34.5334358215332
2014-04-04,33.57350540161133
2014-04-07,33.5145263671875
2014-04-08,33.5313835144043
2014-04-09,34.07872009277344
2014-04-10,33.14402770996094
2014-04-11,33.017723083496094
2014-04-14,32.99245071411133
2014-04-15,33.47242736816406
2014-04-16,34.01979446411133
2014-04-17,33.691383361816406
2014-04-21,33.63241958618164
2014-04-22,33.67454147338867
2014-04-23,33.421905517578125
2014-04-24,33.5650634765625
2014-04-25,33.60717010498047
2014-04-28,34.415557861328125
2014-04-29,34.11240768432617
2014-04-30,34.01979446411133
2014-05-01,33.68295669555664
2014-05-02,33.421905517578125
2014-05-05,33.20296859741211
2014-05-06,32.89141845703125
2014-05-07,33.194557189941406
2014-05-08,33.37981414794922
2014-05-09,33.29560470581055
2014-05-12,33.657691955566406
2014-05-13,34.27674865722656
2014-05-14,34.12409210205078
2014-05-15,33.58137893676758
2014-05-16,33.77641296386719
2014-05-19,33.70856475830078
2014-05-20,33.64921188354492
2014-05-21,34.217376708984375
2014-05-22,34.005367279052734
2014-05-23,34.022342681884766
2014-05-27,34.08171081542969
2014-05-28,33.9290657043457
2014-05-29,34.208892822265625
2014-05-30,34.71770095825195
2014-06-02,34.59050750732422
2014-06-03,34.16650390625
2014-06-04,34.19193649291992
2014-06-05,34.946678161621094
2014-06-06,35.17564392089844
2014-06-09,34.997562408447266
2014-06-10,34.86186981201172
2014-06-11,34.649879455566406
2014-06-12,34.41242980957031
2014-06-13,34.96363830566406
2014-06-16,35.192588806152344
2014-06-17,35.34524917602539
2014-06-18,35.319786071777344
2014-06-19,35.20107650756836
2014-06-20,35.34524917602539
2014-06-23,35.608131408691406
2014-06-24,35.404598236083984
2014-06-25,35.64204406738281
2014-06-26,35.37915802001953
2014-06-27,35.82859802246094
2014-06-30,35.3621940612793
2014-07-01,35.50636291503906
2014-07-02,35.53181076049805
2014-07-03,35.44699478149414
2014-07-07,35.608131408691406
2014-07-08,35.43004608154297
2014-07-09,35.33674621582031
2014-07-10,35.35372543334961
2014-07-11,35.69292068481445
2014-07-14,35.735321044921875
2014-07-15,35.998207092285156
2014-07-16,37.3804817199707
2014-07-17,37.762088775634766
2014-07-18,37.89775466918945
2014-07-21,38.02496337890625
2014-07-22,38.01648712158203
2014-07-23,38.05039978027344
2014-07-24,37.651832580566406
2014-07-25,37.736637115478516
2014-07-28,37.28720474243164
2014-07-29,37.2193489074707
2014-07-30,36.956478118896484
2014-07-31,36.60030746459961
2014-08-01,36.34590530395508
2014-08-04,36.77839279174805
2014-08-05,36.532466888427734
2014-08-06,36.244140625
2014-08-07,36.6596565246582
2014-08-08,36.63421630859375
2014-08-11,36.63421630859375
2014-08-12,36.90559005737305
2014-08-13,37.3804817199707
2014-08-14,37.541587829589844
2014-08-15,37.982566833496094
2014-08-18,38.253936767578125
2014-08-19,38.68059539794922
2014-08-20,38.356327056884766
2014-08-21,38.586727142333984
2014-08-22,38.52699279785156
2014-08-25,38.5440559387207
2014-08-26,38.40751647949219
2014-08-27,38.28805923461914
2014-08-28,38.296600341796875
2014-08-29,38.76591491699219
2014-09-02,38.47579574584961
2014-09-03,38.364864349365234
2014-09-04,38.620853424072266
2014-09-05,39.17551803588867
2014-09-08,39.653377532958984
2014-09-09,39.90081787109375
2014-09-10,39.96908950805664
2014-09-11,40.105613708496094
2014-09-12,39.84962844848633
2014-09-15,39.45710754394531
2014-09-16,39.90081787109375
2014-09-17,39.69602966308594
2014-09-18,39.832557678222656
2014-09-19,40.54933547973633
2014-09-22,40.156829833984375
2014-09-23,39.730167388916016
2014-09-24,40.17388916015625
2014-09-25,39.28643798828125
2014-09-26,39.602169036865234
2014-09-29,39.62775802612305
2014-09-30,39.55949401855469
2014-10-01,39.16697311401367
2014-10-02,39.04750442504883
2014-10-03,39.3291015625
2014-10-06,39.3291015625
2014-10-07,38.85124588012695
2014-10-08,39.91789245605469
2014-10-09,39.12430953979492
2014-10-10,37.571285247802734
2014-10-13,37.24702453613281
2014-10-14,37.31529235839844
2014-10-15,36.88011169433594
2014-10-16,36.47050857543945
2014-10-17,37.22994613647461
2014-10-20,37.61395263671875
2014-10-21,38.296600341796875
2014-10-22,37.86994171142578
2014-10-23,38.416053771972656
2014-10-24,39.363243103027344
2014-10-27,39.17551803588867
2014-10-28,39.6704216003418
2014-10-29,39.78135681152344
2014-10-30,39.29496765136719
2014-10-31,40.06295394897461
2014-11-03,40.4810791015625
2014-11-04,40.592010498046875
2014-11-05,40.839454650878906
2014-11-06,41.556251525878906
2014-11-07,41.5391845703125
2014-11-10,41.7183723449707
2014-11-11,41.70131301879883
2014-11-12,41.624507904052734
2014-11-13,42.33277893066406
2014-11-14,42.307159423828125
2014-11-17,42.20475387573242
2014-11-18,41.852699279785156
2014-11-19,41.40617752075195
2014-11-20,41.8183479309082
2014-11-21,41.2000732421875
2014-11-24,40.865203857421875
2014-11-25,40.76215744018555
2014-11-26,41.002593994140625
2014-11-28,41.05410385131836
2014-12-01,41.74965286254883
2014-12-02,41.612266540527344
2014-12-03,41.285945892333984
2014-12-04,41.93856430053711
2014-12-05,41.577911376953125
2014-12-08,40.959659576416016
2014-12-09,40.865203857421875
2014-12-10,40.272705078125
2014-12-11,40.504547119140625
2014-12-12,40.315643310546875
2014-12-15,40.07520294189453
2014-12-16,38.7785758972168
2014-12-17,39.2766227722168
2014-12-18,40.805091857910156
2014-12-19,40.9253044128418
2014-12-22,41.2000732421875
2014-12-23,41.603668212890625
2014-12-24,41.337467193603516
2014-12-26,41.11422348022461
2014-12-29,40.744972229003906
2014-12-30,40.37574005126953
2014-12-31,39.88629150390625
2015-01-02,40.15248107910156
2015-01-05,39.78324890136719
2015-01-06,39.199337005615234
2015-01-07,39.697383880615234
2015-01-08,40.865203857421875
2015-01-09,40.521724700927734
2015-01-12,40.015098571777344
2015-01-13,39.80900573730469
2015-01-14,39.465538024902344
2015-01-15,39.05335998535156
2015-01-16,39.70596694946289
2015-01-20,39.83476638793945
2015-01-21,39.431175231933594
2015-01-22,40.47019577026367
2015-01-23,40.51313781738281
2015-01-26,40.36715316772461
2015-01-27,36.631832122802734
2015-01-28,35.36956024169922
2015-01-29,36.07369613647461
2015-01-30,34.69120407104492
2015-02-02,35.44685745239258
2015-02-03,35.72163009643555
2015-02-04,35.92771911621094
2015-02-05,36.45151901245117
2015-02-06,36.41716384887695
2015-02-09,36.37423324584961
2015-02-10,36.580326080322266
2015-02-11,36.391395568847656
2015-02-12,37.0010871887207
2015-02-13,37.670867919921875
2015-02-17,37.68815612792969
