,EXPE
2014-01-02,65.232421875
2014-01-03,65.22299194335938
2014-01-06,64.99677276611328
2014-01-07,67.34368896484375
2014-01-08,66.26920318603516
2014-01-09,65.55287170410156
2014-01-10,65.60000610351562
2014-01-13,63.96940612792969
2014-01-14,65.34553527832031
2014-01-15,65.43033599853516
2014-01-16,64.54437255859375
2014-01-17,66.62736511230469
2014-01-21,63.78089141845703
2014-01-22,63.20596694946289
2014-01-23,62.67814254760742
2014-01-24,62.48965072631836
2014-01-27,61.697933197021484
2014-01-28,63.10230255126953
2014-01-29,61.70736312866211
2014-01-30,61.75447082519531
2014-01-31,61.24552536010742
2014-02-03,59.63380432128906
2014-02-04,60.2935676574707
2014-02-05,60.25587463378906
2014-02-06,61.39631652832031
2014-02-07,70.1712646484375
2014-02-10,70.04872131347656
2014-02-11,70.4917221069336
2014-02-12,71.50022888183594
2014-02-13,72.28253173828125
2014-02-14,72.69723510742188
2014-02-18,73.53609466552734
2014-02-19,75.04415893554688
2014-02-20,75.12896728515625
2014-02-21,75.39288330078125
2014-02-24,74.70484924316406
2014-02-25,74.87448120117188
2014-02-26,74.00736236572266
2014-02-27,74.10161590576172
2014-02-28,74.01679229736328
2014-03-03,72.29195404052734
2014-03-04,72.6124038696289
2014-03-05,71.37772369384766
2014-03-06,70.55608367919922
2014-03-07,71.00939178466797
2014-03-10,71.04714965820312
2014-03-11,70.58441162109375
2014-03-12,72.25599670410156
2014-03-13,71.27381134033203
2014-03-14,71.55714416503906
2014-03-17,72.49210357666016
2014-03-18,72.65264892578125
2014-03-19,71.10385131835938
2014-03-20,71.02828216552734
2014-03-21,70.0744400024414
2014-03-24,68.27063751220703
2014-03-25,68.06287384033203
2014-03-26,67.20346069335938
2014-03-27,67.83621978759766
2014-03-28,68.1950912475586
2014-03-31,68.46895599365234
2014-04-01,71.67991638183594
2014-04-02,71.78379821777344
2014-04-03,69.34725189208984
2014-04-04,66.1551742553711
2014-04-07,64.73857879638672
2014-04-08,66.1268539428711
2014-04-09,67.81730651855469
2014-04-10,64.78579711914062
2014-04-11,64.96524047851562
2014-04-14,66.30628204345703
2014-04-15,66.976806640625
2014-04-16,68.41227722167969
2014-04-17,68.43116760253906
2014-04-21,68.1950912475586
2014-04-22,69.45111846923828
2014-04-23,68.45006561279297
2014-04-24,68.09119415283203
2014-04-25,65.55077362060547
2014-04-28,64.7574462890625
2014-04-29,66.66514587402344
2014-04-30,67.04290771484375
2014-05-01,69.76277923583984
2014-05-02,67.19400787353516
2014-05-05,67.77954864501953
2014-05-06,66.589599609375
2014-05-07,65.16355895996094
2014-05-08,64.63471221923828
2014-05-09,64.83301544189453
2014-05-12,66.86348724365234
2014-05-13,67.15621948242188
2014-05-14,66.63681030273438
2014-05-15,65.90018463134766
2014-05-16,66.05130767822266
2014-05-19,66.73126220703125
2014-05-20,66.27794647216797
2014-05-21,66.90123748779297
2014-05-22,67.07122802734375
2014-05-23,67.42066192626953
2014-05-27,69.47003173828125
2014-05-28,69.20504760742188
2014-05-29,69.62144470214844
2014-05-30,69.36593627929688
2014-06-02,70.23654174804688
2014-06-03,69.28076171875
2014-06-04,69.33753204345703
2014-06-05,70.02833557128906
2014-06-06,71.05986785888672
2014-06-09,70.548828125
2014-06-10,71.05986785888672
2014-06-11,71.90206909179688
2014-06-12,70.00942993164062
2014-06-13,70.27439880371094
2014-06-16,70.57722473144531
2014-06-17,73.45406341552734
2014-06-18,76.03753662109375
2014-06-19,73.70011138916016
2014-06-20,74.1164779663086
2014-06-23,73.6528091430664
2014-06-24,72.16704559326172
2014-06-25,73.16069030761719
2014-06-26,72.87680053710938
2014-06-27,74.7126693725586
2014-06-30,74.53287506103516
2014-07-01,76.44445037841797
2014-07-02,75.95236206054688
2014-07-03,77.79769897460938
2014-07-07,76.51069641113281
2014-07-08,74.5801773071289
2014-07-09,75.86719512939453
2014-07-10,75.07229614257812
2014-07-11,75.45084381103516
2014-07-14,75.82935333251953
2014-07-15,76.27411651611328
2014-07-16,75.11961364746094
2014-07-17,73.2458724975586
2014-07-18,74.56126403808594
2014-07-21,74.4193115234375
2014-07-22,75.94290161132812
2014-07-23,76.53910064697266
2014-07-24,75.61168670654297
2014-07-25,75.3940200805664
2014-07-28,75.89557647705078
2014-07-29,76.3498306274414
2014-07-30,77.2961654663086
2014-07-31,75.15744018554688
2014-08-01,79.92697143554688
2014-08-04,80.4758529663086
2014-08-05,79.82284545898438
2014-08-06,79.34969329833984
2014-08-07,79.03738403320312
2014-08-08,78.11946868896484
2014-08-11,79.43485260009766
2014-08-12,79.92697143554688
2014-08-13,80.45687103271484
2014-08-14,80.3717269897461
2014-08-15,80.78812408447266
2014-08-18,81.42217254638672
2014-08-19,81.7060546875
2014-08-20,81.52626037597656
2014-08-21,82.3211669921875
2014-08-22,82.55772399902344
2014-08-25,83.25945281982422
2014-08-26,82.90859985351562
2014-08-27,82.0267105102539
2014-08-28,81.931884765625
2014-08-29,81.4577407836914
2014-09-02,83.72413635253906
2014-09-03,83.82846069335938
2014-09-04,83.39224243164062
2014-09-05,83.3163833618164
2014-09-08,83.22154998779297
2014-09-09,81.48619079589844
2014-09-10,82.5387954711914
2014-09-11,82.66206359863281
2014-09-12,82.07413482666016
2014-09-15,80.75601196289062
2014-09-16,81.75169372558594
2014-09-17,80.93618774414062
2014-09-18,81.46720886230469
2014-09-19,80.75601196289062
2014-09-22,79.19135284423828
2014-09-23,79.589599609375
2014-09-24,81.49568176269531
2014-09-25,80.30081939697266
2014-09-26,81.4577407836914
2014-09-29,82.1025619506836
2014-09-30,83.08880615234375
2014-10-01,80.39566040039062
2014-10-02,79.05857849121094
2014-10-03,81.04996490478516
2014-10-06,82.09307861328125
2014-10-07,80.34822082519531
2014-10-08,80.96461486816406
2014-10-09,79.4947738647461
2014-10-10,76.81112670898438
2014-10-13,72.39212799072266
2014-10-14,70.88435363769531
2014-10-15,70.26798248291016
2014-10-16,71.1972885131836
2014-10-17,70.71366882324219
2014-10-20,73.25505828857422
2014-10-21,76.15682983398438
2014-10-22,74.92406463623047
2014-10-23,75.71110534667969
2014-10-24,77.31372833251953
2014-10-27,76.22319030761719
2014-10-28,76.43182373046875
2014-10-29,75.4266357421875
2014-10-30,76.55509948730469
2014-10-31,80.57583618164062
2014-11-03,81.48619079589844
2014-11-04,79.55167388916016
2014-11-05,78.755126953125
2014-11-06,79.712890625
2014-11-07,80.71807861328125
2014-11-10,81.55254364013672
2014-11-11,81.9887924194336
2014-11-12,82.60515594482422
2014-11-13,82.0172119140625
2014-11-14,83.39224243164062
2014-11-17,82.44395446777344
2014-11-18,83.97386932373047
2014-11-19,82.71002960205078
2014-11-20,81.79779052734375
2014-11-21,80.47692108154297
2014-11-24,81.398681640625
2014-11-25,81.54120635986328
2014-11-26,81.33216857910156
2014-11-28,82.77652740478516
2014-12-01,82.1873779296875
2014-12-02,83.16615295410156
2014-12-03,84.18290710449219
2014-12-04,85.09513092041016
2014-12-05,86.80561065673828
2014-12-08,85.81734466552734
2014-12-09,86.18794250488281
2014-12-10,83.4132080078125
2014-12-11,82.97608947753906
2014-12-12,83.1756362915039
2014-12-15,82.9855728149414
2014-12-16,81.75975799560547
2014-12-17,82.53898620605469
2014-12-18,83.42271423339844
2014-12-19,83.67928314208984
2014-12-22,84.88609313964844
2014-12-23,84.49647521972656
2014-12-24,84.58202362060547
2014-12-26,84.86710357666016
2014-12-29,83.81230163574219
2014-12-30,81.69326782226562
2014-12-31,81.11358642578125
2015-01-02,81.49369049072266
2015-01-05,80.01130676269531
2015-01-06,79.98277282714844
2015-01-07,79.98277282714844
2015-01-08,83.51774597167969
2015-01-09,83.19466400146484
2015-01-12,80.93305206298828
2015-01-13,80.79051971435547
2015-01-14,81.14212036132812
2015-01-15,78.42436218261719
2015-01-16,79.3271255493164
2015-01-20,79.76425170898438
2015-01-21,79.89726257324219
2015-01-22,81.44618225097656
2015-01-23,83.09010314941406
2015-01-26,82.94757843017578
2015-01-27,82.36791229248047
2015-01-28,81.59823608398438
2015-01-29,82.2634048461914
2015-01-30,81.6552505493164
2015-02-02,81.93080139160156
2015-02-03,83.45121765136719
2015-02-04,83.49874114990234
2015-02-05,83.62226104736328
2015-02-06,73.9962158203125
2015-02-09,74.30976867675781
2015-02-10,74.30027770996094
2015-02-11,74.32878875732422
2015-02-12,85.1141586303711
2015-02-13,85.03813171386719
2015-02-17,84.2779541015625
2015-02-18,84.72455596923828
2015-02-19,86.75809478759766
2015-02-20,87.70836639404297
2015-02-23,90.03646087646484
2015-02-24,89.49481964111328
2015-02-25,89.90342712402344
2015-02-26,88.61109924316406
2015-02-27,87.18569946289062
2015-03-02,87.59435272216797
2015-03-03,86.49201965332031
2015-03-04,85.39922332763672
2015-03-05,86.83412170410156
2015-03-06,85.92961120605469
2015-03-09,86.21524047851562
2015-03-10,85.07266998291016
2015-03-11,84.69181823730469
2015-03-12,87.0150146484375
2015-03-13,86.97694396972656
2015-03-16,88.51940155029297
2015-03-17,87.9100341796875
2015-03-18,89.53815460205078
2015-03-19,90.14752197265625
2015-03-20,91.31864929199219
2015-03-23,90.83306121826172
2015-03-24,90.89971160888672
2015-03-25,89.45246124267578
2015-03-26,88.31942749023438
2015-03-27,89.19539642333984
2015-03-30,89.68097686767578
2015-03-31,89.62385559082031
2015-04-01,89.66194915771484
2015-04-02,93.28955841064453
2015-04-06,93.86083221435547
2015-04-07,93.7560806274414
2015-04-08,93.927490234375
2015-04-09,93.13721466064453
2015-04-10,94.45114135742188
2015-04-13,94.0322265625
2015-04-14,93.394287109375
2015-04-15,93.2705078125
2015-04-16,92.51832580566406
2015-04-17,91.4995346069336
2015-04-20,92.7373275756836
2015-04-21,93.60374450683594
2015-04-22,94.70823669433594
2015-04-23,94.18456268310547
2015-04-24,94.16552734375
2015-04-27,94.08934020996094
2015-04-28,93.11817169189453
2015-04-29,91.65189361572266
2015-04-30,89.71906280517578
2015-05-01,96.82195281982422
2015-05-04,96.06976318359375
2015-05-05,94.04174041748047
2015-05-06,94.3559341430664
2015-05-07,96.13642883300781
2015-05-08,97.84072875976562
2015-05-11,98.8404769897461
2015-05-12,98.27869415283203
2015-05-13,97.1075668334961
2015-05-14,99.15467071533203
2015-05-15,98.4596176147461
2015-05-18,98.4976806640625
2015-05-19,98.7547607421875
2015-05-20,100.44955444335938
2015-05-21,100.82089233398438
2015-05-22,107.59052276611328
2015-05-26,105.5115966796875
2015-05-27,105.78813171386719
2015-05-28,104.17645263671875
2015-05-29,102.28824615478516
2015-06-01,102.46942901611328
2015-06-02,102.6410903930664
2015-06-03,101.66836547851562
2015-06-04,100.74333190917969
2015-06-05,101.46810150146484
2015-06-08,99.9327392578125
2015-06-09,100.15206909179688
2015-06-10,103.15606689453125
2015-06-11,102.86996459960938
2015-06-12,102.69831085205078
2015-06-15,102.25011444091797
2015-06-16,102.94625854492188
2015-06-17,102.88905334472656
2015-06-18,104.59608459472656
2015-06-19,103.64242553710938
2015-06-22,104.4244155883789
2015-06-23,104.73912811279297
2015-06-24,103.92853546142578
2015-06-25,104.20507049560547
2015-06-26,105.57833099365234
2015-06-29,101.99260711669922
2015-06-30,104.28137969970703
2015-07-01,102.22150421142578
2015-07-02,102.10704803466797
2015-07-06,101.57301330566406
2015-07-07,102.09750366210938
2015-07-08,100.00902557373047
2015-07-09,99.70386505126953
2015-07-10,102.96533203125
2015-07-13,105.96931457519531
2015-07-14,102.28824615478516
2015-07-15,102.46942901611328
2015-07-16,104.94892120361328
2015-07-17,105.65461730957031
2015-07-20,104.48162078857422
2015-07-21,104.98705291748047
2015-07-22,105.53065490722656
2015-07-23,104.44348907470703
2015-07-24,100.80054473876953
2015-07-27,100.05671691894531
2015-07-28,102.2024154663086
2015-07-29,101.91631317138672
2015-07-30,102.62200927734375
2015-07-31,115.81096649169922
2015-08-03,116.90766143798828
2015-08-04,118.7863540649414
2015-08-05,120.91299438476562
2015-08-06,115.96353912353516
2015-08-07,115.42951202392578
2015-08-10,115.85865020751953
2015-08-11,115.51533508300781
2015-08-12,115.18154907226562
2015-08-13,115.06713104248047
2015-08-14,116.01122283935547
2015-08-17,117.30818939208984
2015-08-18,117.60381317138672
2015-08-19,117.43217468261719
2015-08-20,113.19796752929688
2015-08-21,109.20219421386719
2015-08-24,103.31818389892578
2015-08-25,103.62403106689453
2015-08-26,110.14234924316406
2015-08-27,112.25458526611328
2015-08-28,111.3561782836914
2015-08-31,109.90338897705078
2015-09-01,105.48779296875
2015-09-02,108.36460876464844
2015-09-03,107.89630889892578
2015-09-04,106.30973815917969
2015-09-08,109.3968505859375
2015-09-09,108.33595275878906
2015-09-10,110.8113784790039
2015-09-11,111.45174407958984
2015-09-14,110.62979888916016
2015-09-15,113.57354736328125
2015-09-16,119.16475677490234
2015-09-17,123.13119506835938
2015-09-18,120.89469909667969
2015-09-21,120.74179077148438
2015-09-22,119.35590362548828
2015-09-23,116.73710632324219
2015-09-24,115.16967010498047
2015-09-25,114.73958587646484
2015-09-28,111.55689239501953
2015-09-29,108.9667739868164
2015-09-30,112.47440338134766
