,GM
2014-01-02,30.85315704345703
2014-01-03,29.81342124938965
2014-01-06,30.438770294189453
2014-01-07,30.288105010986328
2014-01-08,30.45383071899414
2014-01-09,30.506576538085938
2014-01-10,30.160011291503906
2014-01-13,29.82096290588379
2014-01-14,30.1524658203125
2014-01-15,29.670269012451172
2014-01-16,29.383970260620117
2014-01-17,29.082590103149414
2014-01-21,28.886703491210938
2014-01-22,29.233278274536133
2014-01-23,28.946977615356445
2014-01-24,27.7490177154541
2014-01-27,27.696269989013672
2014-01-28,27.733936309814453
2014-01-29,27.387367248535156
2014-01-30,27.756540298461914
2014-01-31,27.183935165405273
2014-02-03,26.558584213256836
2014-02-04,26.988040924072266
2014-02-05,26.55104637145996
2014-02-06,26.54351234436035
2014-02-07,27.20653533935547
2014-02-10,26.294879913330078
2014-02-11,26.558584213256836
2014-02-12,26.792146682739258
2014-02-13,26.520910263061523
2014-02-14,27.08599281311035
2014-02-18,27.357234954833984
2014-02-19,27.146265029907227
2014-02-20,27.507915496826172
2014-02-21,27.643526077270508
2014-02-24,27.538057327270508
2014-02-25,27.199005126953125
2014-02-26,27.7490177154541
2014-02-27,27.703798294067383
2014-02-28,27.27434730529785
2014-03-03,27.281869888305664
2014-03-04,27.82435417175293
2014-03-05,28.268878936767578
2014-03-06,28.283954620361328
2014-03-07,28.39696502685547
2014-03-10,27.94490623474121
2014-03-11,26.50584602355957
2014-03-12,26.26474380493164
2014-03-13,25.684598922729492
2014-03-14,25.91263771057129
2014-03-17,26.323097229003906
2014-03-18,26.733570098876953
2014-03-19,26.535934448242188
2014-03-20,26.801977157592773
2014-03-21,26.611949920654297
2014-03-24,26.71076011657715
2014-03-25,26.23188018798828
2014-03-26,26.01145362854004
2014-03-27,26.23188018798828
2014-03-28,26.399110794067383
2014-03-31,26.16347312927246
2014-04-01,26.102663040161133
2014-04-02,26.513137817382812
2014-04-03,26.938804626464844
2014-04-04,26.459924697875977
2014-04-07,25.92783546447754
2014-04-08,26.247087478637695
2014-04-09,25.555376052856445
2014-04-10,25.3121337890625
2014-04-11,24.27076530456543
2014-04-14,24.742042541503906
2014-04-15,25.357742309570312
2014-04-16,25.821426391601562
2014-04-17,25.82901954650879
2014-04-21,25.82901954650879
2014-04-22,26.019058227539062
2014-04-23,26.140668869018555
2014-04-24,25.97344970703125
2014-04-25,25.631389617919922
2014-04-28,25.661794662475586
2014-04-29,25.836627960205078
2014-04-30,26.209081649780273
2014-05-01,26.528335571289062
2014-05-02,26.581544876098633
2014-05-05,26.41431999206543
2014-05-06,26.41431999206543
2014-05-07,26.65755844116211
