,MDT
2014-01-02,44.48184585571289
2014-01-03,45.336666107177734
2014-01-06,46.02051544189453
2014-01-07,46.5023307800293
2014-01-08,47.27944564819336
2014-01-09,46.12931823730469
2014-01-10,46.58780288696289
2014-01-13,46.04383087158203
2014-01-14,46.16817855834961
2014-01-15,46.10600662231445
2014-01-16,45.93503189086914
2014-01-17,46.24587631225586
2014-01-21,46.13710021972656
2014-01-22,45.966121673583984
2014-01-23,45.62419128417969
2014-01-24,44.41967010498047
2014-01-27,44.264251708984375
2014-01-28,44.36528015136719
2014-01-29,43.7979850769043
2014-01-30,44.303104400634766
2014-01-31,43.95341110229492
2014-02-03,42.515750885009766
2014-02-04,41.653160095214844
2014-02-05,42.53129959106445
2014-02-06,42.546836853027344
2014-02-07,43.19960403442383
2014-02-10,43.370582580566406
2014-02-11,43.88346862792969
2014-02-12,43.852386474609375
2014-02-13,43.984493255615234
2014-02-14,44.20207977294922
2014-02-18,43.66587448120117
2014-02-19,43.67363739013672
2014-02-20,44.29534149169922
2014-02-21,44.38858413696289
2014-02-24,44.7615966796875
2014-02-25,44.64503479003906
2014-02-26,44.9247932434082
2014-02-27,45.30558776855469
2014-02-28,46.05160903930664
2014-03-03,45.880638122558594
2014-03-04,46.354671478271484
2014-03-05,46.34690856933594
2014-03-06,46.44792938232422
2014-03-07,46.556732177734375
2014-03-10,46.681068420410156
2014-03-11,46.82870864868164
2014-03-12,46.49456024169922
2014-03-13,45.87287521362305
2014-03-14,45.740760803222656
2014-03-17,46.02051544189453
2014-03-18,46.510093688964844
2014-03-19,46.510093688964844
2014-03-20,46.3002815246582
2014-03-21,45.71745681762695
2014-03-24,45.18901824951172
2014-03-25,45.849552154541016
2014-03-26,46.07491683959961
2014-03-27,45.98166275024414
2014-03-28,46.945289611816406
2014-03-31,47.82341766357422
2014-04-01,47.87781524658203
2014-04-02,48.29155731201172
2014-04-03,48.642860412597656
2014-04-04,48.0651741027832
2014-04-07,48.10420608520508
2014-04-08,47.620208740234375
2014-04-09,47.93247985839844
2014-04-10,46.9176025390625
2014-04-11,46.21501159667969
2014-04-14,45.34067916870117
2014-04-15,45.3172492980957
2014-04-16,45.66074752807617
2014-04-17,45.70759201049805
2014-04-21,46.01203536987305
2014-04-22,45.512428283691406
2014-04-23,45.57487106323242
2014-04-24,45.543643951416016
2014-04-25,45.442169189453125
2014-04-28,45.84811019897461
2014-04-29,45.90275955200195
2014-04-30,45.918365478515625
2014-05-01,46.22282028198242
2014-05-02,45.87933349609375
2014-05-05,46.09791946411133
2014-05-06,46.21501159667969
2014-05-07,46.30869674682617
2014-05-08,46.39457321166992
2014-05-09,46.97224426269531
2014-05-12,47.61240005493164
2014-05-13,47.487491607666016
2014-05-14,47.346961975097656
2014-05-15,46.76929473876953
2014-05-16,47.14400100708008
2014-05-19,47.104949951171875
2014-05-20,46.37895965576172
2014-05-21,46.65217590332031
2014-05-22,46.66780090332031
2014-05-23,46.78490447998047
2014-05-27,47.16740036010742
2014-05-28,46.964447021484375
2014-05-29,47.323543548583984
2014-05-30,47.64362716674805
2014-06-02,47.63581466674805
2014-06-03,47.62800598144531
2014-06-04,49.35325622558594
2014-06-05,48.43209457397461
2014-06-06,48.76777267456055
2014-06-09,48.58821487426758
2014-06-10,48.29155731201172
2014-06-11,47.75291442871094
2014-06-12,47.456268310546875
2014-06-13,47.3859977722168
2014-06-16,46.862953186035156
2014-06-17,48.072994232177734
2014-06-18,49.782623291015625
2014-06-19,50.48522186279297
2014-06-20,49.85288619995117
2014-06-23,50.071468353271484
2014-06-24,50.01682662963867
2014-06-25,50.11830139160156
2014-06-26,50.47740936279297
2014-06-27,50.05584716796875
2014-06-30,49.77481460571289
2014-07-01,50.1317253112793
2014-07-02,50.1317253112793
2014-07-03,50.63375473022461
2014-07-07,49.89639663696289
2014-07-08,49.90425109863281
2014-07-09,49.88855743408203
2014-07-10,49.78658676147461
2014-07-11,50.03759765625
2014-07-14,50.23371887207031
2014-07-15,49.8571891784668
2014-07-16,49.36300277709961
2014-07-17,48.256980895996094
2014-07-18,48.91588592529297
2014-07-21,48.955108642578125
2014-07-22,49.1904411315918
2014-07-23,49.70814514160156
2014-07-24,49.63753890991211
2014-07-25,49.33946990966797
2014-07-28,49.22964859008789
2014-07-29,49.14336395263672
2014-07-30,49.088462829589844
2014-07-31,48.42955780029297
