,TPR
2014-01-02,39.65753936767578
2014-01-03,39.891605377197266
2014-01-06,39.6220703125
2014-01-07,39.99092483520508
2014-01-08,39.51567459106445
2014-01-09,39.473121643066406
2014-01-10,39.77812194824219
2014-01-13,38.51554489135742
2014-01-14,38.21763610839844
2014-01-15,38.394962310791016
2014-01-16,37.33100891113281
2014-01-17,37.281349182128906
2014-01-21,37.274253845214844
2014-01-22,35.0257453918457
2014-01-23,35.00445556640625
2014-01-24,34.62144088745117
2014-01-27,34.259674072265625
2014-01-28,34.614341735839844
2014-01-29,33.99723815917969
2014-01-30,34.25259780883789
2014-01-31,33.96886444091797
2014-02-03,32.982933044433594
2014-02-04,32.3658332824707
2014-02-05,32.20978546142578
2014-02-06,32.92618179321289
2014-02-07,33.734806060791016
2014-02-10,33.47944641113281
2014-02-11,33.57875061035156
2014-02-12,33.29501724243164
2014-02-13,33.97596740722656
2014-02-14,34.1036376953125
2014-02-18,34.13909912109375
2014-02-19,33.93339920043945
2014-02-20,33.791542053222656
2014-02-21,33.79863357543945
2014-02-24,34.01144027709961
2014-02-25,34.238399505615234
2014-02-26,34.37317657470703
2014-02-27,34.62852096557617
2014-02-28,34.62144088745117
2014-03-03,34.1036376953125
2014-03-04,34.33771896362305
2014-03-05,34.36484146118164
2014-03-06,34.529144287109375
2014-03-07,34.87200164794922
2014-03-10,34.95058059692383
2014-03-11,35.12201690673828
2014-03-12,35.02200698852539
2014-03-13,34.42198944091797
2014-03-14,35.07914733886719
2014-03-17,35.31486511230469
2014-03-18,35.8791618347168
2014-03-19,35.8934440612793
2014-03-20,35.70773696899414
2014-03-21,35.886314392089844
2014-03-24,35.56487274169922
2014-03-25,35.357730865478516
2014-03-26,35.07914733886719
2014-03-27,35.25056838989258
2014-03-28,35.479148864746094
2014-03-31,35.47201919555664
2014-04-01,35.46487045288086
2014-04-02,35.80773162841797
2014-04-03,35.75773239135742
2014-04-04,35.40058898925781
2014-04-07,34.91486740112305
2014-04-08,35.06486511230469
2014-04-09,35.486289978027344
2014-04-10,35.3363037109375
2014-04-11,34.864871978759766
2014-04-14,34.821998596191406
2014-04-15,34.90058517456055
2014-04-16,35.179141998291016
2014-04-17,35.34344482421875
2014-04-21,35.07914733886719
2014-04-22,35.372005462646484
2014-04-23,35.75773239135742
2014-04-24,35.71487808227539
2014-04-25,35.586299896240234
2014-04-28,36.014888763427734
2014-04-29,32.650543212890625
2014-04-30,31.893394470214844
2014-05-01,31.43622589111328
2014-05-02,31.343372344970703
2014-05-05,30.993364334106445
2014-05-06,30.43621253967285
2014-05-07,30.00764274597168
2014-05-08,30.0290584564209
2014-05-09,30.086214065551758
2014-05-12,30.336219787597656
2014-05-13,30.143348693847656
2014-05-14,29.700485229492188
2014-05-15,29.75048828125
2014-05-16,29.99336051940918
2014-05-19,29.907644271850586
2014-05-20,29.56477165222168
2014-05-21,29.600482940673828
2014-05-22,29.529052734375
2014-05-23,29.664766311645508
2014-05-27,29.543338775634766
2014-05-28,29.150482177734375
2014-05-29,29.00761604309082
2014-05-30,29.079055786132812
2014-06-02,28.886194229125977
2014-06-03,28.829051971435547
2014-06-04,28.085662841796875
2014-06-05,28.51066017150879
2014-06-06,28.805992126464844
2014-06-09,29.411075592041016
2014-06-10,28.51066017150879
2014-06-11,28.186521530151367
2014-06-12,27.855159759521484
2014-06-13,28.359394073486328
2014-06-16,28.582693099975586
2014-06-17,29.396669387817383
2014-06-18,28.2297306060791
2014-06-19,25.708576202392578
2014-06-20,25.017057418823242
2014-06-23,24.505630493164062
2014-06-24,24.556047439575195
2014-06-25,24.563249588012695
2014-06-26,24.73613739013672
2014-06-27,24.829776763916016
2014-06-30,24.628080368041992
2014-07-01,24.692914962768555
2014-07-02,25.2547664642334
2014-07-03,25.312400817871094
2014-07-07,25.802215576171875
2014-07-08,25.197141647338867
2014-07-09,24.851388931274414
2014-07-10,24.563249588012695
2014-07-11,24.671308517456055
2014-07-14,24.48401641845703
2014-07-15,24.19588851928711
2014-07-16,24.339950561523438
2014-07-17,24.556047439575195
2014-07-18,24.671308517456055
2014-07-21,24.721723556518555
2014-07-22,24.923423767089844
2014-07-23,24.90180778503418
2014-07-24,25.26197624206543
2014-07-25,24.945022583007812
2014-07-28,24.959440231323242
2014-07-29,24.743335723876953
2014-07-30,25.04587745666504
2014-07-31,24.89460563659668
2014-08-01,24.275117874145508
2014-08-04,24.71452522277832
2014-08-05,25.787811279296875
2014-08-06,25.283592224121094
2014-08-07,25.08189582824707
2014-08-08,26.44331169128418
2014-08-11,26.061532974243164
2014-08-12,25.917476654052734
2014-08-13,25.715784072875977
2014-08-14,26.155189514160156
2014-08-15,25.97510528564453
2014-08-18,26.119171142578125
2014-08-19,26.248825073242188
2014-08-20,26.580177307128906
2014-08-21,26.500944137573242
2014-08-22,26.91152572631836
2014-08-25,26.825088500976562
2014-08-26,26.781869888305664
2014-08-27,26.781869888305664
2014-08-28,26.493736267089844
2014-08-29,26.529756546020508
2014-09-02,26.472122192382812
2014-09-03,26.30644989013672
2014-09-04,26.84670066833496
2014-09-05,27.252321243286133
2014-09-08,27.150548934936523
2014-09-09,26.64897918701172
2014-09-10,26.830698013305664
2014-09-11,27.143285751342773
2014-09-12,26.867055892944336
2014-09-15,26.845243453979492
2014-09-16,27.005170822143555
2014-09-17,26.91067123413086
2014-09-18,27.136014938354492
2014-09-19,26.93248176574707
2014-09-22,26.481782913208008
2014-09-23,26.66351318359375
2014-09-24,26.95428466796875
2014-09-25,26.37274932861328
2014-09-26,26.409090042114258
2014-09-29,26.28551483154297
2014-09-30,25.885711669921875
2014-10-01,25.34778594970703
2014-10-02,25.59493637084961
2014-10-03,25.522247314453125
2014-10-06,25.23874855041504
2014-10-07,24.88982391357422
2014-10-08,25.39140510559082
2014-10-09,24.74444007873535
2014-10-10,24.773515701293945
2014-10-13,24.795318603515625
2014-10-14,25.892980575561523
2014-10-15,25.834827423095703
2014-10-16,25.52951431274414
2014-10-17,25.07155990600586
2014-10-20,25.573131561279297
2014-10-21,25.769397735595703
2014-10-22,25.61675262451172
2014-10-23,26.125593185424805
2014-10-24,26.14739990234375
2014-10-27,26.27824592590332
2014-10-28,24.71536636352539
2014-10-29,24.569984436035156
2014-10-30,24.91162872314453
2014-10-31,24.991594314575195
2014-11-03,24.67174530029297
2014-11-04,23.988441467285156
2014-11-05,24.00297737121582
2014-11-06,24.322824478149414
2014-11-07,24.46820831298828
2014-11-10,24.642671585083008
2014-11-11,24.92616844177246
2014-11-12,25.558589935302734
2014-11-13,25.224206924438477
2014-11-14,25.580398559570312
2014-11-17,25.522247314453125
2014-11-18,25.660358428955078
2014-11-19,25.762130737304688
2014-11-20,26.26371192932129
2014-11-21,26.503599166870117
2014-11-24,27.194171905517578
2014-11-25,26.961549758911133
2014-11-26,26.64897918701172
2014-11-28,26.983366012573242
2014-12-01,26.24189567565918
2014-12-02,25.580398559570312
2014-12-03,25.755088806152344
2014-12-04,25.468833923339844
2014-12-05,25.322044372558594
2014-12-08,25.006433486938477
2014-12-09,24.984416961669922
2014-12-10,24.67613983154297
2014-12-11,25.292682647705078
2014-12-12,25.83582878112793
2014-12-15,25.740407943725586
2014-12-16,25.667007446289062
2014-12-17,26.239505767822266
2014-12-18,26.738609313964844
2014-12-19,26.782642364501953
2014-12-22,27.156978607177734
2014-12-23,27.303770065307617
2014-12-24,27.13495635986328
2014-12-26,27.245054244995117
2014-12-29,27.685434341430664
2014-12-30,27.788188934326172
2014-12-31,27.567996978759766
2015-01-02,27.384506225585938
2015-01-05,26.958799362182617
2015-01-06,26.643186569213867
2015-01-07,27.465240478515625
2015-01-08,28.162513732910156
2015-01-09,28.037734985351562
2015-01-12,28.309307098388672
