,KMB
2014-01-02,69.28305053710938
2014-01-03,69.6233139038086
2014-01-06,69.63001251220703
2014-01-07,69.3764877319336
2014-01-08,68.909423828125
2014-01-09,69.20967102050781
2014-01-10,69.963623046875
2014-01-13,69.87684631347656
2014-01-14,70.34390258789062
2014-01-15,70.3105697631836
2014-01-16,70.75760650634766
2014-01-17,70.36393737792969
2014-01-21,71.01113891601562
2014-01-22,70.73090362548828
2014-01-23,70.3372573852539
2014-01-24,71.65831756591797
2014-01-27,71.6916732788086
2014-01-28,72.49234008789062
2014-01-29,71.39813232421875
2014-01-30,72.32554626464844
2014-01-31,72.97272491455078
2014-02-03,70.38395690917969
2014-02-04,70.43065643310547
2014-02-05,70.45733642578125
2014-02-06,70.9577407836914
2014-02-07,71.32471466064453
2014-02-10,71.79840850830078
2014-02-11,72.45230102539062
2014-02-12,72.03196716308594
2014-02-13,72.55905151367188
2014-02-14,73.55321502685547
2014-02-18,73.21292877197266
2014-02-19,72.57908630371094
2014-02-20,73.3730697631836
2014-02-21,73.29298400878906
2014-02-24,73.49981689453125
2014-02-25,73.38638305664062
2014-02-26,72.43228912353516
2014-02-27,72.65914154052734
2014-02-28,73.62659454345703
2014-03-03,72.7525634765625
2014-03-04,73.96685791015625
2014-03-05,73.0390853881836
2014-03-06,73.54331970214844
2014-03-07,73.24747467041016
2014-03-10,73.39541625976562
2014-03-11,73.31474304199219
2014-03-12,73.78533172607422
2014-03-13,73.33488464355469
2014-03-14,73.72484588623047
2014-03-17,74.65933990478516
2014-03-18,74.49127197265625
2014-03-19,73.85931396484375
2014-03-20,73.79878997802734
2014-03-21,74.06098175048828
2014-03-24,74.39714050292969
2014-03-25,74.32991790771484
2014-03-26,74.38369750976562
2014-03-27,73.71138000488281
2014-03-28,73.8324203491211
2014-03-31,74.12149810791016
2014-04-01,73.68449401855469
2014-04-02,73.61726379394531
2014-04-03,73.78533172607422
2014-04-04,73.79878997802734
2014-04-07,74.02737426757812
2014-04-08,74.450927734375
2014-04-09,74.78034973144531
2014-04-10,74.67281341552734
2014-04-11,73.78533172607422
2014-04-14,74.19544219970703
2014-04-15,74.32318878173828
2014-04-16,75.57366943359375
2014-04-17,75.66108703613281
2014-04-21,74.58538818359375
2014-04-22,72.87775421142578
2014-04-23,73.0861587524414
2014-04-24,73.30126953125
2014-04-25,73.4424819946289
2014-04-28,74.78034973144531
2014-04-29,74.6996841430664
2014-04-30,75.46612548828125
2014-05-01,74.78034973144531
2014-05-02,74.6458740234375
2014-05-05,74.10806274414062
2014-05-06,73.85931396484375
2014-05-07,74.59211730957031
2014-05-08,74.43075561523438
2014-05-09,74.49798583984375
2014-05-12,74.08789825439453
2014-05-13,74.81397247314453
2014-05-14,74.63917541503906
2014-05-15,74.450927734375
2014-05-16,74.66605377197266
2014-05-19,73.76517486572266
2014-05-20,73.6576156616211
2014-05-21,73.96684265136719
2014-05-22,74.04082489013672
2014-05-23,74.44420623779297
2014-05-27,74.32991790771484
2014-05-28,74.31645202636719
2014-05-29,74.80055236816406
2014-05-30,75.53336334228516
2014-06-02,75.351806640625
2014-06-03,74.69293975830078
2014-06-04,75.43812561035156
2014-06-05,75.26199340820312
2014-06-06,75.64136505126953
2014-06-09,75.85810852050781
2014-06-10,75.55326843261719
2014-06-11,75.25524139404297
2014-06-12,74.60490417480469
2014-06-13,74.96390533447266
2014-06-16,75.15360260009766
2014-06-17,75.26199340820312
2014-06-18,75.87843322753906
2014-06-19,76.62360382080078
2014-06-20,76.31878662109375
2014-06-23,75.81071472167969
2014-06-24,75.59391784667969
2014-06-25,75.46524047851562
2014-06-26,75.0926284790039
2014-06-27,75.44489288330078
2014-06-30,75.3432846069336
2014-07-01,75.5465316772461
2014-07-02,75.49232482910156
2014-07-03,75.79035949707031
2014-07-07,75.96650695800781
2014-07-08,76.20361328125
2014-07-09,76.5897445678711
2014-07-10,76.42037200927734
2014-07-11,76.2848892211914
2014-07-14,76.56263732910156
2014-07-15,77.08426666259766
2014-07-16,77.38912200927734
2014-07-17,76.3255615234375
2014-07-18,76.74556732177734
2014-07-21,76.0816879272461
2014-07-22,73.73100280761719
2014-07-23,74.1781234741211
2014-07-24,74.17132568359375
2014-07-25,73.52102661132812
2014-07-28,73.37199401855469
2014-07-29,72.54553985595703
2014-07-30,71.87486267089844
2014-07-31,70.36419677734375
2014-08-01,71.06195831298828
2014-08-04,71.28551483154297
2014-08-05,70.87226867675781
2014-08-06,72.28807830810547
2014-08-07,71.92904663085938
2014-08-08,72.69454193115234
2014-08-11,73.20260620117188
2014-08-12,72.904541015625
2014-08-13,73.121337890625
2014-08-14,73.21617889404297
2014-08-15,72.97230529785156
2014-08-18,73.59552001953125
2014-08-19,73.47358703613281
2014-08-20,73.5480728149414
2014-08-21,73.96134948730469
2014-08-22,73.6835708618164
2014-08-25,73.98167419433594
2014-08-26,73.25006103515625
2014-08-27,73.78519439697266
2014-08-28,73.25680541992188
2014-08-29,73.1619873046875
2014-09-02,73.1619873046875
2014-09-03,73.42822265625
2014-09-04,73.42141723632812
2014-09-05,73.39408874511719
2014-09-08,73.03907775878906
2014-09-09,72.9503173828125
2014-09-10,72.97761535644531
2014-09-11,73.09369659423828
2014-09-12,72.38363647460938
2014-09-15,72.63624572753906
2014-09-16,72.9503173828125
2014-09-17,72.86156463623047
2014-09-18,72.86156463623047
2014-09-19,73.00494384765625
