,CCL
2014-01-02,33.11935806274414
2014-01-03,33.152626037597656
2014-01-06,32.63683319091797
2014-01-07,32.85313034057617
2014-01-08,32.77826690673828
2014-01-09,33.24414825439453
2014-01-10,34.31733703613281
2014-01-13,34.458770751953125
2014-01-14,34.541969299316406
2014-01-15,34.59188461303711
2014-01-16,34.5502815246582
2014-01-17,34.40886306762695
2014-01-21,33.967926025390625
2014-01-22,34.17591857910156
2014-01-23,33.81818771362305
2014-01-24,32.57027816772461
2014-01-27,32.753299713134766
2014-01-28,33.76826858520508
2014-01-29,32.89473342895508
2014-01-30,33.310699462890625
2014-01-31,32.60354995727539
2014-02-03,32.237510681152344
2014-02-04,32.48707962036133
2014-02-05,32.12934875488281
2014-02-06,33.38557815551758
2014-02-07,33.202545166015625
2014-02-10,33.53532409667969
2014-02-11,33.51036071777344
2014-02-12,33.61020278930664
2014-02-13,33.47709655761719
2014-02-14,33.909690856933594
2014-02-18,33.077754974365234
2014-02-19,32.80148696899414
2014-02-20,32.742889404296875
2014-02-21,33.002410888671875
2014-02-24,33.22846603393555
2014-02-25,33.554969787597656
2014-02-26,33.672176361083984
2014-02-27,33.86473083496094
2014-02-28,33.203346252441406
2014-03-03,32.24893569946289
2014-03-04,33.16984939575195
2014-03-05,32.88520050048828
2014-03-06,32.809852600097656
2014-03-07,33.06938934326172
2014-03-10,32.65916442871094
2014-03-11,32.441490173339844
2014-03-12,32.901954650878906
2014-03-13,32.24055862426758
2014-03-14,32.16521453857422
2014-03-17,32.50008773803711
2014-03-18,33.161476135253906
2014-03-19,32.960548400878906
2014-03-20,33.47960662841797
2014-03-21,33.471256256103516
2014-03-24,33.48798751831055
2014-03-25,31.830339431762695
2014-03-26,31.51219940185547
2014-03-27,31.24428367614746
2014-03-28,31.177316665649414
2014-03-31,31.69638442993164
2014-04-01,32.148468017578125
2014-04-02,31.847078323364258
2014-04-03,32.19869613647461
2014-04-04,31.7298641204834
2014-04-07,31.545682907104492
2014-04-08,31.81359100341797
2014-04-09,31.88056182861328
2014-04-10,31.328004837036133
2014-04-11,31.001514434814453
2014-04-14,30.54104232788086
2014-04-15,30.323373794555664
2014-04-16,30.59127426147461
2014-04-17,31.24428367614746
2014-04-21,31.168947219848633
2014-04-22,31.28614616394043
2014-04-23,31.328004837036133
2014-04-24,31.955907821655273
2014-04-25,31.86382293701172
2014-04-28,32.33264923095703
2014-04-29,33.102874755859375
2014-04-30,32.91032409667969
2014-05-01,32.36614990234375
2014-05-02,32.49171829223633
2014-05-05,32.575443267822266
2014-05-06,32.69264221191406
2014-05-07,32.86846160888672
2014-05-08,32.80148696899414
2014-05-09,32.75962829589844
2014-05-12,33.27867889404297
2014-05-13,32.94380187988281
2014-05-14,32.62567138671875
2014-05-15,32.26567459106445
2014-05-16,32.01451873779297
2014-05-19,32.51683044433594
2014-05-20,32.80148696899414
2014-05-21,33.35758590698242
2014-05-22,33.46712875366211
2014-05-23,33.71989059448242
2014-05-27,33.40814208984375
2014-05-28,33.2985954284668
2014-05-29,33.483978271484375
2014-05-30,33.72831344604492
2014-06-02,33.71989059448242
2014-06-03,33.837852478027344
2014-06-04,33.77886962890625
2014-06-05,33.863128662109375
2014-06-06,33.91368103027344
2014-06-09,34.16645431518555
2014-06-10,33.854705810546875
2014-06-11,33.82942199707031
2014-06-12,32.927879333496094
2014-06-13,32.793052673339844
2014-06-16,32.371768951416016
2014-06-17,32.62453842163086
2014-06-18,32.540283203125
2014-06-19,32.700374603271484
2014-06-20,32.953155517578125
2014-06-23,33.20592498779297
2014-06-24,32.21167755126953
2014-06-25,32.04315948486328
2014-06-26,32.00946807861328
2014-06-27,31.967336654663086
2014-06-30,31.72297477722168
2014-07-01,31.61344337463379
2014-07-02,31.64716148376465
2014-07-03,31.908363342285156
2014-07-07,31.72297477722168
2014-07-08,31.267993927001953
2014-07-09,31.15003776550293
2014-07-10,30.69504737854004
2014-07-11,31.006793975830078
2014-07-14,31.082626342773438
2014-07-15,30.846710205078125
2014-07-16,30.956247329711914
2014-07-17,30.374855041503906
2014-07-18,30.770872116088867
2014-07-21,30.54338264465332
2014-07-22,30.636062622070312
2014-07-23,30.754024505615234
2014-07-24,31.35225486755371
2014-07-25,30.90569496154785
2014-07-28,30.754024505615234
2014-07-29,30.61078643798828
2014-07-30,30.80457878112793
2014-07-31,30.518104553222656
2014-08-01,30.703474044799805
2014-08-04,30.59394073486328
2014-08-05,30.324316024780273
2014-08-06,30.53495979309082
2014-08-07,30.602359771728516
2014-08-08,30.711904525756836
2014-08-11,31.05735206604004
2014-08-12,31.1331844329834
2014-08-13,31.192169189453125
2014-08-14,31.58816146850586
2014-08-15,31.46177864074707
2014-08-18,31.899932861328125
2014-08-19,31.8493709564209
2014-08-20,32.01053237915039
2014-08-21,32.035972595214844
2014-08-22,32.154720306396484
