,KIM
2014-01-02,11.792486190795898
2014-01-03,11.89388370513916
2014-01-06,11.899847984313965
2014-01-07,11.935639381408691
2014-01-08,12.019145965576172
2014-01-09,12.09072494506836
2014-01-10,12.26370620727539
2014-01-13,12.072830200195312
2014-01-14,12.281599998474121
2014-01-15,12.3829984664917
2014-01-16,12.46054458618164
2014-01-17,12.3829984664917
2014-01-21,12.502300262451172
2014-01-22,12.57387638092041
2014-01-23,12.454581260681152
2014-01-24,12.341249465942383
2014-01-27,12.204051971435547
2014-01-28,12.347214698791504
2014-01-29,12.26370620727539
2014-01-30,12.430720329284668
2014-01-31,12.472476959228516
2014-02-03,12.204051971435547
2014-02-04,12.204051971435547
2014-02-05,12.239846229553223
2014-02-06,12.3829984664917
2014-02-07,12.484402656555176
2014-02-10,12.6037015914917
2014-02-11,12.69317626953125
2014-02-12,12.705102920532227
2014-02-13,12.818434715270996
2014-02-14,12.931767463684082
2014-02-18,12.967558860778809
2014-02-19,13.003345489501953
2014-02-20,12.943697929382324
2014-02-21,12.997383117675781
2014-02-24,12.961590766906738
2014-02-25,13.074922561645508
2014-02-26,13.116677284240723
2014-02-27,13.122639656066895
2014-02-28,13.277730941772461
2014-03-03,13.271761894226074
2014-03-04,13.492464065551758
2014-03-05,13.49842357635498
2014-03-06,13.349305152893066
2014-03-07,13.152466773986816
2014-03-10,13.057024955749512
2014-03-11,13.06895637512207
2014-03-12,13.122639656066895
2014-03-13,13.098785400390625
2014-03-14,13.05105972290039
2014-03-17,13.045101165771484
2014-03-18,13.098785400390625
2014-03-19,12.824400901794434
2014-03-20,12.884045600891113
2014-03-21,13.033173561096191
2014-03-24,12.961590766906738
2014-03-25,13.045101165771484
2014-03-26,12.92580509185791
2014-03-27,12.979485511779785
2014-03-28,13.027205467224121
2014-03-31,13.05105972290039
2014-04-01,13.126399993896484
2014-04-02,13.150507926940918
2014-04-03,13.168590545654297
2014-04-04,13.186666488647461
2014-04-07,13.234883308410645
2014-04-08,13.319258689880371
2014-04-09,13.361446380615234
2014-04-10,13.216802597045898
2014-04-11,13.108318328857422
2014-04-14,13.168590545654297
2014-04-15,13.34938907623291
2014-04-16,13.61457347869873
2014-04-17,13.530195236206055
2014-04-21,13.578411102294922
2014-04-22,13.650725364685059
2014-04-23,13.548276901245117
2014-04-24,13.67483901977539
2014-04-25,13.584439277648926
2014-04-28,13.747157096862793
2014-04-29,13.77126693725586
2014-04-30,13.813456535339355
2014-05-01,13.867694854736328
2014-05-02,13.84359073638916
2014-05-05,13.81948471069336
2014-05-06,13.777295112609863
2014-05-07,13.982205390930176
2014-05-08,13.807426452636719
2014-05-09,13.698945045471191
2014-05-12,13.704972267150879
2014-05-13,13.698945045471191
2014-05-14,13.729080200195312
2014-05-15,13.704972267150879
2014-05-16,13.81948471069336
2014-05-19,13.753188133239746
2014-05-20,13.596489906311035
2014-05-21,13.608543395996094
2014-05-22,13.578411102294922
2014-05-23,13.68689250946045
2014-05-27,13.807426452636719
2014-05-28,13.7109956741333
2014-05-29,13.73511028289795
2014-05-30,13.813456535339355
2014-06-02,13.879753112792969
2014-06-03,13.879753112792969
2014-06-04,13.92796516418457
2014-06-05,14.18712043762207
2014-06-06,14.102739334106445
2014-06-09,13.849617958068848
2014-06-10,13.723052978515625
2014-06-11,13.632652282714844
2014-06-12,13.554305076599121
2014-06-13,13.67483901977539
2014-06-16,13.608543395996094
2014-06-17,13.7109956741333
2014-06-18,13.873727798461914
2014-06-19,14.024394989013672
