,REG
2014-01-02,30.567569732666016
2014-01-03,31.112838745117188
2014-01-06,31.14608383178711
2014-01-07,31.28573226928711
2014-01-08,31.15272331237793
2014-01-09,31.28573226928711
2014-01-10,31.658090591430664
2014-01-13,31.21923828125
2014-01-14,31.837629318237305
2014-01-15,31.771146774291992
2014-01-16,32.156803131103516
2014-01-17,32.096954345703125
2014-01-21,32.236595153808594
2014-01-22,32.41612243652344
2014-01-23,32.26984405517578
2014-01-24,31.797739028930664
2014-01-27,31.54506492614746
2014-01-28,31.96396255493164
2014-01-29,31.538402557373047
2014-01-30,31.950672149658203
2014-01-31,32.01051330566406
2014-02-03,31.09953498840332
2014-02-04,31.47856330871582
2014-02-05,31.56500244140625
2014-02-06,31.970632553100586
2014-02-07,32.25654983520508
2014-02-10,32.92815017700195
2014-02-11,33.12763595581055
2014-02-12,33.0079345703125
2014-02-13,33.39360427856445
2014-02-14,33.765968322753906
2014-02-18,33.799224853515625
2014-02-19,33.74602508544922
2014-02-20,33.5245475769043
2014-02-21,33.60508728027344
2014-02-24,33.69233703613281
2014-02-25,33.85340118408203
2014-02-26,33.8601188659668
2014-02-27,33.793006896972656
2014-02-28,34.074893951416016
2014-03-03,33.9608039855957
2014-03-04,34.41046142578125
2014-03-05,34.32993698120117
2014-03-06,33.94065475463867
2014-03-07,33.30306625366211
2014-03-10,33.2090950012207
2014-03-11,33.484275817871094
2014-03-12,33.67890167236328
2014-03-13,33.57152557373047
2014-03-14,33.80643081665039
2014-03-17,33.82657241821289
2014-03-18,33.947383880615234
2014-03-19,32.90036392211914
2014-03-20,33.02787399291992
2014-03-21,33.504398345947266
2014-03-24,33.584957122802734
2014-03-25,34.02791976928711
2014-03-26,33.65879440307617
2014-03-27,34.04804229736328
2014-03-28,34.074893951416016
2014-03-31,34.26952362060547
2014-04-01,34.43732833862305
2014-04-02,34.44403839111328
2014-04-03,34.2762451171875
2014-04-04,34.40376281738281
2014-04-07,34.504425048828125
2014-04-08,34.685646057128906
2014-04-09,34.645389556884766
2014-04-10,34.356781005859375
2014-04-11,34.20241165161133
2014-04-14,34.504425048828125
2014-04-15,34.6990852355957
2014-04-16,35.02794647216797
2014-04-17,35.12861251831055
2014-04-21,35.16889572143555
2014-04-22,35.074920654296875
2014-04-23,34.81316375732422
2014-04-24,35.18903732299805
2014-04-25,34.994384765625
2014-04-28,35.410499572753906
2014-04-29,35.23601150512695
2014-04-30,35.18903732299805
2014-05-01,35.410499572753906
2014-05-02,35.35010528564453
2014-05-05,35.32324981689453
2014-05-06,35.363521575927734
2014-05-07,35.88703918457031
2014-05-08,36.22932434082031
2014-05-09,36.12865447998047
2014-05-12,36.276309967041016
2014-05-13,35.840049743652344
2014-05-14,36.001129150390625
2014-05-15,35.70581817626953
2014-05-16,36.142066955566406
2014-05-19,35.9254150390625
2014-05-20,35.70874786376953
2014-05-21,35.78322982788086
2014-05-22,35.634273529052734
2014-05-23,35.96603012084961
2014-05-27,36.23009490966797
2014-05-28,36.108219146728516
2014-05-29,36.14885330200195
2014-05-30,36.15561294555664
2014-06-02,36.704036712646484
2014-06-03,36.60248565673828
2014-06-04,36.74467468261719
2014-06-05,37.50298309326172
2014-06-06,37.25246047973633
2014-06-09,37.0155029296875
2014-06-10,36.446754455566406
2014-06-11,36.33164596557617
2014-06-12,36.51445770263672
2014-06-13,36.73112869262695
2014-06-16,36.534786224365234
2014-06-17,36.90717315673828
2014-06-18,37.19829559326172
2014-06-19,37.53684616088867
2014-06-20,37.8144416809082
2014-06-23,37.53007125854492
2014-06-24,37.455596923828125
2014-06-25,37.42173385620117
2014-06-26,37.21862030029297
2014-06-27,37.53007125854492
2014-06-30,37.6993408203125
2014-07-01,37.61809539794922
2014-07-02,37.448822021484375
2014-07-03,37.15090560913086
2014-07-07,37.43527603149414
2014-07-08,37.51652145385742
2014-07-09,37.50298309326172
2014-07-10,37.665489196777344
2014-07-11,37.61809539794922
2014-07-14,37.780574798583984
2014-07-15,37.80766677856445
2014-07-16,37.85506820678711
2014-07-17,37.54362106323242
2014-07-18,37.997257232666016
2014-07-21,37.76704788208008
2014-07-22,38.02435302734375
2014-07-23,38.15974044799805
2014-07-24,38.24776077270508
2014-07-25,37.509765625
2014-07-28,37.882144927978516
2014-07-29,37.584228515625
2014-07-30,37.56393051147461
2014-07-31,36.805606842041016
2014-08-01,36.643104553222656
2014-08-04,36.78529739379883
2014-08-05,36.426448822021484
2014-08-06,36.439971923828125
2014-08-07,37.23215866088867
2014-08-08,37.509765625
2014-08-11,37.834754943847656
2014-08-12,37.73996353149414
2014-08-13,38.40349578857422
2014-08-14,38.53213119506836
2014-08-15,38.54568862915039
2014-08-18,38.93482208251953
2014-08-19,39.262516021728516
2014-08-20,39.42637634277344
2014-08-21,39.214725494384766
2014-08-22,38.75048828125
2014-08-25,38.71635818481445
2014-08-26,38.941654205322266
2014-08-27,38.72317886352539
2014-08-28,38.559329986572266
2014-08-29,39.00993347167969
2014-09-02,39.194252014160156
2014-09-03,39.24203872680664
2014-09-04,39.09868621826172
2014-09-05,39.535606384277344
2014-09-08,39.392242431640625
2014-09-09,39.18741989135742
2014-09-10,38.47740173339844
2014-09-11,38.81194305419922
2014-09-12,37.56256866455078
2014-09-15,37.637672424316406
2014-09-16,38.081451416015625
2014-09-17,37.91758346557617
2014-09-18,37.48065948486328
2014-09-19,37.55575942993164
2014-09-22,37.20758056640625
2014-09-23,36.797943115234375
2014-09-24,36.729679107666016
2014-09-25,36.545345306396484
2014-09-26,37.03689956665039
2014-09-29,37.098350524902344
2014-09-30,36.75015640258789
2014-10-01,36.72285461425781
2014-10-02,36.777462005615234
2014-10-03,37.04372024536133
2014-10-06,37.11882019042969
2014-10-07,36.87987518310547
2014-10-08,37.835655212402344
2014-10-09,37.97903060913086
2014-10-10,37.835655212402344
2014-10-13,37.92441177368164
2014-10-14,38.68222427368164
2014-10-15,38.68222427368164
2014-10-16,38.81194305419922
2014-10-17,38.491058349609375
2014-10-20,39.214725494384766
2014-10-21,39.569740295410156
2014-10-22,39.699466705322266
2014-10-23,40.088592529296875
2014-10-24,40.102256774902344
2014-10-27,40.37534713745117
2014-10-28,40.5460090637207
2014-10-29,40.41628646850586
2014-10-30,40.7371826171875
2014-10-31,41.44035720825195
2014-11-03,41.89777374267578
2014-11-04,42.72386169433594
2014-11-05,42.532691955566406
2014-11-06,42.259613037109375
2014-11-07,42.01383972167969
2014-11-10,42.39616012573242
2014-11-11,42.36201477050781
2014-11-12,41.856815338134766
2014-11-13,41.94556427001953
2014-11-14,41.46767044067383
2014-11-17,41.58463668823242
2014-11-18,41.52959060668945
2014-11-19,41.40574264526367
2014-11-20,41.288787841796875
2014-11-21,41.55711364746094
2014-11-24,41.71536636352539
2014-11-25,41.77727508544922
2014-11-26,42.203857421875
2014-11-28,42.30017852783203
