,FRT
2014-01-02,69.35710906982422
2014-01-03,70.06512451171875
2014-01-06,70.97933959960938
2014-01-07,71.46736907958984
2014-01-08,71.12366485595703
2014-01-09,71.02055358886719
2014-01-10,72.0241470336914
2014-01-13,71.673583984375
2014-01-14,72.28533935546875
2014-01-15,71.98291015625
2014-01-16,71.83169555664062
2014-01-17,71.29552459716797
2014-01-21,72.13414001464844
2014-01-22,73.35765075683594
2014-01-23,74.03820037841797
2014-01-24,73.60514831542969
2014-01-27,73.24079895019531
2014-01-28,74.42998504638672
2014-01-29,74.34751892089844
2014-01-30,74.49871826171875
2014-01-31,74.92489624023438
2014-02-03,73.01396179199219
2014-02-04,74.58123779296875
2014-02-05,75.86663818359375
2014-02-06,76.7808609008789
2014-02-07,77.41325378417969
2014-02-10,77.67446899414062
2014-02-11,77.85317993164062
2014-02-12,76.35469818115234
2014-02-13,76.13471221923828
2014-02-14,76.59526824951172
2014-02-18,76.66397857666016
2014-02-19,76.43717193603516
2014-02-20,75.94225311279297
2014-02-21,76.6915054321289
2014-02-24,76.27215576171875
2014-02-25,76.63651275634766
2014-02-26,76.47840118408203
2014-02-27,76.2584457397461
2014-02-28,76.51278686523438
2014-03-03,76.0797119140625
2014-03-04,77.16576385498047
2014-03-05,76.46465301513672
2014-03-06,76.08658599853516
2014-03-07,75.77041625976562
2014-03-10,75.68791198730469
2014-03-11,76.17596435546875
2014-03-12,76.5471420288086
2014-03-13,76.32029724121094
2014-03-14,76.21034240722656
2014-03-17,76.09346008300781
2014-03-18,77.02830505371094
2014-03-19,75.90695190429688
2014-03-20,76.8344955444336
2014-03-21,78.1704330444336
2014-03-24,77.66513061523438
2014-03-25,78.36425018310547
2014-03-26,77.90052032470703
2014-03-27,78.4127197265625
2014-03-28,78.58576202392578
2014-03-31,79.40947723388672
2014-04-01,80.01860809326172
2014-04-02,79.40947723388672
2014-04-03,78.79344177246094
2014-04-04,78.91805267333984
2014-04-07,79.00109100341797
2014-04-08,79.36104583740234
2014-04-09,78.7588119506836
2014-04-10,77.92817687988281
2014-04-11,77.57514953613281
2014-04-14,78.6272964477539
2014-04-15,79.31951141357422
2014-04-16,80.3785629272461
2014-04-17,79.79712677001953
2014-04-21,80.08094024658203
2014-04-22,80.30244445800781
2014-04-23,79.97709655761719
2014-04-24,80.71083068847656
2014-04-25,80.24706268310547
2014-04-28,81.24382781982422
2014-04-29,80.78695678710938
2014-04-30,81.36149597167969
2014-05-01,81.9152603149414
2014-05-02,81.74219512939453
2014-05-05,81.87371063232422
2014-05-06,81.92218017578125
2014-05-07,82.86357879638672
2014-05-08,82.8289794921875
2014-05-09,82.2198257446289
2014-05-12,82.192138671875
2014-05-13,81.66606903076172
2014-05-14,81.94294738769531
2014-05-15,81.9291000366211
2014-05-16,83.05047607421875
2014-05-19,82.64207458496094
2014-05-20,82.36519622802734
2014-05-21,82.29596710205078
2014-05-22,82.35826110839844
2014-05-23,82.75975036621094
2014-05-27,83.21659851074219
2014-05-28,82.37211608886719
2014-05-29,82.37211608886719
2014-05-30,82.73208618164062
2014-06-02,83.65959167480469
2014-06-03,83.56961822509766
2014-06-04,84.04723358154297
2014-06-05,85.21705627441406
2014-06-06,84.68406677246094
2014-06-09,83.22350311279297
2014-06-10,82.64207458496094
2014-06-11,82.55899810791016
2014-06-12,82.46211242675781
2014-06-13,82.87051391601562
2014-06-16,82.00525665283203
2014-06-17,82.35826110839844
2014-06-18,82.99512481689453
2014-06-19,83.81724548339844
2014-06-20,84.0750503540039
2014-06-23,83.59429931640625
2014-06-24,83.44100952148438
2014-06-25,83.88691711425781
2014-06-26,83.34346008300781
2014-06-27,84.54185485839844
2014-06-30,84.24920654296875
2014-07-01,84.9389877319336
2014-07-02,84.79963684082031
2014-07-03,84.56975555419922
2014-07-07,84.67423248291016
2014-07-08,85.54515075683594
2014-07-09,85.57300567626953
2014-07-10,85.70539093017578
2014-07-11,85.7332763671875
2014-07-14,85.94924926757812
2014-07-15,85.80992889404297
2014-07-16,85.76112365722656
2014-07-17,85.50333404541016
2014-07-18,86.5484619140625
