,NWSA
2014-01-02,15.876148223876953
2014-01-03,15.761168479919434
2014-01-06,15.548895835876465
2014-01-07,15.389688491821289
2014-01-08,15.292398452758789
2014-01-09,15.33662223815918
2014-01-10,15.389688491821289
2014-01-13,15.168574333190918
2014-01-14,15.301246643066406
2014-01-15,15.221639633178711
2014-01-16,15.106661796569824
2014-01-17,15.106661796569824
2014-01-21,14.823634147644043
2014-01-22,14.726341247558594
2014-01-23,14.620208740234375
2014-01-24,14.301798820495605
2014-01-27,14.496380805969238
2014-01-28,14.363709449768066
2014-01-29,14.34602165222168
2014-01-30,14.328333854675293
2014-01-31,14.116060256958008
2014-02-03,13.726896286010742
2014-02-04,13.726896286010742
2014-02-05,13.806497573852539
2014-02-06,14.169130325317383
2014-02-07,15.398533821105957
2014-02-10,15.486982345581055
2014-02-11,15.8584566116333
2014-02-12,15.610804557800293
2014-02-13,15.619653701782227
2014-02-14,15.63733959197998
2014-02-18,15.699254035949707
2014-02-19,15.5577392578125
2014-02-20,15.478137969970703
2014-02-21,15.63733959197998
2014-02-24,15.867303848266602
2014-02-25,15.884988784790039
2014-02-26,15.946907043457031
2014-02-27,15.938056945800781
2014-02-28,16.212244033813477
2014-03-03,16.026506423950195
2014-03-04,16.274154663085938
2014-03-05,16.185707092285156
2014-03-06,16.168020248413086
2014-03-07,15.840764999389648
2014-03-10,15.708096504211426
2014-03-11,15.663872718811035
2014-03-12,15.770011901855469
2014-03-13,15.33662223815918
2014-03-14,15.416224479675293
2014-03-17,15.380845069885254
2014-03-18,15.663872718811035
2014-03-19,15.522358894348145
2014-03-20,15.486982345581055
2014-03-21,15.548895835876465
2014-03-24,15.4516019821167
2014-03-25,15.354310989379883
2014-03-26,15.0624361038208
2014-03-27,15.053589820861816
2014-03-28,15.0624361038208
2014-03-31,15.230484962463379
2014-04-01,15.425065994262695
2014-04-02,15.425065994262695
2014-04-03,15.133194923400879
2014-04-04,15.142040252685547
2014-04-07,15.106661796569824
2014-04-08,15.080122947692871
2014-04-09,15.212799072265625
2014-04-10,14.885542869567871
2014-04-11,14.629051208496094
2014-04-14,14.832475662231445
2014-04-15,14.708650588989258
2014-04-16,14.850166320800781
2014-04-17,14.929770469665527
2014-04-21,14.991684913635254
2014-04-22,15.044746398925781
2014-04-23,15.239327430725098
2014-04-24,15.283554077148438
2014-04-25,15.150882720947266
2014-04-28,15.150882720947266
2014-04-29,15.221639633178711
2014-04-30,15.053589820861816
2014-05-01,15.301246643066406
2014-05-02,15.310086250305176
2014-05-05,15.389688491821289
2014-05-06,15.159727096557617
2014-05-07,15.106661796569824
2014-05-08,15.133194923400879
2014-05-09,15.920368194580078
2014-05-12,15.787697792053223
2014-05-13,15.672718048095703
2014-05-14,15.203954696655273
2014-05-15,14.920924186706543
2014-05-16,15.080122947692871
2014-05-19,15.0624361038208
2014-05-20,14.814787864685059
2014-05-21,14.956300735473633
2014-05-22,15.186264991760254
2014-05-23,15.11550521850586
2014-05-27,15.230484962463379
2014-05-28,15.133194923400879
2014-05-29,15.142040252685547
2014-05-30,15.088972091674805
2014-06-02,15.265862464904785
2014-06-03,15.363154411315918
2014-06-04,15.4516019821167
2014-06-05,15.672718048095703
2014-06-06,15.646185874938965
2014-06-09,15.619653701782227
2014-06-10,15.575428009033203
2014-06-11,15.593118667602539
2014-06-12,15.301246643066406
2014-06-13,15.239327430725098
2014-06-16,15.142040252685547
2014-06-17,15.25701904296875
2014-06-18,15.548895835876465
2014-06-19,15.628495216369629
2014-06-20,15.593118667602539
2014-06-23,15.363154411315918
2014-06-24,15.469291687011719
2014-06-25,15.663872718811035
2014-06-26,15.938056945800781
2014-06-27,15.902677536010742
2014-06-30,15.867303848266602
2014-07-01,16.008817672729492
2014-07-02,16.150333404541016
2014-07-03,16.168020248413086
2014-07-07,16.026506423950195
2014-07-08,16.0441951751709
2014-07-09,16.114953994750977
2014-07-10,15.911523818969727
2014-07-11,15.99997329711914
2014-07-14,16.079574584960938
2014-07-15,16.159177780151367
2014-07-16,16.123798370361328
2014-07-17,15.964591026306152
2014-07-18,16.114953994750977
2014-07-21,16.035350799560547
2014-07-22,16.008817672729492
2014-07-23,16.017658233642578
2014-07-24,16.176860809326172
2014-07-25,16.0441951751709
2014-07-28,15.97343635559082
2014-07-29,15.805388450622559
