,AIZ
2014-01-02,52.46733856201172
2014-01-03,52.78863525390625
2014-01-06,53.158145904541016
2014-01-07,53.67220687866211
2014-01-08,54.282684326171875
2014-01-09,54.92525863647461
2014-01-10,54.41119384765625
2014-01-13,53.51959991455078
2014-01-14,54.0657844543457
2014-01-15,54.523624420166016
2014-01-16,54.226436614990234
2014-01-17,54.33890151977539
2014-01-21,54.23447036743164
2014-01-22,54.1140022277832
2014-01-23,53.077816009521484
2014-01-24,51.51953125
2014-01-27,51.953285217285156
2014-01-28,52.63603210449219
2014-01-29,51.68822479248047
2014-01-30,52.74045944213867
2014-01-31,52.491455078125
2014-02-03,51.40708541870117
2014-02-04,51.78458786010742
2014-02-05,52.1701545715332
2014-02-06,51.40708541870117
2014-02-07,51.704280853271484
2014-02-10,51.664119720458984
2014-02-11,51.46329879760742
2014-02-12,51.08578109741211
2014-02-13,51.318721771240234
2014-02-14,51.44724655151367
2014-02-18,51.8408203125
2014-02-19,51.246429443359375
2014-02-20,51.49641418457031
2014-02-21,51.319007873535156
2014-02-24,51.68995666503906
2014-02-25,51.343196868896484
2014-02-26,51.30287170410156
2014-02-27,52.343143463134766
2014-02-28,52.923736572265625
2014-03-03,52.528594970703125
2014-03-04,53.43177795410156
2014-03-05,53.60111618041992
2014-03-06,54.1171989440918
2014-03-07,54.78650665283203
2014-03-10,55.39937973022461
2014-03-11,53.9801025390625
2014-03-12,53.14146041870117
2014-03-13,52.42377853393555
2014-03-14,52.71407699584961
2014-03-17,52.98824691772461
2014-03-18,53.43177795410156
2014-03-19,52.60118103027344
2014-03-20,53.004371643066406
2014-03-21,53.06888961791992
2014-03-24,53.03664016723633
2014-03-25,52.786651611328125
2014-03-26,52.504425048828125
2014-03-27,51.35126876831055
2014-03-28,51.46416091918945
2014-03-31,52.38344955444336
2014-04-01,53.06082534790039
2014-04-02,53.149532318115234
2014-04-03,53.560791015625
2014-04-04,52.90760803222656
2014-04-07,52.22217559814453
2014-04-08,52.2060432434082
2014-04-09,52.27054977416992
2014-04-10,51.42384338378906
2014-04-11,50.980323791503906
2014-04-14,51.23837661743164
2014-04-15,51.42384338378906
2014-04-16,52.38344955444336
2014-04-17,53.18178176879883
2014-04-21,53.149532318115234
2014-04-22,53.5366096496582
2014-04-23,53.73012924194336
2014-04-24,54.16559982299805
2014-04-25,53.79465103149414
2014-04-28,53.23822784423828
2014-04-29,53.78657531738281
2014-04-30,54.359134674072266
2014-05-01,54.536537170410156
2014-05-02,54.851016998291016
2014-05-05,54.633304595947266
2014-05-06,53.75432205200195
2014-05-07,53.48013687133789
2014-05-08,53.94785690307617
2014-05-09,54.54458236694336
2014-05-12,55.02036666870117
2014-05-13,55.1977653503418
2014-05-14,54.552650451660156
2014-05-15,54.02044677734375
2014-05-16,53.64949417114258
2014-05-19,53.633358001708984
2014-05-20,53.47208786010742
2014-05-21,53.673675537109375
2014-05-22,53.87611389160156
2014-05-23,53.900390625
2014-05-27,54.791038513183594
2014-05-28,54.5643424987793
2014-05-29,54.8558235168457
2014-05-30,54.904396057128906
2014-06-02,55.31732940673828
2014-06-03,55.39022445678711
2014-06-04,56.03795623779297
2014-06-05,56.183685302734375
2014-06-06,56.0865364074707
2014-06-09,55.73026657104492
2014-06-10,55.51976013183594
2014-06-11,55.19589614868164
2014-06-12,54.758663177490234
2014-06-13,54.677669525146484
2014-06-16,54.183780670166016
2014-06-17,54.612892150878906
2014-06-18,54.82343673706055
2014-06-19,55.04204559326172
2014-06-20,55.15541458129883
2014-06-23,54.98537063598633
2014-06-24,54.531944274902344
2014-06-25,53.67368698120117
2014-06-26,53.5765266418457
2014-06-27,53.10690689086914
2014-06-30,53.07453155517578
2014-07-01,53.66560363769531
2014-07-02,52.99354934692383
2014-07-03,53.5279426574707
2014-07-07,53.64130783081055
2014-07-08,53.43888473510742
2014-07-09,53.0097541809082
2014-07-10,53.24455261230469
2014-07-11,53.47126770019531
2014-07-14,53.5765266418457
2014-07-15,53.714176177978516
2014-07-16,53.51984786987305
2014-07-17,52.499664306640625
2014-07-18,53.18788146972656
2014-07-21,53.114994049072266
2014-07-22,53.252647399902344
2014-07-23,53.301231384277344
2014-07-24,53.26884078979492
2014-07-25,53.36601638793945
2014-07-28,53.754661560058594
2014-07-29,52.7911262512207
2014-07-30,52.36199951171875
2014-07-31,51.30132293701172
2014-08-01,51.39849090576172
2014-08-04,51.60091018676758
2014-08-05,51.36608123779297
2014-08-06,51.641387939453125
2014-08-07,51.40658187866211
2014-08-08,51.973358154296875
2014-08-11,51.68997573852539
2014-08-12,51.843807220458984
2014-08-13,52.41059494018555
2014-08-14,52.7911262512207
2014-08-15,52.556331634521484
2014-08-18,53.58462142944336
2014-08-19,53.301231384277344
2014-08-20,53.17168426513672
2014-08-21,53.48063659667969
2014-08-22,52.83834457397461
2014-08-25,53.651371002197266
2014-08-26,54.00910186767578
2014-08-27,54.09040451049805
2014-08-28,54.13107681274414
2014-08-29,54.26926040649414
2014-09-02,54.342437744140625
2014-09-03,53.99283981323242
2014-09-04,54.00094985961914
2014-09-05,54.19609832763672
2014-09-08,54.19609832763672
2014-09-09,53.38307189941406
2014-09-10,53.18793869018555
2014-09-11,52.659481048583984
2014-09-12,52.5863151550293
2014-09-15,52.992820739746094
2014-09-16,53.18793869018555
2014-09-17,53.09038162231445
2014-09-18,53.47250747680664
2014-09-19,53.91967010498047
2014-09-22,53.431854248046875
2014-09-23,52.73265075683594
2014-09-24,53.228599548339844
2014-09-25,52.70012283325195
2014-09-26,53.09038162231445
2014-09-29,52.545654296875
2014-09-30,52.27737045288086
2014-10-01,51.244815826416016
2014-10-02,51.586280822753906
