,KMI
2014-01-02,20.463703155517578
2014-01-03,20.49789810180664
2014-01-06,20.48650550842285
2014-01-07,20.623271942138672
2014-01-08,20.514997482299805
2014-01-09,20.463703155517578
2014-01-10,20.458003997802734
2014-01-13,20.207273483276367
2014-01-14,20.23006820678711
2014-01-15,20.2243709564209
2014-01-16,20.25855255126953
2014-01-17,20.269956588745117
2014-01-21,20.366830825805664
2014-01-22,20.737241744995117
2014-01-23,20.53778839111328
2014-01-24,20.212968826293945
2014-01-27,20.32124137878418
2014-01-28,20.452314376831055
2014-01-29,19.656810760498047
2014-01-30,19.78363037109375
2014-01-31,19.604930877685547
2014-02-03,19.207183837890625
2014-02-04,19.403181076049805
2014-02-05,19.161073684692383
2014-02-06,19.385879516601562
2014-02-07,19.593400955200195
2014-02-10,19.47811508178711
2014-02-11,19.564577102661133
2014-02-12,19.501174926757812
2014-02-13,19.403181076049805
2014-02-14,19.472352981567383
2014-02-18,19.4320011138916
2014-02-19,19.10919189453125
2014-02-20,19.155305862426758
2014-02-21,19.040019989013672
2014-02-24,18.50391387939453
2014-02-25,18.95931625366211
2014-02-26,18.54427146911621
2014-02-27,18.371337890625
2014-02-28,18.35980987548828
2014-03-03,18.23875617980957
2014-03-04,18.475099563598633
2014-03-05,18.561565399169922
2014-03-06,18.613449096679688
2014-03-07,18.44627571105957
2014-03-10,18.33098793029785
2014-03-11,18.20993423461914
2014-03-12,18.03700065612793
2014-03-13,17.84677505493164
2014-03-14,18.27334213256836
2014-03-17,18.261812210083008
2014-03-18,18.19264030456543
2014-03-19,17.904417037963867
2014-03-20,18.146528244018555
2014-03-21,17.956300735473633
2014-03-24,18.094646453857422
2014-03-25,18.221460342407227
2014-03-26,18.354045867919922
2014-03-27,18.619213104248047
2014-03-28,18.526975631713867
2014-03-31,18.72873878479004
2014-04-01,18.953550338745117
2014-04-02,18.91319465637207
2014-04-03,18.99966812133789
2014-04-04,19.03424835205078
2014-04-07,18.58462142944336
2014-04-08,19.051546096801758
2014-04-09,18.976608276367188
2014-04-10,18.838260650634766
2014-04-11,18.613449096679688
2014-04-14,18.699913024902344
2014-04-15,18.96508026123047
2014-04-16,19.2014217376709
2014-04-17,19.466588973999023
2014-04-21,19.2533016204834
2014-04-22,19.282123565673828
2014-04-23,19.374359130859375
2014-04-24,19.414705276489258
2014-04-25,19.022724151611328
2014-04-28,18.905941009521484
2014-04-29,19.279630661010742
2014-04-30,19.069429397583008
2014-05-01,19.034400939941406
2014-05-02,19.104467391967773
2014-05-05,19.116146087646484
2014-05-06,19.005203247070312
2014-05-07,19.139497756958008
2014-05-08,18.987689971923828
2014-05-09,18.771650314331055
2014-05-12,18.905941009521484
