,AVY
2014-01-02,40.07301330566406
2014-01-03,40.02454376220703
2014-01-06,39.9276237487793
2014-01-07,40.081085205078125
2014-01-08,39.95182800292969
2014-01-09,40.29111099243164
2014-01-10,41.098880767822266
2014-01-13,40.6788444519043
2014-01-14,41.41389846801758
2014-01-15,41.40581512451172
2014-01-16,41.381591796875
2014-01-17,41.31696701049805
2014-01-21,41.44620895385742
2014-01-22,42.11665725708008
2014-01-23,41.38966369628906
2014-01-24,39.68529510498047
2014-01-27,39.50758743286133
2014-01-28,39.798370361328125
2014-01-29,39.523738861083984
2014-01-30,40.16187286376953
2014-01-31,39.798370361328125
2014-02-03,38.61903381347656
2014-02-04,38.433265686035156
2014-02-05,37.95667266845703
2014-02-06,38.433265686035156
2014-02-07,38.68366241455078
2014-02-10,39.62874984741211
2014-02-11,39.77415084838867
2014-02-12,39.790287017822266
2014-02-13,39.94377517700195
2014-02-14,39.903377532958984
2014-02-18,40.00032043457031
2014-02-19,39.77415084838867
2014-02-20,39.822593688964844
2014-02-21,39.49142837524414
2014-02-24,39.410640716552734
2014-02-25,39.4510383605957
2014-02-26,39.99222946166992
2014-02-27,39.66913604736328
2014-02-28,40.242645263671875
2014-03-03,40.13701248168945
2014-03-04,42.07887268066406
2014-03-05,41.48575210571289
2014-03-06,41.51013946533203
2014-03-07,41.89199447631836
2014-03-10,41.607627868652344
2014-03-11,41.095760345458984
2014-03-12,41.16887664794922
2014-03-13,40.85200500488281
2014-03-14,41.0145149230957
2014-03-17,41.0145149230957
2014-03-18,41.38823699951172
2014-03-19,41.071388244628906
2014-03-20,41.33137893676758
2014-03-21,41.55887985229492
2014-03-24,41.08763122558594
2014-03-25,41.00639724731445
2014-03-26,40.250762939453125
2014-03-27,40.25888442993164
2014-03-28,40.60826110839844
2014-03-31,41.16887664794922
2014-04-01,41.526371002197266
2014-04-02,41.96512222290039
2014-04-03,42.0301399230957
2014-04-04,41.54262924194336
2014-04-07,41.02262878417969
2014-04-08,41.160762786865234
2014-04-09,41.599510192871094
2014-04-10,39.950138092041016
2014-04-11,39.511390686035156
2014-04-14,39.942012786865234
2014-04-15,40.25888442993164
2014-04-16,40.81950378417969
2014-04-17,41.177005767822266
2014-04-21,41.420745849609375
2014-04-22,42.05448532104492
2014-04-23,40.18574523925781
2014-04-24,39.820152282714844
2014-04-25,39.50327682495117
