,RMD
2014-01-02,39.7577018737793
2014-01-03,40.23101043701172
2014-01-06,39.860965728759766
2014-01-07,40.79898452758789
2014-01-08,41.1259880065918
2014-01-09,41.15180587768555
2014-01-10,41.11737823486328
2014-01-13,40.29985809326172
2014-01-14,39.473724365234375
2014-01-15,40.17937088012695
2014-01-16,39.42210006713867
2014-01-17,39.26719284057617
2014-01-21,39.6716423034668
2014-01-22,40.03307342529297
2014-01-23,40.34288024902344
2014-01-24,37.761199951171875
2014-01-27,37.70096969604492
2014-01-28,37.95051574707031
2014-01-29,37.528865814208984
2014-01-30,37.8128547668457
2014-01-31,37.528865814208984
2014-02-03,36.169185638427734
2014-02-04,37.09857177734375
2014-02-05,37.41698455810547
2014-02-06,37.597713470458984
2014-02-07,37.58049774169922
2014-02-10,39.22416305541992
2014-02-11,39.181129455566406
2014-02-12,39.525360107421875
2014-02-13,39.55976867675781
2014-02-14,39.57708740234375
2014-02-18,39.9145393371582
2014-02-19,39.923194885253906
2014-02-20,40.2692985534668
2014-02-21,40.027015686035156
2014-02-24,40.03569030761719
2014-02-25,38.63396072387695
2014-02-26,37.91577911376953
2014-02-27,38.253231048583984
2014-02-28,38.088844299316406
2014-03-03,37.6302490234375
2014-03-04,38.16671371459961
2014-03-05,38.261898040771484
2014-03-06,38.08018112182617
2014-03-07,38.253231048583984
2014-03-10,38.530120849609375
2014-03-11,38.495506286621094
2014-03-12,39.03196716308594
2014-03-13,38.04555892944336
2014-03-14,37.47449493408203
2014-03-17,37.83789825439453
2014-03-18,38.2791862487793
2014-03-19,38.53876495361328
2014-03-20,37.95903396606445
2014-03-21,37.68216323852539
2014-03-24,37.18030548095703
2014-03-25,37.75138473510742
2014-03-26,37.69082260131836
2014-03-27,37.81195831298828
2014-03-28,37.97635269165039
2014-03-31,38.66856384277344
2014-04-01,39.14445877075195
2014-04-02,39.23963928222656
2014-04-03,38.74643325805664
2014-04-04,38.77238082885742
2014-04-07,38.94544982910156
2014-04-08,39.205020904541016
2014-04-09,39.31752014160156
2014-04-10,39.10984420776367
2014-04-11,38.44358825683594
2014-04-14,39.7587890625
2014-04-15,40.537532806396484
2014-04-16,40.22603988647461
2014-04-17,41.048030853271484
2014-04-21,40.99612045288086
2014-04-22,41.18647766113281
2014-04-23,40.45100021362305
2014-04-24,41.02207565307617
2014-04-25,41.3854866027832
2014-04-28,41.66236114501953
2014-04-29,43.2804069519043
2014-04-30,43.1333122253418
2014-05-01,43.159278869628906
2014-05-02,43.16792297363281
2014-05-05,43.38424301147461
2014-05-06,43.09870910644531
2014-05-07,43.237144470214844
2014-05-08,43.254451751708984
2014-05-09,43.825531005859375
2014-05-12,44.500431060791016
2014-05-13,44.12836837768555
2014-05-14,43.782257080078125
2014-05-15,43.34096908569336
2014-05-16,43.975791931152344
2014-05-19,44.045352935791016
2014-05-20,43.53228759765625
2014-05-21,43.68880844116211
2014-05-22,44.28884506225586
2014-05-23,43.514888763427734
2014-05-27,43.1496696472168
2014-05-28,43.140968322753906
2014-05-29,43.66271209716797
