,PAYX
2014-01-02,32.11552047729492
2014-01-03,32.229549407958984
2014-01-06,31.951597213745117
2014-01-07,32.13689422607422
2014-01-08,31.901691436767578
2014-01-09,31.737768173217773
2014-01-10,31.623729705810547
2014-01-13,31.06068229675293
2014-01-14,31.188974380493164
2014-01-15,31.10344123840332
2014-01-16,31.324390411376953
2014-01-17,31.43129539489746
2014-01-21,31.203224182128906
2014-01-22,31.15333366394043
2014-01-23,30.853994369506836
2014-01-24,29.99159812927246
2014-01-27,29.849050521850586
2014-01-28,30.141260147094727
2014-01-29,29.94882583618164
2014-01-30,30.387243270874023
2014-01-31,30.05662727355957
2014-02-03,29.03606414794922
2014-02-04,29.34511375427246
2014-02-05,29.280410766601562
2014-02-06,29.47446632385254
2014-02-07,29.395414352416992
2014-02-10,29.273229598999023
2014-02-11,29.589466094970703
2014-02-12,29.805078506469727
2014-02-13,29.85540199279785
2014-02-14,29.89132308959961
2014-02-18,29.841018676757812
2014-02-19,29.833824157714844
2014-02-20,29.661338806152344
2014-02-21,29.71884536743164
2014-02-24,29.848209381103516
2014-02-25,29.661338806152344
2014-02-26,29.92726707458496
2014-02-27,29.862577438354492
2014-02-28,30.013500213623047
2014-03-03,29.596649169921875
2014-03-04,30.43036460876465
2014-03-05,30.21474838256836
2014-03-06,30.200374603271484
2014-03-07,30.64596939086914
2014-03-10,30.49505043029785
2014-03-11,30.408803939819336
2014-03-12,30.473487854003906
2014-03-13,29.963186264038086
2014-03-14,30.05662727355957
2014-03-17,30.35849380493164
2014-03-18,30.674734115600586
2014-03-19,30.595678329467773
2014-03-20,30.847211837768555
2014-03-21,30.789709091186523
2014-03-24,30.437543869018555
2014-03-25,30.523786544799805
2014-03-26,30.128501892089844
2014-03-27,30.55972671508789
2014-03-28,30.588481903076172
2014-03-31,30.617229461669922
2014-04-01,30.54535484313965
2014-04-02,30.76816749572754
2014-04-03,30.76097869873047
2014-04-04,29.805078506469727
2014-04-07,29.711645126342773
2014-04-08,29.682905197143555
2014-04-09,29.63978385925293
2014-04-10,29.201366424560547
2014-04-11,28.691070556640625
2014-04-14,28.96418571472168
2014-04-15,29.237293243408203
2014-04-16,29.381032943725586
2014-04-17,29.41697883605957
2014-04-21,29.35228157043457
2014-04-22,29.460100173950195
2014-04-23,29.381032943725586
2014-04-24,29.409793853759766
2014-04-25,29.028865814208984
2014-04-28,29.237293243408203
2014-04-29,29.38823127746582
2014-04-30,30.0494441986084
2014-05-01,29.761962890625
2014-05-02,29.7547664642334
2014-05-05,29.81945037841797
2014-05-06,29.323537826538086
2014-05-07,29.071990966796875
2014-05-08,29.557735443115234
2014-05-09,29.644737243652344
2014-05-12,29.94923973083496
2014-05-13,29.978219985961914
2014-05-14,29.63748550415039
2014-05-15,29.303997039794922
2014-05-16,29.615734100341797
2014-05-19,29.767976760864258
2014-05-20,29.572237014770508
2014-05-21,29.376483917236328
2014-05-22,29.296741485595703
2014-05-23,29.59397315979004
2014-05-27,29.81148338317871
2014-05-28,29.775230407714844
2014-05-29,30.043466567993164
2014-05-30,29.804237365722656
2014-06-02,29.63748550415039
2014-06-03,29.325742721557617
2014-06-04,29.60123634338379
2014-06-05,29.804237365722656
2014-06-06,29.86947250366211
2014-06-09,29.978219985961914
2014-06-10,29.818737030029297
2014-06-11,29.70273780822754
2014-06-12,29.59397315979004
2014-06-13,29.7969913482666
2014-06-16,29.7607364654541
2014-06-17,29.876728057861328
2014-06-18,30.02171516418457
2014-06-19,29.883975982666016
2014-06-20,30.188480377197266
2014-06-23,30.14497947692871
2014-06-24,30.05073356628418
2014-06-25,30.007226943969727
2014-06-26,29.91297721862793
2014-06-27,29.876728057861328
2014-06-30,30.13047981262207
2014-07-01,30.543720245361328
2014-07-02,29.833232879638672
2014-07-03,30.123214721679688
2014-07-07,30.036226272583008
2014-07-08,30.34796714782715
2014-07-09,30.231979370117188
2014-07-10,30.3914737701416
2014-07-11,30.3914737701416
2014-07-14,30.56547737121582
2014-07-15,30.695981979370117
2014-07-16,30.579973220825195
2014-07-17,30.173980712890625
2014-07-18,30.529232025146484
2014-07-21,30.463970184326172
2014-07-22,30.587215423583984
2014-07-23,30.492969512939453
2014-07-24,30.855457305908203
2014-07-25,30.724956512451172
2014-07-28,30.61621856689453
2014-07-29,30.3552188873291
2014-07-30,30.347898483276367
2014-07-31,30.004039764404297
2014-08-01,30.011362075805664
2014-08-04,29.89430046081543
2014-08-05,29.645544052124023
2014-08-06,29.755292892456055
2014-08-07,29.59432601928711
2014-08-08,30.245479583740234
2014-08-11,30.428380966186523
2014-08-12,30.29668617248535
2014-08-13,30.413755416870117
2014-08-14,30.516176223754883
2014-08-15,30.39911651611328
2014-08-18,30.79419708251953
2014-08-19,30.852724075317383
2014-08-20,30.618610382080078
2014-08-21,30.79419708251953
2014-08-22,30.67714500427246
2014-08-25,30.662506103515625
2014-08-26,30.71372413635254
2014-08-27,30.69907569885254
2014-08-28,30.567392349243164
2014-08-29,30.472288131713867
2014-09-02,30.655197143554688
2014-09-03,30.896623611450195
2014-09-04,30.977108001708984
2014-09-05,30.969789505004883
2014-09-08,31.072219848632812
2014-09-09,30.75760841369629
2014-09-10,30.7868709564209
2014-09-11,30.750295639038086
2014-09-12,30.706405639648438
2014-09-15,30.808835983276367
2014-09-16,30.655197143554688
2014-09-17,31.130748748779297
2014-09-18,31.44535255432129
2014-09-19,31.43071174621582
2014-09-22,31.079526901245117
2014-09-23,31.0283260345459
2014-09-24,32.10382080078125
2014-09-25,31.957490921020508
2014-09-26,32.19159698486328
2014-09-29,32.359893798828125
2014-09-30,32.337928771972656
2014-10-01,31.81114959716797
2014-10-02,31.68679428100586
2014-10-03,32.42572784423828
2014-10-06,32.68912124633789
2014-10-07,32.10382080078125
2014-10-08,32.44035720825195
2014-10-09,32.06722640991211
2014-10-10,31.759946823120117
2014-10-13,31.664823532104492
2014-10-14,31.855051040649414
2014-10-15,31.496562957763672
