,HSY
2014-01-02,74.63330841064453
2014-01-03,74.53995513916016
2014-01-06,74.32989501953125
2014-01-07,75.46578216552734
2014-01-08,76.04150390625
2014-01-09,75.96369934082031
2014-01-10,76.13484954833984
2014-01-13,76.12709045410156
2014-01-14,76.76502227783203
2014-01-15,76.39936065673828
2014-01-16,77.41078186035156
2014-01-17,76.69501495361328
2014-01-21,76.82728576660156
2014-01-22,77.66752624511719
2014-01-23,77.27850341796875
2014-01-24,76.33710479736328
2014-01-27,75.82366180419922
2014-01-28,76.85063171386719
2014-01-29,75.24793243408203
2014-01-30,77.2162857055664
2014-01-31,77.3329849243164
2014-02-03,76.20484924316406
2014-02-04,77.79977416992188
2014-02-05,78.35214233398438
2014-02-06,78.26659393310547
2014-02-07,78.09541320800781
2014-02-10,79.33241271972656
2014-02-11,80.71725463867188
2014-02-12,80.07929992675781
2014-02-13,80.9195327758789
2014-02-14,81.9075927734375
2014-02-18,82.4366455078125
2014-02-19,82.74003601074219
2014-02-20,83.79814147949219
2014-02-21,84.16934967041016
2014-02-24,84.45851135253906
2014-02-25,83.4425277709961
2014-02-26,82.55944061279297
2014-02-27,82.66105651855469
2014-02-28,82.70010375976562
2014-03-03,82.51251983642578
2014-03-04,83.731689453125
2014-03-05,83.34874725341797
2014-03-06,82.86424255371094
2014-03-07,82.55944061279297
2014-03-10,82.37187957763672
2014-03-11,82.41092681884766
2014-03-12,82.79386138916016
2014-03-13,82.51251983642578
2014-03-14,82.9970703125
2014-03-17,82.30931854248047
2014-03-18,83.0048828125
2014-03-19,81.45748138427734
2014-03-20,81.61376953125
2014-03-21,81.93424224853516
2014-03-24,80.89482116699219
2014-03-25,80.68379211425781
2014-03-26,80.32428741455078
2014-03-27,80.31647491455078
2014-03-28,80.68379211425781
2014-03-31,81.59036254882812
2014-04-01,81.36370086669922
2014-04-02,80.66033172607422
2014-04-03,80.38683319091797
2014-04-04,80.47280883789062
2014-04-07,80.49622344970703
2014-04-08,79.49588012695312
2014-04-09,77.29984283447266
2014-04-10,77.06537628173828
2014-04-11,76.83873748779297
2014-04-14,77.47175598144531
2014-04-15,77.76873779296875
2014-04-16,78.51899719238281
2014-04-17,78.62837219238281
2014-04-21,78.45645904541016
2014-04-22,77.97190856933594
2014-04-23,78.26891326904297
2014-04-24,75.04122161865234
2014-04-25,75.30696105957031
2014-04-28,75.30696105957031
2014-04-29,75.1350326538086
2014-04-30,75.2131576538086
2014-05-01,75.0568618774414
2014-05-02,75.79149627685547
2014-05-05,76.37764739990234
2014-05-06,75.07247924804688
2014-05-07,75.72897338867188
2014-05-08,75.20537567138672
2014-05-09,75.04905700683594
2014-05-12,75.2131576538086
2014-05-13,75.72116088867188
2014-05-14,75.0568618774414
2014-05-15,75.40072631835938
2014-05-16,75.51014709472656
2014-05-19,75.3304214477539
2014-05-20,76.15880584716797
2014-05-21,76.24126434326172
2014-05-22,76.47692108154297
2014-05-23,76.21772766113281
2014-05-27,76.27267456054688
2014-05-28,75.98993682861328
2014-05-29,76.13130187988281
2014-05-30,76.45332336425781
2014-06-02,76.23341369628906
2014-06-03,75.62864685058594
2014-06-04,76.56334686279297
2014-06-05,76.23341369628906
2014-06-06,77.06597900390625
2014-06-09,76.39836120605469
2014-06-10,76.20988464355469
2014-06-11,76.1391830444336
2014-06-12,76.1391830444336
2014-06-13,76.68895721435547
2014-06-16,77.01100158691406
2014-06-17,77.23877716064453
2014-06-18,77.95352172851562
2014-06-19,78.33837127685547
2014-06-20,78.64466857910156
2014-06-23,77.59220886230469
2014-06-24,76.93245697021484
2014-06-25,76.33554077148438
2014-06-26,75.84070587158203
2014-06-27,76.12345886230469
2014-06-30,76.47692108154297
2014-07-01,76.11560821533203
2014-07-02,76.00563049316406
