,PPL
2014-01-02,16.701406478881836
2014-01-03,16.68450927734375
2014-01-06,16.757734298706055
2014-01-07,16.85349464416504
2014-01-08,16.701406478881836
2014-01-09,16.729572296142578
2014-01-10,17.061906814575195
2014-01-13,16.9774169921875
2014-01-14,16.921092987060547
2014-01-15,16.723941802978516
2014-01-16,16.819700241088867
2014-01-17,16.6676082611084
2014-01-21,16.825328826904297
2014-01-22,16.983047485351562
2014-01-23,16.988679885864258
2014-01-24,16.825328826904297
2014-01-27,16.757734298706055
2014-01-28,16.93235969543457
2014-01-29,16.93799591064453
2014-01-30,17.118240356445312
2014-01-31,17.219627380371094
2014-02-03,17.174564361572266
2014-02-04,17.06753921508789
2014-02-05,16.960519790649414
2014-02-06,17.061906814575195
2014-02-07,17.090072631835938
2014-02-10,17.315385818481445
2014-02-11,17.50691032409668
2014-02-12,17.512531280517578
2014-02-13,17.670257568359375
2014-02-14,17.754749298095703
2014-02-18,17.90120506286621
2014-02-19,17.80544662475586
2014-02-20,17.906837463378906
2014-02-21,17.9124698638916
2014-02-24,17.91809844970703
2014-02-25,17.974428176879883
2014-02-26,18.10399055480957
2014-02-27,18.002599716186523
2014-02-28,18.188488006591797
2014-03-03,18.0307559967041
2014-03-04,18.19974708557129
2014-03-05,18.025127410888672
2014-03-06,17.87865447998047
2014-03-07,18.146520614624023
2014-03-10,18.083831787109375
2014-03-11,18.04393768310547
2014-03-12,18.34599494934082
2014-03-13,18.44858741760254
2014-03-14,18.676557540893555
2014-03-17,18.670856475830078
2014-03-18,18.69365692138672
2014-03-19,18.357402801513672
2014-03-20,18.357402801513672
2014-03-21,18.488483428955078
2014-03-24,18.44858741760254
2014-03-25,18.44858741760254
2014-03-26,18.471378326416016
2014-03-27,18.699356079101562
2014-03-28,18.79624366760254
2014-03-31,18.887432098388672
2014-04-01,18.676557540893555
2014-04-02,18.477087020874023
2014-04-03,18.505577087402344
2014-04-04,18.642362594604492
2014-04-07,18.69365692138672
2014-04-08,18.972919464111328
2014-04-09,18.824735641479492
2014-04-10,18.819040298461914
2014-04-11,18.579673767089844
2014-04-14,18.665159225463867
2014-04-15,18.92732048034668
2014-04-16,19.047008514404297
2014-04-17,18.887432098388672
2014-04-21,18.7734432220459
2014-04-22,18.7734432220459
2014-04-23,18.870332717895508
2014-04-24,19.029909133911133
2014-04-25,19.1210994720459
2014-04-28,19.16669464111328
2014-04-29,19.064105987548828
2014-04-30,19.001413345336914
2014-05-01,19.49724769592285
2014-05-02,19.263582229614258
2014-05-05,19.582738876342773
2014-05-06,19.491554260253906
2014-05-07,19.662527084350586
2014-05-08,19.417461395263672
2014-05-09,19.16669464111328
2014-05-12,18.870332717895508
2014-05-13,19.029909133911133
2014-05-14,19.1210994720459
2014-05-15,19.246482849121094
2014-05-16,19.457355499267578
2014-05-19,19.138202667236328
2014-05-20,18.961519241333008
2014-05-21,18.99001693725586
2014-05-22,19.13249969482422
2014-05-23,19.024211883544922
2014-05-27,19.571340560913086
2014-05-28,19.742321014404297
2014-05-29,19.822113037109375
2014-05-30,19.998794555664062
2014-06-02,19.822113037109375
2014-06-03,19.94180679321289
2014-06-04,19.867708206176758
2014-06-05,19.896203994750977
2014-06-06,19.967063903808594
2014-06-09,19.71358299255371
2014-06-10,19.98434066772461
2014-06-11,19.42554473876953
2014-06-12,19.310325622558594
2014-06-13,19.604129791259766
2014-06-16,19.742393493652344
2014-06-17,19.598365783691406
2014-06-18,19.98434066772461
2014-06-19,20.036191940307617
2014-06-20,19.944015502929688
2014-06-23,19.857608795166016
2014-06-24,19.880647659301758
2014-06-25,19.90945053100586
2014-06-26,20.02467155456543
2014-06-27,20.272384643554688
2014-06-30,20.468250274658203
2014-07-01,20.255098342895508
2014-07-02,19.77695655822754
2014-07-03,19.604129791259766
