,HAS
2014-01-02,38.386905670166016
2014-01-03,38.05632781982422
2014-01-06,37.78908157348633
2014-01-07,37.82423782348633
2014-01-08,37.782047271728516
2014-01-09,37.261600494384766
2014-01-10,37.303794860839844
2014-01-13,36.7481803894043
2014-01-14,36.79038619995117
2014-01-15,36.762237548828125
2014-01-16,36.81850051879883
2014-01-17,36.57233810424805
2014-01-21,36.43871307373047
2014-01-22,36.83256912231445
2014-01-23,36.47389221191406
2014-01-24,36.05892562866211
2014-01-27,35.93935012817383
2014-01-28,36.55123519897461
2014-01-29,35.7424430847168
2014-01-30,36.0378303527832
2014-01-31,34.818607330322266
2014-02-03,34.08140563964844
2014-02-04,34.506710052490234
2014-02-05,34.56342697143555
2014-02-06,35.201385498046875
2014-02-07,35.50618362426758
2014-02-10,37.11526870727539
2014-02-11,37.12236022949219
2014-02-12,36.82465744018555
2014-02-13,37.51223373413086
2014-02-14,37.441349029541016
2014-02-18,37.54058837890625
2014-02-19,38.18563461303711
2014-02-20,38.46917724609375
2014-02-21,38.490447998046875
2014-02-24,38.618038177490234
2014-02-25,38.75980758666992
2014-02-26,39.014984130859375
2014-02-27,39.007904052734375
2014-02-28,39.10004806518555
2014-03-03,38.738548278808594
2014-03-04,38.958282470703125
2014-03-05,38.86613464355469
2014-03-06,39.0433464050293
2014-03-07,38.8235969543457
2014-03-10,38.873226165771484
2014-03-11,38.63221740722656
2014-03-12,38.68893051147461
2014-03-13,38.731449127197266
2014-03-14,38.74562454223633
2014-03-17,38.958282470703125
2014-03-18,39.02916717529297
2014-03-19,38.802337646484375
2014-03-20,38.9370231628418
2014-03-21,39.12841033935547
2014-03-24,38.95119857788086
2014-03-25,38.696014404296875
2014-03-26,38.610939025878906
2014-03-27,38.63930130004883
2014-03-28,39.11423110961914
2014-03-31,39.42613220214844
2014-04-01,39.971927642822266
2014-04-02,39.90105056762695
2014-04-03,39.53245162963867
2014-04-04,38.979557037353516
2014-04-07,38.646392822265625
2014-04-08,38.67474365234375
2014-04-09,39.05043411254883
2014-04-10,38.490447998046875
2014-04-11,38.0155143737793
2014-04-14,38.02968978881836
2014-04-15,37.90918731689453
2014-04-16,38.171470642089844
2014-04-17,38.7101936340332
2014-04-21,39.4544792175293
2014-04-22,39.19929504394531
2014-04-23,39.014984130859375
2014-04-24,38.95119857788086
2014-04-25,38.78816604614258
2014-04-28,39.475738525390625
2014-04-29,39.4185905456543
2014-04-30,39.475738525390625
2014-05-01,39.76149368286133
2014-05-02,39.8400764465332
2014-05-05,39.66148376464844
2014-05-06,39.568599700927734
2014-05-07,39.5400276184082
2014-05-08,39.482879638671875
2014-05-09,39.59004211425781
2014-05-12,39.711483001708984
2014-05-13,39.64719772338867
2014-05-14,39.254295349121094
2014-05-15,38.60422134399414
2014-05-16,38.71136474609375
2014-05-19,38.482784271240234
2014-05-20,38.10416793823242
2014-05-21,38.36133575439453
2014-05-22,38.36133575439453
2014-05-23,38.46849060058594
2014-05-27,38.239898681640625
2014-05-28,38.13987731933594
2014-05-29,38.111305236816406
2014-05-30,38.36133575439453
2014-06-02,37.27550506591797
2014-06-03,36.77544021606445
2014-06-04,37.21120071411133
2014-06-05,37.4683837890625
2014-06-06,37.28264617919922
2014-06-09,37.918426513671875
2014-06-10,37.92558288574219
2014-06-11,37.79698944091797
2014-06-12,37.475521087646484
2014-06-13,37.42551803588867
2014-06-16,37.289798736572266
2014-06-17,37.43980407714844
2014-06-18,37.41837692260742
2014-06-19,37.46123123168945
2014-06-20,37.61125183105469
2014-06-23,38.411338806152344
2014-06-24,38.239898681640625
2014-06-25,37.896995544433594
2014-06-26,37.754127502441406
2014-06-27,38.03987503051758
2014-06-30,37.896995544433594
2014-07-01,38.447059631347656
2014-07-02,38.325618743896484
2014-07-03,38.6613655090332
2014-07-07,38.275611877441406
2014-07-08,38.275611877441406
2014-07-09,38.65421676635742
2014-07-10,38.38277053833008
2014-07-11,38.854244232177734
2014-07-14,38.6899528503418
2014-07-15,38.239898681640625
2014-07-16,37.53981399536133
2014-07-17,37.80413818359375
2014-07-18,38.011295318603516
2014-07-21,36.98976135253906
2014-07-22,36.89689254760742
2014-07-23,36.553985595703125
2014-07-24,37.004051208496094
2014-07-25,36.76116180419922
2014-07-28,36.532569885253906
2014-07-29,36.21110534667969
2014-07-30,36.520904541015625
2014-07-31,35.98775100708008
