,KHC
2015-07-06,48.711204528808594
2015-07-07,49.82615661621094
2015-07-08,50.34025192260742
2015-07-09,49.939674377441406
2015-07-10,51.615447998046875
2015-07-13,52.630245208740234
2015-07-14,52.07609176635742
2015-07-15,51.21484375
2015-07-16,52.576847076416016
2015-07-17,53.16437530517578
2015-07-20,53.4848518371582
2015-07-21,53.55827713012695
2015-07-22,52.503395080566406
2015-07-23,51.595741271972656
2015-07-24,51.37385559082031
2015-07-27,52.02604675292969
2015-07-28,52.65805435180664
2015-07-29,52.38238906860352
2015-07-30,53.25641250610352
2015-07-31,53.43124771118164
2015-08-03,54.0363655090332
2015-08-04,53.65982818603515
2015-08-05,54.110321044921875
2015-08-06,53.626224517822266
2015-08-07,52.752166748046875
2015-08-10,52.987491607666016
2015-08-11,52.42272186279297
2015-08-12,51.56211471557617
2015-08-13,51.09146499633789
2015-08-14,51.380584716796875
2015-08-17,50.963722229003906
2015-08-18,50.553611755371094
2015-08-19,50.27794647216797
2015-08-20,49.921592712402344
2015-08-21,48.59034729003906
2015-08-24,47.649070739746094
2015-08-25,47.205322265625
2015-08-26,49.692996978759766
2015-08-27,50.546875
2015-08-28,50.217437744140625
2015-08-31,48.852577209472656
2015-09-01,47.144798278808594
2015-09-02,48.45588684082031
2015-09-03,48.51640701293945
2015-09-04,47.4473762512207
2015-09-08,49.80057144165039
2015-09-09,48.52312469482422
2015-09-10,48.51640701293945
2015-09-11,49.59214401245117
2015-09-14,50.12329864501953
2015-09-15,50.68807601928711
2015-09-16,51.34697723388672
2015-09-17,51.38731002807617
2015-09-18,50.72169494628906
2015-09-21,50.56031799316406
2015-09-22,49.96194076538086
2015-09-23,49.28959274291992
2015-09-24,49.02737808227539
2015-09-25,49.31647872924805
2015-09-28,47.05740737915039
2015-09-29,46.5262451171875
2015-09-30,47.45409393310547
2015-10-01,47.62217712402344
2015-10-02,48.01213836669922
2015-10-05,48.57018280029297
2015-10-06,48.72482681274414
2015-10-07,49.18202590942383
2015-10-08,50.042625427246094
2015-10-09,50.01573181152344
2015-10-12,49.56526184082031
2015-10-13,49.33665084838867
2015-10-14,49.598880767822266
2015-10-15,50.57378005981445
2015-10-16,52.03275680541992
2015-10-19,51.636085510253906
2015-10-20,51.68313980102539
2015-10-21,51.80418014526367
2015-10-22,53.74724960327149
2015-10-23,52.429447174072266
2015-10-26,51.642791748046875
2015-10-27,51.884857177734375
2015-10-28,53.23628234863281
2015-10-29,52.87992477416992
2015-10-30,52.42272186279297
2015-11-02,52.624420166015625
2015-11-03,51.38731002807617
2015-11-04,50.977169036865234
2015-11-05,50.70823669433594
2015-11-06,48.41555404663086
2015-11-09,47.897850036621094
2015-11-10,48.462608337402344
2015-11-11,48.48278045654297
2015-11-12,48.05240631103515
2015-11-13,47.96429443359375
2015-11-16,48.56411361694336
2015-11-17,48.4251708984375
2015-11-18,49.19441223144531
2015-11-19,49.70610809326172
2015-11-20,49.916221618652344
2015-11-23,50.20086669921875
2015-11-24,50.47196960449219
2015-11-25,50.587188720703125
2015-11-27,50.56686019897461
2015-11-30,49.943336486816406
2015-12-01,50.47196960449219
2015-12-02,49.502803802490234
2015-12-03,48.43195343017578
2015-12-04,48.94704055786133
2015-12-07,48.41161346435547
2015-12-08,48.479393005371094
2015-12-09,48.05240631103515
2015-12-10,48.01173782348633
2015-12-11,47.23232650756836
2015-12-14,48.103240966796875
2015-12-15,48.80472183227539
2015-12-16,49.482452392578125
2015-12-17,48.743709564208984
2015-12-18,47.89653396606445
2015-12-21,48.77457427978515
2015-12-22,49.833702087402344
2015-12-23,50.91333770751953
2015-12-24,50.53751373291016
2015-12-28,50.16853713989258
2015-12-29,51.03632736206055
2015-12-30,50.39402389526367
2015-12-31,49.71754837036133
2016-01-04,49.67654037475586
2016-01-05,50.14802169799805
2016-01-06,50.24368667602539
2016-01-07,49.129905700683594
2016-01-08,48.63791275024414
2016-01-11,49.38270950317383
2016-01-12,50.0386962890625
2016-01-13,48.38507843017578
2016-01-14,48.33726501464844
2016-01-15,47.284950256347656
2016-01-19,47.947784423828125
2016-01-20,48.63108825683594
2016-01-21,49.91570281982422
2016-01-22,50.831329345703125
2016-01-25,50.58534622192383
2016-01-26,51.91780471801758
2016-01-27,51.91096115112305
2016-01-28,52.040802001953125
2016-01-29,53.339088439941406
2016-02-01,52.621612548828125
2016-02-02,51.91096115112305
2016-02-03,51.172996520996094
2016-02-04,50.66733932495117
2016-02-05,49.7312126159668
2016-02-08,48.66524887084961
2016-02-09,48.86341857910156
2016-02-10,49.27339553833008
2016-02-11,48.81558609008789
2016-02-12,49.14356231689453
2016-02-16,49.410037994384766
2016-02-17,50.72884750366211
2016-02-18,50.18901443481445
2016-02-19,50.236839294433594
2016-02-22,50.107032775878906
2016-02-23,49.758541107177734
2016-02-24,49.87471008300781
2016-02-25,51.2208251953125
2016-02-26,53.188743591308594
2016-02-29,52.6284294128418
2016-03-01,53.065765380859375
2016-03-02,52.94961166381836
2016-03-03,52.86760711669922
2016-03-04,52.75143814086914
2016-03-07,52.27313232421875
2016-03-08,52.12963104248047
2016-03-09,52.361942291259766
2016-03-10,52.081787109375
2016-03-11,52.580604553222656
2016-03-14,53.004249572753906
2016-03-15,53.14773941040039
2016-03-16,53.71569061279297
2016-03-17,53.701927185058594
2016-03-18,53.22004318237305
2016-03-21,52.724388122558594
2016-03-22,52.62113571166992
2016-03-23,52.875850677490234
2016-03-24,52.63489532470703
2016-03-28,53.529823303222656
2016-03-29,54.2457389831543
2016-03-30,54.314579010009766
2016-03-31,54.080528259277344
2016-04-01,54.438499450683594
2016-04-04,54.28015899658203
2016-04-05,53.701927185058594
2016-04-06,53.94286346435547
2016-04-07,53.350826263427734
2016-04-08,54.018592834472656
2016-04-11,53.633079528808594
2016-04-12,53.92219161987305
2016-04-13,53.28200149536133
2016-04-14,53.12363815307617
2016-04-15,53.72943878173828
2016-04-18,53.92909240722656
2016-04-19,53.90153121948242
2016-04-20,53.639949798583984
2016-04-21,52.82766342163086
2016-04-22,53.76384735107422
2016-04-25,54.19757080078125
2016-04-26,54.1768913269043
2016-04-27,54.452274322509766
2016-04-28,53.94286346435547
2016-04-29,53.74323272705078
2016-05-02,54.74137496948242
2016-05-03,54.163143157958984
2016-05-04,55.05806350708008
2016-05-05,57.11637878417969
2016-05-06,57.8254280090332
2016-05-09,58.00440216064453
2016-05-10,59.298583984375
2016-05-11,58.651493072509766
2016-05-12,59.4362678527832
2016-05-13,58.60332107543945
2016-05-16,59.11272430419922
2016-05-17,56.55876541137695
2016-05-18,55.884124755859375
2016-05-19,57.13701248168945
2016-05-20,56.73774337768555
2016-05-23,57.00621032714844
2016-05-24,57.97686004638672
2016-05-25,58.41007232666016
2016-05-26,58.09124374389648
2016-05-27,58.29224395751953
2016-05-31,57.661495208740234
2016-06-01,58.18827438354492
2016-06-02,58.7635612487793
2016-06-03,59.124000549316406
2016-06-06,58.90911865234375
2016-06-07,58.742774963378906
2016-06-08,59.04082107543945
2016-06-09,59.345794677734375
2016-06-10,59.15170669555664
2016-06-13,58.881404876708984
2016-06-14,58.832862854003906
2016-06-15,58.8051643371582
2016-06-16,59.110145568847656
2016-06-17,58.791282653808594
2016-06-20,59.26261901855469
2016-06-21,59.394309997558594
2016-06-22,59.06161117553711
2016-06-23,59.86563873291016
2016-06-24,58.03578186035156
2016-06-27,57.96646881103515
2016-06-28,58.75664138793945
2016-06-29,59.67850875854492
2016-06-30,61.328128814697266
2016-07-01,61.16179656982422
2016-07-05,61.50834655761719
2016-07-06,62.201507568359375
2016-07-07,61.9034538269043
2016-07-08,62.27772903442383
2016-07-11,62.27081680297851
2016-07-12,60.8568229675293
2016-07-13,61.70244598388672
2016-07-14,61.23111343383789
2016-07-15,61.59154510498047
2016-07-18,61.75789642333984
2016-07-19,61.66777420043945
2016-07-20,61.11328887939453
2016-07-21,60.74591445922851
2016-07-22,61.10634994506836
2016-07-25,61.27964401245117
2016-07-26,60.34389114379883
2016-07-27,59.35271453857422
2016-07-28,59.58146667480469
2016-07-29,59.879512786865234
2016-08-01,59.588382720947266
2016-08-02,59.02001190185547
2016-08-03,58.84673309326172
2016-08-04,59.29034805297851
2016-08-05,61.54301452636719
2016-08-08,61.515289306640625
2016-08-09,62.229217529296875
2016-08-10,61.931156158447266
2016-08-11,61.99354934692383
2016-08-12,62.07672500610352
2016-08-15,61.74403381347656
2016-08-16,61.660865783691406
2016-08-17,61.97277069091797
2016-08-18,62.21535110473633
2016-08-19,62.32625198364258
2016-08-22,62.36092758178711
2016-08-23,62.014347076416016
2016-08-24,62.070167541503906
2016-08-25,62.03529357910156
2016-08-26,61.5258903503418
2016-08-29,61.80501937866211
2016-08-30,61.38630294799805
2016-08-31,62.44699478149414
2016-09-01,62.44001007080078
2016-09-02,62.530738830566406
2016-09-06,62.6214599609375
2016-09-07,62.65634536743164
2016-09-08,62.23765563964844
2016-09-09,59.990692138671875
2016-09-12,61.79801559448242
2016-09-13,61.59565353393555
2016-09-14,61.1839599609375
2016-09-15,62.223690032958984
2016-09-16,62.06319808959961
2016-09-19,60.688514709472656
2016-09-20,60.793174743652344
2016-09-21,61.34444808959961
2016-09-22,62.13993835449219
2016-09-23,61.9864387512207
2016-09-26,61.777076721191406
2016-09-27,62.26556396484375
2016-09-28,62.48885345458984
2016-09-29,61.80501937866211
2016-09-30,62.46094512939453
2016-10-03,62.16089630126953
2016-10-04,61.42121505737305
2016-10-05,60.9746208190918
2016-10-06,61.0513801574707
2016-10-07,60.988582611083984
2016-10-10,61.75615692138672
2016-10-11,60.87691879272461
2016-10-12,60.80712127685547
2016-10-13,60.74433135986328
2016-10-14,61.777076721191406
2016-10-17,61.9864387512207
2016-10-18,62.05622863769531
2016-10-19,61.46308135986328
2016-10-20,61.379337310791016
2016-10-21,61.35143280029297
2016-10-24,62.04225540161133
2016-10-25,61.65846633911133
2016-10-26,61.46308135986328
2016-10-27,61.19093322753906
2016-10-28,61.46308135986328
2016-10-31,62.070167541503906
2016-11-01,61.66544723510742
2016-11-02,61.51192855834961
2016-11-03,60.18608856201172
2016-11-04,58.65091323852539
2016-11-07,60.032569885253906
2016-11-08,61.64451217651367
2016-11-09,59.27194595336914
2016-11-10,56.8156623840332
2016-11-11,56.66911315917969
2016-11-14,55.880584716796875
2016-11-15,56.62027359008789
2016-11-16,57.49952697753906
2016-11-17,57.80654525756836
2016-11-18,57.590232849121094
2016-11-21,58.36480712890625
2016-11-22,58.678810119628906
2016-11-23,57.52745819091797
2016-11-25,57.88330841064453
2016-11-28,58.07173156738281
2016-11-29,58.61601257324219
2016-11-30,57.386077880859375
2016-12-01,56.57078552246094
2016-12-02,56.86597442626953
2016-12-05,56.42317581176758
2016-12-06,56.198272705078125
2016-12-07,58.29973220825195
2016-12-08,57.84993743896485
2016-12-09,58.88310623168945
2016-12-12,59.17829132080078
2016-12-13,59.6983642578125
2016-12-14,59.29072570800781
2016-12-15,60.00059509277344
2016-12-16,60.76668930053711
2016-12-19,60.86507797241211
2016-12-20,60.42932891845703
2016-12-21,60.872108459472656
2016-12-22,61.34299087524414
2016-12-23,61.54679107666016
2016-12-27,61.5538444519043
2016-12-28,61.36408996582031
2016-12-29,61.799835205078125
2016-12-30,61.371097564697266
2017-01-03,61.518707275390625
2017-01-04,61.16728210449219
2017-01-05,60.815879821777344
2017-01-06,60.6612548828125
2017-01-09,60.492557525634766
2017-01-10,60.38011169433594
2017-01-11,60.9775276184082
2017-01-12,61.4413948059082
2017-01-13,61.16728210449219
2017-01-17,61.79281234741211
2017-01-18,62.095001220703125
2017-01-19,61.74360275268555
2017-01-20,62.5167121887207
2017-01-23,62.41130065917969
2017-01-24,62.33396911621094
2017-01-25,62.43940734863281
2017-01-26,62.84003448486328
2017-01-27,62.85407638549805
2017-01-30,62.608097076416016
2017-01-31,62.75568771362305
2017-02-01,62.13720703125
2017-02-02,62.27777099609375
2017-02-03,62.74163055419922
2017-02-06,62.341007232666016
2017-02-07,62.41831970214844
2017-02-08,62.68540573120117
2017-02-09,63.100067138671875
2017-02-10,63.39525604248047
2017-02-13,63.66233444213867
2017-02-14,63.823974609375
2017-02-15,64.02429962158203
2017-02-16,61.34299087524414
2017-02-17,67.92850494384766
2017-02-21,66.6774673461914
2017-02-22,65.61621856689453
2017-02-23,65.32102966308594
2017-02-24,65.41938781738281
2017-02-27,63.683406829833984
2017-02-28,64.31596374511719
2017-03-01,64.68384552001953
2017-03-02,64.57772064208984
2017-03-03,64.73336791992188
2017-03-06,64.49285125732422
2017-03-07,64.23815155029297
2017-03-08,64.30888366699219
2017-03-09,64.75458526611328
2017-03-10,64.74046325683594
2017-03-13,64.50698852539062
2017-03-14,64.42205810546875
2017-03-15,64.97392272949219
2017-03-16,65.63184356689453
2017-03-17,65.07295989990234
2017-03-20,65.341796875
2017-03-21,65.016357421875
2017-03-22,65.29227447509766
2017-03-23,65.09418487548828
2017-03-24,64.86073303222656
2017-03-27,64.55650329589844
2017-03-28,64.66972351074219
2017-03-29,64.726318359375
2017-03-30,64.45037841796875
2017-03-31,64.24522399902344
2017-04-03,64.42205810546875
2017-04-04,64.53527069091797
2017-04-05,64.67676544189453
2017-04-06,64.34427642822266
2017-04-07,64.16740417480469
2017-04-10,64.30181884765625
2017-04-11,64.2593765258789
2017-04-12,65.03758239746094
2017-04-13,64.73336791992188
2017-04-17,64.78997039794922
2017-04-18,65.44083404541016
2017-04-19,64.98099517822266
2017-04-20,65.11540222167969
2017-04-21,64.80411529541016
2017-04-24,65.4832763671875
2017-04-25,65.29227447509766
2017-04-26,64.32304382324219
2017-04-27,64.2593765258789
2017-04-28,63.94807815551758
2017-05-01,63.29721450805664
