,SBUX
2014-01-02,31.491382598876953
2014-01-03,31.401588439941406
2014-01-06,31.083288192749023
2014-01-07,31.507692337036133
2014-01-08,31.842315673828125
2014-01-09,31.666833877563477
2014-01-10,31.69540786743164
2014-01-13,30.654817581176758
2014-01-14,30.793556213378906
2014-01-15,31.091461181640625
2014-01-16,30.724178314208984
2014-01-17,30.56503677368164
2014-01-21,30.054946899414062
2014-01-22,30.034523010253906
2014-01-23,29.948833465576172
2014-01-24,30.597692489624023
2014-01-27,30.283464431762695
2014-01-28,30.15287971496582
2014-01-29,29.20205307006836
2014-01-30,29.344884872436523
2014-01-31,29.022506713867188
2014-02-03,28.145132064819336
2014-02-04,28.93980598449707
2014-02-05,28.87425994873047
2014-02-06,29.640262603759766
2014-02-07,30.32843017578125
2014-02-10,30.639739990234375
2014-02-11,30.516843795776367
2014-02-12,30.275175094604492
2014-02-13,30.594675064086914
2014-02-14,30.733930587768555
2014-02-18,30.29975128173828
2014-02-19,30.033483505249023
2014-02-20,30.12770652770996
2014-02-21,29.722183227539062
2014-02-24,29.722183227539062
2014-02-25,28.89884376525879
2014-02-26,29.402671813964844
2014-02-27,29.570615768432617
2014-02-28,29.06678581237793
2014-03-03,28.866071701049805
2014-03-04,29.353515625
2014-03-05,29.2060489654541
2014-03-06,29.775426864624023
2014-03-07,29.93108558654785
2014-03-10,30.131792068481445
2014-03-11,30.733930587768555
2014-03-12,30.979719161987305
2014-03-13,30.48816680908203
2014-03-14,30.422636032104492
2014-03-17,30.385784149169922
2014-03-18,30.55780792236328
2014-03-19,31.094402313232422
2014-03-20,31.524505615234375
2014-03-21,31.422107696533203
2014-03-24,31.037065505981445
2014-03-25,30.56190299987793
2014-03-26,30.123605728149414
2014-03-27,30.066268920898438
2014-03-28,30.189144134521484
2014-03-31,30.05807113647461
2014-04-01,30.316129684448242
2014-04-02,30.176856994628906
2014-04-03,29.93927764892578
2014-04-04,29.308454513549805
2014-04-07,28.849685668945312
2014-04-08,29.279783248901367
2014-04-09,29.68941307067871
2014-04-10,28.763654708862305
2014-04-11,28.15333366394043
2014-04-14,28.390913009643555
2014-04-15,28.2188663482666
2014-04-16,28.99713897705078
2014-04-17,28.734987258911133
2014-04-21,28.87017059326172
2014-04-22,29.144611358642578
2014-04-23,28.833290100097656
2014-04-24,29.120033264160156
2014-04-25,29.267499923706055
2014-04-28,29.054487228393555
2014-04-29,28.935707092285156
2014-04-30,28.927501678466797
2014-05-01,29.13232421875
2014-05-02,28.919315338134766
2014-05-05,29.05038833618164
2014-05-06,28.606365203857422
2014-05-07,28.672157287597656
2014-05-08,28.606365203857422
2014-05-09,28.898279190063477
2014-05-12,29.251855850219727
2014-05-13,29.25596046447754
2014-05-14,28.84894561767578
2014-05-15,28.71738052368164
2014-05-16,29.165510177612305
2014-05-19,29.198402404785156
2014-05-20,28.87361717224121
2014-05-21,28.943504333496094
2014-05-22,29.354633331298828
2014-05-23,29.593093872070312
2014-05-27,30.283790588378906
2014-05-28,30.12344741821289
2014-05-29,30.057661056518555
2014-05-30,30.111116409301758
2014-06-02,30.361909866333008
2014-06-03,30.497573852539062
2014-06-04,30.699020385742188
2014-06-05,30.71959114074707
2014-06-06,30.97037696838379
2014-06-09,30.908708572387695
2014-06-10,30.670251846313477
2014-06-11,30.752477645874023
2014-06-12,30.407119750976562
2014-06-13,30.70723533630371
2014-06-16,30.871700286865234
2014-06-17,30.96215057373047
2014-06-18,31.064931869506836
2014-06-19,31.751514434814453
2014-06-20,31.492511749267578
2014-06-23,31.54595947265625
2014-06-24,31.833736419677734
2014-06-25,32.117435455322266
2014-06-26,32.09275817871094
2014-06-27,32.043418884277344
2014-06-30,31.813182830810547
2014-07-01,32.10097885131836
2014-07-02,32.14619445800781
2014-07-03,32.503883361816406
2014-07-07,32.35176467895508
2014-07-08,32.29831314086914
2014-07-09,32.66422653198242
2014-07-10,32.417545318603516
2014-07-11,32.31477737426758
2014-07-14,32.29831314086914
2014-07-15,32.43398666381836
2014-07-16,32.36821365356445
2014-07-17,31.755632400512695
2014-07-18,32.043418884277344
2014-07-21,31.907743453979492
2014-07-22,32.37230682373047
2014-07-23,32.536773681640625
2014-07-24,33.075355529785156
2014-07-25,32.37230682373047
2014-07-28,32.216094970703125
2014-07-29,32.3353157043457
2014-07-30,32.438106536865234
2014-07-31,31.936527252197266
2014-08-01,31.648733139038086
2014-08-04,31.87485694885254
2014-08-05,31.67685317993164
2014-08-06,31.817102432250977
2014-08-07,31.64385414123535
2014-08-08,32.01922607421875
2014-08-11,32.12236785888672
2014-08-12,32.101741790771484
2014-08-13,31.86248779296875
2014-08-14,31.60672378540039
2014-08-15,31.72635841369629
2014-08-18,32.00685501098633
2014-08-19,32.22549819946289
2014-08-20,32.18836975097656
2014-08-21,31.957347869873047
2014-08-22,31.87898826599121
2014-08-25,32.16361618041992
2014-08-26,32.0893669128418
2014-08-27,32.14298629760742
2014-08-28,32.097618103027344
2014-08-29,32.097618103027344
2014-09-02,31.961488723754883
2014-09-03,31.67685317993164
2014-09-04,31.829483032226562
2014-09-05,32.155364990234375
2014-09-08,32.03987121582031
2014-09-09,31.812984466552734
2014-09-10,31.850107192993164
2014-09-11,31.400468826293945
2014-09-12,31.132328033447266
2014-09-15,30.90544319152832
2014-09-16,30.975576400756836
2014-09-17,31.078699111938477
2014-09-18,31.239587783813477
2014-09-19,31.379838943481445
2014-09-22,30.773447036743164
2014-09-23,30.50943374633789
2014-09-24,31.070449829101562
2014-09-25,30.5754451751709
2014-09-26,31.008575439453125
2014-09-29,31.049837112426758
2014-09-30,31.128202438354492
2014-10-01,30.77757453918457
2014-10-02,30.711580276489258
2014-10-03,31.305591583251953
2014-10-06,31.00033187866211
2014-10-07,30.546566009521484
2014-10-08,31.045705795288086
2014-10-09,30.72395133972168
2014-10-10,30.7156982421875
2014-10-13,29.779293060302734
2014-10-14,30.006166458129883
2014-10-15,29.8576602935791
2014-10-16,29.96492576599121
2014-10-17,30.336185455322266
2014-10-20,30.814695358276367
2014-10-21,30.67445182800293
2014-10-22,30.773447036743164
2014-10-23,30.87244987487793
2014-10-24,31.272598266601562
2014-10-27,31.338594436645508
2014-10-28,31.78411102294922
2014-10-29,31.57371711730957
2014-10-30,31.89548110961914
2014-10-31,31.169462203979492
2014-11-03,31.392221450805664
2014-11-04,31.64385414123535
2014-11-05,31.623218536376953
2014-11-06,31.9490966796875
2014-11-07,32.0893669128418
2014-11-10,32.16392517089844
2014-11-11,32.197044372558594
2014-11-12,32.24676513671875
2014-11-13,32.263336181640625
2014-11-14,32.35861587524414
2014-11-17,32.23848342895508
2014-11-18,32.13078308105469
2014-11-19,32.234336853027344
2014-11-20,32.391746520996094
2014-11-21,33.03791427612305
2014-11-24,33.35272216796875
2014-11-25,33.22431564331055
2014-11-26,33.01305389404297
2014-11-28,33.638526916503906
2014-12-01,33.489410400390625
2014-12-02,33.29059600830078
2014-12-03,33.33201599121094
2014-12-04,33.67995834350586
2014-12-05,34.6160888671875
2014-12-08,34.71135711669922
2014-12-09,34.39241409301758
2014-12-10,34.239139556884766
2014-12-11,34.4296875
2014-12-12,34.48353576660156
2014-12-15,33.505985260009766
2014-12-16,32.77695846557617
2014-12-17,33.319576263427734
2014-12-18,33.149757385253906
2014-12-19,32.905372619628906
2014-12-22,33.36101531982422
2014-12-23,33.72966003417969
2014-12-24,33.66338348388672
2014-12-26,33.89535140991211
2014-12-29,34.12317657470703
2014-12-30,33.87876892089844
2014-12-31,33.9864616394043
2015-01-02,33.73380661010742
2015-01-05,33.087623596191406
2015-01-06,32.81837844848633
2015-01-07,33.6261100769043
2015-01-08,34.168731689453125
2015-01-09,33.05033493041992
2015-01-12,33.23259735107422
2015-01-13,33.4976921081543
2015-01-14,33.31130599975586
2015-01-15,32.96335983276367
2015-01-16,33.390018463134766
2015-01-20,33.64267349243164
2015-01-21,33.671669006347656
2015-01-22,34.27227783203125
2015-01-23,36.54220199584961
2015-01-26,36.500762939453125
2015-01-27,36.59190368652344
2015-01-28,36.2729377746582
2015-01-29,36.88599395751953
2015-01-30,36.25637435913086
2015-02-02,36.44691848754883
2015-02-03,36.787811279296875
2015-02-04,36.87511444091797
2015-02-05,37.26590347290039
2015-02-06,36.99984359741211
2015-02-09,36.92500686645508
2015-02-10,37.9061279296875
2015-02-11,37.74399185180664
2015-02-12,38.176353454589844
2015-02-13,38.072425842285156
2015-02-17,38.25949478149414
2015-02-18,38.662750244140625
2015-02-19,38.733428955078125
2015-02-20,38.874778747558594
2015-02-23,38.90386962890625
2015-02-24,38.84983444213867
2015-02-25,39.186580657958984
2015-02-26,39.30712890625
2015-02-27,38.866455078125
2015-03-02,39.17410659790039
2015-03-03,39.07847595214844
2015-03-04,38.68770217895508
2015-03-05,38.9246711730957
2015-03-06,38.33848190307617
2015-03-09,38.679378509521484
2015-03-10,38.32184982299805
2015-03-11,38.00590896606445
2015-03-12,38.82072830200195
2015-03-13,38.78330993652344
2015-03-16,39.09926223754883
2015-03-17,39.24061584472656
2015-03-18,39.84342575073242
2015-03-19,40.641632080078125
