,MMM
2014-01-02,80.92205810546875
2014-01-03,81.10955047607422
2014-01-06,80.6291732788086
2014-01-07,80.64086151123047
2014-01-08,80.04332733154297
2014-01-09,79.9378890991211
2014-01-10,79.77971649169922
2014-01-13,78.90093994140625
2014-01-14,80.50028228759766
2014-01-15,81.10369873046875
2014-01-16,80.93965148925781
2014-01-17,80.44168853759766
2014-01-21,80.25423431396484
2014-01-22,79.9554443359375
2014-01-23,78.91851043701172
2014-01-24,76.2880859375
2014-01-27,75.5499267578125
2014-01-28,76.04791259765625
2014-01-29,76.30567169189453
2014-01-30,75.01680755615234
2014-01-31,75.09881591796875
2014-02-03,72.58557891845703
2014-02-04,74.23765563964844
2014-02-05,74.61260986328125
2014-02-06,75.51477813720703
2014-02-07,76.35252380371094
2014-02-10,75.98344421386719
2014-02-11,76.73330688476562
2014-02-12,76.91910552978516
2014-02-13,76.7421646118164
2014-02-14,77.9097671508789
2014-02-18,77.72106170654297
2014-02-19,76.98981475830078
2014-02-20,77.57952880859375
2014-02-21,77.5854263305664
2014-02-24,77.95693969726562
2014-02-25,78.38740539550781
2014-02-26,78.34613800048828
2014-02-27,79.21884155273438
2014-02-28,79.44884490966797
2014-03-03,77.96282196044922
2014-03-04,78.239990234375
2014-03-05,78.92991638183594
2014-03-06,79.06554412841797
2014-03-07,79.08324432373047
2014-03-10,78.75891876220703
2014-03-11,78.1397476196289
2014-03-12,78.17510986328125
2014-03-13,77.13726043701172
2014-03-14,76.55936431884766
2014-03-17,77.99819946289062
2014-03-18,78.27536010742188
2014-03-19,77.38495635986328
2014-03-20,78.0925521850586
2014-03-21,78.49945831298828
2014-03-24,78.086669921875
2014-03-25,79.05374908447266
2014-03-26,78.48176574707031
2014-03-27,78.33432006835938
2014-03-28,79.1363296508789
2014-03-31,79.99726867675781
2014-04-01,80.51028442382812
2014-04-02,80.19774627685547
2014-04-03,80.28030395507812
2014-04-04,80.11520385742188
2014-04-07,79.2542724609375
2014-04-08,79.51373291015625
2014-04-09,80.1033935546875
2014-04-10,79.0007095336914
2014-04-11,78.06896209716797
2014-04-14,78.51712036132812
2014-04-15,79.07144927978516
2014-04-16,80.65180206298828
2014-04-17,81.2179183959961
2014-04-21,81.74274444580078
2014-04-22,81.90194702148438
2014-04-23,81.37123107910156
2014-04-24,80.58104705810547
2014-04-25,80.52796173095703
2014-04-28,80.92304992675781
2014-04-29,81.1117935180664
2014-04-30,82.01986694335938
2014-05-01,83.03417205810547
2014-05-02,82.62726593017578
2014-05-05,82.91622161865234
2014-05-06,82.13783264160156
2014-05-07,83.22874450683594
2014-05-08,83.04595947265625
2014-05-09,83.34671020507812
2014-05-12,84.2194595336914
2014-05-13,83.98947143554688
2014-05-14,83.50000762939453
2014-05-15,83.13440704345703
2014-05-16,83.22285461425781
2014-05-19,83.54129791259766
2014-05-20,82.692138671875
2014-05-21,83.45452880859375
2014-05-22,83.24687194824219
2014-05-23,83.73931884765625
2014-05-27,83.91732025146484
2014-05-28,83.91140747070312
2014-05-29,84.4809799194336
2014-05-30,84.5759048461914
2014-06-02,84.4394302368164
2014-06-03,84.7776107788086
2014-06-04,84.40381622314453
2014-06-05,85.26414489746094
2014-06-06,85.8158950805664
2014-06-09,86.21936798095703
2014-06-10,86.01168060302734
2014-06-11,85.6794204711914
2014-06-12,84.8843994140625
2014-06-13,85.05646514892578
2014-06-16,85.03272247314453
2014-06-17,85.25225830078125
2014-06-18,85.6319808959961
2014-06-19,85.7269058227539
2014-06-20,86.12440490722656
2014-06-23,85.48958587646484
2014-06-24,84.89628601074219
2014-06-25,85.22853088378906
2014-06-26,85.27599334716797
2014-06-27,85.25225830078125
2014-06-30,84.98527526855469
2014-07-01,85.7684555053711
2014-07-02,86.16595458984375
2014-07-03,86.27275848388672
2014-07-07,85.9760971069336
2014-07-08,85.7684555053711
2014-07-09,85.83963775634766
2014-07-10,85.37091827392578
2014-07-11,85.62010955810547
2014-07-14,86.02950286865234
2014-07-15,86.0650863647461
2014-07-16,86.72366333007812
2014-07-17,85.16327667236328
2014-07-18,85.92863464355469
2014-07-21,85.61417388916016
2014-07-22,86.10070037841797
2014-07-23,85.83963775634766
2014-07-24,86.10663604736328
2014-07-25,86.10070037841797
2014-07-28,86.34394073486328
2014-07-29,85.44805908203125
2014-07-30,85.28192138671875
2014-07-31,83.59102630615234
2014-08-01,83.12822723388672
2014-08-04,83.50792694091797
2014-08-05,82.93242645263672
2014-08-06,82.79598999023438
2014-08-07,82.5467758178711
2014-08-08,83.56727600097656
2014-08-11,83.40705108642578
2014-08-12,83.58507537841797
2014-08-13,84.13090515136719
2014-08-14,84.45126342773438
2014-08-15,84.20211791992188
2014-08-18,85.50736999511719
2014-08-19,85.58451080322266
2014-08-20,86.30370330810547
2014-08-21,86.2440185546875
2014-08-22,86.0231704711914
2014-08-25,86.36338806152344
2014-08-26,86.30370330810547
2014-08-27,85.9097671508789
2014-08-28,85.93366241455078
2014-08-29,85.9455795288086
2014-09-02,86.076904296875
2014-09-03,85.8381576538086
2014-09-04,85.71282196044922
2014-09-05,86.06497192382812
2014-09-08,86.47679138183594
2014-09-09,86.22013092041016
2014-09-10,86.32758331298828
2014-09-11,86.15447998046875
2014-09-12,85.9097671508789
2014-09-15,86.23210906982422
2014-09-16,86.45292663574219
2014-09-17,86.76329040527344
2014-09-18,87.64063262939453
2014-09-19,87.55110168457031
2014-09-22,86.96621704101562
2014-09-23,86.16644287109375
2014-09-24,86.47081756591797
2014-09-25,85.03840637207031
2014-09-26,85.0025634765625
2014-09-29,84.86531829833984
2014-09-30,84.56092071533203
2014-10-01,83.06881713867188
2014-10-02,82.7644271850586
2014-10-03,83.6596908569336
2014-10-06,83.76115417480469
2014-10-07,82.17353057861328
2014-10-08,84.39978790283203
2014-10-09,82.74649047851562
2014-10-10,79.87569427490234
2014-10-13,79.32063293457031
2014-10-14,80.08460235595703
2014-10-15,80.10845947265625
2014-10-16,80.60383605957031
2014-10-17,82.00642395019531
2014-10-20,82.12579345703125
2014-10-21,84.11328887939453
2014-10-22,82.93153381347656
2014-10-23,86.57229614257812
2014-10-24,88.68510437011719
2014-10-27,89.26405334472656
2014-10-28,90.1593246459961
2014-10-29,90.12948608398438
2014-10-30,90.78005981445312
2014-10-31,91.77676391601562
2014-11-03,91.49627685546875
2014-11-04,92.54074096679688
2014-11-05,92.9227066040039
2014-11-06,93.13758087158203
2014-11-07,93.43600463867188
2014-11-10,94.0985107421875
2014-11-11,93.77020263671875
2014-11-12,94.11044311523438
2014-11-13,94.51033782958984
2014-11-14,94.80873107910156
2014-11-17,94.71322631835938
2014-11-18,95.58465576171875
2014-11-19,95.30561828613281
2014-11-20,95.6236343383789
2014-11-21,96.10367584228516
2014-11-24,95.93568420410156
2014-11-25,94.84357452392578
2014-11-26,94.99358367919922
2014-11-28,96.06168365478516
2014-12-01,94.90357971191406
2014-12-02,96.36770629882812
2014-12-03,97.36377716064453
2014-12-04,97.36377716064453
2014-12-05,97.3697738647461
2014-12-08,96.5656967163086
2014-12-09,96.50572967529297
2014-12-10,94.95157623291016
2014-12-11,95.49764251708984
2014-12-12,94.27953338623047
2014-12-15,94.11752319335938
2014-12-16,95.4376220703125
2014-12-17,96.36770629882812
2014-12-18,99.18791961669922
2014-12-19,99.29595184326172
2014-12-22,100.37002563476562
2014-12-23,100.13001251220703
2014-12-24,100.18399810791016
2014-12-26,99.76399230957031
2014-12-29,100.03399658203125
2014-12-30,99.5119400024414
2014-12-31,98.59986114501953
2015-01-02,98.44386291503906
2015-01-05,96.22369384765625
2015-01-06,95.19760131835938
2015-01-07,95.8876724243164
2015-01-08,98.18582153320312
2015-01-09,96.97975158691406
2015-01-12,96.45172882080078
2015-01-13,96.37969970703125
2015-01-14,95.91166687011719
2015-01-15,95.80364990234375
2015-01-16,97.20777893066406
2015-01-20,97.17174530029297
2015-01-21,97.53179168701172
2015-01-22,99.54197692871094
2015-01-23,98.41985321044922
2015-01-26,98.55187225341797
2015-01-27,98.18582153320312
2015-01-28,98.37186431884766
2015-01-29,99.68597412109375
2015-01-30,97.38776397705078
2015-02-02,98.65988159179688
2015-02-03,99.57197570800781
2015-02-04,98.89393615722656
2015-02-05,99.93799591064453
2015-02-06,99.64994812011719
2015-02-09,98.91188049316406
2015-02-10,99.49993133544922
2015-02-11,99.30976104736328
2015-02-12,100.17317962646484
2015-02-13,100.19127655029297
2015-02-17,100.78298950195312
2015-02-18,101.0727767944336
2015-02-19,100.88563537597656
2015-02-20,101.50752258300781
2015-02-23,101.92413330078125
2015-02-24,102.11129760742188
2015-02-25,101.97244262695312
2015-02-26,102.40717315673828
2015-02-27,101.82752990722656
2015-03-02,102.94452667236328
2015-03-03,101.59810638427734
2015-03-04,100.92788696289062
2015-03-05,101.17542266845703
2015-03-06,99.23731994628906
2015-03-09,100.450927734375
2015-03-10,97.96937561035156
2015-03-11,97.64934539794922
2015-03-12,99.30370330810547
2015-03-13,98.2591781616211
2015-03-16,100.35429382324219
