,MRK
2014-01-02,33.77914047241211
2014-01-03,33.94295883178711
2014-01-06,33.94977569580078
2014-01-07,34.20231246948242
2014-01-08,33.983909606933594
2014-01-09,33.799617767333984
2014-01-10,34.04533767700195
2014-01-13,36.25678634643555
2014-01-14,36.17487335205078
2014-01-15,35.84725570678711
2014-01-16,35.83360290527344
2014-01-17,35.45820236206055
2014-01-21,35.37629699707031
2014-01-22,35.048675537109375
2014-01-23,35.219303131103516
2014-01-24,35.47867202758789
2014-01-27,35.85406494140625
2014-01-28,36.086143493652344
2014-01-29,35.63566207885742
2014-01-30,36.522979736328125
2014-01-31,36.15439224243164
2014-02-03,35.546932220458984
2014-02-04,36.522979736328125
2014-02-05,36.5366325378418
2014-02-06,36.700435638427734
2014-02-07,37.38298034667969
2014-02-10,37.46488952636719
2014-02-11,38.01774215698242
2014-02-12,37.53996276855469
2014-02-13,37.60820770263672
2014-02-14,37.840293884277344
2014-02-18,38.01092529296875
2014-02-19,37.5672607421875
2014-02-20,38.09282684326172
2014-02-21,38.24299621582031
2014-02-24,38.34537887573242
2014-02-25,38.16107940673828
2014-02-26,38.406803131103516
2014-02-27,38.672996520996094
2014-02-28,38.898231506347656
2014-03-03,38.509178161621094
2014-03-04,38.94600296020508
2014-03-05,38.82314682006836
2014-03-06,39.082515716552734
2014-03-07,39.22583770751953
2014-03-10,39.123470306396484
2014-03-11,38.69347381591797
2014-03-12,38.77537155151367
2014-03-13,38.376399993896484
2014-03-14,38.314491271972656
2014-03-17,38.699710845947266
2014-03-18,38.768497467041016
2014-03-19,38.513973236083984
2014-03-20,38.23883056640625
2014-03-21,37.59910583496094
2014-03-24,36.99378204345703
2014-03-25,37.96366882324219
2014-03-26,38.53460693359375
2014-03-27,38.33513259887695
2014-03-28,38.50709533691406
2014-03-31,39.05051040649414
2014-04-01,38.77537155151367
2014-04-02,38.8372802734375
2014-04-03,38.66530990600586
2014-04-04,38.6034049987793
2014-04-07,37.96366882324219
2014-04-08,37.860504150390625
2014-04-09,39.277530670166016
2014-04-10,38.41767501831055
2014-04-11,38.46582794189453
2014-04-14,38.225074768066406
2014-04-15,38.55524826049805
2014-04-16,38.699710845947266
2014-04-17,38.844154357910156
2014-04-21,39.380699157714844
2014-04-22,39.7383918762207
2014-04-23,39.55265808105469
2014-04-24,39.57329559326172
2014-04-25,39.373809814453125
2014-04-28,38.988609313964844
2014-04-29,40.39186477661133
2014-04-30,40.28181076049805
2014-05-01,41.01094436645508
2014-05-02,40.04794692993164
2014-05-05,40.329959869384766
2014-05-06,39.28438949584961
2014-05-07,38.410797119140625
2014-05-08,37.7160530090332
2014-05-09,37.97743606567383
2014-05-12,38.032474517822266
2014-05-13,38.34888458251953
