,ERIE
2014-01-02,54.9223747253418
2014-01-03,55.18665313720703
2014-01-06,54.826622009277344
2014-01-07,55.201988220214844
2014-01-08,55.316898345947266
2014-01-09,55.17135238647461
2014-01-10,54.6887321472168
2014-01-13,54.558509826660156
2014-01-14,55.07175827026367
2014-01-15,55.44712448120117
2014-01-16,55.63862609863281
2014-01-17,55.43946838378906
2014-01-21,54.98749542236328
2014-01-22,54.86491394042969
2014-01-23,54.627445220947266
2014-01-24,53.70051956176758
2014-01-27,53.279178619384766
2014-01-28,53.37110900878906
2014-01-29,53.164276123046875
2014-01-30,53.654537200927734
2014-01-31,53.7541389465332
2014-02-03,51.86196517944336
2014-02-04,52.2143669128418
2014-02-05,52.566768646240234
2014-02-06,52.398216247558594
2014-02-07,52.421207427978516
2014-02-10,53.02638244628906
2014-02-11,53.064697265625
2014-02-12,53.15663146972656
2014-02-13,53.17959976196289
2014-02-14,54.03757858276367
2014-02-18,54.091190338134766
2014-02-19,53.478336334228516
2014-02-20,54.07587432861328
2014-02-21,53.846065521240234
2014-02-24,53.47068405151367
2014-02-25,53.71584701538086
2014-02-26,53.96097183227539
2014-02-27,54.681068420410156
2014-02-28,55.6003303527832
2014-03-03,56.144229888916016
2014-03-04,57.1247673034668
2014-03-05,57.055843353271484
2014-03-06,55.03345489501953
2014-03-07,54.022254943847656
2014-03-10,54.3746337890625
2014-03-11,54.28271484375
2014-03-12,53.66222381591797
2014-03-13,53.608585357666016
2014-03-14,53.40940856933594
2014-03-17,52.5284423828125
2014-03-18,53.10300064086914
2014-03-19,51.915592193603516
2014-03-20,52.35990905761719
2014-03-21,51.042293548583984
2014-03-24,51.66278839111328
2014-03-25,52.61272430419922
2014-03-26,52.78890609741211
2014-03-27,52.513126373291016
2014-03-28,52.5284423828125
2014-03-31,53.440059661865234
2014-04-01,54.321014404296875
2014-04-02,54.681068420410156
2014-04-03,54.62308883666992
2014-04-04,54.55352020263672
2014-04-07,53.65693283081055
2014-04-08,53.82697677612305
2014-04-09,53.86562728881836
2014-04-10,53.23955154418945
2014-04-11,53.115882873535156
2014-04-14,53.38640213012695
2014-04-15,53.79603958129883
2014-04-16,54.08202362060547
2014-04-17,54.05884552001953
2014-04-21,54.182533264160156
2014-04-22,54.97864532470703
2014-04-23,54.39894104003906
2014-04-24,54.723567962646484
2014-04-25,54.89362716674805
2014-04-28,55.1950798034668
