,AXP
2014-01-02,76.4075698852539
2014-01-03,76.6552734375
2014-01-06,76.62110137939453
2014-01-07,76.33068084716797
2014-01-08,76.57050323486328
2014-01-09,76.11656951904297
2014-01-10,75.83395385742188
2014-01-13,74.49798583984375
2014-01-14,74.60933685302734
2014-01-15,75.57707214355469
2014-01-16,75.174560546875
2014-01-17,77.90644073486328
2014-01-21,77.58102416992188
2014-01-22,78.0434799194336
2014-01-23,76.36492156982422
2014-01-24,74.4637451171875
2014-01-27,73.41036224365234
2014-01-28,74.19824981689453
2014-01-29,73.2647933959961
2014-01-30,74.18109130859375
2014-01-31,72.81090545654297
2014-02-03,70.9610824584961
2014-02-04,71.9373550415039
2014-02-05,71.69757080078125
2014-02-06,73.3846664428711
2014-02-07,74.50654602050781
2014-02-10,75.65414428710938
2014-02-11,75.85967254638672
2014-02-12,76.23646545410156
2014-02-13,76.1336898803711
2014-02-14,76.21935272216797
2014-02-18,76.23646545410156
2014-02-19,76.08233642578125
2014-02-20,76.2279281616211
2014-02-21,76.00526428222656
2014-02-24,77.00724029541016
2014-02-25,76.9986572265625
2014-02-26,76.84451293945312
2014-02-27,77.3240966796875
2014-02-28,78.17195129394531
2014-03-03,77.050048828125
2014-03-04,79.31094360351562
2014-03-05,78.9084243774414
2014-03-06,80.09025573730469
2014-03-07,80.3814468383789
2014-03-10,80.24441528320312
2014-03-11,79.81623840332031
2014-03-12,79.55928802490234
2014-03-13,77.66667175292969
2014-03-14,77.22135162353516
2014-03-17,78.1548080444336
2014-03-18,78.43741607666016
2014-03-19,77.70093536376953
2014-03-20,78.52305603027344
2014-03-21,78.37747955322266
2014-03-24,77.94070434570312
2014-03-25,77.79512786865234
2014-03-26,76.78457641601562
2014-03-27,77.06719207763672
2014-03-28,77.4697036743164
2014-03-31,77.10144805908203
2014-04-01,78.07772827148438
2014-04-02,77.61412048339844
2014-04-03,78.11205291748047
2014-04-04,76.55806732177734
2014-04-07,74.35159301757812
2014-04-08,74.2571029663086
2014-04-09,76.17170715332031
2014-04-10,73.28692626953125
2014-04-11,72.58292388916016
2014-04-14,73.40715026855469
2014-04-15,73.87077331542969
2014-04-16,75.03841400146484
2014-04-17,74.02531433105469
2014-04-21,74.41167449951172
2014-04-22,74.75508117675781
2014-04-23,74.80659484863281
2014-04-24,75.0469970703125
2014-04-25,74.72077941894531
2014-04-28,74.74650573730469
2014-04-29,75.37324523925781
2014-04-30,75.06417083740234
2014-05-01,74.54045104980469
2014-05-02,74.63488006591797
2014-05-05,75.0040512084961
2014-05-06,74.0081558227539
2014-05-07,75.53640747070312
2014-05-08,76.08586883544922
2014-05-09,76.27477264404297
2014-05-12,76.97877502441406
2014-05-13,76.4894027709961
2014-05-14,75.94850158691406
2014-05-15,75.21012878417969
2014-05-16,75.12427520751953
2014-05-19,75.65657806396484
2014-05-20,74.77223205566406
2014-05-21,75.43334197998047
2014-05-22,75.68232727050781
2014-05-23,76.22322845458984
2014-05-27,78.46406555175781
2014-05-28,78.18075561523438
2014-05-29,78.36964416503906
2014-05-30,78.55854034423828
2014-06-02,78.89335632324219
2014-06-03,78.75599670410156
2014-06-04,78.82466888427734
2014-06-05,79.67466735839844
2014-06-06,81.4862289428711
2014-06-09,82.05288696289062
2014-06-10,81.80389404296875
2014-06-11,81.6321792602539
2014-06-12,81.357421875
2014-06-13,81.43472290039062
2014-06-16,81.02259063720703
2014-06-17,81.27159118652344
2014-06-18,82.04426574707031
2014-06-19,81.62360382080078
2014-06-20,82.0271224975586
2014-06-23,82.00138854980469
2014-06-24,81.07410430908203
2014-06-25,81.25442504882812
2014-06-26,80.96249389648438
2014-06-27,81.50340270996094
2014-06-30,81.45188903808594
2014-07-01,81.86399841308594
2014-07-02,81.74378967285156
2014-07-03,82.28468322753906
2014-07-07,81.90694427490234
2014-07-08,81.1943359375
2014-07-09,81.56451416015625
2014-07-10,81.32344055175781
2014-07-11,81.33207702636719
2014-07-14,81.3923110961914
2014-07-15,81.31483459472656
2014-07-16,81.33207702636719
2014-07-17,80.0578842163086
2014-07-18,80.52278900146484
2014-07-21,79.96317291259766
2014-07-22,80.38505554199219
2014-07-23,80.30754089355469
2014-07-24,80.19562530517578
2014-07-25,79.14530944824219
2014-07-28,79.08504486083984
2014-07-29,78.95590209960938
2014-07-30,78.26715850830078
2014-07-31,75.76185607910156
2014-08-01,74.44462585449219
2014-08-04,74.84063720703125
2014-08-05,74.34989929199219
2014-08-06,74.38436126708984
2014-08-07,74.05720520019531
2014-08-08,75.30554962158203
2014-08-11,74.85786437988281
2014-08-12,74.96979522705078
2014-08-13,75.24528503417969
2014-08-14,75.13334655761719
2014-08-15,74.55657196044922
2014-08-18,75.0386734008789
2014-08-19,75.86515045166016
