,WMB
2014-01-02,20.405704498291016
2014-01-03,20.27243995666504
2014-01-06,20.469680786132812
2014-01-07,20.794845581054688
2014-01-08,20.87480354309082
2014-01-09,20.92277717590332
2014-01-10,20.976085662841797
2014-01-13,20.81084442138672
2014-01-14,20.87480354309082
2014-01-15,20.8481502532959
2014-01-16,20.986753463745117
2014-01-17,20.90678596496582
2014-01-21,21.02939224243164
2014-01-22,20.7681884765625
2014-01-23,20.92810821533203
2014-01-24,20.773521423339844
2014-01-27,20.725543975830078
2014-01-28,21.215967178344727
2014-01-29,21.173322677612305
2014-01-30,21.40254020690918
2014-01-31,21.583786010742188
2014-02-03,20.965421676635742
2014-02-04,21.279932022094727
2014-02-05,21.242624282836914
2014-02-06,21.892955780029297
2014-02-07,22.079538345336914
2014-02-10,21.812999725341797
2014-02-11,22.260772705078125
2014-02-12,21.690397262573242
2014-02-13,21.775686264038086
2014-02-14,21.765024185180664
2014-02-18,21.61043357849121
2014-02-19,21.5891170501709
2014-02-20,22.388702392578125
2014-02-21,22.420696258544922
2014-02-24,22.266103744506836
2014-02-25,22.143497467041016
2014-02-26,21.972911834716797
2014-02-27,21.99423599243164
2014-02-28,22.015560150146484
2014-03-03,22.196807861328125
2014-03-04,22.724538803100586
2014-03-05,22.62858772277832
2014-03-06,22.73520278930664
2014-03-07,22.756521224975586
2014-03-10,22.431350708007812
2014-03-11,22.175479888916016
2014-03-12,22.16633415222168
2014-03-13,22.06944465637207
2014-03-14,22.29013442993164
2014-03-17,22.3547306060791
2014-03-18,22.387025833129883
2014-03-19,22.413936614990234
2014-03-20,21.994081497192383
2014-03-21,21.859508514404297
2014-03-24,21.94025421142578
2014-03-25,21.951013565063477
2014-03-26,21.53116226196289
2014-03-27,21.875659942626953
2014-03-28,22.0263729095459
2014-03-31,21.843366622924805
2014-04-01,22.085586547851562
2014-04-02,21.8541259765625
2014-04-03,21.8541259765625
2014-04-04,21.671112060546875
2014-04-07,21.337379455566406
2014-04-08,21.848745346069336
2014-04-09,21.956403732299805
2014-04-10,21.66035270690918
2014-04-11,21.60652732849121
2014-04-14,21.757240295410156
2014-04-15,21.907958984375
2014-04-16,22.22015380859375
2014-04-17,22.49468231201172
2014-04-21,22.640018463134766
2014-04-22,22.591571807861328
2014-04-23,22.634634017944336
2014-04-24,22.247081756591797
2014-04-25,22.20939064025879
2014-04-28,22.44624137878418
2014-04-29,22.715381622314453
2014-04-30,22.699220657348633
2014-05-01,23.29132843017578
2014-05-02,23.059877395629883
2014-05-05,23.425905227661133
2014-05-06,23.404376983642578
2014-05-07,23.904970169067383
2014-05-08,23.673511505126953
2014-05-09,23.51740837097168
2014-05-12,23.705814361572266
2014-05-13,23.958799362182617
2014-05-14,24.3786678314209
2014-05-15,24.464784622192383
2014-05-16,24.545520782470703
2014-05-19,24.728540420532227
2014-05-20,24.938472747802734
2014-05-21,25.07304573059082
2014-05-22,25.12148094177246
2014-05-23,25.229150772094727
2014-05-27,25.21837043762207
2014-05-28,25.143014907836914
2014-05-29,25.18070411682129
2014-05-30,25.277587890625
2014-06-02,25.250680923461914
2014-06-03,25.20222282409668
2014-06-04,25.245281219482422
2014-06-05,25.5036563873291
2014-06-06,25.692052841186523
2014-06-09,25.70819854736328
2014-06-10,25.643613815307617
2014-06-11,25.40736198425293
2014-06-12,25.445369720458984
2014-06-13,25.624603271484375
2014-06-16,30.425823211669922
2014-06-17,31.126461029052734
2014-06-18,31.148183822631836
2014-06-19,31.463193893432617
2014-06-20,31.316551208496094
2014-06-23,31.96829605102539
2014-06-24,31.235078811645508
2014-06-25,31.495779037475586
2014-06-26,31.555517196655273
2014-06-27,31.80536651611328
2014-06-30,31.615272521972656
2014-07-01,31.799930572509766
2014-07-02,31.691299438476562
2014-07-03,31.560949325561523
2014-07-07,31.338266372680664
2014-07-08,31.30568504333496
2014-07-09,31.425168991088867
2014-07-10,31.403446197509766
2014-07-11,31.615272521972656
2014-07-14,31.680442810058594
2014-07-15,31.430601119995117
2014-07-16,31.713024139404297
2014-07-17,31.283958435058594
2014-07-18,31.62070655822754
2014-07-21,31.539236068725586
2014-07-22,31.745622634887695
2014-07-23,31.85967254638672
2014-07-24,31.810789108276367
2014-07-25,31.609840393066406
2014-07-28,31.484901428222656
2014-07-29,31.539236068725586
2014-07-30,30.78970718383789
2014-07-31,30.75713348388672
2014-08-01,30.170557022094727
2014-08-04,30.50729751586914
2014-08-05,29.877267837524414
2014-08-06,29.9696044921875
2014-08-07,29.52967071533203
2014-08-08,30.55074119567871
2014-08-11,30.78970718383789
2014-08-12,30.963516235351562
2014-08-13,30.849464416503906
2014-08-14,30.838594436645508
2014-08-15,31.38715171813965
2014-08-18,31.560949325561523
2014-08-19,31.8325252532959
2014-08-20,31.854251861572266
2014-08-21,31.675006866455078
2014-08-22,31.778202056884766
2014-08-25,31.675006866455078
2014-08-26,31.957435607910156
2014-08-27,32.10950469970703
2014-08-28,31.919408798217773
2014-08-29,32.28330993652344
2014-09-02,32.20184326171875
2014-09-03,32.1964111328125
2014-09-04,31.854251861572266
2014-09-05,32.11492919921875
2014-09-08,31.47948455810547
2014-09-09,31.20792007446289
2014-09-10,31.16404914855957
2014-09-11,31.504093170166016
2014-09-12,30.82400131225586
2014-09-15,31.059829711914062
2014-09-16,31.438291549682617
2014-09-17,31.295686721801758
2014-09-18,30.98853302001953
2014-09-19,30.94464683532715
2014-09-22,30.516845703125
2014-09-23,30.511371612548828
2014-09-24,30.81302261352539
2014-09-25,30.319406509399414
