,BAC
2014-01-02,12.976953506469727
2014-01-03,13.226819038391113
2014-01-06,13.428325653076172
2014-01-07,13.299360275268555
2014-01-08,13.363842964172363
2014-01-09,13.565352439880371
2014-01-10,13.516988754272461
2014-01-13,13.242938995361328
2014-01-14,13.516988754272461
2014-01-15,13.823280334472656
2014-01-16,13.766854286193848
2014-01-17,13.710430145263672
2014-01-21,13.710430145263672
2014-01-22,13.823280334472656
2014-01-23,13.589529991149902
2014-01-24,13.259062767028809
2014-01-27,13.146219253540039
2014-01-28,13.484745979309082
2014-01-29,13.444446563720703
2014-01-30,13.645956993103027
2014-01-31,13.500870704650879
2014-02-03,13.178455352783203
2014-02-04,13.178455352783203
2014-02-05,13.21876049041748
2014-02-06,13.452509880065918
2014-02-07,13.557290077209473
2014-02-10,13.476689338684082
2014-02-11,13.6056489944458
2014-02-12,13.500870704650879
2014-02-13,13.500870704650879
2014-02-14,13.460566520690918
2014-02-18,13.275178909301758
2014-02-19,13.0575590133667
2014-02-20,13.13815975189209
2014-02-21,13.130101203918457
2014-02-24,13.323543548583984
2014-02-25,13.170400619506836
2014-02-26,13.162338256835938
2014-02-27,13.29129695892334
2014-02-28,13.323543548583984
2014-03-03,13.13815975189209
2014-03-04,13.484745979309082
2014-03-05,13.912196159362793
2014-03-06,13.992846488952637
2014-03-07,13.976717948913574
2014-03-10,14.089627265930176
2014-03-11,13.928328514099121
2014-03-12,13.936388969421387
2014-03-13,13.839607238769531
2014-03-14,13.54926872253418
2014-03-17,13.799284934997559
2014-03-18,13.863802909851074
2014-03-19,14.06543254852295
2014-03-20,14.452553749084473
2014-03-21,14.16220760345459
2014-03-24,14.008970260620117
2014-03-25,13.879939079284668
2014-03-26,13.855740547180176
2014-03-27,13.718631744384766
2014-03-28,13.694437026977539
2014-03-31,13.871872901916504
2014-04-01,13.984776496887207
2014-04-02,13.896066665649414
2014-04-03,13.83154582977295
2014-04-04,13.484747886657715
2014-04-07,13.210533142089844
2014-04-08,13.258927345275879
2014-04-09,13.40410041809082
2014-04-10,13.000845909118652
2014-04-11,12.718568801879883
2014-04-14,12.90406322479248
2014-04-15,13.218600273132324
2014-04-16,13.008910179138184
2014-04-17,13.025039672851562
2014-04-21,12.976655006408691
2014-04-22,13.137954711914062
2014-04-23,13.202473640441895
2014-04-24,13.178276062011719
2014-04-25,12.863739967346191
2014-04-28,12.057236671447754
2014-04-29,12.291121482849121
2014-04-30,12.210474014282227
2014-05-01,12.170148849487305
2014-05-02,12.299188613891602
2014-05-05,12.162081718444824
2014-05-06,11.879802703857422
2014-05-07,11.936261177062988
2014-05-08,12.041109085083008
2014-05-09,11.887868881225586
