,SNA
2014-01-02,85.33435821533203
2014-01-03,85.49945831298828
2014-01-06,84.61116790771484
2014-01-07,84.80768585205078
2014-01-08,84.71336364746094
2014-01-09,84.5089340209961
2014-01-10,84.53252410888672
2014-01-13,83.32188415527344
2014-01-14,84.83125305175781
2014-01-15,84.88628387451172
2014-01-16,84.82337951660156
2014-01-17,84.6426010131836
2014-01-21,83.32188415527344
2014-01-22,82.92878723144531
2014-01-23,81.60811614990234
2014-01-24,78.62086486816406
2014-01-27,78.1570053100586
2014-01-28,78.87242126464844
2014-01-29,78.66799926757812
2014-01-30,79.18685150146484
2014-01-31,78.73086547851562
2014-02-03,76.43539428710938
2014-02-04,77.10359191894531
2014-02-05,76.69481658935547
2014-02-06,82.64581298828125
2014-02-07,85.42085266113281
2014-02-10,84.66617584228516
2014-02-11,85.8060531616211
2014-02-12,85.69599914550781
2014-02-13,86.02616882324219
2014-02-14,86.13623046875
2014-02-18,86.01045989990234
2014-02-19,85.24006652832031
2014-02-20,86.02938079833984
2014-02-21,85.855712890625
2014-02-24,86.25039672851562
2014-02-25,85.65839385986328
2014-02-26,86.57403564453125
2014-02-27,87.68695831298828
2014-02-28,88.53943634033203
2014-03-03,88.0500717163086
2014-03-04,89.11565399169922
2014-03-05,89.07622528076172
2014-03-06,89.526123046875
2014-03-07,90.12600708007812
2014-03-10,89.34457397460938
2014-03-11,88.87886810302734
2014-03-12,88.36579132080078
2014-03-13,86.96080017089844
2014-03-14,87.6633071899414
2014-03-17,88.15270233154297
2014-03-18,89.01304626464844
2014-03-19,88.49207305908203
2014-03-20,88.76046752929688
2014-03-21,88.7841567993164
2014-03-24,87.2212905883789
2014-03-25,89.17884063720703
2014-03-26,87.64749908447266
2014-03-27,87.13443756103516
2014-03-28,88.5631332397461
2014-03-31,89.57347869873047
2014-04-01,89.9444808959961
2014-04-02,89.620849609375
2014-04-03,89.8260726928711
2014-04-04,88.2474136352539
2014-04-07,86.73188781738281
2014-04-08,87.08708190917969
2014-04-09,88.58683013916016
2014-04-10,86.83450317382812
2014-04-11,86.32141876220703
2014-04-14,86.73977661132812
2014-04-15,87.24494934082031
2014-04-16,88.8473129272461
2014-04-17,91.51525115966797
2014-04-21,91.85467529296875
2014-04-22,92.3519287109375
2014-04-23,92.28089904785156
2014-04-24,92.39929962158203
2014-04-25,91.14423370361328
2014-04-28,90.83642578125
2014-04-29,90.77328491210938
2014-04-30,91.56259155273438
2014-05-01,91.57048797607422
2014-05-02,91.06532287597656
2014-05-05,91.57048797607422
2014-05-06,90.98638916015625
2014-05-07,91.3731460571289
2014-05-08,91.00216674804688
2014-05-09,90.6075210571289
2014-05-12,92.099365234375
2014-05-13,91.79940032958984
2014-05-14,91.1916275024414
2014-05-15,89.9523696899414
2014-05-16,91.09341430664062
2014-05-19,91.53715515136719
2014-05-20,89.7384262084961
2014-05-21,91.3628158569336
2014-05-22,91.00624084472656
2014-05-23,91.7828140258789
2014-05-27,92.17107391357422
2014-05-28,92.51179504394531
2014-05-29,92.70988464355469
2014-05-30,92.92383575439453
2014-06-02,93.36756896972656
2014-06-03,92.70195770263672
2014-06-04,92.1393814086914
2014-06-05,92.5514144897461
2014-06-06,93.70038604736328
2014-06-09,93.92224884033203
2014-06-10,93.93018341064453
2014-06-11,93.37549591064453
2014-06-12,92.44048309326172
2014-06-13,92.5672607421875
2014-06-16,92.3770751953125
2014-06-17,93.3200454711914
2014-06-18,94.017333984375
2014-06-19,94.08866119384766
2014-06-20,94.6591796875
2014-06-23,93.71623229980469
2014-06-24,92.90008544921875
2014-06-25,93.58946990966797
2014-06-26,93.71623229980469
2014-06-27,94.017333984375
2014-06-30,93.91432189941406
2014-07-01,94.79389190673828
2014-07-02,94.54032135009766
2014-07-03,95.37232208251953
2014-07-07,94.61954498291016
2014-07-08,94.11241149902344
2014-07-09,94.43731689453125
2014-07-10,93.37549591064453
2014-07-11,93.63697814941406
2014-07-14,94.42938232421875
2014-07-15,93.87472534179688
2014-07-16,94.32635498046875
2014-07-17,98.15363311767578
2014-07-18,97.96348571777344
2014-07-21,97.40877532958984
2014-07-22,97.97930908203125
2014-07-23,97.70196533203125
2014-07-24,97.88421630859375
2014-07-25,98.78753662109375
2014-07-28,98.51810455322266
2014-07-29,97.94758605957031
2014-07-30,97.4959487915039
2014-07-31,95.24555206298828
2014-08-01,94.88895416259766
2014-08-04,96.03001403808594
2014-08-05,94.64332580566406
2014-08-06,94.26298522949219
2014-08-07,94.42938232421875
2014-08-08,96.06964111328125
2014-08-11,96.47374725341797
2014-08-12,96.89371490478516
2014-08-13,97.93175506591797
2014-08-14,98.69245910644531
2014-08-15,98.13777160644531
2014-08-18,99.07280731201172
2014-08-19,99.40560150146484
2014-08-20,100.11082458496094
2014-08-21,100.19035339355469
2014-08-22,99.39519500732422
2014-08-25,100.07108306884766
2014-08-26,99.41106414794922
2014-08-27,99.35543060302734
2014-08-28,99.57807159423828
2014-08-29,99.35543060302734
2014-09-02,99.73709869384766
2014-09-03,100.25397491455078
2014-09-04,100.19828796386719
2014-09-05,100.99346160888672
2014-09-08,99.89613342285156
2014-09-09,99.38723754882812
2014-09-10,99.62580108642578
2014-09-11,99.57012176513672
2014-09-12,99.9756851196289
2014-09-15,99.68144226074219
2014-09-16,100.0631103515625
2014-09-17,99.38723754882812
2014-09-18,99.6575927734375
2014-09-19,98.48076629638672
2014-09-22,97.66173553466797
2014-09-23,96.94610595703125
2014-09-24,97.7412338256836
2014-09-25,95.92031860351562
2014-09-26,96.81090545654297
2014-09-29,96.51667022705078
2014-09-30,96.27813720703125
2014-10-01,94.25048065185547
2014-10-02,94.16302490234375
2014-10-03,96.13502502441406
2014-10-06,96.11911010742188
2014-10-07,94.0278549194336
2014-10-08,95.5068588256836
2014-10-09,93.67003631591797
2014-10-10,92.06380462646484
2014-10-13,90.0759048461914
2014-10-14,91.20503234863281
2014-10-15,91.07779693603516
2014-10-16,96.89043426513672
2014-10-17,97.28800964355469
2014-10-20,98.88626861572266
2014-10-21,101.61370086669922
2014-10-22,99.91204833984375
2014-10-23,101.48646545410156
2014-10-24,101.97150421142578
2014-10-27,101.74089050292969
2014-10-28,103.51412963867188
2014-10-29,102.9097900390625
2014-10-30,103.76856994628906
2014-10-31,105.07266235351562
2014-11-03,105.45429992675781
2014-11-04,105.60540008544922
2014-11-05,106.8299560546875
2014-11-06,107.82389068603516
2014-11-07,107.44221496582031
2014-11-10,107.95114135742188
2014-11-11,107.91139221191406
2014-11-12,108.17376708984375
2014-11-13,107.80799102783203
2014-11-14,107.61717987060547
2014-11-17,107.25934600830078
2014-11-18,108.1578598022461
2014-11-19,107.96704864501953
2014-11-20,108.79722595214844
2014-11-21,108.34220123291016
2014-11-24,108.9648666381836
2014-11-25,108.35018920898438
2014-11-26,108.62963104248047
2014-11-28,108.0308609008789
2014-12-01,106.54610443115234
2014-12-02,108.0308609008789
2014-12-03,109.7711410522461
2014-12-04,109.00482177734375
2014-12-05,109.1803970336914
2014-12-08,108.50186157226562
2014-12-09,108.78130340576172
2014-12-10,107.49604034423828
2014-12-11,107.52798461914062
2014-12-12,105.89152526855469
2014-12-15,105.82764434814453
2014-12-16,105.79570007324219
2014-12-17,107.1528091430664
2014-12-18,109.3240966796875
2014-12-19,109.33209991455078
2014-12-22,110.12236785888672
2014-12-23,111.03239440917969
2014-12-24,111.03239440917969
2014-12-26,111.239990234375
2014-12-29,110.93663787841797
2014-12-30,110.3219223022461
2014-12-31,109.15645599365234
2015-01-02,108.79722595214844
2015-01-05,106.84144592285156
2015-01-06,106.51414489746094
2015-01-07,107.18470764160156
2015-01-08,109.62744903564453
2015-01-09,108.35018920898438
2015-01-12,106.96918487548828
2015-01-13,106.86539459228516
2015-01-14,107.59980773925781
2015-01-15,106.34652709960938
2015-01-16,105.81964874267578
2015-01-20,105.97135162353516
2015-01-21,106.80951690673828
2015-01-22,107.67166137695312
2015-01-23,107.24059295654297
2015-01-26,107.68763732910156
2015-01-27,106.29066467285156
2015-01-28,105.38862609863281
2015-01-29,107.95906829833984
2015-01-30,105.93940734863281
2015-02-02,104.97350311279297
2015-02-03,106.32259368896484
2015-02-04,104.93356323242188
2015-02-05,111.49542999267578
2015-02-06,112.54915618896484
2015-02-09,112.47728729248047
2015-02-10,113.51506805419922
2015-02-11,113.9700927734375
2015-02-12,115.50276947021484
2015-02-13,116.0695571899414
2015-02-17,116.09347534179688
2015-02-18,116.06153106689453
2015-02-19,116.18125915527344
2015-02-20,117.02259826660156
2015-02-23,116.82225799560547
2015-02-24,117.6074447631836
2015-02-25,118.6409912109375
