,DUK
2014-01-02,43.357391357421875
2014-01-03,43.217403411865234
2014-01-06,43.24285888671875
2014-01-07,43.58010482788086
2014-01-08,43.1728630065918
2014-01-09,43.185604095458984
2014-01-10,43.64372253417969
2014-01-13,43.121971130371094
2014-01-14,42.99470520019531
2014-01-15,42.71473693847656
2014-01-16,42.86107635498047
2014-01-17,42.99470520019531
2014-01-21,43.59282302856445
2014-01-22,43.6818962097168
2014-01-23,43.60554885864258
2014-01-24,43.43375778198242
2014-01-27,43.73282241821289
2014-01-28,43.790069580078125
2014-01-29,43.898258209228516
2014-01-30,44.47091293334961
2014-01-31,44.935428619384766
2014-02-03,44.83360290527344
2014-02-04,44.50273513793945
2014-02-05,44.29911804199219
2014-02-06,44.54727554321289
2014-02-07,44.53456497192383
2014-02-10,45.011775970458984
2014-02-11,45.368106842041016
2014-02-12,45.593257904052734
2014-02-13,45.95352554321289
2014-02-14,45.96641540527344
2014-02-18,45.998565673828125
2014-02-19,46.140106201171875
2014-02-20,46.152950286865234
2014-02-21,45.992149353027344
2014-02-24,45.74767303466797
2014-02-25,45.69621276855469
2014-02-26,45.59971237182617
2014-02-27,45.31019973754883
2014-02-28,45.59971237182617
2014-03-03,45.06574249267578
2014-03-04,45.11077117919922
2014-03-05,45.104339599609375
2014-03-06,45.05287170410156
2014-03-07,45.07217025756836
2014-03-10,44.789093017578125
2014-03-11,44.69260025024414
2014-03-12,45.26517868041992
2014-03-13,45.4002571105957
2014-03-14,45.483890533447266
2014-03-17,45.74123764038086
2014-03-18,45.18796920776367
2014-03-19,44.20365524291992
2014-03-20,44.49959182739258
2014-03-21,44.441707611083984
2014-03-24,44.596092224121094
2014-03-25,44.982093811035156
2014-03-26,44.71189880371094
2014-03-27,45.30376052856445
2014-03-28,45.31663513183594
2014-03-31,45.818443298339844
2014-04-01,45.464599609375
2014-04-02,45.20083999633789
2014-04-03,45.32307052612305
2014-04-04,45.34880447387695
2014-04-07,45.7669677734375
2014-04-08,46.648338317871094
2014-04-09,46.20444869995117
2014-04-10,46.05646896362305
2014-04-11,46.21729278564453
2014-04-14,46.36526870727539
2014-04-15,46.84133529663086
2014-04-16,47.111541748046875
2014-04-17,46.68694305419922
2014-04-21,46.61617660522461
2014-04-22,46.82848358154297
2014-04-23,46.71268081665039
2014-04-24,47.002193450927734
2014-04-25,47.60690689086914
2014-04-28,48.12157440185547
2014-04-29,47.94788360595703
2014-04-30,47.922142028808594
2014-05-01,47.98006057739258
2014-05-02,46.873497009277344
2014-05-05,47.298099517822266
2014-05-06,47.00861358642578
2014-05-07,47.49111557006836
2014-05-08,46.86064529418945
2014-05-09,46.307369232177734
2014-05-12,46.165836334228516
2014-05-13,46.140106201171875
2014-05-14,46.354732513427734
2014-05-15,46.42628479003906
2014-05-16,46.40678024291992
2014-05-19,45.723846435546875
2014-05-20,45.58724594116211
2014-05-21,45.48319625854492
2014-05-22,45.886444091796875
2014-05-23,45.71083450317383
2014-05-27,45.827911376953125
2014-05-28,46.023040771484375
2014-05-29,46.13359832763672
2014-05-30,46.23115539550781
2014-06-02,46.08156204223633
2014-06-03,45.9839973449707
2014-06-04,46.185630798339844
2014-06-05,46.65392303466797
2014-06-06,46.400264739990234
2014-06-09,46.088077545166016
2014-06-10,45.86042785644531
2014-06-11,45.288055419921875
2014-06-12,45.90596389770508
2014-06-13,46.06856155395508
2014-06-16,46.2571907043457
2014-06-17,45.990509033203125
2014-06-18,47.096214294433594
2014-06-19,47.62954330444336
2014-06-20,47.03767395019531
2014-06-23,47.057193756103516
2014-06-24,47.06369400024414
2014-06-25,47.50596618652344
2014-06-26,47.59050750732422
2014-06-27,47.93523025512695
2014-06-30,48.25393295288086
2014-07-01,47.88969421386719
2014-07-02,46.97262954711914
2014-07-03,46.43278503417969
2014-07-07,46.55636215209961
2014-07-08,47.03767395019531
2014-07-09,46.901084899902344
2014-07-10,47.08320236206055
2014-07-11,46.9336051940918
2014-07-14,46.530338287353516
2014-07-15,46.84904479980469
2014-07-16,47.102718353271484
2014-07-17,47.06369400024414
2014-07-18,47.55149459838867
2014-07-21,47.71410369873047
2014-07-22,47.668575286865234
2014-07-23,47.74010467529297
2014-07-24,48.149864196777344
2014-07-25,47.616539001464844
2014-07-28,48.384029388427734
2014-07-29,48.117347717285156
2014-07-30,47.51247024536133
2014-07-31,46.91408920288086
2014-08-01,47.44093322753906
2014-08-04,46.959632873535156
2014-08-05,46.16613006591797
2014-08-06,45.424659729003906
2014-08-07,45.91896057128906
2014-08-08,46.66694641113281
2014-08-11,46.55636215209961
2014-08-12,46.42628479003906
2014-08-13,46.6532096862793
2014-08-14,47.40959930419922
2014-08-15,47.41617202758789
2014-08-18,47.41617202758789
2014-08-19,47.93578338623047
2014-08-20,47.856868743896484
2014-08-21,48.041038513183594
2014-08-22,47.92920684814453
2014-08-25,48.00157165527344
2014-08-26,47.567466735839844
2014-08-27,47.96867752075195
2014-08-28,48.21861267089844
2014-08-29,48.665863037109375
2014-09-02,48.31071090698242
2014-09-03,48.58035659790039
2014-09-04,48.68560028076172
2014-09-05,49.2644157409668
2014-09-08,49.25783920288086
2014-09-09,48.534339904785156
2014-09-10,48.271217346191406
2014-09-11,48.97500991821289
2014-09-12,48.05418014526367
2014-09-15,48.30413055419922
2014-09-16,48.90266418457031
2014-09-17,48.869781494140625
2014-09-18,48.3304443359375
2014-09-19,48.922401428222656
2014-09-22,48.58694839477539
2014-09-23,48.455413818359375
2014-09-24,48.481719970703125
2014-09-25,48.646156311035156
2014-09-26,48.72507858276367
2014-09-29,48.79741668701172
2014-09-30,49.17890167236328
2014-10-01,49.52750778198242
2014-10-02,49.32361602783203
2014-10-03,49.4420051574707
2014-10-06,49.3762321472168
2014-10-07,49.46832275390625
2014-10-08,50.678550720214844
2014-10-09,50.24445343017578
2014-10-10,50.533843994140625
2014-10-13,50.91532516479492
2014-10-14,51.87562942504883
2014-10-15,51.89537048339844
2014-10-16,51.41520309448242
2014-10-17,51.58623504638672
2014-10-20,52.29001235961914
2014-10-21,52.013763427734375
2014-10-22,52.724098205566406
2014-10-23,52.6649055480957
2014-10-24,52.81618118286133
2014-10-27,53.02008819580078
2014-10-28,53.09244918823242
2014-10-29,52.79646301269531
2014-10-30,54.12507629394531
2014-10-31,54.03299331665039
2014-11-03,54.18428039550781
2014-11-04,54.08561325073242
2014-11-05,54.92094039916992
2014-11-06,53.388431549072266
2014-11-07,53.986961364746094
2014-11-10,54.467098236083984
