,CINF
2014-01-02,37.467742919921875
2014-01-03,37.234710693359375
2014-01-06,37.14004135131836
2014-01-07,37.17644500732422
2014-01-08,37.0599250793457
2014-01-09,37.22014617919922
2014-01-10,37.24925994873047
2014-01-13,36.783199310302734
2014-01-14,36.994388580322266
2014-01-15,37.04536056518555
2014-01-16,36.783199310302734
2014-01-17,36.790489196777344
2014-01-21,36.761356353759766
2014-01-22,36.92155838012695
2014-01-23,36.51374816894531
2014-01-24,35.54520034790039
2014-01-27,35.51607131958008
2014-01-28,35.872901916503906
2014-01-29,35.399559020996094
2014-01-30,35.85105514526367
2014-01-31,35.28303146362305
2014-02-03,34.67132568359375
2014-02-04,34.40913772583008
2014-02-05,34.29991912841797
2014-02-06,32.92354202270508
2014-02-07,33.302223205566406
2014-02-10,33.33863830566406
2014-02-11,33.73189163208008
2014-02-12,33.870243072509766
2014-02-13,34.1688232421875
2014-02-14,34.22709274291992
2014-02-18,34.35088348388672
2014-02-19,33.90666198730469
2014-02-20,34.07416915893555
2014-02-21,34.045040130615234
2014-02-24,33.97221374511719
2014-02-25,33.89210891723633
2014-02-26,33.83384704589844
2014-02-27,33.97221374511719
2014-02-28,34.139705657958984
2014-03-03,33.83384704589844
2014-03-04,34.31447219848633
2014-03-05,34.292625427246094
2014-03-06,34.700439453125
2014-03-07,34.83879852294922
2014-03-10,34.715003967285156
2014-03-11,34.54022216796875
2014-03-12,34.68587875366211
2014-03-13,34.3581657409668
2014-03-14,34.445560455322266
2014-03-17,34.55582809448242
2014-03-18,34.85721206665039
2014-03-19,34.59992599487305
2014-03-20,34.97481918334961
2014-03-21,35.22473907470703
2014-03-24,35.26885223388672
2014-03-25,35.24680709838867
2014-03-26,35.29088592529297
2014-03-27,35.17329025268555
2014-03-28,35.467315673828125
2014-03-31,35.76869201660156
2014-04-01,35.158592224121094
2014-04-02,35.386451721191406
2014-04-03,35.467315673828125
2014-04-04,35.423213958740234
2014-04-07,34.90130615234375
2014-04-08,34.916015625
2014-04-09,35.17329025268555
2014-04-10,34.93806457519531
2014-04-11,34.629329681396484
2014-04-14,35.077728271484375
2014-04-15,35.40115737915039
2014-04-16,35.87895202636719
2014-04-17,35.849544525146484
2014-04-21,35.783390045166016
2014-04-22,35.95246887207031
2014-04-23,36.28324890136719
2014-04-24,36.540523529052734
2014-04-25,35.28354263305664
2014-04-28,35.47467041015625
2014-04-29,35.53348922729492
2014-04-30,35.812801361083984
2014-05-01,36.01127243041992
2014-05-02,36.084781646728516
2014-05-05,36.033321380615234
2014-05-06,35.77603530883789
2014-05-07,36.253841400146484
2014-05-08,36.17298126220703
2014-05-09,36.11418151855469
2014-05-12,36.20973587036133
2014-05-13,36.21708679199219
2014-05-14,35.95246887207031
2014-05-15,35.58492660522461
2014-05-16,35.570228576660156
2014-05-19,35.937767028808594
2014-05-20,35.636383056640625
2014-05-21,35.812801361083984
2014-05-22,35.75398254394531
2014-05-23,35.73194885253906
2014-05-27,35.86425018310547
2014-05-28,35.790740966796875
2014-05-29,35.90835189819336
2014-05-30,36.033321380615234
2014-06-02,35.77603530883789
2014-06-03,35.687843322753906
2014-06-04,35.9010009765625
2014-06-05,36.10683059692383
2014-06-06,36.231788635253906
2014-06-09,36.20973587036133
2014-06-10,36.16564178466797
2014-06-11,35.98186492919922
2014-06-12,35.95246887207031
2014-06-13,35.937767028808594
2014-06-16,35.87841033935547
2014-06-17,36.02676773071289
2014-06-18,36.14545822143555
2014-06-19,36.15287399291992
2014-06-20,36.189945220947266
2014-06-23,36.08612060546875
2014-06-24,35.81908416748047
2014-06-25,35.73748779296875
2014-06-26,35.52238082885742
2014-06-27,35.51496505737305
2014-06-30,35.63364028930664
2014-07-01,35.88583755493164
2014-07-02,35.79682540893555
2014-07-03,35.96744155883789
