,ADP
2014-01-02,55.08943557739258
2014-01-03,55.689579010009766
2014-01-06,55.054931640625
2014-01-07,55.72406768798828
2014-01-08,55.427452087402344
2014-01-09,55.620601654052734
2014-01-10,55.427452087402344
2014-01-13,54.53068161010742
2014-01-14,55.151519775390625
2014-01-15,55.24808120727539
2014-01-16,55.054931640625
2014-01-17,55.165306091308594
2014-01-21,55.4067497253418
2014-01-22,55.448150634765625
2014-01-23,54.710044860839844
2014-01-24,53.09584426879883
2014-01-27,52.77162170410156
2014-01-28,53.137237548828125
2014-01-29,52.79232406616211
2014-01-30,53.323482513427734
2014-01-31,52.840606689453125
2014-02-03,51.10224151611328
2014-02-04,51.70238494873047
2014-02-05,50.72285079956055
2014-02-06,51.18503189086914
2014-02-07,51.6609992980957
2014-02-10,51.357486724853516
2014-02-11,51.50236129760742
2014-02-12,52.136985778808594
2014-02-13,52.57156753540039
2014-02-14,52.61296844482422
2014-02-18,52.764713287353516
2014-02-19,52.53017807006836
2014-02-20,52.77851867675781
2014-02-21,52.564674377441406
2014-02-24,52.97856903076172
2014-02-25,53.12343215942383
2014-02-26,53.40626525878906
2014-02-27,53.613197326660156
2014-02-28,53.654598236083984
2014-03-03,52.88888931274414
2014-03-04,54.116783142089844
2014-03-05,53.613197326660156
2014-03-06,53.82704162597656
2014-03-07,54.192665100097656
2014-03-10,53.951229095458984
2014-03-11,53.737388610839844
2014-03-12,53.92478561401367
2014-03-13,53.43891143798828
2014-03-14,53.827606201171875
2014-03-17,54.48005676269531
2014-03-18,54.82710266113281
2014-03-19,54.341251373291016
2014-03-20,54.37594985961914
2014-03-21,53.9664421081543
2014-03-24,53.0640869140625
2014-03-25,53.22373580932617
2014-03-26,52.89057159423828
2014-03-27,53.216793060302734
2014-03-28,53.411136627197266
2014-03-31,53.62632751464844
2014-04-01,53.79290771484375
2014-04-02,53.91090774536133
2014-04-03,53.70267868041992
2014-04-04,52.626808166503906
2014-04-07,52.24506759643555
2014-04-08,52.446346282958984
2014-04-09,52.66845703125
2014-04-10,52.21035385131836
2014-04-11,51.17612838745117
2014-04-14,51.530147552490234
2014-04-15,52.11316680908203
2014-04-16,52.35612487792969
2014-04-17,52.96693420410156
2014-04-21,52.79339599609375
2014-04-22,52.980804443359375
2014-04-23,52.95304870605469
2014-04-24,53.182106018066406
2014-04-25,52.51575469970703
2014-04-28,52.52964401245117
2014-04-29,53.43891143798828
2014-04-30,54.112186431884766
2014-05-01,53.87621307373047
2014-05-02,53.820682525634766
2014-05-05,54.04972839355469
2014-05-06,53.48749542236328
2014-05-07,53.7651481628418
2014-05-08,54.03584671020508
2014-05-09,54.188541412353516
2014-05-12,54.757720947265625
2014-05-13,54.77854537963867
2014-05-14,54.20241928100586
2014-05-15,53.2723274230957
2014-05-16,54.008087158203125
2014-05-19,54.17466354370117
2014-05-20,53.83453369140625
2014-05-21,53.945594787597656
2014-05-22,54.195465087890625
2014-05-23,54.72995376586914
2014-05-27,55.04227828979492
2014-05-28,54.74382781982422
2014-05-29,55.2227668762207
2014-05-30,55.30603790283203
2014-06-02,55.09783172607422
2014-06-03,54.63277053833008
2014-06-04,54.7160530090332
2014-06-05,54.625823974609375
2014-06-06,55.25747299194336
2014-06-09,55.52815246582031
2014-06-10,55.11170959472656
2014-06-11,54.846343994140625
2014-06-12,54.643829345703125
