,RSG
2014-01-02,26.67732810974121
2014-01-03,26.693519592285156
2014-01-06,26.56402015686035
2014-01-07,26.458791732788086
2014-01-08,26.28073501586914
2014-01-09,26.191699981689453
2014-01-10,26.24025535583496
2014-01-13,25.932697296142578
2014-01-14,26.086477279663086
2014-01-15,26.086477279663086
2014-01-16,25.989351272583008
2014-01-17,26.102670669555664
2014-01-21,26.118854522705078
2014-01-22,26.18359375
2014-01-23,26.086477279663086
2014-01-24,25.689878463745117
2014-01-27,25.973163604736328
2014-01-28,26.021726608276367
2014-01-29,25.88412857055664
2014-01-30,26.07029151916504
2014-01-31,25.924598693847656
2014-02-03,25.536096572875977
2014-02-04,25.519912719726562
2014-02-05,25.536096572875977
2014-02-06,25.795108795166016
2014-02-07,27.033462524414062
2014-02-10,26.814922332763672
2014-02-11,27.13058853149414
2014-02-12,27.171056747436523
2014-02-13,27.567657470703125
2014-02-14,27.842838287353516
2014-02-18,27.381502151489258
2014-02-19,27.300556182861328
2014-02-20,27.30864715576172
2014-02-21,27.3248291015625
2014-02-24,27.3248291015625
2014-02-25,27.25198745727539
2014-02-26,27.171056747436523
2014-02-27,27.057741165161133
2014-02-28,27.608123779296875
2014-03-03,27.55146026611328
2014-03-04,27.770002365112305
2014-03-05,27.632400512695312
2014-03-06,27.648590087890625
2014-03-07,27.713340759277344
2014-03-10,27.69715690612793
2014-03-11,27.527183532714844
2014-03-12,27.40577507019043
2014-03-13,27.22771453857422
2014-03-14,26.9768009185791
2014-03-17,27.300556182861328
2014-03-18,27.608123779296875
2014-03-19,27.68906021118164
2014-03-20,27.648590087890625
2014-03-21,27.543367385864258
2014-03-24,27.40577507019043
2014-03-25,27.40577507019043
2014-03-26,27.2681827545166
2014-03-27,27.421964645385742
2014-03-28,27.454587936401367
2014-03-31,27.86240577697754
2014-04-01,27.92766571044922
2014-04-02,28.098947525024414
2014-04-03,28.131572723388672
2014-04-04,28.156049728393555
2014-04-07,28.00922393798828
2014-04-08,28.213138580322266
2014-04-09,28.408891677856445
2014-04-10,28.1234130859375
2014-04-11,27.788999557495117
2014-04-14,28.00922393798828
2014-04-15,28.041854858398438
2014-04-16,28.43336296081543
2014-04-17,28.115272521972656
2014-04-21,28.180509567260742
2014-04-22,28.294706344604492
2014-04-23,28.43336296081543
2014-04-24,28.343647003173828
2014-04-25,28.058162689208984
2014-04-28,28.3518009185791
2014-04-29,28.514925003051758
2014-04-30,28.620967864990234
2014-05-01,28.572023391723633
2014-05-02,28.482303619384766
2014-05-05,28.514925003051758
2014-05-06,28.49045753479004
2014-05-07,28.669904708862305
2014-05-08,28.596487045288086
2014-05-09,28.580171585083008
2014-05-12,28.71068572998047
2014-05-13,28.727001190185547
2014-05-14,28.539398193359375
2014-05-15,28.213138580322266
2014-05-16,28.384416580200195
2014-05-19,28.44152069091797
2014-05-20,28.213138580322266
2014-05-21,28.376258850097656
2014-05-22,28.43336296081543
2014-05-23,28.47414779663086
2014-05-27,28.637279510498047
2014-05-28,28.694372177124023
2014-05-29,28.857500076293945
2014-05-30,28.873815536499023
2014-06-02,28.922744750976562
2014-06-03,28.922744750976562
2014-06-04,28.89011001586914
2014-06-05,29.126665115356445
2014-06-06,29.363191604614258
2014-06-09,29.648662567138672
2014-06-10,29.86888313293457
2014-06-11,29.909687042236328
2014-06-12,29.917837142944336
2014-06-13,29.942298889160156
2014-06-16,29.909687042236328
2014-06-17,30.121740341186523
2014-06-18,30.309350967407227
2014-06-19,30.47248077392578
2014-06-20,30.651926040649414
2014-06-23,30.505107879638672
2014-06-24,30.47248077392578
2014-06-25,30.709012985229492
2014-06-26,30.77425765991211
2014-06-27,31.316326141357422
2014-06-30,31.184911727905273
2014-07-01,31.324533462524414
2014-07-02,31.06172752380371
2014-07-03,31.14385414123535
2014-07-07,31.15205955505371
2014-07-08,31.004220962524414
2014-07-09,30.651065826416016
2014-07-10,30.453950881958008
2014-07-11,30.388254165649414
2014-07-14,30.404685974121094
2014-07-15,30.412879943847656
2014-07-16,30.618215560913086
2014-07-17,30.248638153076172
2014-07-18,30.412879943847656
2014-07-21,30.544294357299805
2014-07-22,30.527862548828125
2014-07-23,30.421100616455078
2014-07-24,30.4293155670166
2014-07-25,30.692127227783203
2014-07-28,30.618215560913086
2014-07-29,30.979589462280273
2014-07-30,31.168500900268555
2014-07-31,31.15205955505371
2014-08-01,31.028871536254883
2014-08-04,31.135631561279297
2014-08-05,31.168500900268555
2014-08-06,31.26704978942871
2014-08-07,31.423084259033203
2014-08-08,31.792682647705078
2014-08-11,31.6037654876709
2014-08-12,31.743412017822266
2014-08-13,31.915857315063477
2014-08-14,32.0062141418457
2014-08-15,32.08835220336914
2014-08-18,32.05549240112305
2014-08-19,32.24439239501953
2014-08-20,32.44150924682617
2014-08-21,32.48257827758789
2014-08-22,32.31010055541992
2014-08-25,32.285457611083984
2014-08-26,32.33473205566406
2014-08-27,32.367591857910156
2014-08-28,32.2361946105957
2014-08-29,32.301902770996094
2014-09-02,32.17048263549805
2014-09-03,32.14583969116211
2014-09-04,32.12940979003906
2014-09-05,32.203330993652344
2014-09-08,32.21154022216797
2014-09-09,32.21154022216797
2014-09-10,32.252620697021484
2014-09-11,32.17868423461914
2014-09-12,32.154052734375
2014-09-15,32.17048263549805
2014-09-16,32.40044021606445
2014-09-17,32.2361946105957
2014-09-18,32.21154022216797
2014-09-19,32.219757080078125
2014-09-22,32.09657287597656
2014-09-23,32.12940979003906
2014-09-24,32.32653045654297
2014-09-25,32.10478591918945
2014-09-26,32.0390625
2014-09-29,32.09696960449219
2014-09-30,32.27898025512695
2014-10-01,31.34418487548828
2014-10-02,31.567543029785156
2014-10-03,31.658540725708008
2014-10-06,31.906715393066406
2014-10-07,31.501354217529297
2014-10-08,32.0473518371582
2014-10-09,31.70818328857422
2014-10-10,31.65026092529297
2014-10-13,31.493091583251953
2014-10-14,31.699892044067383
2014-10-15,31.426929473876953
2014-10-16,31.170469284057617
2014-10-17,31.60062599182129
2014-10-20,31.70818328857422
2014-10-21,32.022518157958984
2014-10-22,32.22934341430664
2014-10-23,32.41960144042969
2014-10-24,32.460960388183594
2014-10-27,32.5436897277832
2014-10-28,32.61813735961914
2014-10-29,32.5436897277832
2014-10-30,32.9242057800293
2014-10-31,31.766077041625977
2014-11-03,31.493091583251953
2014-11-04,31.62544822692871
2014-11-05,31.881900787353516
2014-11-06,32.022518157958984
2014-11-07,32.369964599609375
2014-11-10,32.700862884521484
2014-11-11,32.601600646972656
2014-11-12,32.7918586730957
2014-11-13,32.78359603881836
2014-11-14,32.899410247802734
2014-11-17,32.91595458984375
2014-11-18,32.80012893676758
2014-11-19,32.576778411865234
2014-11-20,32.53542709350586
2014-11-21,32.262420654296875
2014-11-24,32.369964599609375
2014-11-25,32.66777801513672
2014-11-26,32.80012893676758
2014-11-28,32.76703643798828
2014-12-01,32.460960388183594
2014-12-02,32.32861328125
2014-12-03,32.4361457824707
2014-12-04,32.46924591064453
2014-12-05,32.7918586730957
2014-12-08,32.5436897277832
2014-12-09,32.55195617675781
2014-12-10,32.353431701660156
2014-12-11,32.527137756347656
2014-12-12,32.030792236328125
2014-12-15,32.221065521240234
2014-12-16,32.41960144042969
2014-12-17,32.51887130737305
2014-12-18,33.470191955566406
2014-12-19,33.30475997924805
2014-12-22,33.51156234741211
2014-12-23,33.743186950683594
2014-12-24,33.776283264160156
2014-12-26,33.809364318847656
2014-12-29,33.82591247558594
2014-12-30,33.88421630859375
2014-12-31,33.52605438232422
2015-01-02,33.792598724365234
2015-01-05,33.601009368896484
2015-01-06,33.71761703491211
2015-01-07,33.601009368896484
2015-01-08,33.90920639038086
2015-01-09,33.66766357421875
2015-01-12,33.4427604675293
2015-01-13,33.376121520996094
2015-01-14,33.35113525390625
2015-01-15,33.35113525390625
2015-01-16,33.45940399169922
2015-01-20,33.75927734375
2015-01-21,33.734291076660156
2015-01-22,34.000831604003906
2015-01-23,34.159088134765625
2015-01-26,34.38399124145508
2015-01-27,34.492271423339844
2015-01-28,34.1507682800293
2015-01-29,33.83423614501953
2015-01-30,33.051265716552734
2015-02-02,33.276161193847656
2015-02-03,33.80924987792969
2015-02-04,33.77593231201172
2015-02-05,34.059139251708984
2015-02-06,33.84257125854492
2015-02-09,33.8675651550293
2015-02-10,33.95084762573242
2015-02-11,33.8675651550293
2015-02-12,34.159088134765625
2015-02-13,32.7680549621582
2015-02-17,33.201202392578125
2015-02-18,34.03414535522461
2015-02-19,33.800933837890625
2015-02-20,33.85923767089844
2015-02-23,34.0091552734375
2015-02-24,33.8675651550293
2015-02-25,34.084129333496094
2015-02-26,34.084129333496094
2015-02-27,34.084129333496094
2015-03-02,34.5005989074707
2015-03-03,34.650516510009766
2015-03-04,34.48393630981445
2015-03-05,34.41729736328125
2015-03-06,34.059139251708984
2015-03-09,34.14243698120117
2015-03-10,33.54271697998047
2015-03-11,33.41776657104492
2015-03-12,33.67599105834961
2015-03-13,33.967506408691406
2015-03-16,34.57556915283203
2015-03-17,34.583892822265625
2015-03-18,34.90873336791992
2015-03-19,34.69218063354492
2015-03-20,34.817115783691406
2015-03-23,34.6422004699707
2015-03-24,34.39231491088867
2015-03-25,33.792598724365234
2015-03-26,33.56770706176758
2015-03-27,33.45940399169922
2015-03-30,33.8284797668457
2015-03-31,34.02140426635742
2015-04-01,33.576847076416016
2015-04-02,33.65234375
2015-04-06,34.03819274902344
2015-04-07,33.9375114440918
2015-04-08,33.96269607543945
2015-04-09,34.15562438964844
2015-04-10,34.40725326538086
2015-04-13,33.996246337890625
2015-04-14,33.73622512817383
2015-04-15,33.81171417236328
2015-04-16,33.69427490234375
2015-04-17,33.01485824584961
2015-04-20,33.375545501708984
2015-04-21,33.20777893066406
2015-04-22,33.34198760986328
2015-04-23,33.54328918457031
2015-04-24,34.583396911621094
2015-04-27,34.04656982421875
2015-04-28,34.26465606689453
2015-04-29,33.73622512817383
2015-04-30,34.08012771606445
2015-05-01,33.761383056640625
2015-05-04,33.96269607543945
2015-05-05,33.375545501708984
2015-05-06,33.07356643676758
2015-05-07,33.34198760986328
2015-05-08,33.77816390991211
2015-05-11,33.585235595703125
2015-05-12,33.70268249511719
2015-05-13,33.585235595703125
2015-05-14,34.15562438964844
2015-05-15,34.17238998413086
2015-05-18,34.306583404541016
2015-05-19,34.24787521362305
2015-05-20,34.07172775268555
2015-05-21,34.113670349121094
2015-05-22,34.04656982421875
2015-05-26,33.451026916503906
2015-05-27,33.61878967285156
2015-05-28,33.69427490234375
2015-05-29,33.794925689697266
2015-06-01,33.82009506225586
2015-06-02,33.643951416015625
2015-06-03,33.63557052612305
2015-06-04,33.54328918457031
2015-06-05,33.42586898803711
2015-06-08,33.51813888549805
2015-06-09,33.576847076416016
2015-06-10,33.95429229736328
2015-06-11,34.12206268310547
2015-06-12,33.9123649597168
2015-06-15,33.73622512817383
