,BXP
2014-01-02,65.54174041748047
2014-01-03,66.32520294189453
2014-01-06,67.06293487548828
2014-01-07,67.49383544921875
2014-01-08,67.04338073730469
2014-01-09,67.07599639892578
2014-01-10,68.18587493896484
2014-01-13,67.63746643066406
2014-01-14,68.26422882080078
2014-01-15,68.67554473876953
2014-01-16,68.46663665771484
2014-01-17,68.38172149658203
2014-01-21,69.3414535522461
2014-01-22,70.04654693603516
2014-01-23,69.79194641113281
2014-01-24,68.47969818115234
2014-01-27,68.10102844238281
2014-01-28,68.76039123535156
2014-01-29,69.07381439208984
2014-01-30,70.51010131835938
2014-01-31,70.56887817382812
2014-02-03,69.24351501464844
2014-02-04,70.34036254882812
2014-02-05,69.68097686767578
2014-02-06,70.83000183105469
2014-02-07,71.28047943115234
2014-02-10,71.76361846923828
2014-02-11,71.580810546875
2014-02-12,71.90071868896484
2014-02-13,71.88766479492188
2014-02-14,72.44259643554688
2014-02-18,72.67762756347656
2014-02-19,72.36426544189453
2014-02-20,72.24677276611328
2014-02-21,72.40997314453125
2014-02-24,72.22715759277344
2014-02-25,73.18688201904297
2014-02-26,72.72985076904297
2014-02-27,72.42301940917969
2014-02-28,73.40230560302734
2014-03-03,73.23258209228516
2014-03-04,74.15966033935547
2014-03-05,73.76792907714844
2014-03-06,73.40887451171875
2014-03-07,72.42951965332031
2014-03-10,72.25980377197266
2014-03-11,73.71568298339844
2014-03-12,72.8408432006836
2014-03-13,72.89308166503906
2014-03-14,73.02367401123047
2014-03-17,73.24565124511719
2014-03-18,73.91156768798828
2014-03-19,73.12159729003906
2014-03-20,73.66997528076172
2014-03-21,74.39469146728516
2014-03-24,73.87891387939453
2014-03-25,74.19229888916016
2014-03-26,73.34357452392578
2014-03-27,74.23007202148438
2014-03-28,74.78823852539062
2014-03-31,75.20850372314453
2014-04-01,75.98338317871094
2014-04-02,75.8454818725586
2014-04-03,75.8454818725586
2014-04-04,76.37736511230469
2014-04-07,76.54811096191406
2014-04-08,77.001220703125
2014-04-09,76.34455108642578
2014-04-10,75.15599822998047
2014-04-11,75.74699401855469
2014-04-14,75.80607604980469
2014-04-15,76.69261932373047
2014-04-16,76.75826263427734
2014-04-17,77.11286163330078
2014-04-21,77.2179183959961
2014-04-22,77.49371337890625
2014-04-23,77.07347869873047
2014-04-24,77.63162231445312
2014-04-25,77.07347869873047
2014-04-28,77.68417358398438
2014-04-29,77.17853546142578
2014-04-30,76.92240142822266
2014-05-01,77.63819122314453
2014-05-02,77.38865661621094
2014-05-05,77.35582733154297
2014-05-06,76.86988067626953
2014-05-07,77.94680786132812
2014-05-08,78.1832275390625
2014-05-09,78.42619323730469
2014-05-12,78.66260528564453
2014-05-13,77.98622131347656
2014-05-14,77.99935150146484
2014-05-15,78.25545501708984
2014-05-16,78.89244079589844
2014-05-19,78.80050659179688
2014-05-20,78.66917419433594
2014-05-21,78.2423324584961
2014-05-22,77.65788269042969
2014-05-23,78.08472442626953
2014-05-27,79.08287048339844
2014-05-28,78.3408432006836
2014-05-29,78.45901489257812
2014-05-30,79.24703979492188
2014-06-02,79.3915023803711
2014-06-03,78.79393005371094
2014-06-04,79.00405883789062
2014-06-05,80.08100891113281
2014-06-06,80.04818725585938
2014-06-09,78.62975311279297
2014-06-10,77.45433044433594
2014-06-11,76.83050537109375
2014-06-12,76.33797454833984
2014-06-13,76.70571899414062
2014-06-16,76.17382049560547
2014-06-17,75.51058959960938
2014-06-18,76.79764556884766
2014-06-19,77.50687408447266
2014-06-20,77.74325561523438
2014-06-23,77.65131378173828
2014-06-24,77.9731216430664
2014-06-25,77.69730377197266
2014-06-26,77.45958709716797
2014-06-27,78.26514434814453
2014-06-30,78.03404235839844
2014-07-01,78.25855255126953
2014-07-02,77.87557983398438
2014-07-03,77.50579833984375
2014-07-07,78.28495788574219
2014-07-08,78.31137084960938
2014-07-09,78.3311996459961
2014-07-10,79.0311050415039
2014-07-11,78.85281372070312
2014-07-14,79.48011779785156
2014-07-15,79.53292846679688
2014-07-16,79.75743865966797
2014-07-17,79.44707489013672
2014-07-18,80.35169219970703
2014-07-21,79.89610290527344
2014-07-22,80.3450927734375
2014-07-23,80.03475952148438
2014-07-24,80.08757019042969
2014-07-25,79.28862762451172
2014-07-28,80.19322967529297
2014-07-29,79.57254791259766
2014-07-30,79.88286590576172
2014-07-31,78.87263488769531
2014-08-01,78.43022155761719
2014-08-04,79.1169204711914
2014-08-05,78.119873046875
2014-08-06,78.549072265625
2014-08-07,78.35760498046875
2014-08-08,79.2688217163086
2014-08-11,79.66497039794922
2014-08-12,79.57254791259766
2014-08-13,80.21302795410156
2014-08-14,79.8498764038086
2014-08-15,79.59233856201172
2014-08-18,80.83370971679688
2014-08-19,81.17705535888672
2014-08-20,81.4874038696289
2014-08-21,81.21006774902344
2014-08-22,80.5431900024414
2014-08-25,80.14700317382812
2014-08-26,79.98854064941406
2014-08-27,80.21961975097656
2014-08-28,79.94232177734375
2014-08-29,80.17340850830078
2014-09-02,80.0479507446289
2014-09-03,80.45732879638672
2014-09-04,79.67817687988281
2014-09-05,81.07803344726562
2014-09-08,80.99217224121094
2014-09-09,80.16020202636719
2014-09-10,78.6084976196289
2014-09-11,78.76038360595703
2014-09-12,76.13240051269531
2014-09-15,75.84184265136719
2014-09-16,76.79927062988281
2014-09-17,77.87557983398438
2014-09-18,77.49260711669922
2014-09-19,77.39356231689453
2014-09-22,76.91155242919922
2014-09-23,76.23802947998047
2014-09-24,76.0069351196289
2014-09-25,75.04951477050781
2014-09-26,76.53707122802734
2014-09-29,76.94881439208984
2014-09-30,76.87578582763672
2014-10-01,77.02185821533203
2014-10-02,77.02849578857422
2014-10-03,77.32736206054688
2014-10-06,77.267578125
2014-10-07,76.43748474121094
2014-10-08,78.75515747070312
2014-10-09,78.88136291503906
2014-10-10,79.25324249267578
2014-10-13,79.2266616821289
2014-10-14,80.13648223876953
2014-10-15,79.34622192382812
2014-10-16,78.65553283691406
2014-10-17,79.39933013916016
2014-10-20,80.30250549316406
2014-10-21,81.0927963256836
2014-10-22,80.86698913574219
2014-10-23,80.95333099365234
2014-10-24,80.92010498046875
2014-10-27,81.6174087524414
2014-10-28,81.76351928710938
2014-10-29,82.83934783935547
2014-10-30,83.39056396484375
2014-10-31,84.17417907714844
2014-11-03,85.46253967285156
2014-11-04,85.68832397460938
2014-11-05,85.56881713867188
2014-11-06,84.95116424560547
2014-11-07,84.884765625
2014-11-10,85.19689178466797
2014-11-11,84.76522827148438
2014-11-12,84.20738220214844
2014-11-13,84.89804077148438
2014-11-14,83.90190124511719
2014-11-17,83.961669921875
2014-11-18,84.8515625
2014-11-19,84.94453430175781
2014-11-20,84.34683227539062
2014-11-21,85.25665283203125
2014-11-24,85.25003051757812
2014-11-25,85.36292266845703
2014-11-26,85.81449890136719
2014-11-28,86.0934066772461
2014-12-01,86.3192138671875
2014-12-02,87.32200622558594
2014-12-03,87.04972839355469
2014-12-04,87.3419189453125
2014-12-05,87.25559997558594
2014-12-08,87.54115295410156
2014-12-09,88.43103790283203
2014-12-10,88.31816101074219
2014-12-11,87.50794219970703
2014-12-12,86.76416778564453
2014-12-15,85.62190246582031
2014-12-16,85.5488510131836
2014-12-17,87.65406036376953
2014-12-18,89.05530548095703
2014-12-19,88.7962875366211
2014-12-22,90.16434478759766
2014-12-23,90.50301361083984
2014-12-24,89.77251434326172
2014-12-26,89.84557342529297
2014-12-29,90.26669311523438
2014-12-30,90.45310974121094
2014-12-31,88.84453582763672
2015-01-02,90.61876678466797
2015-01-05,91.4403305053711
2015-01-06,93.21460723876953
2015-01-07,94.25706481933594
2015-01-08,94.63677978515625
2015-01-09,95.1131591796875
2015-01-12,95.50665283203125
2015-01-13,95.29951477050781
2015-01-14,96.41793060302734
2015-01-15,96.6319580078125
2015-01-16,97.40520477294922
2015-01-20,97.01164245605469
2015-01-21,97.01164245605469
