,OXY
2014-01-02,64.10411834716797
2014-01-03,63.878692626953125
2014-01-06,64.06996154785156
2014-01-07,65.26529693603516
2014-01-08,64.74618530273438
2014-01-09,64.78032684326172
2014-01-10,64.10411834716797
2014-01-13,62.526268005371094
2014-01-14,63.05220413208008
2014-01-15,62.47159957885742
2014-01-16,62.68335723876953
2014-01-17,61.863712310791016
2014-01-21,61.4538688659668
2014-01-22,62.130096435546875
2014-01-23,61.07818603515625
2014-01-24,60.1082649230957
2014-01-27,59.4866943359375
2014-01-28,60.32002258300781
2014-01-29,59.98533630371094
2014-01-30,60.31319046020508
2014-01-31,59.81456756591797
2014-02-03,59.589168548583984
2014-02-04,59.520870208740234
2014-02-05,59.62331771850586
2014-02-06,60.436153411865234
2014-02-07,61.87736892700195
2014-02-10,61.945674896240234
2014-02-11,62.56725311279297
2014-02-12,62.970237731933594
2014-02-13,63.024879455566406
2014-02-14,65.40872192382812
2014-02-18,65.76392364501953
2014-02-19,64.8486328125
2014-02-20,65.16282653808594
2014-02-21,65.15601348876953
2014-02-24,65.6204833984375
2014-02-25,65.44971466064453
2014-02-26,65.02620697021484
2014-02-27,65.25162506103516
2014-02-28,65.92784881591797
2014-03-03,65.60681915283203
2014-03-04,66.4059829711914
2014-03-05,66.15326690673828
2014-03-06,66.24960327148438
2014-03-07,66.84141540527344
2014-03-10,66.90335845947266
2014-03-11,66.34593200683594
2014-03-12,66.33216857910156
2014-03-13,65.93304443359375
2014-03-14,66.42163848876953
2014-03-17,66.64871215820312
2014-03-18,66.93086242675781
2014-03-19,65.4719467163086
2014-03-20,63.951133728027344
2014-03-21,64.73564147949219
2014-03-24,64.5979995727539
2014-03-25,65.13477325439453
2014-03-26,64.37089538574219
2014-03-27,65.12788391113281
2014-03-28,65.75411987304688
2014-03-31,65.57520294189453
2014-04-01,65.30679321289062
2014-04-02,66.0775375366211
2014-04-03,66.41475677490234
2014-04-04,65.06595611572266
2014-04-07,64.40532684326172
2014-04-08,65.34122467041016
2014-04-09,66.04312896728516
2014-04-10,64.990234375
2014-04-11,64.22639465332031
2014-04-14,64.90766906738281
2014-04-15,65.30679321289062
2014-04-16,65.93304443359375
2014-04-17,66.47669982910156
2014-04-21,67.0616455078125
2014-04-22,66.70377349853516
2014-04-23,66.59368133544922
2014-04-24,66.84829711914062
2014-04-25,66.31842041015625
2014-04-28,66.53175354003906
2014-04-29,66.66248321533203
2014-04-30,65.89173889160156
2014-05-01,65.36874389648438
2014-05-02,64.990234375
2014-05-05,65.16915893554688
2014-05-06,65.94680786132812
2014-05-07,66.22207641601562
2014-05-08,65.50639343261719
2014-05-09,66.1395034790039
2014-05-12,66.35282135009766
2014-05-13,67.10978698730469
2014-05-14,67.0134506225586
2014-05-15,66.79326629638672
2014-05-16,65.8504409790039
2014-05-19,66.02251434326172
2014-05-20,65.69219970703125
2014-05-21,67.15797424316406
2014-05-22,66.91023254394531
2014-05-23,66.73130798339844
2014-05-27,67.0616455078125
2014-05-28,68.16270446777344
2014-05-29,68.699462890625
2014-05-30,68.60310363769531
2014-06-02,68.65128326416016
2014-06-03,68.98162078857422
2014-06-04,68.92654418945312
2014-06-05,69.43580627441406
2014-06-06,69.57439422607422
2014-06-09,69.4427261352539
2014-06-10,69.29718780517578
2014-06-11,69.23480224609375
2014-06-12,70.17742156982422
2014-06-13,71.5497817993164
2014-06-16,71.63294982910156
2014-06-17,71.21015930175781
2014-06-18,71.56365203857422
2014-06-19,71.63294982910156
2014-06-20,72.08346557617188
2014-06-23,72.90828704833984
2014-06-24,70.31603240966797
2014-06-25,71.12696838378906
2014-06-26,71.14085388183594
2014-06-27,70.84280395507812
2014-06-30,71.13390350341797
2014-07-01,71.25176239013672
2014-07-02,70.86361694335938
2014-07-03,70.81507873535156
2014-07-07,70.41307830810547
2014-07-08,70.61410522460938
2014-07-09,70.66259765625
2014-07-10,69.5952377319336
2014-07-11,69.64372253417969
2014-07-14,70.15663146972656
2014-07-15,68.97834014892578
2014-07-16,70.5101318359375
2014-07-17,69.27638244628906
2014-07-18,69.95563507080078
2014-07-21,69.71304321289062
2014-07-22,70.19129180908203
2014-07-23,70.42002868652344
2014-07-24,69.92098236083984
2014-07-25,69.37342834472656
2014-07-28,69.18627166748047
2014-07-29,68.84664916992188
2014-07-30,68.00104522705078
2014-07-31,67.72383117675781
2014-08-01,67.84854888916016
2014-08-04,69.83086395263672
2014-08-05,68.69417572021484
2014-08-06,68.902099609375
2014-08-07,68.1258316040039
2014-08-08,69.17240142822266
2014-08-11,69.151611328125
2014-08-12,69.17933654785156
2014-08-13,69.30410766601562
2014-08-14,69.2902603149414
2014-08-15,69.62987518310547
2014-08-18,69.72691345214844
2014-08-19,70.55863189697266
2014-08-20,70.51704406738281
2014-08-21,70.88441467285156
2014-08-22,71.00222778320312
2014-08-25,71.58444213867188
2014-08-26,71.49434661865234
2014-08-27,71.65376281738281
2014-08-28,72.09040069580078
2014-08-29,71.89633178710938
2014-09-02,70.94677734375
2014-09-03,71.00916290283203
2014-09-04,70.95370483398438
2014-09-05,70.2190170288086
2014-09-08,68.79496002197266
2014-09-09,68.65536499023438
2014-09-10,68.78797149658203
2014-09-11,68.65536499023438
2014-09-12,67.99217224121094
2014-09-15,68.61345672607422
2014-09-16,68.80193328857422
2014-09-17,68.52965545654297
2014-09-18,68.32026672363281
2014-09-19,68.20858001708984
2014-09-22,67.65010833740234
2014-09-23,67.33597564697266
2014-09-24,68.69722747802734
2014-09-25,67.55237579345703
2014-09-26,68.65536499023438
2014-09-29,67.87348937988281
2014-09-30,67.11958312988281
2014-10-01,65.82115936279297
2014-10-02,66.4703598022461
2014-10-03,66.98695373535156
2014-10-06,67.76881408691406
2014-10-07,66.22605895996094
2014-10-08,66.70770263671875
2014-10-09,64.59257507324219
2014-10-10,63.915443420410156
2014-10-13,61.36049270629883
2014-10-14,60.41810989379883
2014-10-15,59.5106086730957
2014-10-16,60.34130096435547
2014-10-17,61.68160629272461
2014-10-20,61.946868896484375
2014-10-21,63.57337951660156
2014-10-22,62.61701583862305
2014-10-23,63.531463623046875
2014-10-24,62.491355895996094
2014-10-27,60.36225891113281
2014-10-28,61.528038024902344
2014-10-29,62.023651123046875
2014-10-30,61.38142776489258
2014-10-31,62.07948684692383
2014-11-03,60.829959869384766
2014-11-04,59.559471130371094
2014-11-05,60.36225891113281
2014-11-06,60.31337356567383
2014-11-07,61.45820999145508
2014-11-10,61.38142776489258
2014-11-11,62.205169677734375
2014-11-12,61.8421630859375
2014-11-13,60.23659896850586
2014-11-14,60.4948616027832
2014-11-17,59.964351654052734
2014-11-18,60.4948616027832
2014-11-19,60.06206512451172
2014-11-20,60.6414794921875
2014-11-21,61.15106201171875
2014-11-24,61.611793518066406
2014-11-25,60.285465240478516
2014-11-26,60.12492370605469
2014-11-28,55.6851692199707
2014-12-01,57.79119110107422
2014-12-02,58.69315719604492
2014-12-03,60.446128845214844
2014-12-04,60.038822174072266
2014-12-05,59.267791748046875
2014-12-08,55.85524368286133
2014-12-09,56.83864212036133
2014-12-10,55.14340591430664
2014-12-11,55.0993537902832
2014-12-12,54.468231201171875
2014-12-15,53.6903190612793
2014-12-16,54.607669830322266
2014-12-17,57.09553146362305
2014-12-18,58.10091781616211
2014-12-19,59.82551574707031
2014-12-22,59.2897834777832
2014-12-23,60.838279724121094
2014-12-24,60.35392379760742
2014-12-26,60.214473724365234
2014-12-29,59.96495819091797
2014-12-30,59.73747634887695
2014-12-31,59.157691955566406
2015-01-02,59.187068939208984
2015-01-05,56.99274826049805
2015-01-06,56.508399963378906
2015-01-07,56.515743255615234
2015-01-08,57.014793395996094
2015-01-09,56.90469741821289
2015-01-12,55.00395202636719
2015-01-13,55.018638610839844
2015-01-14,55.392913818359375
2015-01-15,55.767189025878906
2015-01-16,57.286293029785156
2015-01-20,57.24959945678711
2015-01-21,58.152305603027344
2015-01-22,57.87342071533203
2015-01-23,57.86606979370117
2015-01-26,58.94488525390625
2015-01-27,58.27705764770508
2015-01-28,56.14146423339844
2015-01-29,57.46976089477539
2015-01-30,58.710018157958984
2015-02-02,58.82744598388672
2015-02-03,60.2878532409668
2015-02-04,59.33382034301758
2015-02-05,60.26585388183594
2015-02-06,59.99433898925781
2015-02-09,59.634708404541016
2015-02-10,59.671409606933594
2015-02-11,58.695350646972656
2015-02-12,60.207149505615234
2015-02-13,60.99238204956055
2015-02-17,60.56673049926758
2015-02-18,59.715457916259766
2015-02-19,59.157691955566406
2015-02-20,58.7834358215332
2015-02-23,58.56325149536133
2015-02-24,58.52655792236328
2015-02-25,58.8641471862793
2015-02-26,57.47711944580078
2015-02-27,57.15420913696289
2015-03-02,57.051475524902344
2015-03-03,57.24959945678711
2015-03-04,57.48445129394531
2015-03-05,56.86799621582031
2015-03-06,55.38648986816406
2015-03-09,55.40871810913086
2015-03-10,54.68275833129883
2015-03-11,55.00870132446289
