,UNP
2014-01-02,65.61679077148438
2014-01-03,65.5146713256836
2014-01-06,64.85111236572266
2014-01-07,65.42437744140625
2014-01-08,65.54612731933594
2014-01-09,66.46493530273438
2014-01-10,66.90080261230469
2014-01-13,65.98589324951172
2014-01-14,66.2882308959961
2014-01-15,66.81047058105469
2014-01-16,65.95056915283203
2014-01-17,65.90343475341797
2014-01-21,66.01335906982422
2014-01-22,66.16259765625
2014-01-23,68.36931610107422
2014-01-24,67.39553833007812
2014-01-27,67.22669219970703
2014-01-28,67.85101318359375
2014-01-29,67.51724243164062
2014-01-30,69.19782257080078
2014-01-31,68.41642761230469
2014-02-03,67.43480682373047
2014-02-04,68.0277099609375
2014-02-05,67.78427124023438
2014-02-06,68.761962890625
2014-02-07,69.46089935302734
2014-02-10,68.62847137451172
2014-02-11,69.77503204345703
2014-02-12,70.22657012939453
2014-02-13,70.14411926269531
2014-02-14,70.73309326171875
2014-02-18,70.0106201171875
2014-02-19,69.05645751953125
2014-02-20,69.84178161621094
2014-02-21,70.33256530761719
2014-02-24,70.5250015258789
2014-02-25,70.16767883300781
2014-02-26,69.93877410888672
2014-02-27,70.44789123535156
2014-02-28,71.18984985351562
2014-03-03,70.84650421142578
2014-03-04,72.55935668945312
2014-03-05,72.75273895263672
2014-03-06,73.35261535644531
2014-03-07,74.02750396728516
2014-03-10,73.49472045898438
2014-03-11,73.31710815429688
2014-03-12,74.01567077636719
2014-03-13,73.35261535644531
2014-03-14,73.06846618652344
2014-03-17,73.94857788085938
2014-03-18,74.74974060058594
2014-03-19,73.74334716796875
2014-03-20,74.4853286743164
2014-03-21,73.93280792236328
2014-03-24,74.19721984863281
2014-03-25,73.79466247558594
2014-03-26,72.74091339111328
2014-03-27,72.34623718261719
2014-03-28,72.91453552246094
2014-03-31,74.06304168701172
2014-04-01,74.37088775634766
2014-04-02,74.62345886230469
2014-04-03,74.65897369384766
2014-04-04,74.2169418334961
2014-04-07,73.50655364990234
2014-04-08,73.1434555053711
2014-04-09,73.63286590576172
2014-04-10,72.45279693603516
2014-04-11,71.46218872070312
2014-04-14,71.86869049072266
2014-04-15,73.2223892211914
2014-04-16,74.25642395019531
2014-04-17,74.82473754882812
2014-04-21,75.59435272216797
2014-04-22,75.79562377929688
2014-04-23,75.73641967773438
2014-04-24,75.21546936035156
2014-04-25,74.11038970947266
2014-04-28,74.16958618164062
2014-04-29,74.9431381225586
2014-04-30,75.15625
2014-05-01,74.51295471191406
2014-05-02,74.19721984863281
2014-05-05,74.09854125976562
2014-05-06,73.92095947265625
2014-05-07,74.33536529541016
2014-05-08,74.47743225097656
2014-05-09,74.71817016601562
2014-05-12,75.62987518310547
2014-05-13,76.13111877441406
2014-05-14,75.8587646484375
2014-05-15,75.42859649658203
2014-05-16,77.02301025390625
2014-05-19,77.19273376464844
2014-05-20,76.51388549804688
2014-05-21,77.0585708618164
2014-05-22,77.07829284667969
2014-05-23,77.4571533203125
2014-05-27,77.78471374511719
2014-05-28,77.50055694580078
2014-05-29,78.06495666503906
2014-05-30,78.64508819580078
2014-06-02,78.60562896728516
2014-06-03,77.90312957763672
2014-06-04,78.0767822265625
2014-06-05,79.06741333007812
2014-06-06,79.66728973388672
2014-06-09,80.62236785888672
2014-06-10,80.84337615966797
2014-06-11,80.65394592285156
2014-06-12,79.8174819946289
2014-06-13,79.99983978271484
2014-06-16,79.13560485839844
2014-06-17,78.78677368164062
2014-06-18,79.8174819946289
2014-06-19,80.10289764404297
2014-06-20,80.1425552368164
2014-06-23,79.83333587646484
2014-06-24,79.0325698852539
2014-06-25,79.35763549804688
2014-06-26,78.94532775878906
2014-06-27,79.00083923339844
2014-06-30,79.08804321289062
2014-07-01,79.36553192138672
2014-07-02,79.34175872802734
2014-07-03,80.06327056884766
2014-07-07,79.49239349365234
2014-07-08,79.35763549804688
2014-07-09,79.76990509033203
2014-07-10,78.97705078125
2014-07-11,79.50033569335938
2014-07-14,80.15047454833984
2014-07-15,80.37248992919922
2014-07-16,80.69754028320312
2014-07-17,79.64306640625
2014-07-18,80.34868621826172
2014-07-21,80.5865478515625
2014-07-22,81.5538330078125
2014-07-23,81.27633666992188
2014-07-24,80.68964385986328
2014-07-25,80.6024169921875
2014-07-28,79.793701171875
2014-07-29,78.96912384033203
2014-07-30,78.86605072021484
2014-07-31,77.94634246826172
2014-08-01,77.62918090820312
2014-08-04,77.93046569824219
2014-08-05,77.6688232421875
2014-08-06,77.31202697753906
2014-08-07,77.28827667236328
2014-08-08,78.20796966552734
2014-08-11,78.94532775878906
2014-08-12,79.02462768554688
2014-08-13,79.73818969726562
2014-08-14,80.65791320800781
2014-08-15,80.86408233642578
2014-08-18,82.29119873046875
2014-08-19,82.76689910888672
2014-08-20,83.70252227783203
2014-08-21,83.93243408203125
2014-08-22,83.86107635498047
2014-08-25,83.75800323486328
2014-08-26,83.69457244873047
2014-08-27,83.88577270507812
2014-08-28,83.67863464355469
2014-08-29,83.86184692382812
2014-09-02,84.61071014404297
2014-09-03,84.92139434814453
2014-09-04,85.43921661376953
2014-09-05,85.78974914550781
2014-09-08,85.60652160644531
2014-09-09,85.61445617675781
2014-09-10,85.54276275634766
2014-09-11,85.80565643310547
2014-09-12,85.24800109863281
2014-09-15,85.27192687988281
2014-09-16,85.97298431396484
2014-09-17,87.29537963867188
2014-09-18,87.15199279785156
2014-09-19,87.12013244628906
2014-09-22,86.43501281738281
2014-09-23,85.87737274169922
2014-09-24,86.58638000488281
2014-09-25,85.39142608642578
2014-09-26,86.4987564086914
2014-09-29,86.45892333984375
2014-09-30,86.37125396728516
2014-10-01,84.28408813476562
2014-10-02,84.5230941772461
2014-10-03,87.2396011352539
2014-10-06,87.0643310546875
2014-10-07,84.73817443847656
2014-10-08,86.0526123046875
2014-10-09,83.91764068603516
2014-10-10,80.73109436035156
2014-10-13,78.13406372070312
2014-10-14,79.79108428955078
2014-10-15,79.42460632324219
2014-10-16,82.87403106689453
2014-10-17,84.7620620727539
2014-10-20,84.57085418701172
2014-10-21,86.72179412841797
2014-10-22,85.1285400390625
2014-10-23,89.40646362304688
2014-10-24,91.27854919433594
2014-10-27,91.4458236694336
2014-10-28,92.55317687988281
2014-10-29,91.58924865722656
2014-10-30,91.61314392089844
2014-10-31,92.76825714111328
2014-11-03,91.82027435302734
2014-11-04,91.83619689941406
2014-11-05,92.73640441894531
2014-11-06,94.75189971923828
2014-11-07,94.6005630493164
2014-11-10,96.31327819824219
2014-11-11,96.58415222167969
2014-11-12,96.16193389892578
2014-11-13,95.79548645019531
2014-11-14,96.16193389892578
2014-11-17,95.85124206542969
2014-11-18,96.09022521972656
2014-11-19,95.99464416503906
2014-11-20,96.3212661743164
2014-11-21,97.07009887695312
2014-11-24,97.9145278930664
2014-11-25,97.59589385986328
2014-11-26,98.23322296142578
2014-11-28,93.40190887451172
2014-12-01,91.690185546875
2014-12-02,95.1616439819336
2014-12-03,96.74541473388672
2014-12-04,95.79356384277344
2014-12-05,94.87369537353516
2014-12-08,91.9381332397461
2014-12-09,92.83402252197266
2014-12-10,90.93827819824219
2014-12-11,91.4662094116211
2014-12-12,90.02643585205078
2014-12-15,89.85845947265625
2014-12-16,89.74646759033203
2014-12-17,91.9221420288086
2014-12-18,95.08167266845703
