,CPT
2014-01-02,37.924137115478516
2014-01-03,38.509700775146484
2014-01-06,39.22028350830078
2014-01-07,38.76630401611328
2014-01-08,38.720245361328125
2014-01-09,38.8057746887207
2014-01-10,39.05580520629883
2014-01-13,38.720245361328125
2014-01-14,39.10844421386719
2014-01-15,39.588741302490234
2014-01-16,39.66110610961914
2014-01-17,39.69401550292969
2014-01-21,40.06903839111328
2014-01-22,40.161155700683594
2014-01-23,39.80586242675781
2014-01-24,39.50321960449219
2014-01-27,39.08869552612305
2014-01-28,39.60847854614258
2014-01-29,39.70716094970703
2014-01-30,40.404598236083984
2014-01-31,40.674354553222656
2014-02-03,40.3717041015625
2014-02-04,41.25992965698242
2014-02-05,41.78628921508789
2014-02-06,42.602149963378906
2014-02-07,43.14822769165039
2014-02-10,43.66801452636719
2014-02-11,43.72722244262695
2014-02-12,43.09560012817383
2014-02-13,42.957435607910156
2014-02-14,42.77322006225586
2014-02-18,42.996910095214844
2014-02-19,42.96400833129883
2014-02-20,42.93770217895508
2014-02-21,43.049556732177734
2014-02-24,42.94427490234375
2014-02-25,43.32587814331055
2014-02-26,43.516685485839844
2014-02-27,43.14822769165039
2014-02-28,43.88513946533203
2014-03-03,43.75354766845703
2014-03-04,44.08251953125
2014-03-05,44.02989196777344
2014-03-06,43.68117904663086
2014-03-07,43.76013946533203
2014-03-10,43.2337646484375
2014-03-11,43.58247375488281
2014-03-12,43.641700744628906
2014-03-13,43.694339752197266
2014-03-14,44.023319244384766
2014-03-17,44.25358963012695
2014-03-18,44.37860870361328
2014-03-19,43.37194061279297
2014-03-20,43.97724914550781
2014-03-21,43.93119812011719
2014-03-24,43.87198257446289
2014-03-25,44.47072219848633
2014-03-26,43.73381042480469
2014-03-27,44.225589752197266
2014-03-28,44.18570327758789
2014-03-31,44.75056457519531
2014-04-01,44.504695892333984
2014-04-02,44.79709243774414
2014-04-03,44.318607330322266
2014-04-04,44.903419494628906
2014-04-07,45.262271881103516
2014-04-08,45.54802322387695
2014-04-09,45.415122985839844
2014-04-10,44.92335510253906
2014-04-11,44.557861328125
2014-04-14,44.59772872924805
2014-04-15,45.0097541809082
2014-04-16,45.3287353515625
2014-04-17,45.07618713378906
2014-04-21,45.36859893798828
2014-04-22,45.35530090332031
2014-04-23,44.929996490478516
2014-04-24,45.34866714477539
2014-04-25,45.51479721069336
2014-04-28,45.873661041259766
2014-04-29,45.587894439697266
2014-04-30,45.51479721069336
2014-05-01,45.61448669433594
2014-05-02,46.16604232788086
2014-05-05,46.33884811401367
2014-05-06,46.28568649291992
2014-05-07,47.22933578491211
2014-05-08,47.33565139770508
2014-05-09,47.36888122558594
2014-05-12,47.196102142333984
2014-05-13,46.923648834228516
2014-05-14,46.95686340332031
2014-05-15,46.637882232666016
2014-05-16,46.87712097167969
2014-05-19,46.78409194946289
2014-05-20,46.89706802368164
2014-05-21,46.225852966308594
2014-05-22,45.986637115478516
2014-05-23,46.099613189697266
2014-05-27,46.504974365234375
2014-05-28,46.372066497802734
2014-05-29,46.451805114746094
2014-05-30,46.67774963378906
2014-06-02,46.91033935546875
2014-06-03,47.01001739501953
2014-06-04,47.14957809448242
2014-06-05,47.900535583496094
2014-06-06,47.39546203613281
2014-06-09,46.74420166015625
2014-06-10,46.52490997314453
2014-06-11,46.312259674072266
2014-06-12,46.55148696899414
2014-06-13,46.71098327636719
2014-06-16,46.29232406616211
2014-06-17,46.41194152832031
2014-06-18,46.584720611572266
2014-06-19,46.804019927978516
2014-06-20,46.75749588012695
2014-06-23,46.67774963378906
2014-06-24,46.82395553588867
2014-06-25,47.09641647338867
2014-06-26,46.96896743774414
