,AMCR
2014-01-02,5.893045902252197
2014-01-03,5.837337017059326
2014-01-06,5.837337017059326
2014-01-07,5.8497161865234375
2014-01-08,5.874475479125977
2014-01-09,5.84352445602417
2014-01-10,5.831145763397217
2014-01-13,5.831145763397217
2014-01-14,5.688769817352295
2014-01-15,5.688769817352295
2014-01-16,5.5835371017456055
2014-01-17,5.725913047790527
2014-01-21,5.725913047790527
2014-01-22,5.732101917266846
2014-01-23,5.831145763397217
2014-01-24,5.831145763397217
2014-01-27,5.831145763397217
2014-01-28,5.633059978485107
2014-01-29,5.781622886657715
2014-01-30,5.756863117218018
2014-01-31,5.769240856170654
2014-02-03,5.769240856170654
2014-02-04,5.769240856170654
2014-02-05,5.732101917266846
2014-02-06,5.732101917266846
2014-02-07,5.837337017059326
2014-02-10,5.893045902252197
2014-02-11,5.893045902252197
2014-02-12,6.091129779815674
2014-02-13,6.091129779815674
2014-02-14,6.091129779815674
2014-02-18,6.091129779815674
2014-02-19,6.091129779815674
2014-02-20,6.066372394561768
2014-02-21,5.936378479003906
2014-02-24,5.936378479003906
2014-02-25,6.047362327575684
2014-02-26,6.047362327575684
2014-02-27,6.047362327575684
2014-02-28,6.047362327575684
2014-03-03,6.047362327575684
2014-03-04,5.839267253875732
2014-03-05,5.839267253875732
2014-03-06,5.839267253875732
2014-03-07,5.769901275634766
2014-03-10,5.769901275634766
2014-03-11,5.769901275634766
2014-03-12,5.769901275634766
2014-03-13,5.769901275634766
2014-03-14,5.769901275634766
2014-03-17,5.769901275634766
2014-03-18,5.769901275634766
2014-03-19,5.769901275634766
2014-03-20,5.769901275634766
2014-03-21,5.769901275634766
2014-03-24,5.769901275634766
2014-03-25,5.769901275634766
2014-03-26,5.769901275634766
2014-03-27,5.769901275634766
2014-03-28,5.769901275634766
2014-03-31,5.769901275634766
2014-04-01,5.769901275634766
2014-04-02,5.769901275634766
2014-04-03,5.769901275634766
2014-04-04,5.933854103088379
2014-04-07,5.933854103088379
2014-04-08,5.933854103088379
2014-04-09,5.933854103088379
2014-04-10,5.933854103088379
2014-04-11,5.933854103088379
2014-04-14,5.933854103088379
2014-04-15,5.933854103088379
2014-04-16,5.933854103088379
2014-04-17,5.933854103088379
2014-04-21,5.933854103088379
2014-04-22,5.984301567077637
2014-04-23,5.984301567077637
2014-04-24,5.984301567077637
2014-04-25,5.984301567077637
2014-04-28,5.984301567077637
2014-04-29,5.984301567077637
2014-04-30,5.984301567077637
2014-05-01,5.984301567077637
2014-05-02,5.984301567077637
2014-05-05,5.984301567077637
2014-05-06,6.053668022155762
2014-05-07,6.053668022155762
2014-05-08,6.053668022155762
2014-05-09,6.053668022155762
2014-05-12,6.053668022155762
2014-05-13,6.053668022155762
2014-05-14,6.179786682128906
2014-05-15,6.179786682128906
2014-05-16,6.116726398468018
2014-05-19,6.116726398468018
2014-05-20,6.116726398468018
2014-05-21,6.116726398468018
2014-05-22,6.116726398468018
2014-05-23,6.116726398468018
2014-05-27,6.116726398468018
2014-05-28,6.116726398468018
2014-05-29,6.116726398468018
2014-05-30,6.116726398468018
2014-06-02,6.116726398468018
2014-06-03,6.116726398468018
2014-06-04,6.116726398468018
2014-06-05,6.116726398468018
2014-06-06,6.116726398468018
2014-06-09,6.116726398468018
2014-06-10,6.116726398468018
2014-06-11,6.116726398468018
2014-06-12,6.116726398468018
2014-06-13,6.116726398468018
2014-06-16,6.116726398468018
2014-06-17,6.116726398468018
2014-06-18,6.116726398468018
2014-06-19,6.116726398468018
2014-06-20,6.116726398468018
2014-06-23,6.211315631866455
2014-06-24,6.211315631866455
2014-06-25,6.211315631866455
2014-06-26,6.211315631866455
2014-06-27,6.211315631866455
2014-06-30,6.211315631866455
2014-07-01,6.211315631866455
2014-07-02,6.211315631866455
2014-07-03,6.211315631866455
2014-07-07,6.211315631866455
2014-07-08,6.211315631866455
2014-07-09,6.211315631866455
2014-07-10,6.211315631866455
2014-07-11,6.211315631866455
2014-07-14,6.14194917678833
2014-07-15,6.14194917678833
2014-07-16,6.14194917678833
2014-07-17,5.996914863586426
2014-07-18,5.996914863586426
2014-07-21,5.996914863586426
2014-07-22,5.996914863586426
2014-07-23,5.996914863586426
2014-07-24,5.996914863586426
2014-07-25,5.996914863586426
2014-07-28,5.996914863586426
2014-07-29,5.996914863586426
2014-07-30,5.996914863586426
2014-07-31,5.996914863586426
2014-08-01,5.996914863586426
2014-08-04,5.996914863586426
2014-08-05,5.996914863586426
2014-08-06,5.996914863586426
2014-08-07,5.996914863586426
2014-08-08,5.996914863586426
2014-08-11,5.996914863586426
2014-08-12,5.996914863586426
2014-08-13,5.996914863586426
2014-08-14,5.996914863586426
2014-08-15,5.996914863586426
2014-08-18,5.996914863586426
2014-08-19,5.996914863586426
2014-08-20,5.996914863586426
2014-08-21,5.996914863586426
2014-08-22,5.996914863586426
2014-08-25,5.996914863586426
2014-08-26,5.996914863586426
2014-08-27,5.996914863586426
2014-08-28,5.996914863586426
2014-08-29,5.996914863586426
2014-09-02,6.13826847076416
2014-09-03,6.13826847076416
2014-09-04,6.13826847076416
2014-09-05,6.13826847076416
2014-09-08,6.63526725769043
2014-09-09,6.63526725769043
2014-09-10,6.63526725769043
2014-09-11,6.63526725769043
2014-09-12,6.63526725769043
2014-09-15,6.63526725769043
2014-09-16,6.63526725769043
2014-09-17,6.63526725769043
2014-09-18,6.63526725769043
2014-09-19,6.63526725769043
2014-09-22,6.63526725769043
2014-09-23,6.63526725769043
2014-09-24,6.63526725769043
2014-09-25,6.63526725769043
2014-09-26,6.63526725769043
